<doc id="wr_1760-05-03" attrs="word" year="1760" month="05" day="03" corpus="2">
<head id="h2_d446e3161">
Neu=pork	w1_d446e3165
7.	w3_d446e3168
Jan.	w5_d446e3171
</head>
<p id="p4_d446e3174">
Je	w1_d446e3178
Grenadiers	w3_d446e3181
und	w5_d446e3184
leichte	w7_d446e3187
Jnfante	w9_d446e3190
/rie	w1_d446e3195
von	w3_d446e3198
dem	w5_d446e3201
Königl	w7_d446e3204
Regiment	w9_d446e3207
Ecos	w11_d446e3210
sois	w1_d446e3215
sowol,	w3_d446e3218
als	w5_d446e3221
auch	w7_d446e3224
jene	w9_d446e3227
von	w11_d446e3230
dem	w13_d446e3234
55sten	w1_d446e3240
Regiment	w3_d446e3243
haben	w5_d446e3246
Befehl	w7_d446e3249
erhalten,	w9_d446e3252
nach	w1_d446e3257
dem	w3_d446e3260
mittägigen	w5_d446e3263
Carolina	w7_d446e3266
abzumarschi	w9_d446e3269
ten,	w1_d446e3274
um	w3_d446e3277
den	w5_d446e3280
alldaselbst	w7_d446e3283
sich	w9_d446e3286
befindender	w11_d446e3289
Gouverneur	w1_d446e3294
in	w3_d446e3297
den	w5_d446e3300
Stand	w7_d446e3303
zu	w9_d446e3306
setzen,	w11_d446e3309
die	w13_d446e3313
Cherokesen	w1_d446e3319
zu	w3_d446e3322
zähmen,	w5_d446e3325
wie	w7_d446e3328
sie	w9_d446e3331
dann	w11_d446e3334
würk	w13_d446e3338
ich	w1_d446e3343
diese	w3_d446e3346
Wochen	w5_d446e3349
sich	w7_d446e3352
einzuschiffen	w9_d446e3355
trachten,	w11_d446e3358
Die	w1_d446e3363
General=versammlung	w3_d446e3366
von	w5_d446e3369
Virginien	w7_d446e3372
hat	w1_d446e3377
zu	w3_d446e3380
fernerer	w5_d446e3383
Erhaltung	w7_d446e3386
des	w9_d446e3389
Schutzes	w11_d446e3392
die	w13_d446e3396
ser	w1_d446e3402
Colonie	w3_d446e3405
10000.	w5_d446e3408
Pf.	w7_d446e3411
Sterlings	w9_d446e3414
verwil	w11_d446e3417
uget,	w1_d446e3422
worauf	w3_d446e3425
der	w5_d446e3428
Gouverneur	w7_d446e3431
die	w9_d446e3434
Versamm	w11_d446e3437
ung	w1_d446e3442
mit	w3_d446e3445
einer	w5_d446e3448
gehaltenen	w7_d446e3451
Rede	w9_d446e3454
verlängeret,	w11_d446e3457
in	w1_d446e3462
welcher	w3_d446e3465
er	w5_d446e3468
auch	w7_d446e3471
unter	w9_d446e3474
andern	w11_d446e3477
sagte:	w13_d446e3481
Er	w15_d446e3484
hätte	w1_d446e3490
gewunschen,	w3_d446e3493
daß	w5_d446e3496
die	w7_d446e3499
Versammlung	w9_d446e3502
steygebiger	w1_d446e3507
gegen	w3_d446e3510
so	w5_d446e3513
grosse	w7_d446e3516
Diensten	w9_d446e3519
gewe	w11_d446e3522
sen	w1_d446e3527
wäre,	w3_d446e3530
welche	w5_d446e3533
ihme	w7_d446e3536
zur	w9_d446e3539
Erhaltung	w11_d446e3542
der	w13_d446e3546
Provinz	w1_d446e3551
höchst	w3_d446e3554
nohtwendig	w5_d446e3557
schienen,	w7_d446e3560
be	w9_d446e3563
sonders	w1_d446e3569
aber	w3_d446e3572
um	w5_d446e3575
die	w7_d446e3578
Werke	w9_d446e3581
von	w11_d446e3584
Pittsbourg	w13_d446e3588
</p>
<p id="p6_d446e3591">
zu	w1_d446e3595
verbesseren,	w3_d446e3598
und	w5_d446e3601
dem	w7_d446e3604
Gouverneur	w9_d446e3607
Lit	w11_d446e3610
telton	w1_d446e3615
wider	w3_d446e3618
die	w5_d446e3621
Cherokesen	w7_d446e3624
mit	w9_d446e3627
allem	w11_d446e3630
Nach	w13_d446e3634
druck	w1_d446e3639
beyzuspringen,	w3_d446e3642
im	w5_d446e3645
Fall	w7_d446e3648
sie	w9_d446e3651
so	w11_d446e3654
vermessen	w13_d446e3658
seyn	w1_d446e3664
sollten	w3_d446e3667
demselben	w5_d446e3670
den	w7_d446e3673
Krieg	w9_d446e3676
anzukünden.	w11_d446e3679
</p>
<head id="h2_d446e3685">
Niederselbe	w1_d446e3689
16.	w3_d446e3692
April.	w5_d446e3695
</head>
<p id="p4_d446e3698">
Am	w1_d446e3702
Ausflusse	w3_d446e3705
der	w5_d446e3708
Weser	w7_d446e3711
sind	w9_d446e3714
nach	w11_d446e3717
gestern	w13_d446e3721
eingegangenen	w1_d446e3726
Nachrichten	w3_d446e3729
etlich	w5_d446e3732
und	w7_d446e3735
50.	w9_d446e3738
Engländische	w1_d446e3743
Transport=schiffe,	w3_d446e3746
unter	w5_d446e3749
Be	w7_d446e3752
deckung	w1_d446e3758
dreyer	w3_d446e3761
Kriegs=schiffe	w5_d446e3764
eingeloffen.	w7_d446e3767
Eine	w1_d446e3772
noch	w3_d446e3775
grössere	w5_d446e3778
Anzahl	w7_d446e3781
wird	w9_d446e3784
stündlich	w11_d446e3787
erwartet.	w1_d446e3792
Beym	w3_d446e3795
Ausgang	w5_d446e3798
der	w7_d446e3801
vorigen	w9_d446e3804
Wo	w11_d446e3807
che	w1_d446e3812
ist	w3_d446e3815
eine	w5_d446e3818
Summa	w7_d446e3821
von	w9_d446e3824
mehr	w11_d446e3827
als	w13_d446e3831
100000.	w15_d446e3834
Pfund	w1_d446e3840
Sterling	w3_d446e3843
von	w5_d446e3846
der	w7_d446e3849
Elbe	w9_d446e3852
zur	w11_d446e3855
Alliirten	w13_d446e3859
Armee	w1_d446e3864
abgegangen.	w3_d446e3867
Jn	w5_d446e3870
Hinter=pommern	w7_d446e3873
sind	w1_d446e3878
die	w3_d446e3881
Sachen	w5_d446e3884
beynahe	w7_d446e3887
noch	w9_d446e3890
in	w11_d446e3893
der	w13_d446e3897
vori	w15_d446e3900
gen	w1_d446e3905
Lage,	w3_d446e3908
nur	w5_d446e3911
haben	w7_d446e3914
die	w9_d446e3917
Russen	w11_d446e3920
Cöslin	w13_d446e3924
mit	w15_d446e3927
800.	w1_d446e3933
Cosacken	w3_d446e3936
besetzt.	w5_d446e3939
</p>
<head id="h2_d446e3945">
