<doc id="wr_1760-05-10" attrs="word" year="1760" month="05" day="10" corpus="2">
<head id="h2_d448e2992">
Konitz	w1_d448e2996
6.	w3_d448e2999
April.	w5_d448e3002
</head>
<p id="p4_d448e3005">
An	w1_d448e3009
hat	w3_d448e3012
folgenden	w5_d448e3015
umständlichen	w7_d448e3018
Be	w9_d448e3021
richt	w1_d448e3026
von	w3_d448e3029
der	w5_d448e3032
Unternehmung	w7_d448e3035
des	w9_d448e3038
9	w1_d448e3043
teral=majors	w1_d448e3049
von	w3_d448e3052
Tottleben	w5_d448e3055
erhalten:	w1_d448e3060
</p>
<p id="p6_d448e3063">
„	w1_d448e3067
Das	w3_d448e3070
wider	w5_d448e3073
diesen	w7_d448e3076
General	w9_d448e3079
detaschirte	w11_d448e3082
Preußische	w1_d448e3087
Corps,	w3_d448e3090
welches	w5_d448e3093
aus	w7_d448e3096
einem	w9_d448e3099
Theile	w11_d448e3102
der	w1_d448e3107
Colbergischen	w3_d448e3110
Besatzung,	w5_d448e3113
und	w7_d448e3116
Trupen	w9_d448e3119
aus	w1_d448e3125
andern	w3_d448e3128
Gegenden	w5_d448e3131
bestand,	w7_d448e3134
fieng	w9_d448e3137
schon	w11_d448e3140
am	w1_d448e3145
19.	w3_d448e3148
des	w5_d448e3151
verwichenen	w7_d448e3154
Monats	w9_d448e3157
an,	w11_d448e3160
von	w13_d448e3164
denen	w1_d448e3169
leichten	w3_d448e3172
Rußischen	w5_d448e3175
Völkern	w7_d448e3178
zu	w9_d448e3181
Erten	w11_d448e3184
und	w1_d448e3189
Bartin	w3_d448e3192
abgeschnitten	w5_d448e3195
zu	w7_d448e3198
werden.	w9_d448e3201
Da	w11_d448e3204
es	w1_d448e3210
aber	w3_d448e3213
dem	w5_d448e3216
General	w7_d448e3219
sowol	w9_d448e3222
an	w11_d448e3225
schwerem	w13_d448e3229
Geschütze,	w1_d448e3234
als	w3_d448e3237
am	w5_d448e3240
Fuß=volke	w7_d448e3243
fehlete,	w9_d448e3246
und	w11_d448e3249
er	w1_d448e3254
also	w3_d448e3257
nicht	w5_d448e3260
auf	w7_d448e3263
den	w9_d448e3266
Feind	w11_d448e3269
los	w13_d448e3273
gehen,	w15_d448e3276
noch	w17_d448e3279
ihm	w1_d448e3284
verwehren	w3_d448e3287
konnte,	w5_d448e3290
sich	w7_d448e3293
zurück	w9_d448e3296
zu	w11_d448e3299
zie	w13_d448e3303
gen,	w1_d448e3309
so	w3_d448e3312
marschirten	w5_d448e3315
die	w7_d448e3318
Preussen	w9_d448e3321
ruhig	w11_d448e3324
nach	w13_d448e3328
Schlawe.	w1_d448e3333
Doch	w3_d448e3336
war	w5_d448e3339
der	w7_d448e3342
Oberste	w9_d448e3345
von	w11_d448e3348
dem	w13_d448e3352
Moldauischen	w1_d448e3357
Hussaren=regiment,	w3_d448e3360
nicht	w5_d448e3363
nur	w1_d448e3368
bis	w3_d448e3371
an	w5_d448e3374
gedachten	w7_d448e3377
Ort	w9_d448e3380
immer	w11_d448e3383
hinter	w13_d448e3387
ih	w15_d448e3390
</p>
<p id="p8_d448e3393">
nen	w1_d448e3397
her,	w3_d448e3400
sondern	w5_d448e3403
er	w7_d448e3406
verfolgte	w9_d448e3409
sie	w11_d448e3412
auch	w13_d448e3416
