<doc id="wr_1760-05-24" attrs="word" year="1760" month="05" day="24" corpus="2">
<head id="h2_d452e2550">
Weichsel=strom	w1_d452e2554
5.	w3_d452e2557
May.	w5_d452e2560
</head>
<p id="p4_d452e2563">
M	w1_d452e2567
Ende	w3_d452e2570
voriger	w5_d452e2573
Woche	w7_d452e2576
kamen	w9_d452e2579
viele	w11_d452e2582
grosse	w1_d452e2587
Fahr=zeuge	w3_d452e2590
mit	w5_d452e2593
Ruß.	w7_d452e2596
schwe	w9_d452e2599
rem	w1_d452e2604
Geschütze	w3_d452e2607
von	w5_d452e2610
Thorn	w7_d452e2613
herunter	w9_d452e2616
und	w1_d452e2622
landeten	w3_d452e2625
theils	w5_d452e2628
bey	w7_d452e2631
Mewe,	w9_d452e2634
theils	w11_d452e2637
aber	w13_d452e2641
zu	w1_d452e2646
Marienwerder	w3_d452e2649
und	w5_d452e2652
Culm,	w7_d452e2655
wo	w9_d452e2658
alles	w11_d452e2661
aus	w13_d452e2665
geladen	w1_d452e2670
worden.	w3_d452e2673
Jetzo	w5_d452e2676
hört	w7_d452e2679
man	w9_d452e2682
durchge	w11_d452e2685
hends,	w1_d452e2690
daß	w3_d452e2693
der	w5_d452e2696
Aufbruch	w7_d452e2699
der	w9_d452e2702
Rußischen	w11_d452e2705
Armee	w1_d452e2711
aus	w3_d452e2714
ihren	w5_d452e2717
bisherigen	w7_d452e2720
Quartieren	w9_d452e2723
auf	w11_d452e2726
künftigen	w1_d452e2731
Sonntag	w3_d452e2734
den	w5_d452e2737
11.	w7_d452e2740
dieses	w9_d452e2743
bestimmet	w11_d452e2746
ist.	w1_d452e2751
Sie	w3_d452e2754
wird	w5_d452e2757
vorerst	w7_d452e2760
4.	w9_d452e2763
Läger	w11_d452e2766
formiren,	w13_d452e2770
nämlich	w1_d452e2775
2.	w3_d452e2778
diesseits	w5_d452e2781
der	w7_d452e2784
Weichsel	w9_d452e2787
bey	w11_d452e2790
Dir	w13_d452e2794
schau	w1_d452e2800
und	w3_d452e2803
Mewe;	w5_d452e2806
und	w7_d452e2809
2.	w9_d452e2812
jenseits	w11_d452e2815
dieses	w13_d452e2819
Stroms	w1_d452e2824
bey	w3_d452e2827
