<doc id="wr_1760-08-06" attrs="word" year="1760" month="08" day="06" corpus="2">
<head id="h2_d473e3491">
Toulon	w1_d473e3495
13.	w3_d473e3498
Julii.	w5_d473e3501
</head>
<p id="p4_d473e3504">
AJr	w1_d473e3508
glaubten	w3_d473e3511
wol,	w5_d473e3514
daß	w7_d473e3517
die	w9_d473e3520
uns	w11_d473e3523
ge	w13_d473e3527
schehene	w1_d473e3532
Ankündigung	w3_d473e3535
eines	w5_d473e3538
Eng	w7_d473e3541
ländischen	w1_d473e3546
Besuches	w3_d473e3549
nicht	w5_d473e3552
vergebens	w7_d473e3555
wäre.	w1_d473e3561
Man	w1_d473e3566
konte	w3_d473e3569
nicht	w5_d473e3572
vermuten,	w7_d473e3575
daß	w9_d473e3578
die	w1_d473e3583
Engländer	w3_d473e3586
nach	w5_d473e3589
Vertheilung	w7_d473e3592
ihrer	w9_d473e3595
Kreutz	w11_d473e3598
zuge	w1_d473e3603
zwischen	w3_d473e3606
denen	w5_d473e3609
Küsten	w7_d473e3612
des	w9_d473e3615
grossen	w11_d473e3618
Welt=meers	w1_d473e3624
und	w3_d473e3627
der	w5_d473e3630
mittelländischen	w7_d473e3633
See	w9_d473e3636
mit	w1_d473e3641
so	w3_d473e3644
wenig	w5_d473e3647
Seegeln	w7_d473e3650
zum	w9_d473e3653
Zeit=vertreib	w11_d473e3656
he	w13_d473e3660
rum	w1_d473e3665
schwärmen	w3_d473e3668
würden;	w5_d473e3671
vielmehr	w7_d473e3674
war	w9_d473e3677
es	w11_d473e3680
glaublicher,	w1_d473e3685
daß	w3_d473e3688
sie	w5_d473e3691
sich	w7_d473e3694
vermehren,	w9_d473e3697
und	w11_d473e3700
einen	w1_d473e3706
Theil	w3_d473e3709
der	w5_d473e3712
Französischen	w7_d473e3715
Küsten	w9_d473e3718
beun	w11_d473e3721
ruhigen	w1_d473e3726
würden.	w3_d473e3729
Alles	w5_d473e3732
traf	w7_d473e3735
würklich	w9_d473e3738
ein.	w11_d473e3741
Seit	w1_d473e3746
wenigen	w3_d473e3749
Tägen	w5_d473e3752
hat	w7_d473e3755
man	w9_d473e3758
viele	w11_d473e3761
Englän	w13_d473e3765
dische	w1_d473e3770
Kriegs=schiffe	w3_d473e3773
in	w5_d473e3776
unsern	w7_d473e3779
Gewässern	w9_d473e3782
geschen.	w1_d473e3788
Den	w3_d473e3791
5.	w5_d473e3794
Julii	w7_d473e3797
haben	w9_d473e3800
sie	w11_d473e3803
einen	w13_d473e3807
Fi	w15_d473e3810
lcher=boot	w1_d473e3815
aufgefangen,	w3_d473e3818
den	w5_d473e3821
Fischer	w7_d473e3824
Gast	w9_d473e3827
frey	w1_d473e3832
bewirtet,	w3_d473e3835
und	w5_d473e3838
nachdeme	w7_d473e3841
sie	w9_d473e3844
ihm	w11_d473e3847
seine	w13_d473e3851
Fische	w1_d473e3856
reichlichst	w3_d473e3859
bezahlet,	w5_d473e3862
ihn	w7_d473e3865
wieder	w9_d473e3868
lauf	w11_d473e3871
fen	w1_d473e3877
lassen;	w3_d473e3880
sie	w5_d473e3883
verlangten	w7_d473e3886
aber	w9_d473e3889
vorher	w11_d473e3892
von	w13_d473e3896
dem	w1_d473e3901
Fischer	w3_d473e3904
Zeit	w5_d473e3907
re	w1_d473e3912
des	w3_d473e3915
ngen	w1_d473e3920
von	w3_d473e3923
der	w5_d473e3926
Escad	w7_d473e3929
</p>
<p id="p6_d473e3932">
Herrn	w1_d473e3936
von	w3_d473e3939
Rochemoore	w5_d473e3942
zu	w7_d473e3945
hören,	w9_d473e3948
und	w11_d473e3951
wa	w13_d473e3955
ren	w1_d473e3960
mit	w3_d473e3963
seiner	w5_d473e3966
Antwort	w7_d473e3969
zufrieden.	w9_d473e3972
Der	w11_d473e3975
Fischer	w1_d473e3980
meldete:	w3_d473e3983
daß	w5_d473e3986
er	w7_d473e3989
dort	w9_d473e3992
7.	w11_d473e3995
grosse	w13_d473e3999
Krie	w15_d473e4002
ges=schiffe	w1_d473e4008
und	w3_d473e4011
2.	w5_d473e4014
Fregatten,	w7_d473e4017
so	w9_d473e4020
der	w11_d473e4023
Ad	w13_d473e4027
miral	w1_d473e4032
Saunders	w3_d473e4035
commandiret,	w5_d473e4038
gesehen.	w7_d473e4041
Mit	w1_d473e4046
Vergnügen	w3_d473e4049
