<doc id="wr_1760-08-13" attrs="word" year="1760" month="08" day="13" corpus="2">
<head id="h2_d475e3099">
Von	w1_d475e3103
der	w3_d475e3106
Königlich=Französischen	w5_d475e3109
Haupt=armee	w1_d475e3114
1.	w3_d475e3117
Aug.	w5_d475e3120
</head>
<p id="p4_d475e3123">
DEr	w1_d475e3127
31.	w3_d475e3130
Julii	w5_d475e3133
war	w7_d475e3136
für	w9_d475e3139
uns	w11_d475e3142
ein	w13_d475e3146
merk	w15_d475e3149
/	w1_d475e3154
würdiger	w3_d475e3157
Tag	w5_d475e3160
verschiedener	w7_d475e3163
Glücks	w9_d475e3166
fälle.	w1_d475e3171
Erstlich	w3_d475e3174
wurde	w5_d475e3177
Cassel,	w7_d475e3180
kaum	w9_d475e3183
daß	w1_d475e3189
wir	w3_d475e3192
200.	w5_d475e3195
Mann	w7_d475e3198
einbüßten,	w9_d475e3201
indem	w11_d475e3204
die	w13_d475e3208
Feinde	w1_d475e3213
das	w3_d475e3216
Reis	w5_d475e3219
aus	w7_d475e3222
nahmen,	w9_d475e3225
erobert.	w11_d475e3228
Her	w13_d475e3232
nach	w1_d475e3237
fiele	w3_d475e3240
das	w5_d475e3243
Gefecht	w7_d475e3246
des	w9_d475e3249
Herrn	w11_d475e3252
du	w13_d475e3256
Muy	w15_d475e3259
zu	w1_d475e3264
Warburg	w3_d475e3267
vor.	w5_d475e3270
Dieses	w7_d475e3273
war	w9_d475e3276
von	w11_d475e3279
einiger	w13_d475e3283
Wichtigker.	w1_d475e3289
Unsere	w3_d475e3292
Völker	w5_d475e3295
haben	w7_d475e3298
sich	w9_d475e3301
un	w11_d475e3304
gemein	w1_d475e3309
wol	w3_d475e3312
dabey	w5_d475e3315
verhalten.	w7_d475e3318
Weil	w9_d475e3321
sich	w11_d475e3324
der	w13_d475e3328
Prinz	w1_d475e3333
Ferdinand	w3_d475e3336
während	w5_d475e3339
diesem	w7_d475e3342
blutigem	w9_d475e3345
Vorfall	w1_d475e3350
aus	w3_d475e3353
dieser	w5_d475e3356
Gegend	w7_d475e3359
an	w9_d475e3362
das	w11_d475e3365
linke	w13_d475e3369
user	w1_d475e3375
der	w3_d475e3378
Dimel	w5_d475e3381
entfernet,	w7_d475e3384
und	w9_d475e3387
bey	w11_d475e3390
Liebe	w13_d475e3394
nau	w1_d475e3399
mit	w3_d475e3402
dem	w5_d475e3405
grösten	w7_d475e3408
Theil	w9_d475e3411
seiner	w11_d475e3414
Armee	w13_d475e3418
darüber	w1_d475e3423
gegangen	w3_d475e3426
ist;	w5_d475e3429
so	w7_d475e3432
wurde	w9_d475e3435
der	w11_d475e3438
Herr	w13_d475e3442
von	w1_d475e3447
Muy	w3_d475e3450
genöhtiget,	w5_d475e3453
sich	w7_d475e3456
aus	w9_d475e3459
Warburg	w11_d475e3462
zu	w1_d475e3468
ziehen.	w3_d475e3471
Doch	w5_d475e3474
wird	w7_d475e3477
der	w9_d475e3480
Herr	w11_d475e3483
Marschall	w13_d475e3487
diesen	w1_d475e3492
wichtigen	w3_d475e3495
Platzbald	w5_d475e3498
wieder	w7_d475e3501
einnehmen	w9_d475e3504
lassen.	w1_d475e3509
Diesen	w3_d475e3512
Abend	w5_d475e3515
hörten	w7_d475e3518
wir	w9_d475e3521
stark	w11_d475e3524
canoniren;	w1_d475e3529
vielleicht	w3_d475e3532
ist	w5_d475e3535
das	w7_d475e3538
obige	w9_d475e3541
schon	w11_d475e3544
</p>
<p id="p6_d475e3547">
vollzogen.	w1_d475e3551
Der	w3_d475e3554
Herr	w5_d475e3557
Graf	w7_d475e3560
von	w9_d475e3563
der	w11_d475e3566
Lau	w13_d475e3570
sitz	w1_d475e3575
rückte	w3_d475e3578
gegen	w5_d475e3581
Münden	w7_d475e3584
in	w9_d475e3587
Hessen,	w11_d475e3590
er	w13_d475e3594
be	w15_d475e3597
meisterte	w1_d475e3602
sich	w3_d475e3605
sogleich	w5_d475e3608
der	w7_d475e3611
Stadt	w9_d475e3614
mit	w11_d475e3617
der	w13_d475e3621
leb	w15_d475e3624
haftesten	w1_d475e3630
Tapferkeit;	w3_d475e3633
380.	w5_d475e3636
Kriegsgefan	w7_d475e3639
gene,	w1_d475e3644
2.	w3_d475e3647
schwere	w5_d475e3650
Canonen	w7_d475e3653
nebst	w9_d475e3656
dem	w11_d475e3659
gros	w13_d475e3663
sen	w1_d475e3668
Magazin	w3_d475e3671
wurden	w5_d475e3674
denen	w7_d475e3677
Siegern	w9_d475e3680
zu	w11_d475e3683
Theil.	w13_d475e3687
Wir	w1_d475e3692
stehen	w3_d475e3695
denen	w5_d475e3698
Feinden	w7_d475e3701
bey	w9_d475e3704
Obermeissen	w11_d475e3707
abermals	w1_d475e3713
gegenüber.	w3_d475e3716
Jhr	w5_d475e3719
Lager	w7_d475e3722
ist	w9_d475e3725
zu	w11_d475e3728
War	w13_d475e3732
burg,	w1_d475e3737
nur	w3_d475e3740
die	w5_d475e3743
Dimel	w7_d475e3746
unterscheidet	w9_d475e3749
uns	w11_d475e3752
von	w13_d475e3756
ihnen.	w1_d475e3761
</p>
<head id="h2_d475e3767">
Mayn=strom	w1_d475e3771
3	w3_d475e3774
Aug.	w5_d475e3777
</head>
<p id="p4_d475e3780">
Den	w1_d475e3784
30.	w3_d475e3787
Julii	w5_d475e3790
ruckten	w7_d475e3793
Se.	w9_d475e3796
Königl.	w11_d475e3799
Ho	w13_d475e3803
heit,	w1_d475e3808
der	w3_d475e3811
Königl.	w5_d475e3814
Pohlnisch	w7_d475e3817
und	w9_d475e3820
Chur	w11_d475e3823
sächsische	w1_d475e3828
Prinz,	w3_d475e3831
mit	w5_d475e3834
Dero	w7_d475e3837
treuen	w9_d475e3840
Sachsen	w11_d475e3843
über	w1_d475e3849
Naumburg	w3_d475e3852
und	w5_d475e3855
Bretenbach	w7_d475e3858
gegen	w9_d475e3861
Cas	w11_d475e3864
sellan.	w1_d475e3869
Der	w3_d475e3872
Feind	w5_d475e3875
zog	w7_d475e3878
sich	w9_d475e3881
sogleich	w11_d475e3884
bey	w13_d475e3888
der	w15_d475e3891
sogenannten	w1_d475e3896
Cascate	w3_d475e3899
zurück.	w5_d475e3902
Hierauf	w7_d475e3905
wur	w9_d475e3908
den	w1_d475e3913
den	w3_d475e3916
31.	w5_d475e3919
mit	w7_d475e3922
4.	w9_d475e3925
Colonnen	w11_d475e3928
gegen	w13_d475e3932
das	w15_d475e3935
stark	w1_d475e3941
befestigte	w3_d475e3944
feindliche	w5_d475e3947
Lager	w7_d475e3950
Bewegungen	w9_d475e3953
gemacht.	w1_d475e3958
Dieses	w3_d475e3961
Lager	w5_d475e3964
stunde	w7_d475e3967
vor	w9_d475e3970
Cossell	w11_d475e3973
</p>
<p id="p10_d475e3986">
und	w1_d475e3990
