<doc id="wr_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="2">
<head id="h2_d485e2492">
Neu=york	w1_d485e2496
30.	w3_d485e2499
Junii.	w5_d485e2502
</head>
<p id="p4_d485e2505">
Je	w1_d485e2509
Franzosen	w3_d485e2512
haben	w5_d485e2515
uns	w7_d485e2518
8.	w9_d485e2521
Officiers	w11_d485e2524
und	w1_d485e2529
112.	w3_d485e2532
Soldaten	w5_d485e2535
zur	w7_d485e2538
Auswechs	w9_d485e2541
lung	w1_d485e2546
zugeschickt,	w3_d485e2549
die	w5_d485e2552
der	w7_d485e2555
Capitain	w9_d485e2558
Bonneau	w1_d485e2564
überbracht	w3_d485e2567
hat.	w5_d485e2570
Das	w7_d485e2573
Schif,	w9_d485e2576
an	w1_d485e2581
dessen	w3_d485e2584
Bord	w5_d485e2587
sie	w7_d485e2590
eingeschift	w9_d485e2593
gewesen,	w11_d485e2596
ist	w13_d485e2600
durch	w1_d485e2605
unsere	w3_d485e2608
Capers	w5_d485e2611
auf	w7_d485e2614
der	w9_d485e2617
Jnsel	w11_d485e2620
aux	w13_d485e2624
Noiz	w15_d485e2627
angehalten	w1_d485e2632
worden,	w3_d485e2635
von	w5_d485e2638
dar	w7_d485e2641
am	w9_d485e2644
19.	w11_d485e2647
des	w13_d485e2651
Monats	w1_d485e2657
die	w3_d485e2660
8.	w5_d485e2663
Officiers	w7_d485e2666
und	w9_d485e2669
48.	w11_d485e2672
Gemeine	w13_d485e2676
durch	w1_d485e2681
unsere	w3_d485e2684
Schiffe	w5_d485e2687
nach	w7_d485e2690
Crown=point	w9_d485e2693
seynd	w1_d485e2698
geschaffet	w3_d485e2701
worden,	w5_d485e2704
wohin	w7_d485e2707
auch	w9_d485e2710
die	w11_d485e2713
übrige	w1_d485e2718
nach	w3_d485e2721
und	w5_d485e2724
nach	w7_d485e2727
transportiret	w9_d485e2730
werden.	w11_d485e2733
Zwey	w1_d485e2739
von	w3_d485e2742
diesen	w5_d485e2745
Officiers,	w7_d485e2748
nämlich:	w9_d485e2751
der	w11_d485e2754
Leutenant	w1_d485e2759
Goddard,	w3_d485e2762
und	w5_d485e2765
Leutenant	w7_d485e2768
Sherif,	w9_d485e2771
vom	w1_d485e2776
Regiment	w3_d485e2779
Lascelles	w5_d485e2782
sind	w7_d485e2785
alsobald	w9_d485e2788
zum	w11_d485e2791
General	w1_d485e2796
Amherst	w3_d485e2799
abgegangen.	w5_d485e2802
Von	w7_d485e2805
allen	w9_d485e2808
upseren	w1_d485e2814
Kriegs=gefangenen	w3_d485e2817
befindet	w5_d485e2820
sich	w7_d485e2823
nur	w1_d485e2828
noch	w3_d485e2831
der	w5_d485e2834
einzige	w7_d485e2837
Obriste	w9_d485e2840
Young	w11_d485e2843
vom	w13_d485e2847
Regiment	w1_d485e2852
der	w3_d485e2855
Königl.	w5_d485e2858
Americauer	w7_d485e2861
zu	w9_d485e2864
Mont	w11_d485e2867
krat,	w1_d485e2872
und	w3_d485e2875
dis	w5_d485e2878
aus	w7_d485e2881
der	w9_d485e2884
Ursache,	w11_d485e2887
weilen	w13_d485e2891
wir	w15_d485e2894
leinen	w1_d485e2900
Französischen	w3_d485e2903
Officier	w5_d485e2906
vom	w7_d485e2909
gleichem	w9_d485e2912
</p>
<p id="p6_d485e2915">
Rang	w1_d485e2919
zu	w3_d485e2922
seiner	w5_d485e2925
Auswechslung	w7_d485e2928
haben.	w9_d485e2931
Der	w11_d485e2934
Capitain	w1_d485e2939
Jnce,	w3_d485e2942
vom	w5_d485e2945
Regiment	w7_d485e2948
Otway,	w9_d485e2951
nebst	w1_d485e2956
noch	w3_d485e2959
vier	w5_d485e2962
andern	w7_d485e2965
Officiers	w9_d485e2968
aber	w11_d485e2971
sind	w13_d485e2975
zu	w1_d485e2981
gedachtem	w3_d485e2984
Montreal	w5_d485e2987
an	w7_d485e2990
ihren	w9_d485e2993
Blessuren	w11_d485e2996
gestorben,	w1_d485e3001
die	w3_d485e3004
sie	w5_d485e3007
bey	w7_d485e3010
der	w9_d485e3013
Affaire	w11_d485e3016
vom	w13_d485e3020
28.	w15_d485e3023
April	w1_d485e3028
auf	w3_d485e3031
der	w5_d485e3034
Ebene	w7_d485e3037
Abraham	w9_d485e3040
bey	w11_d485e3043
Quebec	w13_d485e3047
bekommen	w1_d485e3052
hatten.	w3_d485e3055
Diese	w5_d485e3058
Gefangene	w7_d485e3061
rüh	w9_d485e3064
men	w1_d485e3070
indessen	w3_d485e3073
das	w5_d485e3076
von	w7_d485e3079
denen	w9_d485e3082
Franzosen	w11_d485e3085
er	w13_d485e3089
haltene	w1_d485e3094
Tractament	w3_d485e3097
sehr.	w5_d485e3100
Ein	w7_d485e3103
jeder	w9_d485e3106
von	w11_d485e3109
denen	w1_d485e3114
Officiers	w3_d485e3117
hat	w5_d485e3120
eine	w7_d485e3123
vollkommene	w9_d485e3126
Klei	w11_d485e3129
dung	w1_d485e3134
und	w3_d485e3137
3.	w5_d485e3140
Hemder	w7_d485e3143
bekommen.	w9_d485e3146
An	w11_d485e3149
dem	w13_d485e3153
Tag	w1_d485e3159
ihrer	w3_d485e3162
Abreise	w5_d485e3165
von	w7_d485e3168
Montreal,	w9_d485e3171
ist	w11_d485e3174
ein	w13_d485e3178
Officier	w1_d485e3183
von	w3_d485e3186
dem	w5_d485e3189
Französischen	w7_d485e3192
Hof	w9_d485e3195
mit	w11_d485e3198
De	w13_d485e3202
peschen	w1_d485e3207
für	w3_d485e3210
den	w5_d485e3213
Marquis	w7_d485e3216
von	w9_d485e3219
Vaudrevil	w11_d485e3222
dort	w1_d485e3227
angekommen.	w3_d485e3230
Das	w5_d485e3233
obgedachte	w7_d485e3236
Fran	w9_d485e3239
zösische	w1_d485e3245
Schif	w3_d485e3248
ist	w5_d485e3251
auf	w7_d485e3254
der	w9_d485e3257
Jnsel	w11_d485e3260
aux	w13_d485e3264
Noix	w15_d485e3267
aus	w1_d485e3272
keiner	w3_d485e3275
anderen	w5_d485e3278
Ursache	w7_d485e3281
angehalten	w9_d485e3284
wor	w11_d485e3287
den,	w1_d485e3292
als	w3_d485e3295
zu	w5_d485e3298
verhindern,	w7_d485e3301
daß	w9_d485e3304
die	w11_d485e3307
Feinde	w13_d485e3311
unsere	w1_d485e3316
Bewegungen	w3_d485e3319
und	w5_d485e3322
Desseins	w7_d485e3325
nicht	w9_d485e3328
mö	w11_d485e3331
gen	w1_d485e3337
ausspühren	w3_d485e3340
können	w5_d485e3343
</p>
<head id="h4_d485e3359">
Londen	w1_d485e3363
7.	w3_d485e3366
Sept.	w5_d485e3369
</head>
<p id="p6_d485e3372">
Nach	w1_d485e3376
Briefen	w3_d485e3379
aus	w5_d485e3382
Säv=carolina	w7_d485e3385
von	w9_d485e3388
5.	w11_d485e3391
Julii	w1_d485e3396
hatten	w3_d485e3399
die	w5_d485e3402
Jnblaner	w7_d485e3405
das	w9_d485e3408
Fort	w11_d485e3411
Louvon	w13_d485e3415
noch	w1_d485e3420
immer	w3_d485e3423
eingeschlossen,	w5_d485e3426
und	w7_d485e3429
sind,	w9_d485e3432
seit	w11_d485e3435
den	w1_d485e3441
ihnen	w3_d485e3444
der	w5_d485e3447
Obriste	w7_d485e3450
Montgomery	w9_d485e3453
4.	w11_d485e3456
Städte	w1_d485e3461
verbraunt,	w3_d485e3464
auf	w5_d485e3467
neue	w7_d485e3470
Rache	w9_d485e3473
bedacht.	w11_d485e3476
Jhr	w1_d485e3481
Haupt=anführer	w3_d485e3484
ist	w5_d485e3487
jetzt	w7_d485e3490
der	w9_d485e3493
Groß	w11_d485e3496
krieger	w1_d485e3501
Cunnastola,	w3_d485e3504
und	w5_d485e3507
sie	w7_d485e3510
verfolgen	w9_d485e3513
den	w11_d485e3516
Attakulla,	w1_d485e3522
weil	w3_d485e3525
er	w5_d485e3528
auf	w7_d485e3531
der	w9_d485e3534
Engländer	w11_d485e3537
Sei	w13_d485e3541
te	w1_d485e3546
ist.	w3_d485e3549
Die	w5_d485e3552
Crecks	w7_d485e3555
