<doc id="wr_1760-10-11" attrs="word" year="1760" month="10" day="11" corpus="2">
<head id="h2_d492e3019">
Falda=strom	w1_d492e3023
21.	w3_d492e3026
Sept.	w5_d492e3029
</head>
<p id="p4_d492e3032">
DEit	w1_d492e3036
dem	w3_d492e3039
14.	w5_d492e3042
dieses	w7_d492e3045
ist	w9_d492e3048
das	w11_d492e3051
Franzö	w13_d492e3055
sische	w1_d492e3060
Haupt=quartier	w3_d492e3063
auf	w5_d492e3066
der	w7_d492e3069
Ober	w9_d492e3072
neustadt	w1_d492e3077
zu	w3_d492e3080
Cassel.	w5_d492e3083
Die	w7_d492e3086
ganze	w9_d492e3089
Fran	w11_d492e3092
zösische	w1_d492e3098
Armee	w3_d492e3101
stehet	w5_d492e3104
um	w7_d492e3107
diese	w9_d492e3110
Stadt.	w11_d492e3113
Sie	w13_d492e3117
halt	w1_d492e3122
vornämlich	w3_d492e3125
den	w5_d492e3128
Winter=kasten	w7_d492e3131
besetzt.	w9_d492e3134
Jn	w1_d492e3139
solcher	w3_d492e3142
Absicht	w5_d492e3145
sind	w7_d492e3148
allein	w9_d492e3151
8.	w11_d492e3154
Regimen	w13_d492e3158
ter	w1_d492e3163
zwischen	w3_d492e3166
Kirchditmold	w5_d492e3169
und	w7_d492e3172
dem	w9_d492e3175
Schloß	w11_d492e3178
Weissenstein	w1_d492e3184
postirt,	w3_d492e3187
welche	w5_d492e3190
allda	w7_d492e3193
ein	w9_d492e3196
be	w11_d492e3199
sonders	w1_d492e3204
Lager	w3_d492e3207
haben,	w5_d492e3210
und	w7_d492e3213
aus	w9_d492e3216
demselben	w11_d492e3219
die	w1_d492e3224
häuffige	w3_d492e3227
Piquers	w5_d492e3230
ablösen.	w7_d492e3233
Diese	w9_d492e3236
Re	w11_d492e3239
gimenter	w1_d492e3244
unterhalten	w3_d492e3247
mit	w5_d492e3250
dem	w7_d492e3253
grossen	w9_d492e3256
Lager	w11_d492e3259
die	w1_d492e3265
Gemeinschaft.	w3_d492e3268
Den	w5_d492e3271
17.	w7_d492e3274
hieß	w9_d492e3277
es	w11_d492e3280
zwar,	w13_d492e3284
die	w1_d492e3289
ganze	w3_d492e3292
Armee	w5_d492e3295
breche	w7_d492e3298
auf,	w9_d492e3301
und	w11_d492e3304
nehme	w13_d492e3308
ih	w15_d492e3311
ren	w1_d492e3316
Marsch	w3_d492e3319
auf	w5_d492e3322
Marburg;	w7_d492e3325
allein	w9_d492e3328
man	w11_d492e3331
er	w13_d492e3335
lahr	w1_d492e3340
nachber,	w3_d492e3343
daß	w5_d492e3346
es	w7_d492e3349
nur	w9_d492e3352
ein	w11_d492e3355
Corps	w13_d492e3359
von	w15_d492e3362
