<doc id="wr_1760-10-29" attrs="word" year="1760" month="10" day="29" corpus="2">
<head id="h2_d496e3512">
Stralsund	w1_d496e3516
5.	w3_d496e3519
Oct.	w5_d496e3522
</head>
<p id="p4_d496e3525">
Achdeme	w1_d496e3529
der	w3_d496e3532
General	w5_d496e3535
Werner	w7_d496e3538
sowol	w9_d496e3541
als	w1_d496e3546
der	w3_d496e3549
Prinz	w5_d496e3552
von	w7_d496e3555
Würtenberg	w9_d496e3558
das	w1_d496e3563
Stuterheimische	w3_d496e3566
Corps	w5_d496e3569
verstät	w7_d496e3572
ket,	w1_d496e3578
und	w3_d496e3581
von	w5_d496e3584
der	w7_d496e3587
Armee	w9_d496e3590
der	w11_d496e3593
Prinz	w13_d496e3597
das	w15_d496e3600
Commando	w1_d496e3605
übernommen,	w3_d496e3608
hat	w5_d496e3611
der	w7_d496e3614
General	w9_d496e3617
Werner	w1_d496e3622
mit	w3_d496e3625
6.	w5_d496e3628
bis	w7_d496e3631
7000.	w9_d496e3634
Mann	w11_d496e3637
bey	w13_d496e3641
Pa	w15_d496e3644
sewalk	w1_d496e3649
durchzudringen	w3_d496e3652
gesucht,	w5_d496e3655
als	w7_d496e3658
woselbst	w9_d496e3661
nicht	w1_d496e3667
gar	w3_d496e3670
2000.	w5_d496e3673
Mann	w7_d496e3676
unserer	w9_d496e3679
Trupen	w11_d496e3682
un	w13_d496e3686
ter	w1_d496e3691
dem	w3_d496e3694
General	w5_d496e3697
Ehrenfwerth	w7_d496e3700
gestanden,	w9_d496e3703
wo	w11_d496e3706
von	w1_d496e3711
noch	w3_d496e3714
500.	w5_d496e3717
Mann	w7_d496e3720
zu	w9_d496e3723
Bedeckung	w11_d496e3726
des	w13_d496e3730
La	w15_d496e3733
gers	w1_d496e3738
gelassen	w3_d496e3741
worden,	w5_d496e3744
nach	w7_d496e3747
welchem	w9_d496e3750
Streich	w11_d496e3753
wann	w1_d496e3759
er	w3_d496e3762
gelungen,	w5_d496e3765
der	w7_d496e3768
Prinz	w9_d496e3771
van	w11_d496e3774
Wür	w13_d496e3778
temberg	w1_d496e3783
das	w3_d496e3786
Latingshausische	w5_d496e3789
Corps	w7_d496e3792
bey	w9_d496e3795
Brenzlau	w1_d496e3800
von	w3_d496e3803
vorne,	w5_d496e3806
so	w7_d496e3809
wie	w9_d496e3812
der	w11_d496e3815
General	w13_d496e3819
Werner	w1_d496e3824
im	w3_d496e3827
Rucken	w5_d496e3830
angriffen,	w7_d496e3833
und	w9_d496e3836
vollends	w11_d496e3839
unsere	w1_d496e3845
Armee	w3_d496e3848
trennen	w5_d496e3851
und	w7_d496e3854
zerstreuen	w9_d496e3857
wolte;	w11_d496e3860
es	w1_d496e3865
ist	w3_d496e3868
dem	w5_d496e3871
General	w7_d496e3874
Werner	w9_d496e3877
auch	w11_d496e3880
gelungen,	w13_d496e3884
zwey	w1_d496e3889
kleine	w3_d496e3892
vor	w5_d496e3895
Pasewalk	w7_d496e3898
aufgeworfene	w9_d496e3901
Re	w11_d496e3904
vonten,	w1_d496e3909
nachdeme	w3_d496e3912
die	w5_d496e3915
kleine	w7_d496e3918
Besatzung	w9_d496e3921
alle	w11_d496e3924
mögzliche	w1_d496e3930
Gegenwehr	w3_d496e3933
geleistet,	w5_d496e3936
mit	w7_d496e3939
stürmen	w9_d496e3942
</p>
<p id="p6_d496e3945">
der	w1_d496e3949
Hand	w3_d496e3952
zu	w5_d496e3955
eroberen.	w7_d496e3958
Da	w9_d496e3961
er	w11_d496e3964
aber	w13_d496e3968
hierauf	w15_d496e3971
die	w1_d496e3976
Stadt	w3_d496e3979
aufforderte,	w5_d496e3982
welche	w7_d496e3985
weder	w9_d496e3988
Wall	w11_d496e3991
noch	w1_d496e3996
Graben	w3_d496e3999
hat,	w5_d496e4002
ist	w7_d496e4005
es	w9_d496e4008
zu	w11_d496e4011
einem	w13_d496e4015
blutigen	w15_d496e4018
Auftritt	w1_d496e4024
gekommen.	w3_d496e4027
Fünfmal	w5_d496e4030
hatte	w7_d496e4033
er	w9_d496e4036
mit	w11_d496e4039
abgewechsleten	w1_d496e4044
frischen	w3_d496e4047
Bataillons	w5_d496e4050
angese	w7_d496e4053
tzet,	w1_d496e4058
gleichwie	w3_d496e4061
wir	w5_d496e4064
auch	w7_d496e4067
frische	w9_d496e4070
Leute	w11_d496e4073
entge	w13_d496e4077
gen	w1_d496e4082
gestellet,	w3_d496e4085
fünfmal	w5_d496e4088
aber	w7_d496e4091
ist	w9_d496e4094
er	w11_d496e4097
mit	w13_d496e4101
gros	w15_d496e4104
sem	w1_d496e4110
Verlust	w3_d496e4113
abegetrieben	w5_d496e4116
worden;	w7_d496e4119
das	w9_d496e4122
sechstemal	w1_d496e4127
seynd	w3_d496e4130
die	w5_d496e4133
Preussen	w7_d496e4136
bis	w9_d496e4139
an	w11_d496e4142
das	w13_d496e4146
Stadt=thor	w1_d496e4151
gedrungen,	w3_d496e4154
und	w5_d496e4157
hatten	w7_d496e4160
sich	w9_d496e4163
be	w11_d496e4166
reits	w1_d496e4171
einer	w3_d496e4174
unserer	w5_d496e4177
Canonen	w7_d496e4180
bemächtiget,	w9_d496e4183
sie	w1_d496e4189
wurden	w3_d496e4192
aber	w5_d496e4195
von	w7_d496e4198
dem	w9_d496e4201
Ost	w11_d496e4204
und	w13_d496e4208
West	w15_d496e4211
gothischen	w1_d496e4216
Bataillon	w3_d496e4219
mit	w5_d496e4222
dem	w7_d496e4225
Bajonet	w9_d496e4228
zu	w11_d496e4231
rück	w1_d496e4236
getrieben,	w3_d496e4239
und	w5_d496e4242
ihnen	w7_d496e4245
die	w9_d496e4248
Canon	w11_d496e4251
wie	w13_d496e4255
der	w1_d496e4260
abgenommen.	w3_d496e4263
</p>
<p id="p8_d496e4266">
Wie	w1_d496e4270
hitzig	w3_d496e4273
es	w5_d496e4276
dabey	w7_d496e4279
hergegangen,	w9_d496e4282
läßt	w11_d496e4285
sich	w1_d496e4290
daraus	w3_d496e4293
ermessen,	w5_d496e4296
daß	w7_d496e4299
ausser	w9_d496e4302
denen	w11_d496e4305
206.	w13_d496e4309
Mann,	w1_d496e4314
welche	w3_d496e4317
in	w5_d496e4320
denen	w7_d496e4323
Redouten	w9_d496e4326
gewe	w11_d496e4329
sen,	w1_d496e4335
und	w3_d496e4338
entweder	w5_d496e4341
todt	w7_d496e4344
oder	w9_d496e4347
Kriegsgefan	w11_d496e4350
gen	w1_d496e4355
seynd,	w3_d496e4358
kein	w5_d496e4361
Officier	w7_d496e4364
bey	w9_d496e4367
dem	w11_d496e4370
Corps	w13_d496e4374
</p>
<p id="p12_d496e4380">
gewesen,	w1_d496e4384
welcher	w3_d496e4387
nicht	w5_d496e4390
todt	w7_d496e4393
oder	w9_d496e4396
bleßiret	w11_d496e4399
wäre,	w1_d496e4404
der	w3_d496e4407
General	w5_d496e4410
Ehrenswerth	w7_d496e4413
selbst	w9_d496e4416
hat	w11_d496e4419
eine	w1_d496e4424
Kugel	w3_d496e4427
in	w5_d496e4430
der	w7_d496e4433
Brust,	w9_d496e4436
deme	w11_d496e4439
ungeachtet	w13_d496e4443
aber	w1_d496e4449
ist	w3_d496e4452
er	w5_d496e4455
bis	w7_d496e4458
zum	w9_d496e4461
Ende	w11_d496e4464
des	w13_d496e4468
Treffens	w15_d496e4471
zu	w17_d496e4474
Pferd	w1_d496e4479
geblieben,	w3_d496e4482
jetzt	w5_d496e4485
aber	w7_d496e4488
hieher	w9_d496e4491
gebracht	w11_d496e4494
worden;	w1_d496e4499
die	w3_d496e4502
Attaque	w5_d496e4505
hat	w7_d496e4508
sich	w9_d496e4511
des	w11_d496e4514
Morgens	w13_d496e4518
angefangen,	w1_d496e4523
und	w3_d496e4526
des	w5_d496e4529
