<doc id="wr_1760-11-15" attrs="word" year="1760" month="11" day="15" corpus="2">
<head id="h2_d501e2585">
Kensington	w1_d501e2589
26.	w3_d501e2592
Oct.	w5_d501e2595
</head>
<p id="p4_d501e2598">
Er	w1_d501e2602
gestrige	w3_d501e2605
Tage	w5_d501e2608
war	w7_d501e2611
für	w9_d501e2614
uns	w11_d501e2617
ein	w13_d501e2621
Tag	w1_d501e2626
des	w3_d501e2629
Schreckens	w5_d501e2632
und	w7_d501e2635
des	w9_d501e2638
Trau	w11_d501e2641
rens,	w1_d501e2646
indem	w3_d501e2649
der	w5_d501e2652
Allerdurchliucht	w7_d501e2655
und	w1_d501e2661
Großmächtigste	w3_d501e2664
Herzog	w5_d501e2667
Georg	w7_d501e2670
der	w9_d501e2673
II.	w11_d501e2676
von	w1_d501e2681
Braunschweig,	w3_d501e2684
König	w5_d501e2687
von	w7_d501e2690
Großbri	w9_d501e2693
kannien,	w1_d501e2698
Frankreich,	w3_d501e2701
Schott	w5_d501e2704
und	w7_d501e2707
Jrr	w9_d501e2710
land,	w1_d501e2715
Chur=fürst	w3_d501e2718
von	w5_d501e2721
Hannover,	w7_d501e2724
rc.	w9_d501e2727
uns	w11_d501e2730
durch	w1_d501e2736
einen	w3_d501e2739
unvermuteten	w5_d501e2742
gählingen	w7_d501e2745
Tod	w9_d501e2748
entrissen	w1_d501e2753
wurde.	w3_d501e2756
Er	w5_d501e2759
befande	w7_d501e2762
sich	w9_d501e2765
den	w11_d501e2768
24.	w13_d501e2772
und	w1_d501e2777
gar	w3_d501e2780
noch	w5_d501e2783
den	w7_d501e2786
25.	w9_d501e2789
recht	w11_d501e2792
wol	w13_d501e2796
bis	w15_d501e2799
zwischen	w17_d501e2802
und	w1_d501e2807
8.	w3_d501e2810
Uhr	w5_d501e2813
Morgens,	w7_d501e2816
da	w9_d501e2819
er	w11_d501e2822
eine	w13_d501e2826
plötz	w15_d501e2829
liche	w1_d501e2835
Zerrüttung	w3_d501e2838
seiner	w5_d501e2841
Gesundheit	w7_d501e2844
empfunde	w9_d501e2847
sich	w1_d501e2852
mit	w3_d501e2855
Verliehrung	w5_d501e2858
der	w7_d501e2861
Sprach	w9_d501e2864
auf	w11_d501e2867
das	w13_d501e2871
Beht	w1_d501e2876
niederliesse,	w3_d501e2879
und	w5_d501e2882
kurz	w7_d501e2885
darauf,	w9_d501e2888
unge	w11_d501e2891
uchtet	w1_d501e2896
aller	w3_d501e2899
beygebrachten	w5_d501e2902
Mitteln,	w7_d501e2905
seinen	w9_d501e2908
grossen	w1_d501e2914
Geist	w3_d501e2917
aufgabe.	w5_d501e2920
Er	w7_d501e2923
war	w9_d501e2926
den	w11_d501e2929
10.	w13_d501e2933
Novemb.	w1_d501e2938
1683.	w3_d501e2941
geboren,	w5_d501e2944
und	w7_d501e2947
kame	w9_d501e2950
1714.	w11_d501e2953
mit	w1_d501e2958
seinem	w3_d501e2961
Herrn	w5_d501e2964
Vatter	w7_d501e2967
nach	w9_d501e2970
England,	w11_d501e2973
wurde	w1_d501e2978
den	w3_d501e2981
3.	w5_d501e2984
Octob.	w7_d501e2987
c.	w9_d501e2990
a.	w11_d501e2993
als	w13_d501e2997
Prinz	w15_d501e3000
von	w17_d501e3003
Wallis,	w1_d501e3009
und	w3_d501e3012
Graf	w5_d501e3015
von	w7_d501e3018
Chester	w9_d501e3021
ernannt,	w11_d501e3024
</p>
<p id="p6_d501e3027">
und	w1_d501e3031
zum	w3_d501e3034
König	w5_d501e3037
gekrönt	w7_d501e3040
den	w9_d501e3043
22.	w11_d501e3046
Octob.	w13_d501e3050
1727.	w1_d501e3055
Georg	w3_d501e3058
Wilhelm	w5_d501e3061
Friedrich	w7_d501e3064
Prinz	w9_d501e3067
von	w11_d501e3070
Wallis,	w1_d501e3075
geboren	w3_d501e3078
den	w5_d501e3081
4.	w7_d501e3084
Junii	w9_d501e3087
1738.,	w11_d501e3090
äl	w13_d501e3094
tester	w1_d501e3100
Sohn	w3_d501e3103
des	w5_d501e3106
1751.	w7_d501e3109
verstorbenen	w9_d501e3112
Prin	w11_d501e3115
zens	w1_d501e3120
von	w3_d501e3123
Wallis,	w5_d501e3126
und	w7_d501e3129
der	w9_d501e3132
annoch	w11_d501e3135
lebenden	w13_d501e3139
Prinzeßin	w1_d501e3144
Augusta	w3_d501e3147
von	w5_d501e3150
Sachsen=gotha,	w7_d501e3153
wurde	w1_d501e3158
heut	w3_d501e3161
zum	w5_d501e3164
König	w7_d501e3167
ernannt,	w9_d501e3170
und	w11_d501e3173
legte	w13_d501e3177
dabey	w1_d501e3183
in	w3_d501e3186
dem	w5_d501e3189
grossen	w7_d501e3192
Raht	w9_d501e3195
eine	w11_d501e3198
merkwür	w13_d501e3202
dige	w1_d501e3207
Erklärung	w3_d501e3210
ab.	w5_d501e3213
</p>
<head id="h2_d501e3219">
Cadix	w1_d501e3223
23.	w3_d501e3226
Sept.	w5_d501e3229
</head>
<p id="p4_d501e3232">
Am	w1_d501e3236
14.	w3_d501e3239
dieses	w5_d501e3242
ist	w7_d501e3245
das	w9_d501e3248
Schif	w11_d501e3251
le	w13_d501e3255
Prince,	w15_d501e3258
nachdeme	w1_d501e3263
es	w3_d501e3266
21.	w5_d501e3269
Monate	w7_d501e3272
und	w9_d501e3275
einige	w11_d501e3278
Tage	w13_d501e3282
ausgewesen,	w1_d501e3287
von	w3_d501e3290
Lima	w5_d501e3293
und	w7_d501e3296
Valparaiso,	w9_d501e3299
mit	w1_d501e3305
einer	w3_d501e3308
Ladung	w5_d501e3311
von	w7_d501e3314
dritthalb	w9_d501e3317
Millio	w11_d501e3320
nen	w1_d501e3325
Stück	w3_d501e3328
von	w5_d501e3331
Achten,	w7_d501e3334
glücklich	w9_d501e3337
wieder	w11_d501e3340
zu	w1_d501e3345
Hause	w3_d501e3348
gekommen.	w5_d501e3351
Es	w7_d501e3354
hat	w9_d501e3357
die	w11_d501e3360
Nach	w13_d501e3364
richt	w1_d501e3369
mitgebracht,	w3_d501e3372
daß	w5_d501e3375
die	w7_d501e3378
Stadt	w9_d501e3381
Traxillo	w11_d501e3384
durch	w1_d501e3390
ein	w3_d501e3393
Erdbeben	w5_d501e3396
beynahe	w7_d501e3399
ganz	w9_d501e3402
seye	w11_d501e3405
ver	w13_d501e3409
wüstet	w1_d501e3414
worden,	w3_d501e3417
und	w5_d501e3420
daß	w7_d501e3423
zu	w9_d501e3426
Quito	w11_d501e3429
und	w13_d501e3433
Gnajaquil	w1_d501e3438
verschiedene	w3_d501e3441
Manufacturen	w5_d501e3444
von	w7_d501e3447
</p>
<p id="p10_d501e3460">
Boye	w1_d501e3464
und	w3_d501e3467
Lacken,	w5_d501e3470
aus	w7_d501e3473
Mangel	w9_d501e3476
Europäl	w11_d501e3479
scher	w1_d501e3484
Waaren,	w3_d501e3487
wären	w5_d501e3490
angeleget	w7_d501e3493
worden,	w9_d501e3496
welche	w1_d501e3501
aber	w3_d501e3504
