<doc id="wr_1760-12-03" attrs="word" year="1760" month="12" day="03" corpus="2">
<head id="h2_d506e4041">
Journal	w1_d506e4045
der	w3_d506e4048
Königl.	w5_d506e4051
Französischen	w7_d506e4054
Armee,	w1_d506e4059
unter	w3_d506e4062
dem	w5_d506e4065
Hrn.	w7_d506e4068
Marschall	w9_d506e4071
Herzogen	w1_d506e4076
von	w3_d506e4079
Broglie	w5_d506e4082
vom	w7_d506e4085
25.	w1_d506e4091
Oct.	w3_d506e4094
bis	w5_d506e4097
20.	w7_d506e4100
Nov.	w9_d506e4103
</head>
<p id="p4_d506e4106">
NAch	w1_d506e4110
dem	w3_d506e4113
glücklichen	w5_d506e4116
Fortgang	w7_d506e4119
unsrer	w9_d506e4122
Operationen	w1_d506e4127
an	w3_d506e4130
dem	w5_d506e4133
Nieder=rhein	w7_d506e4136
während	w1_d506e4141
dem	w3_d506e4144
Monat	w5_d506e4147
October	w7_d506e4150
ware	w9_d506e4153
unsern	w1_d506e4159
Trupen	w3_d506e4162
die	w5_d506e4165
Ruhe	w7_d506e4168
gar	w9_d506e4171
wol	w11_d506e4174
zu	w13_d506e4178
gön	w15_d506e4181
nen,	w1_d506e4186
mithin	w3_d506e4189
bezogen	w5_d506e4192
sie	w7_d506e4195
die	w9_d506e4198
Cantonirungs	w11_d506e4201
quartiere	w1_d506e4206
von	w3_d506e4209
Düsseldorf	w5_d506e4212
bis	w7_d506e4215
an	w9_d506e4218
die	w11_d506e4221
Höhen	w13_d506e4225
von	w1_d506e4230
Cleve;	w3_d506e4233
zu	w5_d506e4236
gleicher	w7_d506e4239
Zeit	w9_d506e4242
ruckten	w11_d506e4245
auch	w13_d506e4249
einige	w1_d506e4255
Bataillons	w3_d506e4258
über	w5_d506e4261
die	w7_d506e4264
Mans.	w9_d506e4267
Diese	w11_d506e4270
Rube	w1_d506e4275
dauerte	w3_d506e4278
bis	w5_d506e4281
den	w7_d506e4284
7.	w9_d506e4287
oder	w11_d506e4290
8.	w13_d506e4294
Novemb.	w15_d506e4297
nachmals	w1_d506e4302
befanden	w3_d506e4305
der	w5_d506e4308
Herr	w7_d506e4311
Marschall	w9_d506e4314
von	w11_d506e4317
Broglie	w1_d506e4322
für	w3_d506e4325
gut,	w5_d506e4328
ein	w7_d506e4331
Lager	w9_d506e4334
auf	w11_d506e4337
dem	w13_d506e4341
rech	w15_d506e4344
ten	w1_d506e4350
Rhein=ufer	w3_d506e4353
zwischen	w5_d506e4356
Dorsten	w7_d506e4359
und	w9_d506e4362
We	w11_d506e4365
sel	w1_d506e4370
ausstecken,	w3_d506e4373
und	w5_d506e4376
solches	w7_d506e4379
von	w9_d506e4382
dem	w11_d506e4385
grö	w13_d506e4389
sten	w1_d506e4394
Theil	w3_d506e4397
des	w5_d506e4400
Corps	w7_d506e4403
des	w9_d506e4406
Königl.	w11_d506e4409
Franzö	w13_d506e4413
sischen	w1_d506e4418
Herrn	w3_d506e4421
General=leutenants,	w5_d506e4424
Mar	w7_d506e4427
quis	w1_d506e4433
von	w3_d506e4436
Castries	w5_d506e4439
beziehen	w7_d506e4442
zu	w9_d506e4445
lassen.	w11_d506e4448
Diese	w13_d506e4452
</p>
<p id="p6_d506e4455">
Bewegung	w1_d506e4459
zielte	w3_d506e4462
dahin:	w5_d506e4465
um	w7_d506e4468
eben	w9_d506e4471
dadurch	w11_d506e4474
die	w1_d506e4479
Alliirten,	w3_d506e4482
und	w5_d506e4485
den	w7_d506e4488
Herrn	w9_d506e4491
Erb=prinzen	w11_d506e4494
von	w1_d506e4499
Braunschweig	w3_d506e4502
von	w5_d506e4505
der	w7_d506e4508
dortigen	w9_d506e4511
Gegend	w11_d506e4514
abzuhalten;	w1_d506e4520
Der	w3_d506e4523
vorzüglichste	w5_d506e4526
Natzen	w7_d506e4529
dieser	w9_d506e4532
Stellung	w1_d506e4537
aber	w3_d506e4540
äusserte	w5_d506e4543
sich	w7_d506e4546
dadurch,	w9_d506e4549
daß	w11_d506e4552
