<doc id="wr_1761-03-14" attrs="word" year="1761" month="03" day="14" corpus="2">
<head id="h2_d535e2483">
Barcellona	w1_d535e2487
6.	w3_d535e2490
Febr.	w5_d535e2493
</head>
<p id="p4_d535e2496">
S	w1_d535e2500
ist	w3_d535e2503
von	w5_d535e2506
Madrid	w7_d535e2509
der	w9_d535e2512
Befehl	w11_d535e2515
heraus	w13_d535e2519
gekommen,	w1_d535e2524
die	w3_d535e2527
Ausrüstung	w5_d535e2530
aller	w7_d535e2533
Kriegs=schiffen	w1_d535e2538
in	w3_d535e2541
dem	w5_d535e2544
Königreich	w7_d535e2547
dergestalten	w1_d535e2553
zu	w3_d535e2556
beschleunigen,	w5_d535e2559
damit	w7_d535e2562
bis	w9_d535e2565
Ende	w1_d535e2570
künftigen	w3_d535e2573
Merz	w5_d535e2576
alles	w7_d535e2579
parat	w9_d535e2582
seyn	w11_d535e2585
möge.	w1_d535e2590
Das	w3_d535e2593
Departament	w5_d535e2596
von	w7_d535e2599
Cadix	w9_d535e2602
hat	w11_d535e2605
13.	w1_d535e2610
Schiffe	w3_d535e2613
von	w5_d535e2616
der	w7_d535e2619
Linie	w9_d535e2622
anzuschaffen,	w11_d535e2625
das	w13_d535e2629
von	w1_d535e2635
Ferrol	w3_d535e2638
eine	w5_d535e2641
gleiche	w7_d535e2644
Anzahl,	w9_d535e2647
und	w11_d535e2650
das	w13_d535e2654
De	w15_d535e2657
partement	w1_d535e2662
von	w3_d535e2665
Carthagena	w5_d535e2668
9.	w7_d535e2671
Schiffe,	w9_d535e2674
und	w11_d535e2677
über	w1_d535e2682
das	w3_d535e2685
ein	w5_d535e2688
jedes	w7_d535e2691
4.	w9_d535e2694
Fregatten.	w11_d535e2697
Alle	w13_d535e2701
die	w1_d535e2706
Schiffe	w3_d535e2709
zusammen	w5_d535e2712
werden	w7_d535e2715
eine	w9_d535e2718
Flotte	w11_d535e2721
von	w1_d535e2727
47.	w3_d535e2730
Seegeln	w5_d535e2733
ausmachen;	w7_d535e2736
was	w9_d535e2739
aber	w11_d535e2742
derselben	w1_d535e2747
Bestimmung	w3_d535e2750
seye,	w5_d535e2753
ist	w7_d535e2756
noch	w9_d535e2759
ein	w11_d535e2762
unergründliches	w1_d535e2767
Geheimnuß.	w3_d535e2770
</p>
<head id="h2_d535e2776">
Londen	w1_d535e2780
20.	w3_d535e2783
Febr.	w5_d535e2786
</head>
<p id="p4_d535e2789">
Der	w1_d535e2793
den	w3_d535e2796
16.	w5_d535e2799
dieses	w7_d535e2802
Monats	w9_d535e2805
von	w11_d535e2808
Haag	w13_d535e2812
allhier	w1_d535e2817
angelangte	w3_d535e2820
Currier	w5_d535e2823
hat	w7_d535e2826
unserem	w9_d535e2829
Ho	w11_d535e2832
fe	w1_d535e2837
die	w3_d535e2840
Zeitung	w5_d535e2843
von	w7_d535e2846
dem	w9_d535e2849
Hintritt	w11_d535e2852
des	w13_d535e2856
Chur	w15_d535e2859
fürstens	w1_d535e2865
von	w3_d535e2868
Cöln	w5_d535e2871
mitgebracht.	w7_d535e2874
Vermög	w9_d535e2877
</p>
<p id="p6_d535e2880">
diesem	w1_d535e2884
Ableiben	w3_d535e2887
fallet	w5_d535e2890
das	w7_d535e2893
Bistum	w9_d535e2896
Osna	w11_d535e2899
brück,	w1_d535e2904
kraft	w3_d535e2907
des	w5_d535e2910
Anno	w7_d535e2913
1648.	w9_d535e2916
zu	w11_d535e2919
Stande	w13_d535e2923
gebrachten	w1_d535e2928
Westphälischen	w3_d535e2931
Friedens	w5_d535e2934
dem	w7_d535e2937
Hause	w1_d535e2943
unseres	w3_d535e2946
Königs,	w5_d535e2949
als	w7_d535e2952
dem	w9_d535e2955
jüngsten	w11_d535e2958
Sprossen	w1_d535e2963
vom	w3_d535e2966
Hause	w5_d535e2969
Braunschweig	w7_d535e2972
zu;	w9_d535e2975
der	w1_d535e2980
erste,	w3_d535e2983
so	w5_d535e2986
von	w7_d535e2989
besagtem	w9_d535e2992
Hause	w11_d535e2995
dieses	w13_d535e2999
Fürstentum	w1_d535e3004
besessen,	w3_d535e3007
ware	w5_d535e3010
her	w7_d535e3013
Herzog	w9_d535e3016
Er	w11_d535e3019
nest,	w1_d535e3025
Groß=vatter	w3_d535e3028
unseres	w5_d535e3031
verstorbenen	w7_d535e3034
Königs,	w1_d535e3039
nach	w3_d535e3042
dessen	w5_d535e3045
Ableiben	w7_d535e3048
hat	w9_d535e3051
das	w11_d535e3054
Ca	w13_d535e3058
pitul	w1_d535e3063
dem	w3_d535e3066
Friedens=traetat	w5_d535e3069
zufolge	w7_d535e3072
einen	w9_d535e3075
Römisch=Catholischen	w1_d535e3080
Prinzen	w3_d535e3083
aus	w5_d535e3086
dem	w7_d535e3089
Hause	w1_d535e3095
Lothringen	w3_d535e3098
erwählet,	w5_d535e3101
dieser	w7_d535e3104
hat	w9_d535e3107
den	w11_d535e3110
Prinz	w1_d535e3115
Ernest	w3_d535e3118
Herzogen	w5_d535e3121
von	w7_d535e3124
York,	w9_d535e3127
und	w11_d535e3130
Vet	w13_d535e3134
tern	w1_d535e3139
unseres	w3_d535e3142
vorigen	w5_d535e3145
Königs	w7_d535e3148
zum	w9_d535e3151
Nachfol	w11_d535e3154
ger,	w1_d535e3159
und	w3_d535e3162
endlichen	w5_d535e3165
