<doc id="wr_1761-03-21" attrs="word" year="1761" month="03" day="21" corpus="2">
<head id="h2_d537e2811">
Madtid	w1_d537e2815
10.	w3_d537e2818
Febr.	w5_d537e2821
</head>
<p id="p4_d537e2824">
NNdem	w1_d537e2828
wir	w3_d537e2831
die	w5_d537e2834
Begebenheit	w7_d537e2837
noch	w9_d537e2840
er	w11_d537e2843
warten	w1_d537e2848
müssen,	w3_d537e2851
welche	w5_d537e2854
die	w7_d537e2857
grosse	w9_d537e2860
Zu	w11_d537e2863
bereitung	w1_d537e2868
zur	w3_d537e2871
See	w5_d537e2874
veranlasset,	w7_d537e2877
so	w9_d537e2880
wis	w11_d537e2883
fen	w1_d537e2889
wir	w3_d537e2892
doch,	w5_d537e2895
worinnen	w7_d537e2898
sie	w9_d537e2901
bestehen.	w11_d537e2904
Die	w13_d537e2908
Kriegs=schiffe,	w1_d537e2913
welche	w3_d537e2916
auf	w5_d537e2919
Befehl	w7_d537e2922
des	w9_d537e2925
Kö	w11_d537e2928
nigs	w1_d537e2933
gleich	w3_d537e2936
in	w5_d537e2939
dem	w7_d537e2942
Anfang	w9_d537e2945
des	w11_d537e2948
Frühlinge	w13_d537e2952
müssen	w1_d537e2957
ausgerüstet	w3_d537e2960
werden,	w5_d537e2963
um	w7_d537e2966
die	w9_d537e2969
Königl.	w11_d537e2972
Flotte	w1_d537e2978
auszumachen,	w3_d537e2981
sind	w5_d537e2984
der	w7_d537e2987
Phönix	w9_d537e2990
und	w11_d537e2993
der	w1_d537e2998
Rayon	w3_d537e3001
von	w5_d537e3004
80.	w7_d537e3007
Canonen,	w9_d537e3010
der	w11_d537e3013
Uber	w13_d537e3017
winder,	w1_d537e3022
der	w3_d537e3025
Tyger,	w5_d537e3028
die	w7_d537e3031
Asia,	w9_d537e3034
der	w11_d537e3037
Afriea,	w13_d537e3041
die	w1_d537e3046
Prinzeßin,	w3_d537e3049
der	w5_d537e3052
Adler,	w7_d537e3055
der	w9_d537e3058
Rühmliche,	w11_d537e3061
der	w1_d537e3067
St.	w3_d537e3070
Philip,	w5_d537e3073
der	w7_d537e3076
Hector,	w9_d537e3079
der	w11_d537e3082
Prinz,	w13_d537e3086
der	w1_d537e3091
Sieger,	w3_d537e3094
der	w5_d537e3097
Hochmütige,	w7_d537e3100
der	w9_d537e3103
Orion	w11_d537e3106
der	w1_d537e3111
Krieger,	w3_d537e3114
der	w5_d537e3117
Großmütige,	w7_d537e3120
der	w9_d537e3123
Präch	w11_d537e3126
tige,	w1_d537e3131
der	w3_d537e3134
Wolgemute,	w5_d537e3137
der	w7_d537e3140
Acolus,	w9_d537e3143
der	w11_d537e3146
Minoc,	w1_d537e3152
der	w3_d537e3155
Ernsthafte,	w5_d537e3158
der	w7_d537e3161
Glückliche,	w9_d537e3164
der	w1_d537e3169
Galicia,	w3_d537e3172
der	w5_d537e3175
Atlantes,	w7_d537e3178
der	w9_d537e3181
Aqullo,	w11_d537e3184
der	w1_d537e3189
Triumphirende,	w3_d537e3192
der	w5_d537e3195
Beherrscher,	w7_d537e3198
der	w9_d537e3201
Schröckliche,	w1_d537e3206
der	w3_d537e3209
Entschlossene,	w5_d537e3212
und	w7_d537e3215
der	w9_d537e3218
</p>
<p id="p6_d537e3221">
Septentrion	w1_d537e3225
von	w3_d537e3228
70.	w5_d537e3231
der	w7_d537e3234
Trident,	w9_d537e3237
der	w11_d537e3240
Er	w13_d537e3244
oberer,	w1_d537e3249
der	w3_d537e3252
Kriegs=mann,	w5_d537e3255
und	w7_d537e3258
der	w9_d537e3261
Ver	w11_d537e3264
wegene;	w1_d537e3269
Uberhaupt	w3_d537e3272
33.	w5_d537e3275
Schiffe	w7_d537e3278
von	w9_d537e3281
der	w11_d537e3284
Linie,	w1_d537e3290
denen	w3_d537e3293
noch	w5_d537e3296
4.	w7_d537e3299
Fregatten,	w9_d537e3302
2.	w11_d537e3305
Bom	w13_d537e3309
bardier=galiotten	w1_d537e3314
und	w3_d537e3317
8.	w5_d537e3320
Brandern	w7_d537e3323
sollen	w9_d537e3326
beygefüget	w1_d537e3331
werden.	w3_d537e3334
Ein	w5_d537e3337
Kaufmanns=schif	w7_d537e3340
wird	w1_d537e3345
zum	w3_d537e3348
Hospital,	w5_d537e3351
und	w7_d537e3354
ein	w9_d537e3357
anderes,	w11_d537e3360
um	w13_d537e3364
die	w1_d537e3370
Lebens=mittel	w3_d537e3373
nachzuführen,	w5_d537e3376
gebraucht	w7_d537e3379
werden.	w1_d537e3384
Je	w3_d537e3387
mehr	w5_d537e3390
man	w7_d537e3393
sich	w9_d537e3396
bemühet,	w11_d537e3399
den	w13_d537e3403
Gegenstand	w1_d537e3408
einer	w3_d537e3411
so	w5_d537e3414
grossen	w7_d537e3417
Zurüstung	w9_d537e3420
zu	w11_d537e3423
entdecken,	w1_d537e3428
desto	w3_d537e3431
mehr	w5_d537e3434
Vorsicht	w7_d537e3437
gebrauchet	w9_d537e3440
der	w1_d537e3446
Hof,	w3_d537e3449
um	w5_d537e3452
denselben	w7_d537e3455
verborgen	w9_d537e3458
zu	w11_d537e3461
hal	w13_d537e3465
halten.	w1_d537e3470
Es	w3_d537e3473
werden	w5_d537e3476
zugleich	w7_d537e3479
Zubereitun	w9_d537e3482
gen	w1_d537e3487
für	w3_d537e3490
eine	w5_d537e3493
Land=armee	w7_d537e3496
gemacht,	w9_d537e3499
und	w11_d537e3502
die	w13_d537e3506
Werbungen	w1_d537e3511
gehen	w3_d537e3514
überall	w5_d537e3517
gut	w7_d537e3520
von	w9_d537e3523
statten,	w11_d537e3526
</p>
<head id="h2_d537e3532">
Paris	w1_d537e3536
28.	w3_d537e3539
Febr.	w5_d537e3542
</head>
<p id="p4_d537e3545">
Täglich	w1_d537e3549
kommen	w3_d537e3552
Curriers	w5_d537e3555
aus	w7_d537e3558
Teutsch	w9_d537e3561
land	w1_d537e3566
an,	w3_d537e3569
ihre	w5_d537e3572
Depeschen	w7_d537e3575
sind	w9_d537e3578
dermalen	w11_d537e3581
vergnüglich,	w1_d537e3586
und	w3_d537e3589
haben	w5_d537e3592
uns	w7_d537e3595
der	w9_d537e3598
Sachen	w11_d537e3601
</p>
<p id="p8_d537e3606">
Beschaffenheit	w1_d537e3610
und	w3_d537e3613
die	w5_d537e3616
Stellungen	w7_d537e3619
der	w9_d537e3622
Ar	w11_d537e3625
meen	w1_d537e3630
völlig	w3_d537e3633
aufgedeckt.	w5_d537e3636
Der	w7_d537e3639
Marschall	w9_d537e3642
von	w1_d537e3647
Broglie	w3_d537e3650
muß,	w5_d537e3653
vermittels	w7_d537e3656
eines	w9_d537e3659
so	w11_d537e3662
küh	w13_d537e3666
nen	w1_d537e3672
als	w3_d537e3675
geschwinden	w5_d537e3678
Marsches	w7_d537e3681
würklich	w9_d537e3684
in	w11_d537e3687
der	w1_d537e3692
Gegend	w3_d537e3695
von	w5_d537e3698
Frankfurt,	w7_d537e3701
wo	w9_d537e3704
der	w11_d537e3707
Mit	w13_d537e3711
tel=punct	w1_d537e3716
unserer	w3_d537e3719
Magazinen	w5_d537e3722
ist,	w7_d537e3725
ange	w9_d537e3728
kommen	w1_d537e3733
seyn,	w3_d537e3736
und	w5_d537e3739
auf	w7_d537e3742
dem	w9_d537e3745
schröcklichen	w11_d537e3748
Schlacht=feld	w1_d537e3754
von	w3_d537e3757
Bergen	w5_d537e3760
mit	w7_d537e3763
50000.	w9_d537e3766
Mann	w1_d537e3771
gefasset	w3_d537e3774
stehen.	w5_d537e3777
Mau	w7_d537e3780
begreift	w9_d537e3783
nicht,	w11_d537e3786
wie	w1_d537e3791
er	w3_d537e3794
bey	w5_d537e3797
einem	w7_d537e3800
so	w9_d537e3803
beschwerlichen	w11_d537e3806
als	w13_d537e3810
weitem	w1_d537e3815
Marsch	w3_d537e3818
der	w5_d537e3821
feindlichen	w7_d537e3824
Ubermacht	w9_d537e3827
habe	w1_d537e3833
ausweichen,	w3_d537e3836
und	w5_d537e3839
ohne	w7_d537e3842
Verhindernuß	w9_d537e3845
seine	w1_d537e3850
Magazinen,	w3_d537e3853
worauf	w5_d537e3856
der	w7_d537e3859
Feind	w9_d537e3862
zu	w11_d537e3865
sei	w13_d537e3869
nem	w1_d537e3874
Unterhalt	w3_d537e3877
vorläuffige	w5_d537e3880
Rechnung	w7_d537e3883
gema	w9_d537e3886
chet,	w1_d537e3891
zernichten	w3_d537e3894
können.	w5_d537e3897
Auch	w7_d537e3900
ist	w9_d537e3903
unbe	w11_d537e3906
greiflich,	w1_d537e3912
wie	w3_d537e3915
der	w5_d537e3918
Prinz	w7_d537e3921
Ferdinand	w9_d537e3924
die	w11_d537e3927
Ge	w13_d537e3931
schicklichkeit	w1_d537e3936
