<doc id="wr_1761-05-20" attrs="word" year="1761" month="05" day="20" corpus="2">
<head id="h2_d554e2562">
Mayland	w1_d554e2566
20.	w3_d554e2569
April.	w5_d554e2572
</head>
<p id="p4_d554e2575">
On	w1_d554e2579
Turin	w3_d554e2582
vernihmt	w5_d554e2585
man,	w7_d554e2588
daß	w9_d554e2591
Se.	w11_d554e2594
Excellenz	w1_d554e2601
der	w3_d554e2604
Groß=prior	w5_d554e2607
von	w7_d554e2610
Mal	w9_d554e2613
tha,	w1_d554e2618
Herr	w3_d554e2621
Solare,	w5_d554e2624
bey	w7_d554e2627
Sr.	w9_d554e2630
Sar	w11_d554e2633
dinischen	w1_d554e2639
Majestät	w3_d554e2642
in	w5_d554e2645
einem	w7_d554e2648
überreichten	w9_d554e2651
Memorial	w1_d554e2656
ein	w3_d554e2659
vierfaches	w5_d554e2662
Ansuchen	w7_d554e2665
gethan	w9_d554e2668
habe:	w1_d554e2673
1)	w3_d554e2676
Daß	w5_d554e2679
denen	w7_d554e2682
Rittern	w9_d554e2685
des	w11_d554e2688
Ordens,	w13_d554e2692
die	w1_d554e2697
Sr.	w3_d554e2700
Majest.	w5_d554e2703
Unterthanen,	w7_d554e2706
erlaubt	w9_d554e2709
wer	w11_d554e2712
den	w1_d554e2718
möchte,	w3_d554e2721
nach	w5_d554e2724
Maltha	w7_d554e2727
sich	w9_d554e2730
zu	w11_d554e2733
begeben	w13_d554e2737
Dieses	w1_d554e2742
Begehren	w3_d554e2745
wurde	w5_d554e2748
bewilliget,	w7_d554e2751
aus	w9_d554e2754
genommen	w1_d554e2759
diejenigen,	w3_d554e2762
die	w5_d554e2765
auf	w7_d554e2768
denen	w9_d554e2771
Köni	w11_d554e2774
glichen	w1_d554e2779
Galeeren	w3_d554e2782
Dienste	w5_d554e2785
thun.	w7_d554e2788
2)	w9_d554e2791
Ge	w11_d554e2794
wraide	w1_d554e2800
aus	w3_d554e2803
denen	w5_d554e2806
Königlichen	w7_d554e2809
Landen	w9_d554e2812
nach	w11_d554e2815
gedachter	w1_d554e2820
Jnsul	w3_d554e2823
zu	w5_d554e2826
transportiren,	w7_d554e2829
ohne	w9_d554e2832
einen	w1_d554e2837
Zoll	w3_d554e2840
zu	w5_d554e2843
entrichten.	w7_d554e2846
Dieses	w9_d554e2849
ist	w11_d554e2852
in	w13_d554e2856
An	w15_d554e2859
sehung	w1_d554e2864
Piemonts	w3_d554e2867
zugestanden,	w5_d554e2870
von	w7_d554e2873
wegen	w9_d554e2876
Sardinien	w1_d554e2882
aber	w3_d554e2885
abgeschlägen	w5_d554e2888
worden.	w7_d554e2891
3)	w9_d554e2894
Die	w1_d554e2899
Ausfuhr	w3_d554e2902
des	w5_d554e2905
Pulfers,	w7_d554e2908
welche	w9_d554e2911
ohne	w11_d554e2914
Anstand	w1_d554e2919
bewilliget	w3_d554e2922
worden.	w5_d554e2925
4)	w7_d554e2928
Wurden	w9_d554e2931
Se.	w1_d554e2936
Majest.	w3_d554e2939
um	w5_d554e2942
einen	w7_d554e2945
Succurs	w9_d554e2948
an=Volk	w11_d554e2951
</p>
<p id="p6_d554e2954">
gebetten,	w1_d554e2958
der	w3_d554e2961
König	w5_d554e2964
versprach	w7_d554e2967
auch	w9_d554e2970
unge	w11_d554e2973
mein	w1_d554e2978
gnädig,	w3_d554e2981
2.	w5_d554e2984
Bataillonen	w7_d554e2987
nach	w9_d554e2990
Maltha	w11_d554e2993
zu	w1_d554e2998
schicken,	w3_d554e3001
im	w5_d554e3004
Fall	w7_d554e3007
diese	w9_d554e3010
Jnsul	w11_d554e3013
von	w13_d554e3017
denen	w15_d554e3020
Türken	w1_d554e3026
würklich	w3_d554e3029
sollte	w5_d554e3032
angegriffen	w7_d554e3035
werden.	w9_d554e3038
</p>
<head id="h2_d554e3044">
Mantua	w1_d554e3048
8.	w3_d554e3051
May.	w5_d554e3054
</head>
<p id="p4_d554e3057">
Verflossenen	w1_d554e3061
Montags	w3_d554e3064
als	w5_d554e3067
den	w7_d554e3070
4.	w9_d554e3073
dieses	w11_d554e3076
reisete	w1_d554e3081
von	w3_d554e3084
hier	w5_d554e3087
Se.	w7_d554e3090
Excellenz	w9_d554e3093
der	w11_d554e3096
Herr	w13_d554e3100
Graf	w15_d554e3103
Carl	w1_d554e3108
von	w3_d554e3111
Firmian,	w5_d554e3114
gevollmächtigter	w7_d554e3117
Minister	w9_d554e3120
unserer	w1_d554e3126
allergnädigsten	w3_d554e3129
Beherrscherin	w5_d554e3132
bey	w7_d554e3135
dem	w1_d554e3140
General=gouvernement	w3_d554e3143
in	w5_d554e3146
der	w7_d554e3149
Oester	w9_d554e3152
reichischen	w1_d554e3157
Lombardie,	w3_d554e3160
und	w5_d554e3163
unser	w7_d554e3166
Vicegou	w9_d554e3169
verneur,	w1_d554e3174
nach	w3_d554e3177
vorläuffig	w5_d554e3180
empfangenen	w7_d554e3183
Com	w9_d554e3186
plimenten	w1_d554e3192
von	w3_d554e3195
dem	w5_d554e3198
hiesigen	w7_d554e3201
Ministerio	w9_d554e3204
und	w11_d554e3207
gesammten	w1_d554e3212
Adel	w3_d554e3215
nacher	w5_d554e3218
Meyland	w7_d554e3221
ab.	w9_d554e3224
Hin	w11_d554e3227
gegen	w1_d554e3232
ist	w3_d554e3235
vorgestern	w5_d554e3238
Morgens	w7_d554e3241
von	w9_d554e3244
Meyland	w11_d554e3247
alhier	w1_d554e3252
angelanget	w3_d554e3255
der	w5_d554e3258
W.	w7_d554e3261
E.	w9_d554e3264
Pater	w11_d554e3267
Don	w13_d554e3271
Pius	w15_d554e3274
Manzador,	w1_d554e3280
ein	w3_d554e3283
geborner	w5_d554e3286
Wiener,	w7_d554e3289
nunmehro	w9_d554e3292
Genleral=Præpositus	w1_d554e3297
der	w3_d554e3300
Clericorum	w5_d554e3303
Regula-	w7_d554e3306
rium	w1_d554e3311
S	w3_d554e3314
Pauli,	w5_d554e3317
insgemein	w7_d554e3320
Barnabiien	w9_d554e3323
ge	w11_d554e3326
</p>
<p id="p10_d554e3339">
nannt,	w1_d554e3343
ein	w3_d554e3346
vornehmer	w5_d554e3349
Theologus,	w7_d554e3352
in	w9_d554e3355
ganz	w11_d554e3358
Teutschland	w1_d554e3363
beruffener	w3_d554e3366
Prediger,	w5_d554e3369
und	w7_d554e3372
wegen	w9_d554e3375
anderen	w1_d554e3380
vielen	w3_d554e3383
Verdiensten	w5_d554e3386
wol	w7_d554e3389
angesehener	w9_d554e3392
Mann;	w1_d554e3398
er	w3_d554e3401
wurde	w5_d554e3404
von	w7_d554e3407
vielen	w9_d554e3410
Wägen,	w11_d554e3413
be	w13_d554e3417
sonders	w1_d554e3422
aber	w3_d554e3425
von	w5_d554e3428
dem	w7_d554e3431
hiesigen	w9_d554e3434
Hrn.	w11_d554e3437
Erzbi	w13_d554e3441
schoffen	w1_d554e3446
mit	w3_d554e3449
einem	w5_d554e3452
6	w7_d554e3455
spännigen	w9_d554e3458
empfangen,	w11_d554e3461
er	w1_d554e3466
ist	w3_d554e3469
in	w5_d554e3472
dem	w7_d554e3475
Collegio	w9_d554e3478
deren	w11_d554e3481
PP.	w13_d554e3485
Barnabiten	w15_d554e3488
zu	w1_d554e3494
St.	w3_d554e3497
Carl	w5_d554e3500
abgestiegen,	w7_d554e3503
und	w9_d554e3506
heute	w11_d554e3509
Mor	w13_d554e3513
gens	w1_d554e3518
wiederum	w3_d554e3521
aufgebrochen,	w5_d554e3524
seine	w7_d554e3527
Reise	w9_d554e3530
nacher	w1_d554e3535
Wien	w3_d554e3538
fortzusetzen.	w5_d554e3541
Obwolen	w7_d554e3544
er	w9_d554e3547
sich	w11_d554e3550
nur	w1_d554e3555
eine	w3_d554e3558
kurze	w5_d554e3561
Zeit	w7_d554e3564
alhier	w9_d554e3567
aufgehalten,	w11_d554e3570
so	w13_d554e3574
wurde	w1_d554e3580
er	w3_d554e3583
dennoch	w5_d554e3586
von	w7_d554e3589
vielen	w9_d554e3592
distinguirten	w11_d554e3595
Personen	w1_d554e3600
besuchet.	w3_d554e3603
</p>
<head id="h2_d554e3609">
Paris	w1_d554e3613
3.	w3_d554e3616
May.	w5_d554e3619
</head>
<p id="p4_d554e3622">
Der	w1_d554e3626
neue	w3_d554e3629
Präsident	w5_d554e3632
des	w7_d554e3635
Parlaments	w9_d554e3638
von	w11_d554e3641
Besancon	w1_d554e3646
ist	w3_d554e3649
der	w5_d554e3652
bisherige	w7_d554e3655
erste	w9_d554e3658
Präsident	w11_d554e3661
von	w1_d554e3666
Dijon,	w3_d554e3669
Herr	w5_d554e3672
dela	w7_d554e3675
Marche.	w9_d554e3678
Am	w11_d554e3681
Montag	w1_d554e3687
langte	w3_d554e3690
ein	w5_d554e3693
Currir	w7_d554e3696
von	w9_d554e3699
denen	w11_d554e3702
Kü	w13_d554e3706
sten	w1_d554e3711
von	w3_d554e3714
Bretagne	w5_d554e3717
mit	w7_d554e3720
der	w9_d554e3723
Nachricht	w11_d554e3726
an,	w13_d554e3730
daß	w1_d554e3735
bey	w3_d554e3738
einem	w5_d554e3741
zweyten	w7_d554e3744
Versuch	w9_d554e3747
der	w11_d554e3750
Eng	w13_d554e3754
länder	w1_d554e3759
auf	w3_d554e3762
Bretagne	w5_d554e3765
unsere	w7_d554e3768
Trupen	w9_d554e3771
zurück	w11_d554e3774
getrieben	w1_d554e3780
und	w3_d554e3783
genöhtiget	w5_d554e3786
worden,	w7_d554e3789
sich	w9_d554e3792
in	w11_d554e3795
die	w1_d554e3800
Festung	w3_d554e3803
zu	w5_d554e3806
werfen.	w7_d554e3809
Das	w9_d554e3812
Regiment	w11_d554e3815
von	w1_d554e3820
Bigorre	w3_d554e3823
soll	w5_d554e3826
insonderheit	w7_d554e3829
vieles	w9_d554e3832
dabey	w11_d554e3835
gelitten	w1_d554e3840
haben.	w3_d554e3843
Die	w5_d554e3846
seit	w7_d554e3849
dem	w9_d554e3852
eingeloffene	w11_d554e3855
Briefe	w1_d554e3861
von	w3_d554e3864
Quiberon	w5_d554e3867
vom	w7_d554e3870
28.	w9_d554e3873
enthalten	w11_d554e3876
mehrere	w1_d554e3881
Umstände;	w3_d554e3884
es	w5_d554e3887
heist	w7_d554e3890
darinnen:	w9_d554e3893
Die	w11_d554e3896
Engländer	w1_d554e3901
hätten	w3_d554e3904
den	w5_d554e3907
22.	w7_d554e3910
Morgens	w9_d554e3913
um	w11_d554e3916
8.	w13_d554e3920
Uhr	w1_d554e3925
einen	w3_d554e3928
abermaligen	w5_d554e3931
fruchtlosen	w7_d554e3934
Versuch	w9_d554e3937
einer	w1_d554e3943
Landung	w3_d554e3946
in	w5_d554e3949
der	w7_d554e3952
Gegend	w9_d554e3955
der	w11_d554e3958
Spitze	w13_d554e3962
von	w1_d554e3967
Lomaria	w3_d554e3970
gewagt,	w5_d554e3973
gleichwol	w7_d554e3976
aber	w9_d554e3979
näm	w11_d554e3982
lichen	w1_d554e3987
Tags	w3_d554e3990
Abends	w5_d554e3993
um	w7_d554e3996
5.	w9_d554e3999
Uhr	w11_d554e4002
von	w13_d554e4006
neuem	w15_d554e4009
den	w1_d554e4014
Hafen	w3_d554e4017
von	w5_d554e4020
Andras	w7_d554e4023
sehr	w9_d554e4026
hitzig	w11_d554e4029
angegrif	w13_d554e4033
fen.	w1_d554e4039
Unsere	w3_d554e4042
Leute	w5_d554e4045
hätten	w7_d554e4048
alles	w9_d554e4051
mögliche	w11_d554e4054
gethan,	w1_d554e4059
endlich	w3_d554e4062
aber	w5_d554e4065
doch	w7_d554e4068
der	w9_d554e4071
