<doc id="wr_1761-07-25" attrs="word" year="1761" month="07" day="25" corpus="2">
<head id="h2_d572e3011">
Umständliche	w1_d572e3015
Nachricht	w3_d572e3018
von	w5_d572e3021
der	w7_d572e3024
Affarre,	w1_d572e3029
so	w3_d572e3032
am	w5_d572e3035
3	w7_d572e3038
dieses	w9_d572e3041
bey	w11_d572e3044
der	w13_d572e3048
Brücke	w1_d572e3053
von	w3_d572e3056
Vesthofen,	w5_d572e3059
zwischen	w7_d572e3062
den	w1_d572e3068
Franzosen	w3_d572e3071
und	w5_d572e3074
Allirten	w7_d572e3077
vorfiele.	w1_d572e3082
</head>
<p id="p4_d572e3085">
DJe	w1_d572e3089
von	w3_d572e3092
dem	w5_d572e3095
Prinz	w7_d572e3098
Ferdinand	w9_d572e3101
ein	w11_d572e3104
genommene	w1_d572e3109
Stellung	w3_d572e3112
machte	w5_d572e3115
unsre	w7_d572e3118
S	w1_d572e3123
Convoyen	w1_d572e3129
und	w3_d572e3132
Zufuhren,	w5_d572e3135
welche	w7_d572e3138
man	w1_d572e3143
von	w3_d572e3146
Cöln	w5_d572e3149
bis	w7_d572e3152
nach	w9_d572e3155
Unna	w11_d572e3158
über	w13_d572e3162
Wip	w15_d572e3165
perfürth,	w1_d572e3170
Brechenfeld	w3_d572e3173
und	w5_d572e3176
Hagen	w7_d572e3179
herkom	w9_d572e3182
men	w1_d572e3187
lassen	w3_d572e3190
muste,	w5_d572e3193
beschwerlich	w7_d572e3196
und	w9_d572e3199
unsi	w11_d572e3202
cher.	w1_d572e3208
Besagte	w3_d572e3211
Oerter	w5_d572e3214
ligen	w7_d572e3217
nächst	w9_d572e3220
an	w11_d572e3223
dem	w13_d572e3227
Ruhr	w1_d572e3232
und	w3_d572e3235
Leyn=fluß,	w5_d572e3238
welche	w7_d572e3241
der	w9_d572e3244
Prinz	w11_d572e3247
von	w1_d572e3252
Croy	w3_d572e3255
mit	w5_d572e3258
2	w7_d572e3261
Bataillons	w9_d572e3264
von	w11_d572e3267
Bouillon,	w13_d572e3271
2.	w1_d572e3276
Piquets	w3_d572e3279
von	w5_d572e3282
Vierset,	w7_d572e3285
und	w9_d572e3288
3.	w11_d572e3291
Cavalle	w13_d572e3295
rie=piquets,	w1_d572e3301
von	w3_d572e3304
dem	w5_d572e3307
Regiment	w7_d572e3310
Lusignan,	w9_d572e3313
und	w1_d572e3318
Salles	w3_d572e3321
bedeckte.	w5_d572e3324
Da	w7_d572e3327
indessen	w9_d572e3330
die	w11_d572e3333
Al	w13_d572e3337
liirten	w1_d572e3342
allzugut	w3_d572e3345
erkannten,	w5_d572e3348
von	w7_d572e3351
welchgros	w9_d572e3354
ser	w1_d572e3359
Wichtigkeit	w3_d572e3362
es	w5_d572e3365
wäre,	w7_d572e3368
uns	w9_d572e3371
die	w11_d572e3374
Subsi	w13_d572e3378
stenz	w1_d572e3384
abzuschneiden,	w3_d572e3387
und	w5_d572e3390
zugleich	w7_d572e3393
ein	w9_d572e3396
über	w11_d572e3399
</p>
<p id="p6_d572e3402">
Hagen	w1_d572e3406
gekommene	w3_d572e3409
Convoy	w5_d572e3412
aufheben	w7_d572e3415
wollten,	w9_d572e3418
so	w1_d572e3423
ruckten	w3_d572e3426
sie	w5_d572e3429
an	w7_d572e3432
der	w9_d572e3435
Zahl	w11_d572e3438
von	w13_d572e3442
400.	w15_d572e3445
Gre	w17_d572e3448
nadiers	w1_d572e3453
und	w3_d572e3456
Jägern,	w5_d572e3459
und	w7_d572e3462
ungefähr	w9_d572e3465
500.	w11_d572e3468
Reitern,	w1_d572e3474
so	w3_d572e3477
alle	w5_d572e3480
vom	w7_d572e3483
Corps	w9_d572e3486
des	w11_d572e3489
General	w13_d572e3493
Scheiter	w1_d572e3498
waren,	w3_d572e3501
unter	w5_d572e3504
Anführung	w7_d572e3507
eben	w9_d572e3510
besagten	w1_d572e3515
Generals	w3_d572e3518
gegen	w5_d572e3521
die	w7_d572e3524
Brücke	w9_d572e3527
von	w11_d572e3530
Vesthofen	w1_d572e3535
an.	w3_d572e3538
Diese	w5_d572e3541
ware	w7_d572e3544
durch	w9_d572e3547
zwey	w11_d572e3550
Piquets	w1_d572e3556
von	w3_d572e3559
Vierset,	w5_d572e3562
unter	w7_d572e3565
Befehl	w9_d572e3568
ihres	w11_d572e3571
Obristens	w1_d572e3576
und	w3_d572e3579
Commandanten	w5_d572e3582
besetzet,	w7_d572e3585
die	w9_d572e3588
3.	w1_d572e3593
Piquets	w3_d572e3596
von	w5_d572e3599
der	w7_d572e3602
Cavallerie	w9_d572e3605
stunden	w11_d572e3608
hin	w13_d572e3612
ter	w1_d572e3617
ihnen	w3_d572e3620
auf	w5_d572e3623
einer	w7_d572e3626
Wiesen,	w9_d572e3629
an	w11_d572e3632
einem	w13_d572e3636
offe	w15_d572e3639
nen	w1_d572e3645
Gehölz,	w3_d572e3648
wo	w5_d572e3651
sie	w7_d572e3654
im	w9_d572e3657
Rucken	w11_d572e3660
einen	w13_d572e3664
Mo	w15_d572e3667
rast	w1_d572e3672
hatten,	w3_d572e3675
der	w5_d572e3678
in	w7_d572e3681
seinem	w9_d572e3684
Umfang	w11_d572e3687
ein	w13_d572e3691
Vier	w15_d572e3694
tel	w1_d572e3699
Stund	w3_d572e3702
ausmachte.	w5_d572e3705
Jndessen	w7_d572e3708
wurden	w9_d572e3711
die	w1_d572e3716
Piquets	w3_d572e3719
von	w5_d572e3722
Vierset	w7_d572e3725
auf	w9_d572e3728
der	w11_d572e3731
Brücke	w13_d572e3735
an	w15_d572e3738
gegriffen,	w1_d572e3744
und	w3_d572e3747
nach	w5_d572e3750
einem	w7_d572e3753
eine	w9_d572e3756
halbe	w11_d572e3759
Stund	w13_d572e3763
lang	w1_d572e3768
gethanen	w3_d572e3771
Widerstand	w5_d572e3774
genöhtiget,	w7_d572e3777
der	w9_d572e3780
Ubermacht	w1_d572e3785
auszuweichen,	w3_d572e3788
und	w5_d572e3791
die	w7_d572e3794
Brücke	w9_d572e3797
zu	w1_d572e3802
verlassen,	w3_d572e3805
die	w5_d572e3808
sodann	w7_d572e3811
die	w9_d572e3814
Feinde	w11_d572e3817
paßirten.	w13_d572e3821
</p>
<p id="p12_d572e3835">
Der	w1_d572e3839
Herr	w3_d572e3842
von	w5_d572e3845
Lomance,	w7_d572e3848
Aide=major	w9_d572e3851
von	w11_d572e3854
Vierset	w1_d572e3859
wurde	w3_d572e3862
bey	w5_d572e3865
dieser	w7_d572e3868
Attaque	w9_d572e3871
verwun	w11_d572e3874
det,	w1_d572e3879
und	w3_d572e3882
gefangen,	w5_d572e3885
in	w7_d572e3888
dem	w9_d572e3891
darauf	w11_d572e3894
gefolg	w13_d572e3898
tem	w1_d572e3904
Handgemeng	w3_d572e3907
und	w5_d572e3910
Vermischung	w7_d572e3913
aber	w9_d572e3916
wieder	w1_d572e3921
befreyet.	w3_d572e3924
Der	w5_d572e3927
Verlust,	w7_d572e3930
den	w9_d572e3933
diese	w11_d572e3936
2.	w13_d572e3940
Piquets	w1_d572e3945
erlitten,	w3_d572e3948
erprobete	w5_d572e3951
schon	w7_d572e3954
genug	w9_d572e3957
die	w11_d572e3960
tapfere	w1_d572e3965
Art,	w3_d572e3968
womit	w5_d572e3971
sie	w7_d572e3974
sich	w9_d572e3977
betragen	w11_d572e3980
haben.	w13_d572e3984
</p>
<p id="p14_d572e3987">
Es	w1_d572e3991
wäre	w3_d572e3994
jedannoch	w5_d572e3997
alles	w7_d572e4000
verspielt	w9_d572e4003
ge	w11_d572e4006
wesen,	w1_d572e4011
wo	w3_d572e4014
nicht	w5_d572e4017
die	w7_d572e4020
Cavallerie	w9_d572e4023
den	w11_d572e4026
Ruck	w13_d572e4030
zug	w1_d572e4035
der	w3_d572e4038
Jnfanterie	w5_d572e4041
verbessert	w7_d572e4044
hätte.	w9_d572e4047
Der	w11_d572e4050
Prinz	w1_d572e4056
von	w3_d572e4059
Croy	w5_d572e4062
nahme	w7_d572e4065
dieses	w9_d572e4068
wahr,	w11_d572e4071
und	w13_d572e4075
nachdeme	w1_d572e4080
er	w3_d572e4083
sich	w5_d572e4086
mit	w7_d572e4089
dem	w9_d572e4092
Marschall	w11_d572e4095
de	w13_d572e4099
Camp,	w1_d572e4104
Hrn.	w3_d572e4107
von	w5_d572e4110
Moliere,	w7_d572e4113
so	w9_d572e4116
unter	w11_d572e4119
ihm	w13_d572e4123
com	w15_d572e4126
mandirte,	w1_d572e4131
einverstanden,	w3_d572e4134
geschahe	w5_d572e4137
von	w7_d572e4140
unse	w9_d572e4143
ren	w1_d572e4149
3.	w3_d572e4152
Cavallerie=piquets	w5_d572e4155
ein	w7_d572e4158
so	w9_d572e4161
heftig	w11_d572e4164
und	w13_d572e4168
unvergleichlicher	w1_d572e4173
Anfall,	w3_d572e4176
wodurch	w5_d572e4179
die	w7_d572e4182
Fein	w9_d572e4185
de	w1_d572e4190
übern	w3_d572e4193
Hauffen	w5_d572e4196
geworfen,	w7_d572e4199
und	w9_d572e4202
in	w11_d572e4205
die	w13_d572e4209
Flucht	w1_d572e4214
gebracht	w3_d572e4217
wurden;	w5_d572e4220
diese	w7_d572e4223
versammel	w9_d572e4226
ten	w1_d572e4232
sich	w3_d572e4235
aber	w5_d572e4238
wieder,	w7_d572e4241
und	w9_d572e4244
boten	w11_d572e4247
uns	w13_d572e4251
vom	w15_d572e4254
neuen	w1_d572e4259
die	w3_d572e4262
Spitze,	w5_d572e4265
allein	w7_d572e4268
der	w9_d572e4271
zweyte	w11_d572e4274
Angrif	w13_d572e4278
brachte	w1_d572e4283
die	w3_d572e4286
Feinde	w5_d572e4289
nun	w7_d572e4292
in	w9_d572e4295
völlige	w11_d572e4298
Unordnung.	w13_d572e4302
Man	w1_d572e4307
verfolgte	w3_d572e4310
sie	w5_d572e4313
mit	w7_d572e4316
äusserster	w9_d572e4319
Lebhaftig	w11_d572e4322
keit,	w1_d572e4328
als	w3_d572e4331
der	w5_d572e4334
Hr.	w7_d572e4337
von	w9_d572e4340
Moliere	w11_d572e4343
entdecket,	w13_d572e4347
daß	w15_d572e4350
