<doc id="wr_1761-09-05" attrs="word" year="1761" month="09" day="05" corpus="2">
<head id="h2_d584e3164">
Londer	w1_d584e3168
21.	w3_d584e3171
August.	w5_d584e3174
</head>
<p id="p4_d584e3177">
As	w1_d584e3181
Frieders	w3_d584e3184
geschaft	w5_d584e3187
ist	w7_d584e3190
nunmehro	w9_d584e3193
ganz	w1_d584e3200
und	w3_d584e3203
gar	w5_d584e3206
aufgeschoben,	w7_d584e3209
und	w9_d584e3212
unsere	w1_d584e3217
Regierung	w3_d584e3220
ist	w5_d584e3223
nicht	w7_d584e3226
mehr	w9_d584e3229
als	w11_d584e3232
auf	w1_d584e3238
die	w3_d584e3241
Mittel	w5_d584e3244
bedacht,	w7_d584e3247
den	w9_d584e3250
Krieg	w11_d584e3253
mit	w13_d584e3257
al	w15_d584e3260
ler	w1_d584e3265
Macht	w3_d584e3268
fortsetzen	w5_d584e3271
zu	w7_d584e3274
können,	w9_d584e3277
man	w11_d584e3280
ma	w13_d584e3284
chet	w1_d584e3289
dannenhero	w3_d584e3292
unter	w5_d584e3295
anderen	w7_d584e3298
auch	w9_d584e3301
grosse	w11_d584e3304
Zubereitungen	w1_d584e3309
zur	w3_d584e3312
See.	w5_d584e3315
Weilen	w7_d584e3318
nun	w9_d584e3321
die	w11_d584e3324
Höfe	w1_d584e3330
von	w3_d584e3333
Wien	w5_d584e3336
und	w7_d584e3339
Petersburg	w9_d584e3342
keines	w11_d584e3345
wegs	w1_d584e3350
gesinnet	w3_d584e3353
sind,	w5_d584e3356
an	w7_d584e3359
denen	w9_d584e3362
wider	w11_d584e3365
den	w13_d584e3369
König	w1_d584e3374
in	w3_d584e3377
Preussen	w5_d584e3380
angestelten	w7_d584e3383
Unterneb	w9_d584e3386
mungen	w1_d584e3391
nachzulassen,	w3_d584e3394
so	w5_d584e3397
ist	w7_d584e3400
unser	w9_d584e3403
Hof	w11_d584e3406
ent	w13_d584e3410
schlossen,	w1_d584e3416
diesen	w3_d584e3419
seine	w5_d584e3422
Bunds=genossenen	w7_d584e3425
mit	w1_d584e3430
all=möglicher	w3_d584e3433
Hülfe	w5_d584e3436
bey	w7_d584e3439
uspringen,	w9_d584e3442
um	w11_d584e3445
die	w1_d584e3450
Absichten	w3_d584e3453
dieser	w5_d584e3456
beyden	w7_d584e3459
Hofe	w9_d584e3462
zu	w11_d584e3465
zer	w13_d584e3469
nichten;	w1_d584e3474
deme	w3_d584e3477
zufolge	w5_d584e3480
ist	w7_d584e3483
der	w9_d584e3486
gemeinen	w11_d584e3489
Sa	w13_d584e3493
ge	w1_d584e3499
nach	w3_d584e3502
in	w5_d584e3505
einer	w7_d584e3508
vorige	w9_d584e3511
Woche	w11_d584e3514
gehaltenen	w13_d584e3518
Rahts	w1_d584e3523
versammlung	w3_d584e3526
der	w5_d584e3529
Entschluß	w7_d584e3532
gefasset	w9_d584e3535
worden,	w1_d584e3540
eine	w3_d584e3543
Escadre	w5_d584e3546
in	w7_d584e3549
das	w9_d584e3552
Baltische	w11_d584e3555
Ge	w13_d584e3559
</p>
<p id="p6_d584e3562">
wässer	w1_d584e3566
abzuschicken,	w3_d584e3569
welche	w5_d584e3572
aus	w7_d584e3575
10.	w9_d584e3578
Schif	w11_d584e3581
fen	w1_d584e3586
von	w3_d584e3589
der	w5_d584e3592
Linte,	w7_d584e3595
dann	w9_d584e3598
4.	w11_d584e3601
Fregatten	w13_d584e3605
be	w15_d584e3608
stehen,	w1_d584e3613
und	w3_d584e3616
von	w5_d584e3619
dem	w7_d584e3622
Admiral	w9_d584e3625
Hawke	w11_d584e3628
