<doc id="wr_1761-09-26" attrs="word" year="1761" month="09" day="26" corpus="2">
<head id="h2_d590e2570">
St.	w1_d590e2574
James	w3_d590e2577
7.	w5_d590e2580
Sept.	w7_d590e2583
</head>
<p id="p4_d590e2586">
Er	w1_d590e2590
Anfang	w3_d590e2593
von	w5_d590e2596
der	w7_d590e2599
Eroberung	w9_d590e2602
Mar	w11_d590e2605
tinique	w1_d590e2610
und	w3_d590e2613
die	w5_d590e2616
Abseeglung	w7_d590e2619
neuer	w9_d590e2622
und	w1_d590e2629
grosser	w3_d590e2632
Verstärkungen	w5_d590e2635
nach	w7_d590e2638
Teutschland,	w1_d590e2644
beruhet	w3_d590e2647
nur	w5_d590e2650
noch	w7_d590e2653
auf	w9_d590e2656
der	w11_d590e2659
Zu	w13_d590e2663
rückkunft	w1_d590e2668
zweyer	w3_d590e2671
Curriers,	w5_d590e2674
welche	w7_d590e2677
der	w9_d590e2680
Hof	w11_d590e2683
und	w1_d590e2688
der	w3_d590e2691
Herr	w5_d590e2694
von	w7_d590e2697
Bussy,	w9_d590e2700
den	w11_d590e2703
28.	w13_d590e2707
Augusti	w15_d590e2710
nach	w1_d590e2715
Paris	w3_d590e2718
abfertigten.	w5_d590e2721
Jüngst	w7_d590e2724
berabt	w9_d590e2727
schlagte	w1_d590e2733
sich	w3_d590e2736
der	w5_d590e2739
grosse	w7_d590e2742
Staats=raht;	w9_d590e2745
nach	w11_d590e2748
seinem	w1_d590e2753
Schluß	w3_d590e2756
besuchte	w5_d590e2759
der	w7_d590e2762
Herr	w9_d590e2765
Pitt	w11_d590e2768
den	w13_d590e2772
Herrn	w1_d590e2777
von	w3_d590e2780
Bußy,	w5_d590e2783
und	w7_d590e2786
übergab	w9_d590e2789
ihm	w11_d590e2792
die	w13_d590e2796
Schreiben,	w1_d590e2801
welche	w3_d590e2804
an	w5_d590e2807
den	w7_d590e2810
Herrn	w9_d590e2813
Stanler	w11_d590e2816
abgiengen.	w1_d590e2822
Zugleicher	w3_d590e2825
Zeit	w5_d590e2828
eröfnete	w7_d590e2831
der	w9_d590e2834
Herr	w1_d590e2839
Staats=secretair	w3_d590e2842
Pitt,	w5_d590e2845
dem	w7_d590e2848
Herrn	w9_d590e2851
von	w1_d590e2856
Bußy:	w3_d590e2859
Wofern	w5_d590e2862
sich	w7_d590e2865
der	w9_d590e2868
Hof	w11_d590e2871
von	w13_d590e2875
Ver	w15_d590e2878
sailles	w1_d590e2883
mit	w3_d590e2886
den	w5_d590e2889
Friedens=vorträgen,	w7_d590e2892
wel	w9_d590e2895
che	w1_d590e2901
in	w3_d590e2904
jenen	w5_d590e2907
Schreiben	w7_d590e2910
enthalten	w9_d590e2913
wären,	w11_d590e2916
nicht	w1_d590e2921
befriedigen	w3_d590e2924
wöllte,	w5_d590e2927
habe	w7_d590e2930
der	w9_d590e2933
König	w11_d590e2936
von	w1_d590e2941
England	w3_d590e2944
vest	w5_d590e2947
beschlossen,	w7_d590e2950
den	w9_d590e2953
Herrn	w11_d590e2956
Stanley	w1_d590e2961
aus	w3_d590e2964
Frankreich	w5_d590e2967
zurückzuberuffen,	w7_d590e2970
</p>
<p id="p6_d590e2973">
und	w1_d590e2977
sich	w3_d590e2980
ferner	w5_d590e2983
nicht	w7_d590e2986
mit	w9_d590e2989
einer	w11_d590e2992
Zeit	w13_d590e2996
verlie	w15_d590e2999
renden	w1_d590e3004
Unterhandlung	w3_d590e3007
vergebens	w5_d590e3010
zu	w7_d590e3013
