<doc id="wr_1761-09-30" attrs="word" year="1761" month="09" day="30" corpus="2">
<head id="h2_d591e2482">
Mastricht	w1_d591e2486
19.	w3_d591e2489
Sept.	w5_d591e2492
</head>
<p id="p4_d591e2495">
Je	w1_d591e2499
ganze	w3_d591e2502
hiesige	w5_d591e2505
Stadt	w7_d591e2508
erschallet	w9_d591e2511
von	w11_d591e2514
denen	w1_d591e2519
Lob=sprüchen,	w3_d591e2522
welche	w5_d591e2525
dem	w7_d591e2528
Herrn	w1_d591e2533
Grafen	w3_d591e2536
von	w5_d591e2539
Wassenaer,	w7_d591e2542
Rahts=glied	w1_d591e2548
deren	w3_d591e2551
vereinigten	w5_d591e2554
Provinzen	w7_d591e2557
und	w1_d591e2562
Deputirten	w3_d591e2565
dieser	w5_d591e2568
Stadt	w7_d591e2571
gegeben	w9_d591e2574
wer	w11_d591e2577
den.	w1_d591e2582
Dieser	w3_d591e2585
Herr,	w5_d591e2588
dessen	w7_d591e2591
Abreise	w9_d591e2594
jeder	w11_d591e2597
mann	w1_d591e2602
bedauret,	w3_d591e2605
hat	w5_d591e2608
durch	w7_d591e2611
seine	w9_d591e2614
Freund	w11_d591e2617
lichkeit	w1_d591e2623
und	w3_d591e2626
gute	w5_d591e2629
Art	w7_d591e2632
alle	w9_d591e2635
Gemüter	w11_d591e2638
an	w13_d591e2642
sich	w15_d591e2645
gezogen,	w1_d591e2650
seine	w3_d591e2653
rare	w5_d591e2656
Eigenschaften,	w7_d591e2659
und	w9_d591e2662
seine	w11_d591e2665
natürliche	w1_d591e2670
Wohlredenheit,	w3_d591e2673
besonders	w5_d591e2676
seine	w7_d591e2679
Antworten	w1_d591e2684
auf	w3_d591e2687
die	w5_d591e2690
Anrede	w7_d591e2693
des	w9_d591e2696
Magistrats	w11_d591e2699
und	w1_d591e2705
der	w3_d591e2708
Holländischen	w5_d591e2711
und	w7_d591e2714
Französischen	w9_d591e2717
Cle	w11_d591e2720
risey	w1_d591e2725
haben	w3_d591e2728
bey	w5_d591e2731
allen	w7_d591e2734
Zuhörern	w9_d591e2737
Verwunde	w11_d591e2740
rung	w1_d591e2745
erwecket.	w3_d591e2748
Nichts	w5_d591e2751
ist	w7_d591e2754
über	w9_d591e2757
die	w11_d591e2760
kräftige	w13_d591e2764
und	w1_d591e2769
verbindliche	w3_d591e2772
Aurede,	w5_d591e2775
welche	w7_d591e2778
dieser	w9_d591e2781
Hr.	w11_d591e2784
an	w1_d591e2790
die	w3_d591e2793
Officier	w5_d591e2796
der	w7_d591e2799
Besatzung	w9_d591e2802
gemacht,	w11_d591e2805
wo	w13_d591e2809
durch	w1_d591e2814
er	w3_d591e2817
auch	w5_d591e2820
die	w7_d591e2823
lebhafteste	w9_d591e2826
Erkänntlich	w11_d591e2829
keit	w1_d591e2834
und	w3_d591e2837
eine	w5_d591e2840
vollkommene	w7_d591e2843
Ehrerbietung	w9_d591e2846
sich	w11_d591e2849
erworben.	w1_d591e2854
</p>
<head id="h2_d591e2860">
Genua	w1_d591e2864
5.	w3_d591e2867
September.	w5_d591e2870
</head>
<p id="p4_d591e2873">
Von	w1_d591e2877
Toulon	w3_d591e2880
vernimmet	w5_d591e2883
man,	w7_d591e2886
daß	w9_d591e2889
sich	w11_d591e2892
ein	w1_d591e2897
Französischer	w3_d591e2900
Armateur	w5_d591e2903
eines	w7_d591e2906
Engländi	w9_d591e2909
schen	w1_d591e2914
mit	w3_d591e2917
Seiden,	w5_d591e2920
Cameel=haar,	w7_d591e2923
und	w9_d591e2926
ande	w11_d591e2929
ren	w1_d591e2935
Waaren	w3_d591e2938
beladenen	w5_d591e2941
Schiffes	w7_d591e2944
bemeiste	w9_d591e2947
ret,	w1_d591e2952
und	w3_d591e2955
selbiges	w5_d591e2958
nach	w7_d591e2961
Maon	w9_d591e2964
eingebracht	w11_d591e2967
habe,	w1_d591e2972
dessen	w3_d591e2975
Ladung	w5_d591e2978
auf	w7_d591e2981
700.	w9_d591e2984
tausend	w11_d591e2987
Li	w13_d591e2991
vres	w1_d591e2996
geschätzet	w3_d591e2999
wird.	w5_d591e3002
</p>
<head id="h2_d591e3008">
Petersburg	w1_d591e3012
11.	w3_d591e3015
September.	w5_d591e3018
</head>
<p id="p4_d591e3021">
Da	w1_d591e3025
des	w3_d591e3028
Herrn	w5_d591e3031
Grafen	w7_d591e3034
Esterhazy	w9_d591e3037
Excell.	w11_d591e3040
nachdeme	w1_d591e3045
sie	w3_d591e3048
als	w5_d591e3051
beyder	w7_d591e3054
Röm.	w9_d591e3057
Kaiserl.	w11_d591e3060
und	w1_d591e3065
Kaiserl.	w3_d591e3068
Königl.	w5_d591e3071
Majestäten	w7_d591e3074
Bottschaf	w9_d591e3077
ter	w1_d591e3083
an	w3_d591e3086
dem	w5_d591e3089
hiesigen	w7_d591e3092
Hofe,	w9_d591e3095
neun	w11_d591e3098
Jahr	w13_d591e3102
lang	w15_d591e3105
solche	w1_d591e3110
Stelle	w3_d591e3113
mit	w5_d591e3116
vielem	w7_d591e3119
Ruhm	w9_d591e3122
begleitet	w11_d591e3125
haben,	w1_d591e3130
von	w3_d591e3133
hier	w5_d591e3136
abberuffen	w7_d591e3139
worden;	w9_d591e3142
So	w1_d591e3147
haben	w3_d591e3150
der	w5_d591e3153
Rußischen	w7_d591e3156
Kaiserin	w9_d591e3159
Ma	w11_d591e3162
jestät	w1_d591e3168
gnädigst	w3_d591e3171
geruhet,	w5_d591e3174
benanntem	w7_d591e3177
Herrn	w9_d591e3180
Bottschaftern	w1_d591e3185
den	w3_d591e3188
3.	w5_d591e3191
