<doc id="wr_1761-10-10" attrs="word" year="1761" month="10" day="10" corpus="2">
<head id="h2_d594e3279">
Schwedischer	w1_d594e3283
Bericht	w3_d594e3286
aus	w5_d594e3289
Boldi	w7_d594e3292
kow	w1_d594e3297
21.	w3_d594e3300
Sept.	w5_d594e3303
</head>
<p id="p4_d594e3306">
DEn	w1_d594e3310
17.	w3_d594e3313
dieses	w5_d594e3316
wurde	w7_d594e3319
der	w9_d594e3322
General	w11_d594e3325
Ly	w13_d594e3329
becker	w1_d594e3334
über	w3_d594e3337
Friedland	w5_d594e3340
detaschirt,	w7_d594e3343
um	w1_d594e3348
die	w3_d594e3351
Bewegungen	w5_d594e3354
des	w7_d594e3357
Feindes	w9_d594e3360
zu	w1_d594e3366
beobachten,	w3_d594e3369
und	w5_d594e3372
ihn,	w7_d594e3375
wo	w9_d594e3378
möglich	w11_d594e3381
an	w13_d594e3385
zugreiffen.	w1_d594e3390
Jn	w3_d594e3393
selbiger	w5_d594e3396
Absicht	w7_d594e3399
muste	w9_d594e3402
der	w11_d594e3405
Major	w1_d594e3410
Sprengtsfort	w3_d594e3413
mit	w5_d594e3416
seinem	w7_d594e3419
Frey=corps	w9_d594e3422
über	w1_d594e3427
Ferdinandshof	w3_d594e3430
gehen.	w5_d594e3433
Der	w7_d594e3436
General	w9_d594e3439
Lybecker	w1_d594e3445
richtete	w3_d594e3448
seinen	w5_d594e3451
Marsch	w7_d594e3454
auf	w9_d594e3457
Brohn	w11_d594e3460
zu,	w1_d594e3465
und	w3_d594e3468
stieß	w5_d594e3471
daselbst	w7_d594e3474
gegen	w9_d594e3477
Abend	w11_d594e3480
auf	w13_d594e3484
den	w15_d594e3487
Feind,	w1_d594e3492
der	w3_d594e3495
ungefähr	w5_d594e3498
1000.	w7_d594e3501
Mann	w9_d594e3504
an	w11_d594e3507
Jn	w13_d594e3511
fanterie	w1_d594e3516
und	w3_d594e3519
Hussaren	w5_d594e3522
stark	w7_d594e3525
war.	w9_d594e3528
Das	w11_d594e3531
Frey=bataillon	w1_d594e3537
des	w3_d594e3540
Majors	w5_d594e3543
von	w7_d594e3546
Bohnen,	w9_d594e3549
welches	w1_d594e3554
im	w3_d594e3557
Walde	w5_d594e3560
postirt	w7_d594e3563
war,	w9_d594e3566
um	w11_d594e3569
des	w13_d594e3573
Ge	w15_d594e3576
neral	w1_d594e3581
Lybeckers	w3_d594e3584
rechte	w5_d594e3587
Flanque	w7_d594e3590
zu	w9_d594e3593
bedecken,	w11_d594e3596
wurde	w1_d594e3601
hier	w3_d594e3604
sogleich	w5_d594e3607
von	w7_d594e3610
des	w9_d594e3613
Feindes	w11_d594e3616
Frey	w13_d594e3620
kompagnien,	w1_d594e3626
welche	w3_d594e3629
von	w5_d594e3632
dem	w7_d594e3635
Nordischen	w9_d594e3638
Regiment	w1_d594e3643
unterstützet	w3_d594e3646
wurden,	w5_d594e3649
angegriffen.	w7_d594e3652
Diese	w1_d594e3657
Uebermacht	w3_d594e3660
machte	w5_d594e3663
den	w7_d594e3666
Unserigen	w9_d594e3669
ge	w11_d594e3672
</p>
<p id="p6_d594e3675">
nug	w1_d594e3679
zu	w3_d594e3682
schaffen,	w5_d594e3685
bis	w7_d594e3688
der	w9_d594e3691
Graf	w11_d594e3694
Meierfeld	w13_d594e3698
sich	w1_d594e3703
der	w3_d594e3706
Gelegenheit	w5_d594e3709
zu	w7_d594e3712
Nutze	w9_d594e3715
machte,	w11_d594e3718
da	w13_d594e3722
der	w1_d594e3727
Feind	w3_d594e3730
noch	w5_d594e3733
in	w7_d594e3736
etwas	w9_d594e3739
avanciret	w11_d594e3742
ware,	w13_d594e3746
und	w1_d594e3752
ihm	w3_d594e3755
mit	w5_d594e3758
einem	w7_d594e3761
Bataillon	w9_d594e3764
von	w11_d594e3767
seinen	w13_d594e3771
Grenadiers	w1_d594e3776
und	w3_d594e3779
einem	w5_d594e3782
Bataillon	w7_d594e3785
vom	w9_d594e3788
Dahl	w11_d594e3791
regimente,	w1_d594e3796
sowol	w3_d594e3799
in	w5_d594e3802
die	w7_d594e3805
Flanque,	w9_d594e3808
als	w11_d594e3811
in	w13_d594e3815
den	w1_d594e3820
Rücken	w3_d594e3823
fiel;	w5_d594e3826
da	w7_d594e3829
dann	w9_d594e3832
dieses	w11_d594e3835
Manövre	w13_d594e3839
die	w1_d594e3845
ganze	w3_d594e3848
Affaire	w5_d594e3851
decidirte.	w7_d594e3854
Der	w9_d594e3857
Feind	w11_d594e3860
muste	w1_d594e3865
sich	w3_d594e3868
mit	w5_d594e3871
einem	w7_d594e3874
ansehnlichen	w9_d594e3877
Verlust	w11_d594e3880
an	w1_d594e3885
Todten	w3_d594e3888
und	w5_d594e3891
Bleßirten	w7_d594e3894
in	w9_d594e3897
der	w11_d594e3900
grösten	w13_d594e3904
Un	w15_d594e3907
ordnung	w1_d594e3912
zurück	w3_d594e3915
ziehen.	w5_d594e3918
Die	w7_d594e3921
Nacht	w9_d594e3924
und	w11_d594e3927
das	w13_d594e3931
waldichte	w1_d594e3937
Terrain,	w3_d594e3940
wodurch	w5_d594e3943
unsere	w7_d594e3946
Caval	w9_d594e3949
lerie	w1_d594e3954
verhindert	w3_d594e3957
wurde	w5_d594e3960
zu	w7_d594e3963
agiren,	w9_d594e3966
waren	w11_d594e3969
Ursache,	w1_d594e3974
daß	w3_d594e3977
wir	w5_d594e3980
nur	w7_d594e3983
einige	w9_d594e3986
wenige	w11_d594e3989
Ge	w13_d594e3993
fangene	w1_d594e3998
bekamen.	w3_d594e4001
Zwey	w5_d594e4004
Officiers	w7_d594e4007
und	w9_d594e4010
10.	w1_d594e4016
bis	w3_d594e4019
12.	w5_d594e4022
Mann	w7_d594e4025
von	w9_d594e4028
dem	w11_d594e4031
Freybatail	w13_d594e4035
lon	w1_d594e4040
wurden	w3_d594e4043
bey	w5_d594e4046
dieser	w7_d594e4049
Gelegenheit	w9_d594e4052
bles	w11_d594e4055
sirt.	w1_d594e4060
Am	w3_d594e4063
seldigen	w5_d594e4066
Abend	w7_d594e4069
ließ	w9_d594e4072
der	w11_d594e4075
Major	w13_d594e4079
Sprengtsport	w1_d594e4084
Rohtemühl	w3_d594e4087
mit	w5_d594e4090
