<doc id="wr_1761-10-21" attrs="word" year="1761" month="10" day="21" corpus="2">
<head id="h2_d597e3304">
Brest	w1_d597e3308
24.	w3_d597e3311
Sept.	w5_d597e3314
</head>
<p id="p4_d597e3317">
As	w1_d597e3321
Schif,	w3_d597e3324
der	w5_d597e3327
Palmier,	w7_d597e3330
von	w9_d597e3333
74	w11_d597e3336
)Stücken,	w1_d597e3343
dessen	w3_d597e3346
Ausrüstung	w5_d597e3349
be	w7_d597e3352
schleuniget	w1_d597e3357
werden	w3_d597e3360
sollte,	w5_d597e3363
ist	w7_d597e3366
be	w9_d597e3369
schädiget,	w1_d597e3375
und	w3_d597e3378
ausser	w5_d597e3381
Stand,	w7_d597e3384
eine	w9_d597e3387
weite	w11_d597e3390
Reise	w1_d597e3395
zu	w3_d597e3398
machen.	w5_d597e3401
Folglich	w7_d597e3404
stellet	w9_d597e3407
man	w11_d597e3410
den	w13_d597e3414
Herzog	w1_d597e3419
von	w3_d597e3422
Bourgogne,	w5_d597e3425
darüber	w7_d597e3428
der	w9_d597e3431
Herr	w11_d597e3434
von	w1_d597e3439
Blenack	w3_d597e3442
das	w5_d597e3445
Commando	w7_d597e3448
führen	w9_d597e3451
wird,	w11_d597e3454
wieder	w1_d597e3460
her.	w3_d597e3463
Dieser	w5_d597e3466
nihmt	w7_d597e3469
den	w9_d597e3472
Platz	w11_d597e3475
von	w13_d597e3479
dem	w1_d597e3484
Defenseur,	w3_d597e3487
den	w5_d597e3490
der	w7_d597e3493
Ritter	w9_d597e3496
von	w11_d597e3499
Rohan	w13_d597e3503
an	w1_d597e3508
statt	w3_d597e3511
des	w5_d597e3514
ihm	w7_d597e3517
bestimmten	w9_d597e3520
Palmier	w11_d597e3523
comman	w13_d597e3527
diret,	w1_d597e3532
ein.	w3_d597e3535
Unbeschreiblich	w5_d597e3538
viel	w7_d597e3541
Handwerks	w9_d597e3544
leute	w1_d597e3550
musten	w3_d597e3553
an	w5_d597e3556
dieser	w7_d597e3559
Kriegs=rüstung	w9_d597e3562
ar	w11_d597e3565
beiten.	w1_d597e3570
Die	w3_d597e3573
See=rüstung	w5_d597e3576
zu	w7_d597e3579
Rochefort	w9_d597e3582
bestehet	w1_d597e3587
aus	w3_d597e3590
neun	w5_d597e3593
Schiffen,	w7_d597e3596
und	w9_d597e3599
zwey	w11_d597e3602
Fre	w13_d597e3606
gaten.	w1_d597e3611
Es	w3_d597e3614
wird	w5_d597e3617
auch	w7_d597e3620
eine	w9_d597e3623
Veränderung	w11_d597e3626
im	w1_d597e3632
Commando	w3_d597e3635
daselbst	w5_d597e3638
vorgehen.	w7_d597e3641
</p>
<p id="p6_d597e3644">
Der	w1_d597e3648
Herr	w3_d597e3651
von	w5_d597e3654
Aubigny	w7_d597e3657
wird	w9_d597e3660
den	w11_d597e3663
To	w13_d597e3667
nant,	w1_d597e3672
von	w3_d597e3675
80.	w5_d597e3678
Canonen,	w7_d597e3681
der	w9_d597e3684
Herr	w11_d597e3687
von	w13_d597e3691
Morville	w1_d597e3696
den	w3_d597e3699
Orient	w5_d597e3702
von	w7_d597e3705
gleicher	w9_d597e3708
Stärke,	w11_d597e3711
</p>
<p id="p8_d597e3714">
der	w1_d597e3718
Herr	w3_d597e3721
von	w5_d597e3724
Orvillers	w7_d597e3727
den	w9_d597e3730
Guerrier,	w11_d597e3733
der	w13_d597e3737
Herr	w1_d597e3742
von	w3_d597e3745
Vaultron	w5_d597e3748
den	w7_d597e3751
Northumberland,	w9_d597e3754
und	w1_d597e3759
der	w3_d597e3762
Herr	w5_d597e3765
von	w7_d597e3768
la	w9_d597e3771
Touche	w11_d597e3774
Beauregard,	w13_d597e3778
die	w1_d597e3784
Hebe	w3_d597e3787
besteigen.	w5_d597e3790
</p>
<p id="p10_d597e3793">
Die	w1_d597e3797
Drohungen	w3_d597e3800
der	w5_d597e3803
Engländer	w7_d597e3806
gegen	w9_d597e3809
Martinique,	w1_d597e3814
und	w3_d597e3817
das,	w5_d597e3820
was	w7_d597e3823
ihre	w9_d597e3826
Zeitun	w11_d597e3829
gen	w1_d597e3834
von	w3_d597e3837
ihren	w5_d597e3840
bisherigen	w7_d597e3843
Bewegungen	w9_d597e3846
mel	w11_d597e3849
deten,	w1_d597e3855
verursachten	w3_d597e3858
uns	w5_d597e3861
einige	w7_d597e3864
Unruhen	w9_d597e3867
we	w11_d597e3870
gen	w1_d597e3875
dieser	w3_d597e3878
wichtigen	w5_d597e3881
Pflanz,	w7_d597e3884
stadt.	w9_d597e3887
Jedoch,	w11_d597e3890
die	w1_d597e3895
letztern	w3_d597e3898
von	w5_d597e3901
dort	w7_d597e3904
empfangene	w9_d597e3907
Briefe	w11_d597e3910
versichern:	w1_d597e3915
daß	w3_d597e3918
sich	w5_d597e3921
Martinique	w7_d597e3924
nichts	w9_d597e3927
zu	w11_d597e3930
befürchten	w1_d597e3936
habe.	w3_d597e3939
Der	w5_d597e3942
dasige	w7_d597e3945
Commandant,	w9_d597e3948
Herr	w1_d597e3953
von	w3_d597e3956
la	w5_d597e3959
Touche,	w7_d597e3962
ließ	w9_d597e3965
grosse	w11_d597e3968
Magazin	w13_d597e3972
aufspeichern;	w1_d597e3977
Er	w3_d597e3980
verbot	w5_d597e3983
keine	w7_d597e3986
Ochsen	w9_d597e3989
zu	w11_d597e3992
schlachten.	w1_d597e3997
Jeder	w3_d597e4000
Einwohner	w5_d597e4003
nuß	w7_d597e4006
sich	w9_d597e4009
auf	w11_d597e4012
ein	w1_d597e4018
halbes	w3_d597e4021
Jahr	w5_d597e4024
mit	w7_d597e4027
Lebens=mitteln	w9_d597e4030
verse	w11_d597e4033
hen.	w1_d597e4038
Uber	w3_d597e4041
diese	w5_d597e4044
Anordnung,	w7_d597e4047
welche	w9_d597e4050
aller	w11_d597e4053
dortigen	w1_d597e4058
Hungers=noht	w3_d597e4061
vorbeugen	w5_d597e4064
kan,	w7_d597e4067
stellet	w1_d597e4072
er	w3_d597e4075
auch	w5_d597e4078
die	w7_d597e4081
Land=soldaten	w9_d597e4084
in	w11_d597e4087
den	w13_d597e4091
</p>
<p id="p16_d597e4105">
Stand	w1_d597e4109
der	w3_d597e4112
besten	w5_d597e4115
Gegenwehr.	w7_d597e4118
Auch	w9_d597e4121
die	w11_d597e4124
Jnsel	w1_d597e4129
von	w3_d597e4132
St.	w5_d597e4135
Dominique	w7_d597e4138
ist	w9_d597e4141
eben	w11_d597e4144
so	w13_d597e4148
sicher.	w15_d597e4151
Wir	w1_d597e4156
befürchten	w3_d597e4159
nicht,	w5_d597e4162
daß	w7_d597e4165
sich	w9_d597e4168
England	w11_d597e4171
an	w13_d597e4175
eine	w1_d597e4181
Jnsel,	w3_d597e4184
davon	w5_d597e4187
Spanien	w7_d597e4190
die	w9_d597e4193
Hälfte	w11_d597e4196
be	w13_d597e4200
sitzt,	w1_d597e4205
wagen	w3_d597e4208
werde.	w5_d597e4211
Die	w7_d597e4214
nämlichen	w9_d597e4217
Briefe	w11_d597e4220
berichten	w1_d597e4225
auch,	w3_d597e4228
daß	w5_d597e4231
die	w7_d597e4234
See=fahrer	w9_d597e4237
von	w11_d597e4240
Martinique	w1_d597e4245
seit	w3_d597e4248
dem	w5_d597e4251
letztern	w7_d597e4254
Januarii	w9_d597e4257
