<doc id="wr_1761-12-16" attrs="word" year="1761" month="12" day="16" corpus="2">
<head id="h2_d613e3063">
Barcelona	w1_d613e3067
10.	w3_d613e3070
Nov.	w5_d613e3073
</head>
<p id="p4_d613e3076">
Spanien	w1_d613e3080
ist	w3_d613e3083
alles	w5_d613e3086
in	w7_d613e3089
ausserordent	w9_d613e3092
licher	w1_d613e3097
Bewegung,	w3_d613e3100
da	w5_d613e3103
man	w7_d613e3106
den	w9_d613e3109
Eng	w11_d613e3112
lischen	w1_d613e3117
Absichten	w3_d613e3120
nicht	w5_d613e3123
mehr	w7_d613e3126
zum	w9_d613e3129
be	w11_d613e3132
sten	w1_d613e3138
trauet,	w3_d613e3141
und	w5_d613e3144
darfür	w7_d613e3147
gehalten	w9_d613e3150
wird	w11_d613e3153
daß	w1_d613e3158
die	w3_d613e3161
Engländer	w5_d613e3164
gesucht,	w7_d613e3167
sich	w9_d613e3170
der	w11_d613e3173
aus	w13_d613e3177
Jndien	w1_d613e3182
kommenden	w3_d613e3185
Flotten	w5_d613e3188
zu	w7_d613e3191
versicheren.	w9_d613e3194
Die	w1_d613e3199
Spanische	w3_d613e3202
See=macht	w5_d613e3205
ist	w7_d613e3208
dato	w9_d613e3211
in	w11_d613e3214
ei	w13_d613e3218
nem	w1_d613e3224
ansehnlichen	w3_d613e3227
Stand.	w5_d613e3230
Seit	w7_d613e3233
zwey	w9_d613e3236
Jah	w11_d613e3239
ren	w1_d613e3244
sind	w3_d613e3247
zu	w5_d613e3250
Havana	w7_d613e3253
9.	w9_d613e3256
Kriegs=schiffe	w11_d613e3259
er	w13_d613e3263
bauet	w1_d613e3268
worden,	w3_d613e3271
wovon	w5_d613e3274
vier	w7_d613e3277
84,	w9_d613e3280
und	w11_d613e3283
fün	w13_d613e3287
64.	w1_d613e3292
Canonen	w3_d613e3295
führen,	w5_d613e3298
6.	w7_d613e3301
ligen	w9_d613e3304
noch	w11_d613e3307
in	w13_d613e3311
Spanien	w1_d613e3317
auf	w3_d613e3320
den	w5_d613e3323
Zimmer=plätzen,	w7_d613e3326
wovon	w9_d613e3329
4.	w1_d613e3334
von	w3_d613e3337
90.	w5_d613e3340
und	w7_d613e3343
die	w9_d613e3346
zwey	w11_d613e3349
andern	w13_d613e3353
von	w15_d613e3356
84.	w17_d613e3359
Canonen,	w1_d613e3364
und	w3_d613e3367
diese	w5_d613e3370
werden	w7_d613e3373
ohne	w9_d613e3376
Verzug	w11_d613e3379
ausgerüstet.	w1_d613e3384
Hinwiederum	w3_d613e3387
sollen	w5_d613e3390
auf	w7_d613e3393
de	w9_d613e3396
nen	w1_d613e3402
Zimmer=plätzen	w3_d613e3405
zu	w5_d613e3408
Ferrol,	w7_d613e3411
Cadix	w9_d613e3414
und	w11_d613e3417
Carthagena	w1_d613e3422
8.	w3_d613e3425
derselben	w5_d613e3428
in	w7_d613e3431
die	w9_d613e3434
Arbeit	w11_d613e3437
ge	w13_d613e3441
nomwen	w1_d613e3446
werden,	w3_d613e3449
und	w5_d613e3452
wie	w7_d613e3455
für	w9_d613e3458
gewiß	w11_d613e3461
ver	w13_d613e3465
sichert	w1_d613e3470
wird,	w3_d613e3473
erwartet	w5_d613e3476
man	w7_d613e3479
noch	w9_d613e3482
12.	w11_d613e3485
Schiffe,	w13_d613e3489
</p>
<p id="p6_d613e3492">
welche	w1_d613e3496
Spanien	w3_d613e3499
von	w5_d613e3502
Schweden	w7_d613e3505
gekauft.	w9_d613e3508
Zu	w1_d613e3513
Cadix	w3_d613e3516
werden	w5_d613e3519
3.	w7_d613e3522
neue	w9_d613e3525
Balaillons	w11_d613e3528
und	w13_d613e3532
viele	w1_d613e3537
Piquets	w3_d613e3540
von	w5_d613e3543
andern	w7_d613e3546
Regimentern	w9_d613e3549
ein	w11_d613e3552
geschift.	w1_d613e3558
Dem	w3_d613e3561
Vernehmen	w5_d613e3564
nach	w7_d613e3567
solle	w9_d613e3570
der	w11_d613e3573
Spanische	w1_d613e3578
Hof	w3_d613e3581
gesinnet	w5_d613e3584
seyn	w7_d613e3587
noch	w9_d613e3590
30000.	w11_d613e3593
Mann	w1_d613e3598
anwerben	w3_d613e3601
zu	w5_d613e3604
lassen.	w7_d613e3607
</p>
<head id="h2_d613e3613">
Londen	w1_d613e3617
27.	w3_d613e3620
November.	w5_d613e3623
</head>
<p id="p4_d613e3626">
Den	w1_d613e3630
2d.	w3_d613e3633
bewilligte	w5_d613e3636
die	w7_d613e3639
wegen	w9_d613e3642
denen	w11_d613e3645
Sub	w13_d613e3649
sidien	w1_d613e3654
versammlete	w3_d613e3657
Kammer	w5_d613e3660
der	w7_d613e3663
Gemeinen,	w9_d613e3666
daß	w1_d613e3671
70000.	w3_d613e3674
Mairosen	w5_d613e3677
mit	w7_d613e3680
19061.	w9_d613e3683
Solda	w11_d613e3686
ten	w1_d613e3692
das	w3_d613e3695
künftige	w5_d613e3698
1762.	w7_d613e3701
Jahr	w9_d613e3704
auf	w11_d613e3707
der	w13_d613e3711
Kö	w15_d613e3714
nigl.	w1_d613e3719
Flotte	w3_d613e3722
dienen	w5_d613e3725
sollten,	w7_d613e3728
ihr	w9_d613e3731
Jahr	w11_d613e3734
wird	w13_d613e3738
aus	w1_d613e3743
13.	w3_d613e3746
Monaten,	w5_d613e3749
das	w7_d613e3752
Monat	w9_d613e3755
aus	w11_d613e3758
28.	w13_d613e3762
Tägen,	w1_d613e3767
und	w3_d613e3770
der	w5_d613e3773
monatliche	w7_d613e3776
Sold,	w9_d613e3779
sowol	w11_d613e3782
für	w1_d613e3788
die	w3_d613e3791
Matrosen,	w5_d613e3794
als	w7_d613e3797
Soldaten	w9_d613e3800
und	w11_d613e3803
See	w13_d613e3807
artillerie=personen	w1_d613e3812
aus	w3_d613e3815
4.	w5_d613e3818
Pfund	w7_d613e3821
Sterlings	w9_d613e3824
bestehen.	w1_d613e3829
Da	w3_d613e3832
nun	w5_d613e3835
dieser	w7_d613e3838
Artieul	w9_d613e3841
die	w11_d613e3844
näm	w13_d613e3848
liche	w1_d613e3853
Beschaffenheit	w3_d613e3856
hat,	w5_d613e3859
als	w7_d613e3862
jener,	w9_d613e3865
so	w11_d613e3868
vor	w13_d613e3872
Anfang	w1_d613e3878
des	w3_d613e3881
letzt	w5_d613e3884
verstrichenen	w7_d613e3887
Jahrs	w9_d613e3890
bewil	w11_d613e3893
</p>
<p id="p10_d613e3906">
liget	w1_d613e3910
worden,	w3_d613e3913
so	w5_d613e3916
belauffet	w7_d613e3919
sich	w9_d613e3922
auch	w11_d613e3925
die	w13_d613e3929
Ausgab	w1_d613e3934
für	w3_d613e3937
das	w5_d613e3940
künftige	w7_d613e3943
auf	w9_d613e3946
3.	w11_d613e3949
Millionen,	w13_d613e3953
und	w1_d613e3958
640000.	w3_d613e3961
Pfund	w5_d613e3964
Sterlings.	w7_d613e3967
</p>
<p id="p12_d613e3971">
Den	w1_d613e3975
21.	w3_d613e3978
wurde	w5_d613e3981
dieser	w7_d613e3984
Entschluß	w9_d613e3987
gebil	w11_d613e3990
liget.	w1_d613e3995
Der	w3_d613e3998
Lord	w5_d613e4001
Batrington	w7_d613e4004
überreichte	w9_d613e4007
der	w1_d613e4012
Kammer	w3_d613e4015
eine	w5_d613e4018
Bil,	w7_d613e4021
um	w9_d613e4024
den	w11_d613e4027
König	w13_d613e4031
in	w15_d613e4034
den	w1_d613e4040
Stand	w3_d613e4043
zu	w5_d613e4046
setzen,	w7_d613e4049
der	w9_d613e4052
Königin	w11_d613e4055
einen	w13_d613e4059
wittiblichen	w1_d613e4064
Gehalt	w3_d613e4067
auszuwerfen,	w5_d613e4070
und	w7_d613e4073
sie	w9_d613e4076
wurde	w1_d613e4081
auch	w3_d613e4084
gleich	w5_d613e4087
zum	w7_d613e4090
erstenmal	w9_d613e4093
vorgelesen.	w11_d613e4096
</p>
<p id="p14_d613e4099">
Den	w1_d613e4103
23.	w3_d613e4106
wurde	w5_d613e4109
diese	w7_d613e4112
Bil	w9_d613e4115
zum	w11_d613e4118
zweyten	w13_d613e4122
mal	w1_d613e4127
in	w3_d613e4130
der	w5_d613e4133
Kammer	w7_d613e4136
der	w9_d613e4139
Gemeinen	w11_d613e4142
vorge	w13_d613e4146
lesen,	w1_d613e4151
und	w3_d613e4154
von	w5_d613e4157
denenselben	w7_d613e4160
die	w9_d613e4163
Mittel,	w11_d613e4166
diese	w13_d613e4170
Subsidien	w1_d613e4176
zu	w3_d613e4179
verschaffen,	w5_d613e4182
entworfen;	w7_d613e4185
diese	w9_d613e4188
sind	w1_d613e4193
folgende:	w3_d613e4196
Erstens,	w5_d613e4199
daß	w7_d613e4202
4.	w9_d613e4205
Chelius	w11_d613e4208
von	w1_d613e4213
jedem	w3_d613e4216
Pfund	w5_d613e4219
Sterlings	w7_d613e4222
auf	w9_d613e4225
alle	w11_d613e4228
Land	w13_d613e4232
güter,	w1_d613e4237
Capitale,	w3_d613e4240
und	w5_d613e4243
Stiftungen	w7_d613e4246
rc.	w9_d613e4249
in	w11_d613e4252
in	w1_d613e4258
England	w3_d613e4261
sowol,	w5_d613e4264
als	w7_d613e4267
in	w9_d613e4270
dem	w11_d613e4273
Fürstentum	w13_d613e4277
Wallis,	w1_d613e4282
und	w3_d613e4285
in	w5_d613e4288
Schottland	w7_d613e4291
dem	w9_d613e4294
Unions	w11_d613e4297
tractat	w1_d613e4302
beyder	w3_d613e4305
Königreiche	w5_d613e4308
zufolge	w7_d613e4311
eine	w9_d613e4314
ge	w11_d613e4317
mässe	w1_d613e4322
Beysteuer	w3_d613e4325
ausgeschrieben	w5_d613e4328
werde;	w7_d613e4331
die	w9_d613e4334
auf	w1_d613e4340
die	w3_d613e4343
Netze,	w5_d613e4346
Mumien,	w7_d613e4349
und	w9_d613e4352
Birumost	w11_d613e4355
gesetzte	w1_d613e4360
Zölle	w3_d613e4363
aber	w5_d613e4366
vom	w7_d613e4369
24.	w9_d613e4372
Junii	w11_d613e4375
des	w13_d613e4379
1762.	w15_d613e4382
Jahrs	w1_d613e4387
anzufangen	w3_d613e4390
noch	w5_d613e4393
ein	w7_d613e4396
ganzes	w9_d613e4399
Jahr	w11_d613e4402
hindurch	w1_d613e4407
verbleiben	w3_d613e4410
sollen.	w5_d613e4413
Die	w7_d613e4416
auf	w9_d613e4419
die	w11_d613e4422
Land=güter	w1_d613e4428
gesetzte	w3_d613e4431
Taxe	w5_d613e4434
wirft	w7_d613e4437
ungefähr	w9_d613e4440
2.	w1_d613e4445
Millionen	w3_d613e4448
jährlich	w5_d613e4451
ab,	w7_d613e4454
und	w9_d613e4457
