<doc id="wr_1762-01-06" attrs="word" year="1762" month="01" day="06" corpus="2">
<head id="h2_d619e3497">
Lißbon	w1_d619e3501
1.	w3_d619e3504
Decemb.	w5_d619e3507
1761.	w7_d619e3510
</head>
<p id="p4_d619e3513">
VOrgestern	w1_d619e3517
war	w3_d619e3520
endlich	w5_d619e3523
der	w7_d619e3526
Tag,	w9_d619e3529
an	w11_d619e3532
welchem	w1_d619e3537
dem	w3_d619e3540
sehnlichen	w5_d619e3543
Erwarten	w7_d619e3546
des	w9_d619e3549
grösten	w1_d619e3554
Theils	w3_d619e3557
unserer	w5_d619e3560
Einwohner	w7_d619e3563
durch	w1_d619e3569
die	w3_d619e3572
Publicirung	w5_d619e3575
der	w7_d619e3578
sogenannten	w9_d619e3581
Bul	w11_d619e3584
la	w1_d619e3589
cruclata	w3_d619e3592
eine	w5_d619e3595
Genüge	w7_d619e3598
geschehen.	w9_d619e3601
Die	w11_d619e3604
ser	w1_d619e3609
Act	w3_d619e3612
ist	w5_d619e3615
einer	w7_d619e3618
der	w9_d619e3621
feyerlichsten	w11_d619e3624
bey	w13_d619e3628
uns:	w15_d619e3631
Don	w1_d619e3636
Paulo	w3_d619e3639
de	w5_d619e3642
Caravalho,	w7_d619e3645
ein	w9_d619e3648
Bruder	w11_d619e3651
des	w13_d619e3655
Grafen	w1_d619e3661
d'Oeyras,	w3_d619e3664
wurde	w5_d619e3667
als	w7_d619e3670
dermaliger	w9_d619e3673
Päpstl.	w1_d619e3678
Commissarius	w3_d619e3681
mit	w5_d619e3684
4.	w7_d619e3687
sechsspän	w9_d619e3690
nigen	w1_d619e3695
Königl.Kutschen	w3_d619e3698
abgeholet,	w5_d619e3701
und	w7_d619e3704
aus	w9_d619e3707
seimem	w1_d619e3712
Haus	w3_d619e3715
in	w5_d619e3718
Begleitung	w7_d619e3721
aller	w9_d619e3724
Gerichts	w11_d619e3727
stellen,	w1_d619e3733
des	w3_d619e3736
Ministerii,	w5_d619e3739
des	w7_d619e3742
Adels	w9_d619e3745
und	w11_d619e3748
der	w13_d619e3752
Geistlichkeit	w1_d619e3757
in	w3_d619e3760
ihren	w5_d619e3763
eigenen	w7_d619e3766
Wägen,	w9_d619e3769
nach	w11_d619e3772
einem	w1_d619e3777
langen	w3_d619e3780
Umzug	w5_d619e3783
durch	w7_d619e3786
die	w9_d619e3789
Stadt,	w11_d619e3792
in	w13_d619e3796
die	w1_d619e3801
Kirchen	w3_d619e3804
do	w5_d619e3807
Sacramento	w7_d619e3810
genannt,	w9_d619e3813
und	w11_d619e3816
bernach	w1_d619e3822
in	w3_d619e3825
seine	w5_d619e3828
Wohnung	w7_d619e3831
zurück	w9_d619e3834
geführet.	w11_d619e3837
Die	w1_d619e3842
Bulla	w3_d619e3845
cruciata	w5_d619e3848
enthält	w7_d619e3851
bekannter	w9_d619e3854
