<doc id="wr_1762-02-03" attrs="word" year="1762" month="02" day="03" corpus="2">
<head id="h2_d627e3760">
Madrit,	w1_d627e3764
29.	w3_d627e3767
Dec.	w5_d627e3770
</head>
<p id="p4_d627e3773">
er	w1_d627e3777
König	w3_d627e3780
kaufte	w5_d627e3783
ohne	w7_d627e3786
Canonen	w9_d627e3789
und	w11_d627e3792
)Tzuwerk,	w1_d627e3797
um	w3_d627e3800
60000.	w5_d627e3803
Ducaten	w7_d627e3806
ein	w1_d627e3811
blosses	w3_d627e3814
Kriegs=schif,	w5_d627e3817
welches	w7_d627e3820
nach	w1_d627e3826
der	w3_d627e3829
Bau=art	w5_d627e3832
von	w7_d627e3835
Genua,	w9_d627e3838
verferti	w11_d627e3841
get	w1_d627e3846
ist.	w3_d627e3849
Es	w5_d627e3852
fuhr	w7_d627e3855
seit	w9_d627e3858
einigen	w11_d627e3861
Jahren	w13_d627e3865
von	w15_d627e3868
Cadix	w1_d627e3873
nach	w3_d627e3876
Genua	w5_d627e3879
und	w7_d627e3882
war	w9_d627e3885
von	w11_d627e3888
60.	w13_d627e3892
Stücken.	w1_d627e3897
</p>
<p id="p6_d627e3900">
Auf	w1_d627e3904
denen	w3_d627e3907
Wällen	w5_d627e3910
von	w7_d627e3913
Cadix,	w9_d627e3916
werden	w11_d627e3919
alle	w1_d627e3924
Stücke	w3_d627e3927
schußfertig	w5_d627e3930
verdoppelt,	w7_d627e3933
und	w9_d627e3936
die	w11_d627e3939
Vestungs=werker	w1_d627e3944
vermehret.	w3_d627e3947
Zwey	w5_d627e3950
Kriegs	w7_d627e3953
schiffe	w1_d627e3959
ankern	w3_d627e3962
in	w5_d627e3965
dem	w7_d627e3968
dortigen	w9_d627e3971
See=busen	w11_d627e3974
und	w1_d627e3979
stellen	w3_d627e3982
sowol	w5_d627e3985
bey	w7_d627e3988
allen	w9_d627e3991
ein	w11_d627e3994
als	w13_d627e3998
aus	w15_d627e4001
fahrenden	w1_d627e4006
Schiffen	w3_d627e4009
die	w5_d627e4012
genaueste	w7_d627e4015
Untersu	w9_d627e4018
chung	w1_d627e4023
an.	w3_d627e4026
Es	w5_d627e4029
sind	w7_d627e4032
aber	w9_d627e4035
gleichwol	w11_d627e4038
17.	w13_d627e4042
Eng	w15_d627e4045
ländische	w1_d627e4051
Schiffe,	w3_d627e4054
welche	w5_d627e4057
in	w7_d627e4060
dem	w9_d627e4063
See=hafen	w11_d627e4066
zu	w1_d627e4071
Cadix	w3_d627e4074
lagen,	w5_d627e4077
noch	w7_d627e4080
zu	w9_d627e4083
rechter	w11_d627e4086
Zeit	w13_d627e4090
durch	w15_d627e4093
gekommen,	w1_d627e4098
indem	w3_d627e4101
sie	w5_d627e4104
von	w7_d627e4107
dem	w9_d627e4110
Engländi	w11_d627e4113
schen	w1_d627e4118
Botschafter,	w3_d627e4121
ungeachtet	w5_d627e4124
aller	w7_d627e4127
dagegen	w9_d627e4130
gebrauchten	w1_d627e4136
Vorsicht,	w3_d627e4139
die	w5_d627e4142
Zeitliche	w7_d627e4145
Wahr	w9_d627e4148
</p>
<p id="p8_d627e4151">
nung	w1_d627e4155
wegen	w3_d627e4158
des	w5_d627e4161
Friedens=bruches	w7_d627e4164
erhaltem	w9_d627e4167
hatten.	w1_d627e4172
</p>
<p id="p10_d627e4175">
Den	w1_d627e4179
15.	w3_d627e4182
dieses	w5_d627e4185
wurden	w7_d627e4188
einem	w9_d627e4191
Engli	w11_d627e4194
schen	w1_d627e4199
Schiffe,	w3_d627e4202
welches	w5_d627e4205
nicht	w7_d627e4208
mit	w9_d627e4211
den	w11_d627e4214
übri	w13_d627e4218
gen	w1_d627e4223
auslauffen	w3_d627e4226
konte,	w5_d627e4229
die	w7_d627e4232
Ruder	w9_d627e4235
und	w11_d627e4238
Schrif	w13_d627e4242
ten	w1_d627e4248
abgenommen;	w3_d627e4251
nicht	w5_d627e4254
weniger	w7_d627e4257
die	w9_d627e4260
Kauf	w11_d627e4263
manns=güter	w1_d627e4268
aller	w3_d627e4271
Englischen	w5_d627e4274
Handlungs	w7_d627e4277
häuser	w1_d627e4282
in	w3_d627e4285
ein	w5_d627e4288
gerichtliches	w7_d627e4291
Verzeichniß	w9_d627e4294
ge	w11_d627e4297
bracht.	w1_d627e4302
Zu	w3_d627e4305
Corogne	w5_d627e4308
wurde	w7_d627e4311
