<doc id="wr_1762-03-24" attrs="word" year="1762" month="03" day="24" corpus="2">
<head id="h2_d641e3335">
Cadir	w1_d641e3339
27.	w3_d641e3342
Febr.	w5_d641e3345
</head>
<p id="p4_d641e3348">
Er	w1_d641e3352
Marquis	w3_d641e3355
von	w5_d641e3358
Catholica	w7_d641e3361
soll	w9_d641e3364
bald	w11_d641e3367
von	w1_d641e3372
hier	w3_d641e3375
mit	w5_d641e3378
30	w7_d641e3381
Kriegs=schiffen	w9_d641e3384
ab	w11_d641e3387
S	w1_d641e3392
sereln,	w1_d641e3398
um	w3_d641e3401
die	w5_d641e3404
Jnsul	w7_d641e3407
Corsica,	w9_d641e3410
und	w11_d641e3413
den	w1_d641e3418
See=hafen	w3_d641e3421
von	w5_d641e3424
Savonna	w7_d641e3427
für	w9_d641e3430
den	w11_d641e3433
Kö	w13_d641e3437
nig	w1_d641e3442
von	w3_d641e3445
Spanien	w5_d641e3448
in	w7_d641e3451
Besitz	w9_d641e3454
zu	w11_d641e3457
nehmen.	w13_d641e3461
</p>
<head id="h2_d641e3467">
Londen	w1_d641e3471
7	w3_d641e3474
Martii.	w5_d641e3477
</head>
<p id="p4_d641e3480">
Vorgestern	w1_d641e3484
erhielt	w3_d641e3487
das	w5_d641e3490
Ministerium	w7_d641e3493
durch	w9_d641e3496
einen	w1_d641e3501
Currier	w3_d641e3504
Depeschen	w5_d641e3507
von	w7_d641e3510
der	w9_d641e3513
Regierung	w11_d641e3516
von	w1_d641e3521
Hanjover,	w3_d641e3524
im	w5_d641e3527
Betref	w7_d641e3530
der	w9_d641e3533
für	w11_d641e3536
den	w13_d641e3540
künf	w15_d641e3543
tigenFeldzug	w1_d641e3549
zu	w3_d641e3552
treffenden	w5_d641e3555
Anstalten,	w7_d641e3558
be	w9_d641e3561
sonders	w1_d641e3566
die	w3_d641e3569
Anlegung	w5_d641e3572
hielänglicher	w7_d641e3575
Maga	w9_d641e3578
zine	w1_d641e3583
für	w3_d641e3586
die	w5_d641e3589
Subsistenz	w7_d641e3592
der	w9_d641e3595
alliirten	w11_d641e3598
Armee.	w13_d641e3602
Da	w1_d641e3607
man	w3_d641e3610
in	w5_d641e3613
England	w7_d641e3616
an	w9_d641e3619
Früchten	w11_d641e3622
und	w13_d641e3626
Fou	w15_d641e3629
rage	w1_d641e3635
einen	w3_d641e3638
Uberfluß	w5_d641e3641
hät,	w7_d641e3644
so	w9_d641e3647
glaubt	w11_d641e3650
man	w13_d641e3654
daß	w1_d641e3659
ein	w3_d641e3662
guter	w5_d641e3665
Theil	w7_d641e3668
davon	w9_d641e3671
nach	w11_d641e3674
Stade	w13_d641e3678
wer	w15_d641e3681
de	w1_d641e3686
überbracht	w3_d641e3689
werden,	w5_d641e3692
wodurch	w7_d641e3695
man	w9_d641e3698
al	w11_d641e3701
len	w1_d641e3706
denen	w3_d641e3709
Unanständigkeiten	w5_d641e3712
vorbeugen	w7_d641e3715
kan,	w9_d641e3718
die	w1_d641e3724
in	w3_d641e3727
einem	w5_d641e3730
Land,	w7_d641e3733
so	w9_d641e3736
dem	w11_d641e3739
Kriegs=schau=platz	w13_d641e3743
so	w1_d641e3748
nahe,	w3_d641e3751
nur	w5_d641e3754
allzuoft	w7_d641e3757
sich	w9_d641e3760
zu	w11_d641e3763
äussern	w13_d641e3767
pfle	w15_d641e3770
</p>
<p id="p6_d641e3773">
gen.	w1_d641e3777
Man	w3_d641e3780
wünscht	w5_d641e3783
hier	w7_d641e3786
sehr,	w9_d641e3789
diese	w11_d641e3792
Ent	w13_d641e3796
schliessung	w1_d641e3801
nehmen	w3_d641e3804
zu	w5_d641e3807
sehen,	w7_d641e3810
theils	w9_d641e3813
weil	w11_d641e3816
viele	w1_d641e3821
Personen	w3_d641e3824
dabey	w5_d641e3827
profitiren	w7_d641e3830
würden,	w9_d641e3833
theils	w1_d641e3839
weil	w3_d641e3842
men	w5_d641e3845
glaubt,	w7_d641e3848
daß	w9_d641e3851
dadurch	w11_d641e3854
der	w13_d641e3858
Nation	w1_d641e3863
viele	w3_d641e3866
Kosten	w5_d641e3869
werden	w7_d641e3872
erspahret	w9_d641e3875
wer	w11_d641e3878
den	w1_d641e3883
Der	w3_d641e3886
Prinz	w5_d641e3889
von	w7_d641e3892
Mecklenburg	w9_d641e3895
und	w11_d641e3898
die	w13_d641e3902
übrige	w1_d641e3907
Herren,	w3_d641e3910
so	w5_d641e3913
zu	w7_d641e3916
Portsmouth	w9_d641e3919
die	w11_d641e3922
grosse	w13_d641e3926
Expeditions=flotte	w1_d641e3932
besehen,	w3_d641e3935
sind	w5_d641e3938
am	w7_d641e3941
Sam	w9_d641e3944
stag	w1_d641e3949
von	w3_d641e3952
da	w5_d641e3955
zurück	w7_d641e3958
gekommen.	w9_d641e3961
Man	w11_d641e3964
rech	w13_d641e3968
net,	w1_d641e3973
daß	w3_d641e3976
nach	w5_d641e3979
der	w7_d641e3982
Einschiffung	w9_d641e3985
der	w11_d641e3988
zu	w13_d641e3992
der	w15_d641e3995
vorseyenden	w1_d641e4000
Unternehmung	w3_d641e4003
bestimmten	w5_d641e4006
Tru	w7_d641e4009
pen,	w1_d641e4015
doch	w3_d641e4018
noch	w5_d641e4021
bey	w7_d641e4024
60000	w9_d641e4027
Mann	w11_d641e4030
in	w13_d641e4034
denen	w15_d641e4037
Königreichen	w1_d641e4042
verbleiben,	w3_d641e4045
nämlich	w5_d641e4048
21500.	w7_d641e4051
Mann	w1_d641e4056
regülirter	w3_d641e4059
Trupen,	w5_d641e4062
und	w7_d641e4065
22500.	w9_d641e4068
Mann	w1_d641e4073
Militz	w3_d641e4076
in	w5_d641e4079
England	w7_d641e4082
und	w9_d641e4085
Schottland,	w11_d641e4088
und	w1_d641e4094
