<doc id="wr_1762-04-03" attrs="word" year="1762" month="04" day="03" corpus="2">
<head id="h2_d644e3254">
Auszug=schreiben	w1_d644e3258
von	w3_d644e3261
Martinique,	w5_d644e3264
den	w1_d644e3269
16.	w3_d644e3272
Januarii	w5_d644e3275
Abends	w7_d644e3278
um	w9_d644e3281
halb	w1_d644e3286
8.	w3_d644e3289
Uhr.	w5_d644e3292
</head>
<p id="p4_d644e3295">
NAchdeme	w1_d644e3299
die	w3_d644e3302
Engländer	w5_d644e3305
uns	w7_d644e3308
über	w9_d644e3311
1.	w11_d644e3314
Monat	w1_d644e3319
mit	w3_d644e3322
einem	w5_d644e3325
Theil	w7_d644e3328
ihrer	w9_d644e3331
See	w11_d644e3334
macht	w1_d644e3339
bloquirt	w3_d644e3342
gehalten,	w5_d644e3345
so	w7_d644e3348
erschie	w9_d644e3351
nen	w1_d644e3357
sie	w3_d644e3360
den	w5_d644e3363
7.	w7_d644e3366
dieses	w9_d644e3369
Morgens	w11_d644e3372
an	w13_d644e3376
der	w15_d644e3379
Zahl	w17_d644e3382
von	w1_d644e3387
140	w3_d644e3390
Seegeln	w5_d644e3393
um	w7_d644e3396
ihre	w9_d644e3399
Unternehmung,	w11_d644e3402
womit	w1_d644e3407
sie	w3_d644e3410
uns	w5_d644e3413
solang	w7_d644e3416
gedrohet,	w9_d644e3419
nachdrucklich	w11_d644e3422
auszuführen.	w1_d644e3427
Wir	w3_d644e3430
ergriffen	w5_d644e3433
alsobald	w7_d644e3436
das	w9_d644e3439
Gewehr,	w1_d644e3445
und	w3_d644e3448
besetzten	w5_d644e3451
alle	w7_d644e3454
Posten	w9_d644e3457
der	w11_d644e3460
Jn	w13_d644e3464
sel.	w1_d644e3469
Den	w3_d644e3472
8.	w5_d644e3475
machten	w7_d644e3478
die	w9_d644e3481
Engländer	w11_d644e3484
bey	w13_d644e3488
Marin	w1_d644e3493
den	w3_d644e3496
ersten	w5_d644e3499
Angrlf,	w7_d644e3502
und	w9_d644e3505
schiften	w11_d644e3508
4.	w13_d644e3512
bis	w15_d644e3515
5000.	w1_d644e3520
Mann	w3_d644e3523
aus.	w5_d644e3526
Hierauf	w7_d644e3529
wollten	w9_d644e3532
sich	w11_d644e3535
diese	w1_d644e3541
Trupen	w3_d644e3544
auf	w5_d644e3547
diesem	w7_d644e3550
Lande	w9_d644e3553
ausbreiten,	w11_d644e3556
allein	w1_d644e3561
sie	w3_d644e3564
wurden	w5_d644e3567
mit	w7_d644e3570
Verlost	w9_d644e3573
von	w11_d644e3576
500.	w13_d644e3580
Mann	w15_d644e3583
Todien	w1_d644e3588
und	w3_d644e3591
noch	w5_d644e3594
mehreren	w7_d644e3597
Bleßirten	w9_d644e3600
tapfer	w11_d644e3603
zurück	w1_d644e3608
geschlagen.	w3_d644e3611
Wir	w5_d644e3614
hätten	w7_d644e3617
auf	w9_d644e3620
dieser	w11_d644e3623
Seite	w1_d644e3629
nichts	w3_d644e3632
eingebüsset,	w5_d644e3635
wenn	w7_d644e3638
nicht	w9_d644e3641
eine	w11_d644e3644
feindliche	w1_d644e3649
Bombe	w3_d644e3652
auf	w5_d644e3655
den	w7_d644e3658
Pulfer=vorraht	w9_d644e3661
</p>
<p id="p6_d644e3664">
einer	w1_d644e3668
unserer	w3_d644e3671
Batterien	w5_d644e3674
gefallen	w7_d644e3677
wäre,	w9_d644e3680
wo	w11_d644e3683
durch	w1_d644e3688
3	w3_d644e3691
Weisse	w5_d644e3694
und	w7_d644e3697
2.	w9_d644e3700
Schwarze	w11_d644e3703
verunglücket	w13_d644e3707
worden.	w1_d644e3712
Da	w3_d644e3715
nun	w5_d644e3718
die	w7_d644e3721
Engländer	w9_d644e3724
bey	w11_d644e3727
Marin	w13_d644e3731
nichts	w1_d644e3737
ausrichten	w3_d644e3740
konnten,	w5_d644e3743
so	w7_d644e3746
wagten	w9_d644e3749
sie	w11_d644e3752
verschiedene	w1_d644e3757
Versuche	w3_d644e3760
in	w5_d644e3763
der	w7_d644e3766
Baye	w9_d644e3769
von	w11_d644e3772
St.	w13_d644e3776
Ane,	w1_d644e3781
und	w3_d644e3784
an	w5_d644e3787
