<doc id="wr_1762-04-21" attrs="word" year="1762" month="04" day="21" corpus="2">
<head id="h2_d649e3413">
Madrit	w1_d649e3417
12.	w3_d649e3420
Martii.	w5_d649e3423
</head>
<p id="p4_d649e3426">
Je	w1_d649e3430
Kriegs=zurüstungen,	w3_d649e3433
unerachtet	w5_d649e3436
)dieselbe	w1_d649e3441
möglichsten	w3_d649e3444
Fleisses	w5_d649e3447
beschleu	w7_d649e3450
niget	w1_d649e3455
werden	w3_d649e3458
sind	w5_d649e3461
noch	w7_d649e3464
nicht	w9_d649e3467
an	w11_d649e3470
ih	w13_d649e3474
rem	w1_d649e3480
Ende.	w3_d649e3483
Man	w5_d649e3486
muß	w7_d649e3489
es	w9_d649e3492
der	w11_d649e3495
Vielheit	w13_d649e3499
und	w15_d649e3502
Mannigfaltigkeit	w1_d649e3507
zuschreiben,	w3_d649e3510
daß	w5_d649e3513
man	w7_d649e3516
mit	w9_d649e3519
diesen	w1_d649e3524
Geschäften	w3_d649e3527
so	w5_d649e3530
lange	w7_d649e3533
zu	w9_d649e3536
thun	w11_d649e3539
hat.	w13_d649e3543
Kurz,	w15_d649e3546
die	w1_d649e3551
Zurüstungen	w3_d649e3554
sind	w5_d649e3557
fürchterlich,	w7_d649e3560
und	w9_d649e3563
zeigen	w11_d649e3566
grosse	w1_d649e3572
Absichten,	w3_d649e3575
die	w5_d649e3578
man	w7_d649e3581
auszuführen	w9_d649e3584
ge	w11_d649e3587
denket.	w1_d649e3592
Den	w3_d649e3595
Plan	w5_d649e3598
dazu	w7_d649e3601
hat	w9_d649e3604
noch	w11_d649e3607
niemand	w13_d649e3611
gesehen;	w1_d649e3616
es	w3_d649e3619
ist	w5_d649e3622
aber	w7_d649e3625
würklich	w9_d649e3628
von	w11_d649e3631
Seiten	w13_d649e3635
der	w1_d649e3640
Kriegs=canzley	w3_d649e3643
der	w5_d649e3646
letzte	w7_d649e3649
Befehl	w9_d649e3652
heraus	w11_d649e3655
gekommen,	w1_d649e3661
was	w3_d649e3664
den	w5_d649e3667
Marsch	w7_d649e3670
und	w9_d649e3673
die	w11_d649e3676
Be	w13_d649e3680
stimmung	w1_d649e3685
sämmentlicher	w3_d649e3688
Trupen	w5_d649e3691
angehet.	w7_d649e3694
Man	w1_d649e3699
hat	w3_d649e3702
ihnen	w5_d649e3705
auch	w7_d649e3708
den	w9_d649e3711
Tag	w11_d649e3714
gesetzet,	w13_d649e3718
auf	w15_d649e3721
welchen	w1_d649e3726
jedes	w3_d649e3729
Regiment	w5_d649e3732
an	w7_d649e3735
dem	w9_d649e3738
Ort,	w11_d649e3741
wo	w13_d649e3745
die	w1_d649e3751
verschiedenen	w3_d649e3754
Corps	w5_d649e3757
d'Armee	w7_d649e3760
sich	w9_d649e3763
zusam	w11_d649e3766
men	w1_d649e3771
ziehen,	w3_d649e3774
sich	w5_d649e3777
einfinden,	w7_d649e3780
desgleichen	w9_d649e3783
den	w11_d649e3786
Weeg,	w1_d649e3791
den	w3_d649e3794
sie	w5_d649e3797
