<doc id="wr_1762-05-01" attrs="word" year="1762" month="05" day="01" corpus="2">
<head id="h2_d652e3101">
Auszug	w1_d652e3105
eines	w3_d652e3108
Schreibens	w5_d652e3111
von	w7_d652e3114
Lis	w9_d652e3117
sabon	w1_d652e3122
den	w3_d652e3125
30.	w5_d652e3128
März.	w7_d652e3131
</head>
<p id="p4_d652e3136">
Nsere	w1_d652e3140
Unruhen	w3_d652e3143
werden	w5_d652e3146
täglich	w7_d652e3149
grosser.	w9_d652e3152
Spanien	w1_d652e3157
ziehet	w3_d652e3160
auf	w5_d652e3163
unseren	w7_d652e3166
Gränzen	w9_d652e3169
ein	w1_d652e3174
Kriegs=heer	w3_d652e3177
zusammen,	w5_d652e3180
welches	w7_d652e3183
dem	w1_d652e3189
Vernehmen	w3_d652e3192
nach	w5_d652e3195
schon	w7_d652e3198
auf	w9_d652e3201
40000.	w11_d652e3204
Mann	w1_d652e3209
solle	w3_d652e3212
angewachsen	w5_d652e3215
seyn:	w7_d652e3218
es	w9_d652e3221
ist	w11_d652e3224
zwar	w13_d652e3228
der	w1_d652e3233
gröste	w3_d652e3236
Theil	w5_d652e3239
dieser	w7_d652e3242
Leute	w9_d652e3245
in	w11_d652e3248
der	w13_d652e3252
Kriegs	w15_d652e3255
schule	w1_d652e3260
noch	w3_d652e3263
ganz	w5_d652e3266
unerfahren,	w7_d652e3269
allein	w9_d652e3272
man	w11_d652e3275
giebt	w1_d652e3281
sich	w3_d652e3284
täglich	w5_d652e3287
die	w7_d652e3290
Mühr,	w9_d652e3293
dieselbe	w11_d652e3296
im	w13_d652e3300
mer	w1_d652e3305
mehr	w3_d652e3308
und	w5_d652e3311
mehr	w7_d652e3314
abzurichten,	w9_d652e3317
und	w11_d652e3320
in	w13_d652e3324
kurzem	w1_d652e3329
sollen	w3_d652e3332
noch	w5_d652e3335
andere	w7_d652e3338
Trupen	w9_d652e3341
darzu	w11_d652e3344
stossen.	w1_d652e3349
</p>
<p id="p6_d652e3355">
Die	w1_d652e3359
Befestigungs	w3_d652e3362
