<doc id="wr_1762-06-12" attrs="word" year="1762" month="06" day="12" corpus="2">
<head id="h2_d664e3095">
Monte=Christo,	w1_d664e3099
aus	w3_d664e3102
der	w5_d664e3105
Jnsel	w7_d664e3108
Bispaniola,	w1_d664e3113
vom	w3_d664e3116
3.	w5_d664e3119
März.	w7_d664e3122
</head>
<p id="p4_d664e3125">
zit	w1_d664e3129
einem	w3_d664e3132
vorgestern	w5_d664e3135
angekommenen	w7_d664e3138
Schiffe	w1_d664e3143
hat	w3_d664e3146
unser	w5_d664e3149
Gouverneur	w7_d664e3152
die	w9_d664e3155
Nachricht	w1_d664e3162
von	w3_d664e3165
der	w5_d664e3168
Kriegserklä	w7_d664e3171
rung	w1_d664e3177
Spaniens,	w3_d664e3180
gegen	w5_d664e3183
Großbritannien	w7_d664e3186
er	w9_d664e3189
halten.	w1_d664e3194
Gestern	w3_d664e3197
machte	w5_d664e3200
selbiger	w7_d664e3203
diese	w9_d664e3206
an	w11_d664e3209
der	w1_d664e3214
Spitze	w3_d664e3217
von	w5_d664e3220
400.	w7_d664e3223
Mann	w9_d664e3226
mit	w11_d664e3229
den	w13_d664e3233
ge	w15_d664e3236
wöhnlichen	w1_d664e3241
Feyerlichkeiten	w3_d664e3244
bekannt.	w5_d664e3247
Von	w7_d664e3250
denen	w1_d664e3256
Forts	w3_d664e3259
ward	w5_d664e3262
sogleich	w7_d664e3265
auf	w9_d664e3268
die	w11_d664e3271
Englän	w13_d664e3275
dischen	w1_d664e3280
Fahrzeuge	w3_d664e3283
Feuer	w5_d664e3286
gegeben,	w7_d664e3289
die	w9_d664e3292
sich	w11_d664e3295
darauf	w1_d664e3300
in	w3_d664e3303
Sicherheit	w5_d664e3306
zu	w7_d664e3309
setzen	w9_d664e3312
suchten.	w11_d664e3315
Al	w13_d664e3319
le	w1_d664e3324
Engländer,	w3_d664e3327
welche	w5_d664e3330
sich	w7_d664e3333
zu	w9_d664e3336
Lande	w11_d664e3339
befan	w13_d664e3343
ven,	w1_d664e3349
wurden,	w3_d664e3352
nebst	w5_d664e3355
ihren	w7_d664e3358
Effecten,	w9_d664e3361
ange	w11_d664e3364
halten.	w1_d664e3369
</p>
<p id="p6_d664e3372">
Antwort	w1_d664e3376
des	w3_d664e3379
Staas=secretairs	w5_d664e3382
Sr.	w7_d664e3385
allergetreuesten	w1_d664e3390
Majestät,	w3_d664e3393
auf	w5_d664e3396
das	w7_d664e3399
Promemoria	w1_d664e3404
des	w3_d664e3407
Spanischen	w5_d664e3410
Am	w7_d664e3413
</p>
<p id="p8_d664e3416">
bassadeurs	w1_d664e3420
und	w3_d664e3423
des	w5_d664e3426
gevollmächtig	w7_d664e3429
ten	w1_d664e3434
Ministers	w3_d664e3437
von	w5_d664e3440
Frankreich.	w7_d664e3443
</p>
<p id="p10_d664e3446">
Nachdem	w1_d664e3450
Don	w3_d664e3453
Luis	w5_d664e3456
da	w7_d664e3459
Cunha,	w9_d664e3462
Staats	w11_d664e3465
secretair	w1_d664e3470
des	w3_d664e3473
allergetreuesten	w5_d664e3476
Königs,	w7_d664e3479
Sr.	w9_d664e3482
Majestät	w1_d664e3487
das	w3_d664e3490
Promemoria	w5_d664e3493
vorgelegt,	w7_d664e3496
wel	w9_d664e3499
ches	w1_d664e3505
Se.	w3_d664e3508
Excell.	w5_d664e3511
Herr	w7_d664e3514
Torrero,	w9_d664e3517
Ambassa	w11_d664e3520
deur	w1_d664e3525
des	w3_d664e3528
Catholischen	w5_d664e3531
Königs,	w7_d664e3534
und	w9_d664e3537
Herr	w11_d664e3540
O=Dün,	w1_d664e3545
gevollmächtigter	w3_d664e3548
Minister	w5_d664e3551
des	w7_d664e3554
Al	w9_d664e3557
lerchristlichsten	w1_d664e3562
Königs	w3_d664e3565
an	w5_d664e3568
diesem	w7_d664e3571
Hofe,	w9_d664e3574
ihm	w11_d664e3577
am	w1_d664e3583
16.	w3_d664e3586
dieses	w5_d664e3589
zugestellt	w7_d664e3592
hatten,	w9_d664e3595
und	w11_d664e3598
wo	w13_d664e3602
rinn,	w1_d664e3607
nach	w3_d664e3610
angegebenen	w5_d664e3613
Ursachen	w7_d664e3616
von	w9_d664e3619
dem	w11_d664e3622
zwischen	w1_d664e3627
beyden	w3_d664e3630
Monarchen	w5_d664e3633
und	w7_d664e3636
England	w9_d664e3639
ausgebrochenen	w1_d664e3644
Kriege,	w3_d664e3647
Se.	w5_d664e3650
allergetreue	w7_d664e3653
ste	w1_d664e3659
Majestät	w3_d664e3662
eingeladen	w5_d664e3665
worden	w7_d664e3668
sind,	w9_d664e3671
sich,	w11_d664e3674
mittelst	w1_d664e3679
eines	w3_d664e3682
Of	w5_d664e3685
und	w7_d664e3688
Defensivbündnis	w9_d664e3691
ses,	w1_d664e3696
mit	w3_d664e3699
den	w5_d664e3702
zween	w7_d664e3705
Höfen	w9_d664e3708
zu	w11_d664e3711
Versailles	w13_d664e3715
und	w1_d664e3720
Madrid	w3_d664e3723
gegen	w5_d664e3726
England	w7_d664e3729
zu	w9_d664e3732
vereinigen,	w11_d664e3735
alle	w1_d664e3741
Gemeinschaft	w3_d664e3744
und	w5_d664e3747
Handlung	w7_d664e3750
mit	w9_d664e3753
den	w11_d664e3756
Engländern	w1_d664e3761
abzubrechen,	w3_d664e3764
sie	w5_d664e3767
als	w7_d664e3770
gemein	w9_d664e3773
</p>
<p id="p16_d664e3787">
same	w1_d664e3791
Feinde	w3_d664e3794
nicht	w5_d664e3797
nur	w7_d664e3800
der	w9_d664e3803
drey	w11_d664e3806
verbunde	w13_d664e3810
nen	w1_d664e3815
Mächte,	w3_d664e3818
sondern	w5_d664e3821
auch	w7_d664e3824
überhaupt	w9_d664e3827
jeder	w11_d664e3830
andern	w1_d664e3835
See=macht	w3_d664e3838
anzusehen,	w5_d664e3841
sie	w7_d664e3844
aus	w9_d664e3847
sei	w11_d664e3850
nen	w1_d664e3856
Häven	w3_d664e3859
zu	w5_d664e3862
vertreiben,	w7_d664e3865
und	w9_d664e3868
allen	w11_d664e3871
ihren	w13_d664e3875
Kriegs	w1_d664e3880
und	w3_d664e3883
Kauffardey=schiffen	w5_d664e3886
den	w7_d664e3889
Zu	w9_d664e3892
gang	w1_d664e3897
dahin	w3_d664e3900
zu	w5_d664e3903
versperren,	w7_d664e3906
und	w9_d664e3909
die	w11_d664e3912
Portu	w13_d664e3916
giesische	w1_d664e3921
Macht	w3_d664e3924
zur	w5_d664e3927
Spanischen	w7_d664e3930
und	w9_d664e3933
Fran	w11_d664e3936
