<doc id="wr_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="2">
<head id="h2_d677e3437">
Warschau	w1_d677e3441
18.	w3_d677e3444
Julii.	w5_d677e3447
</head>
<p id="p4_d677e3450">
Eute	w1_d677e3454
paßirte	w3_d677e3457
ein	w5_d677e3460
von	w7_d677e3463
Petersburg	w9_d677e3466
kom	w11_d677e3469
mender	w1_d677e3474
Garde=officier	w3_d677e3477
hierdurch,	w5_d677e3480
wel	w7_d677e3483
cher	w1_d677e3488
dem	w3_d677e3491
Hrn	w5_d677e3494
Generalen	w7_d677e3497
Czernischef	w9_d677e3500
von	w1_d677e3506
der	w3_d677e3509
Rußischen	w5_d677e3512
Kaiserin	w7_d677e3515
den	w9_d677e3518
Befehl	w11_d677e3521
über	w13_d677e3525
bringet,	w1_d677e3530
sein	w3_d677e3533
Corps	w5_d677e3536
sogleich	w7_d677e3539
von	w9_d677e3542
den	w11_d677e3545
Preußi	w13_d677e3549
schen	w1_d677e3554
Trupen	w3_d677e3557
zu	w5_d677e3560
trennen.	w7_d677e3563
</p>
<head id="h2_d677e3569">
Aus	w1_d677e3573
Thüringen	w3_d677e3576
14.	w5_d677e3579
Julii.	w7_d677e3582
</head>
<p id="p4_d677e3585">
Von	w1_d677e3589
Naumburg	w3_d677e3592
geben	w5_d677e3595
die	w7_d677e3598
Nachrichten,	w9_d677e3601
daß	w1_d677e3606
man	w3_d677e3609
sich	w5_d677e3612
alda	w7_d677e3615
noch	w9_d677e3618
schmeichele,	w11_d677e3621
die	w13_d677e3625
Preus	w15_d677e3628
sische	w1_d677e3633
Contridution	w3_d677e3636
werde	w5_d677e3639
zwar	w7_d677e3642
nicht	w9_d677e3645
leicht	w11_d677e3648
nachgelassen,	w1_d677e3654
doch	w3_d677e3657
noch	w5_d677e3660
einige	w7_d677e3663
Zeit	w9_d677e3666
nachge	w11_d677e3669
sehen	w1_d677e3674
werden,	w3_d677e3677
indem	w5_d677e3680
sich	w7_d677e3683
die	w9_d677e3686
Umstände,	w11_d677e3689
nach	w1_d677e3694
den	w3_d677e3697
dermaligen	w5_d677e3700
Asperten,	w7_d677e3703
leicht	w9_d677e3706
wieder	w11_d677e3709
ändern,	w1_d677e3714
und	w3_d677e3717
diese	w5_d677e3720
Stadt,	w7_d677e3723
wenn	w9_d677e3726
sie	w11_d677e3729
auch	w13_d677e3733
gern	w15_d677e3736
wollte,	w1_d677e3742
die	w3_d677e3745
Kriegs=steuern	w5_d677e3748
nicht	w7_d677e3751
abtragen	w9_d677e3754
könte	w1_d677e3759
oder	w3_d677e3762
dörfte.	w5_d677e3765
Die	w7_d677e3768
hin	w9_d677e3771
und	w11_d677e3774
wieder	w13_d677e3778
in	w15_d677e3781
berschierenen	w1_d677e3786
Sächsischen	w3_d677e3789
Thüringischen	w5_d677e3792
Ortschaften	w1_d677e3797
auf	w3_d677e3800
Ex=cution	w5_d677e3803
gelegene	w7_d677e3806
Preussen	w9_d677e3809
sollen	w1_d677e3815
sich	w3_d677e3818
von	w5_d677e3821
da	w7_d677e3824
weg,	w9_d677e3827
und	w11_d677e3830
gegen	w13_d677e3834
Alten	w15_d677e3837
</p>
<p id="p6_d677e3840">
burg	w1_d677e3844
zusammen	w3_d677e3847
gezogen	w5_d677e3850
haben,	w7_d677e3853
weil	w9_d677e3856
der	w11_d677e3859
Hr.	w13_d677e3863
Major	w1_d677e3868
Otto	w3_d677e3871
sich	w5_d677e3874
mit	w7_d677e3877
seinem	w9_d677e3880
Corps	w11_d677e3883
wiede	w13_d677e3887
rum	w1_d677e3892
dasigen	w3_d677e3895
Gegenden	w5_d677e3898
nähert,	w7_d677e3901
und	w9_d677e3904
der	w11_d677e3907
Hr.	w13_d677e3911
General=feld=marschall=leutenant	w1_d677e3917
v.	w3_d677e3920
Luzins	w5_d677e3923
ky	w1_d677e3928
weiter	w3_d677e3931
vorrucken	w5_d677e3934
solle.	w7_d677e3937
Es	w1_d677e3942
heist,	w3_d677e3945
daß	w5_d677e3948
von	w1_d677e3953
dem	w3_d677e3956
Ottoischen	w5_d677e3959
Jäger=corps	w7_d677e3962
bereits	w9_d677e3965
bis	w1_d677e3971
Kahla	w3_d677e3974
ein	w5_d677e3977
Commando	w7_d677e3980
sich	w9_d677e3983
eingefunden	w11_d677e3986
habe.	w1_d677e3991
Sonst	w3_d677e3994
ist	w5_d677e3997
es	w7_d677e4000
in	w9_d677e4003
den	w11_d677e4006
Thüringischen	w13_d677e4010
Gegenden	w1_d677e4015
dermalen	w3_d677e4018
ziemlich	w5_d677e4021
ruhig.	w7_d677e4024
Werber	w9_d677e4027
und	w1_d677e4032
Marodeurs	w3_d677e4035
finden	w5_d677e4038
sich	w7_d677e4041
zwar	w9_d677e4044
hin	w11_d677e4047
und	w13_d677e4051
wieder	w1_d677e4057
ein,	w3_d677e4060
es	w5_d677e4063
sind	w7_d677e4066
aber	w9_d677e4069
seit	w11_d677e4072
etlichen	w13_d677e4076
Tagen	w15_d677e4079
verschiedene	w1_d677e4084
von	w3_d677e4087
beyderley	w5_d677e4090
Gattung	w7_d677e4093
von	w9_d677e4096
den	w11_d677e4099
Sächsischen	w1_d677e4104
Jägern	w3_d677e4107
aufgehoben	w5_d677e4110
worden.	w7_d677e4113
</p>
<head id="h2_d677e4119">
Waldeck	w1_d677e4123
12.	w3_d677e4126
Julii.	w5_d677e4129
</head>
<p id="p4_d677e4132">
Das	w1_d677e4136
befestigte	w3_d677e4139
Berg=schloß	w5_d677e4142
zu	w7_d677e4145
Waldeck	w9_d677e4148
hatte	w1_d677e4153
seit	w3_d677e4156
zwey	w5_d677e4159
Jahren,	w7_d677e4162
unangesehen	w9_d677e4165
der	w11_d677e4168
verschiedenen	w1_d677e4173
Attaquen,	w3_d677e4176
noch	w5_d677e4179
immer	w7_d677e4182
allen	w9_d677e4185
Gefahren	w1_d677e4191
getrotzet;	w3_d677e4194
endlich	w5_d677e4197
wurde	w7_d677e4200
es	w9_d677e4203
zur	w11_d677e4206
Ubergabe	w1_d677e4211
an	w3_d677e4214
die	w5_d677e4217
Königl.	w7_d677e4220
alliirte	w9_d677e4223
Trupen	w11_d677e4226
ge	w13_d677e4230
</p>
<p id="p10_d677e4243">
nöhtiget.	w1_d677e4247
Herr	w3_d677e4250
de	w5_d677e4253
Boys,	w7_d677e4256
der	w9_d677e4259
daselbstige	w11_d677e4262
Königl.	w1_d677e4267
Französische	w3_d677e4270
Commandant,	w5_d677e4273
so	w7_d677e4276
sich	w9_d677e4279
in	w1_d677e4284
verschiedenen	w3_d677e4287
Gelegenheiten,	w5_d677e4290
rühmlich	w7_d677e4293
hervorgethan,	w1_d677e4299
capitulirte	w3_d677e4302
mit	w5_d677e4305
dem	w7_d677e4308
Königl.	w9_d677e4311
Englischen	w1_d677e4316
General=leutenanten	w3_d677e4319
Hrn.	w5_d677e4322
Convey,	w7_d677e4325
welcher	w1_d677e4330
