<doc id="wr_1762-08-11" attrs="word" year="1762" month="08" day="11" corpus="2">
<head id="h2_d681e2802">
Lissabon	w1_d681e2806
28.	w3_d681e2809
Junii.	w5_d681e2812
</head>
<p id="p4_d681e2815">
er	w1_d681e2819
General=leutenant	w3_d681e2822
Marquis	w5_d681e2825
von	w7_d681e2828
Marialva	w1_d681e2833
nebst	w3_d681e2836
denen	w5_d681e2839
Generalma	w7_d681e2842
jors	w1_d681e2847
Marquis	w3_d681e2850
d'Anjega,	w5_d681e2853
Comte	w7_d681e2856
dos	w1_d681e2862
Arcos,	w3_d681e2865
Leyte,	w5_d681e2868
Pereyra	w7_d681e2871
und	w9_d681e2874
Crawford	w11_d681e2877
ist	w1_d681e2882
mit	w3_d681e2885
8.	w5_d681e2888
Regimentern	w7_d681e2891
von	w9_d681e2894
dem	w11_d681e2897
Obern	w13_d681e2901
Tago	w1_d681e2906
nach	w3_d681e2909
Coimbra	w5_d681e2912
detaschiret	w7_d681e2915
worden,	w9_d681e2918
woselbst	w1_d681e2923
er	w3_d681e2926
ein	w5_d681e2929
Covallerie	w7_d681e2932
und	w9_d681e2935
Jnfanterie	w11_d681e2938
regiment	w1_d681e2944
gelassen,	w3_d681e2947
mit	w5_d681e2950
denen	w7_d681e2953
übrigen	w9_d681e2956
sechsen	w11_d681e2959
aber	w1_d681e2964
nach	w3_d681e2967
Lamego	w5_d681e2970
vorgeruckt,	w7_d681e2973
allwo	w9_d681e2976
der	w11_d681e2979
General=major	w1_d681e2984
Sarmento	w3_d681e2987
mit	w5_d681e2990
einem	w7_d681e2993
Ba	w9_d681e2996
taillons,	w1_d681e3001
und	w3_d681e3004
2000.	w5_d681e3007
Mann	w7_d681e3010
Land=militz	w9_d681e3013
aus	w11_d681e3016
der	w1_d681e3022
Provinz	w3_d681e3025
Tralos	w5_d681e3028
Montes	w7_d681e3031
zu	w9_d681e3034
ihm	w11_d681e3037
gestos	w13_d681e3041
sen.	w1_d681e3046
Bey	w3_d681e3049
Ankunft	w5_d681e3052
unserer	w7_d681e3055
Trupen	w9_d681e3058
hat	w11_d681e3061
sich	w13_d681e3065
das	w1_d681e3070
zu	w3_d681e3073
Billareal	w5_d681e3076
gelegene	w7_d681e3079
Spanische	w9_d681e3082
Deta	w11_d681e3085
schement	w1_d681e3090
zurück	w3_d681e3093
gezogen.	w5_d681e3096
Unsere	w7_d681e3099
Trupen	w9_d681e3102
haben	w1_d681e3108
von	w3_d681e3111
Lamego	w5_d681e3114
über	w7_d681e3117
Villareal	w9_d681e3120
bis	w11_d681e3123
nach	w13_d681e3127
Amaranthe	w1_d681e3132
einen	w3_d681e3135
Cordon	w5_d681e3138
gezogen,	w7_d681e3141
und	w9_d681e3144
sich	w11_d681e3147
in	w1_d681e3152
allen	w3_d681e3155
Pässen,	w5_d681e3158
so	w7_d681e3161
nach	w9_d681e3164
Oporto	w11_d681e3167
führen,	w13_d681e3171
verschanzt.	w1_d681e3176
Die	w3_d681e3179
Zugänge	w5_d681e3182
aus	w7_d681e3185
der	w9_d681e3188
Provinz.	w11_d681e3191
</p>
<p id="p6_d681e3194">
Minho	w1_d681e3198
sind	w3_d681e3201
durch	w5_d681e3204
Landmilitz	w7_d681e3207
und	w9_d681e3210
das	w11_d681e3213
Regi	w13_d681e3217
ment	w1_d681e3222
von	w3_d681e3225
Vianna,	w5_d681e3228
so	w7_d681e3231
zu	w9_d681e3234
Valenza	w11_d681e3237
in	w13_d681e3241
Besa	w15_d681e3244
tzung	w1_d681e3249
liegt,	w3_d681e3252
bedeckt.	w5_d681e3255
Auf	w7_d681e3258
diese	w9_d681e3261
Art	w11_d681e3264
ist	w13_d681e3268
die	w15_d681e3271
Furcht	w1_d681e3277
für	w3_d681e3280
Oporto	w5_d681e3283
einiger	w7_d681e3286
massen	w9_d681e3289
verschwun	w11_d681e3292
den,	w1_d681e3297
indem	w3_d681e3300
ausser	w5_d681e3303
der	w7_d681e3306
Seite	w9_d681e3309
von	w11_d681e3312
Gallizien	w13_d681e3316
kein	w1_d681e3321
Einfall	w3_d681e3324
der	w5_d681e3327
Spanier	w7_d681e3330
zu	w9_d681e3333
förchten,	w11_d681e3336
