<doc id="wr_1762-08-25" attrs="word" year="1762" month="08" day="25" corpus="2">
<head id="h2_d685e2142">
Lisabon	w1_d685e2146
den	w3_d685e2149
24.	w5_d685e2152
Julii.	w7_d685e2155
</head>
<p id="p4_d685e2158">
m	w1_d685e2162
6ten	w3_d685e2165
dieses	w5_d685e2168
marschirte	w7_d685e2171
unser	w9_d685e2174
Gene	w11_d685e2177
8	w1_d685e2182
ral=leutenant	w1_d685e2187
Marquis	w3_d685e2190
de	w5_d685e2193
Marial	w7_d685e2196
va	w1_d685e2202
mit	w3_d685e2205
6.	w5_d685e2208
Regimentern	w7_d685e2211
von	w9_d685e2214
Coim	w11_d685e2217
bra	w1_d685e2222
nach	w3_d685e2225
Lamego,	w5_d685e2228
wo	w7_d685e2231
der	w9_d685e2234
General=major	w11_d685e2237
Sarmento	w1_d685e2242
mit	w3_d685e2245
1.	w5_d685e2248
Bataillon	w7_d685e2251
und	w9_d685e2254
200.	w11_d685e2257
Mann	w1_d685e2262
Militz	w3_d685e2265
aus	w5_d685e2268
Traz=os	w7_d685e2271
montes	w9_d685e2274
zu	w11_d685e2277
ihm	w13_d685e2281
stieß.	w1_d685e2287
Kaum	w3_d685e2290
waren	w5_d685e2293
diese	w7_d685e2296
Trupen	w9_d685e2299
zu	w11_d685e2302
Lame	w13_d685e2306
go	w1_d685e2311
versammlet,	w3_d685e2314
als	w5_d685e2317
die	w7_d685e2320
Spanier	w9_d685e2323
das	w11_d685e2326
von	w13_d685e2330
ihnen	w1_d685e2335
besetzte	w3_d685e2338
Villa=real	w5_d685e2341
wieder	w7_d685e2344
verliessen,	w9_d685e2347
worauf	w1_d685e2352
die	w3_d685e2355
Unsrige	w5_d685e2358
einen	w7_d685e2361
Cordon	w9_d685e2364
gezogen	w11_d685e2367
haben,	w1_d685e2373
der	w3_d685e2376
von	w5_d685e2379
Lamego	w7_d685e2382
durch	w9_d685e2385
Villa=real	w11_d685e2388
bis	w13_d685e2392
Amarante	w1_d685e2397
geht,	w3_d685e2400
und	w5_d685e2403
zugleich	w7_d685e2406
alle	w9_d685e2409
Zugänge	w11_d685e2412
nach	w1_d685e2417
Porto	w3_d685e2420
decket,	w5_d685e2423
in	w7_d685e2426
welcher	w9_d685e2429
Stadt	w11_d685e2432
nun	w13_d685e2436
al	w15_d685e2439
le	w1_d685e2444
Furcht	w3_d685e2447
verschwunden	w5_d685e2450
ist;	w7_d685e2453
es	w9_d685e2456
wäre	w11_d685e2459
dann,	w13_d685e2463
daß	w1_d685e2469
ihr	w3_d685e2472
die	w5_d685e2475
Spanier	w7_d685e2478
von	w9_d685e2481
der	w11_d685e2484
Seite	w13_d685e2488
von	w15_d685e2491
Gal	w17_d685e2494
licien	w1_d685e2499
über	w3_d685e2502
Valencia,	w5_d685e2505
wo	w7_d685e2508
aber	w9_d685e2511
nun	w11_d685e2514
auch	w13_d685e2518
eine	w15_d685e2521
gute	w1_d685e2526
Besatzung	w3_d685e2529
liegt,	w5_d685e2532
beyzukommen	w7_d685e2535
suchten.	w9_d685e2538
Der	w1_d685e2543
Marquis	w3_d685e2546
von	w5_d685e2549
Sarria	w7_d685e2552
läßt	w9_d685e2555
Chaves	w11_d685e2558
noch	w13_d685e2562
</p>
<p id="p6_d685e2565">
mehr	w1_d685e2569
befestigen,	w3_d685e2572
und	w5_d685e2575
gedenkt,	w7_d685e2578
alda	w9_d685e2581
seine	w11_d685e2584
Magazine	w1_d685e2589
aufzurichten.	w3_d685e2592
Zu	w5_d685e2595
Montecorvo	w7_d685e2598
stehen	w1_d685e2603
noch	w3_d685e2606
6000.	w5_d685e2609
Spanier,	w7_d685e2612
welche	w9_d685e2615
immer	w11_d685e2618
drohen,	w1_d685e2624
den	w3_d685e2627
Douro	w5_d685e2630
zu	w7_d685e2633
paßiren,	w9_d685e2636
und	w11_d685e2639
es	w13_d685e2643
gleichwol	w1_d685e2648
nicht	w3_d685e2651
wieder	w5_d685e2654
wagen	w7_d685e2657
wollen,	w9_d685e2660
nach	w11_d685e2663
dem	w1_d685e2668
sie	w3_d685e2671
der	w5_d685e2674
Oberste	w7_d685e2677
O=Hara	w9_d685e2680
schon	w11_d685e2683
einmal	w13_d685e2687
zuruck	w1_d685e2692
geschlagen	w3_d685e2695
hat.	w5_d685e2698
Unsere	w7_d685e2701
Armee	w9_d685e2704
am	w11_d685e2707
oberen	w1_d685e2713
Tagus,	w3_d685e2716
welche	w5_d685e2719
jetzt	w7_d685e2722
aus	w9_d685e2725
30000.	w11_d685e2728
Mann	w13_d685e2732
besteht,	w1_d685e2737
und	w3_d685e2740
wobey	w5_d685e2743
sich	w7_d685e2746
auch	w9_d685e2749
die	w11_d685e2752
Englische	w13_d685e2756
General=majors,	w1_d685e2761
Kelly	w3_d685e2764
und	w5_d685e2767
Lenox	w7_d685e2770
befinden,	w9_d685e2773
campirt	w1_d685e2778
noch	w3_d685e2781
nicht.	w5_d685e2784
Die	w7_d685e2787
Regimenter	w9_d685e2790
aus	w11_d685e2793
Alentejo	w1_d685e2799
sind	w3_d685e2802
bey	w5_d685e2805
derselben	w7_d685e2808
angekommen,	w9_d685e2811
und	w1_d685e2816
5.	w3_d685e2819
davon	w5_d685e2822
sind	w7_d685e2825
weiter	w9_d685e2828
nach	w11_d685e2831
Castelbranto	w13_d685e2835
detaschirrt	w1_d685e2840
worden.	w3_d685e2843
Almeida	w5_d685e2846
ist	w7_d685e2849
von	w9_d685e2852
den	w11_d685e2855
Spaniern	w1_d685e2860
mit	w3_d685e2863
6000.	w5_d685e2866
Mann	w7_d685e2869
berennet,	w9_d685e2872
und	w11_d685e2875
steht	w1_d685e2881
in	w3_d685e2884
Gefahr,	w5_d685e2887
belagert	w7_d685e2890
zu	w9_d685e2893
werden.	w11_d685e2896
Auf	w13_d685e2900
diesen	w1_d685e2905
Fall	w3_d685e2908
aber	w5_d685e2911
hält	w7_d685e2914
sich	w9_d685e2917
der	w11_d685e2920
Oberste	w13_d685e2924
OHa	w15_d685e2927
ra	w1_d685e2932
zum	w3_d685e2935
Entsatz	w5_d685e2938
bereit.	w7_d685e2941
Unser	w9_d685e2944
gewester	w11_d685e2947
Am	w13_d685e2951
bassadeur	w1_d685e2956
am	w3_d685e2959
Madridter=hofe,	w5_d685e2962
Don	w7_d685e2965
Joseph	w9_d685e2968
</p>
<head id="h4_d685e2984">
dabey	w1_d685e2988
10.	w3_d685e2991
Mann,	w5_d685e2994
und	w7_d685e2997
die	w9_d685e3000
Legion	w11_d685e3003
Royale	w13_d685e3007
4.	w1_d685e3012
Mann	w3_d685e3015
eingebüsset.	w5_d685e3018
Ein	w7_d685e3021
Officier	w9_d685e3024
von	w11_d685e3027
den	w1_d685e3032
ersteren	w3_d685e3035
ist	w5_d685e3038
blißiret.	w7_d685e3041
Aus	w1_d685e3047
dem	w3_d685e3050
Königlich=Französischen	w5_d685e3053
Haupt	w1_d685e3058
quartier	w3_d685e3061
deren	w5_d685e3064
Herren	w7_d685e3067
Mar	w9_d685e3070
schälle,	w1_d685e3075
Grafen	w3_d685e3078
v.	w5_d685e3081
Estrees,	w7_d685e3084
und	w9_d685e3087
Prinzen	w1_d685e3092
v.	w3_d685e3095
Soubise.	w5_d685e3098
Grumbach	w1_d685e3104
10.	w3_d685e3107
Augusti.	w5_d685e3110
</head>
<p id="p6_d685e3113">
Am	w1_d685e3117
5ten	w3_d685e3120
marschierten	w5_d685e3123
die	w7_d685e3126
Grenadiers	w9_d685e3129
de	w11_d685e3132
France	w1_d685e3137
aus	w3_d685e3140
dem	w5_d685e3143
Lager	w7_d685e3146
ab,	w9_d685e3149
und	w11_d685e3152
nach	w13_d685e3156
Span	w15_d685e3159
genberg	w1_d685e3164
zu.	w3_d685e3167
Wir	w5_d685e3170
haben	w7_d685e3173
nun	w9_d685e3176
hier	w11_d685e3179
die	w13_d685e3183
Nach	w15_d685e3186
richt	w1_d685e3192
von	w3_d685e3195
der	w5_d685e3198
Ankunft	w7_d685e3201
des	w9_d685e3204
Prinzen	w11_d685e3207
von	w13_d685e3211
Con	w15_d685e3214
de	w1_d685e3219
zu	w3_d685e3222
Giesen,	w5_d685e3225
und	w7_d685e3228
glaubt	w9_d685e3231
man,	w11_d685e3234
daß	w13_d685e3238
der	w15_d685e3241
Prinz	w17_d685e3244
Ferdinand	w1_d685e3249
nicht	w3_d685e3252
saumen	w5_d685e3255
werde	w7_d685e3258
sich	w9_d685e3261
der	w11_d685e3264
Di	w13_d685e3268
mel	w1_d685e3273
zu	w3_d685e3276
nähern.	w5_d685e3279
Man	w7_d685e3282
spricht	w9_d685e3285
hier	w11_d685e3288
stark	w13_d685e3292
vom	w15_d685e3295
Frieden.	w1_d685e3301
Am	w3_d685e3304
8ten	w5_d685e3307
Mittags	w7_d685e3310
bemerkte	w9_d685e3313
man	w11_d685e3316
in	w1_d685e3321
den	w3_d685e3324
unterschiedenen	w5_d685e3327
feindlichen	w7_d685e3330
Lägern	w9_d685e3333
von	w1_d685e3338
der	w3_d685e3341
Cascade	w5_d685e3344
an	w7_d685e3347
bis	w9_d685e3350
an	w11_d685e3353
die	w13_d685e3357
Anhöhen	w15_d685e3360
von	w17_d685e3363
Melsungen	w1_d685e3368
eine	w3_d685e3371
allgemeine	w5_d685e3374
Bewegung:	w7_d685e3377
Jh	w9_d685e3380
re	w1_d685e3386
Colonnen	w3_d685e3389
marschierten,	w5_d685e3392
die	w7_d685e3395
eine	w9_d685e3398
an	w11_d685e3401
den	w13_d685e3405
