<doc id="wr_1763-01-12" attrs="word" year="1763" month="01" day="12" corpus="2">
<head id="h2_d725e2954">
Mädrd	w1_d725e2958
1.	w3_d725e2961
Decemb.	w5_d725e2964
1762	w7_d725e2967
</head>
<p id="p4_d725e2970">
urch	w1_d725e2974
einen	w3_d725e2977
ausserordentlich	w5_d725e2980
vorgestern	w7_d725e2983
von	w1_d725e2988
Paris	w3_d725e2991
angelangten	w5_d725e2994
Corrier	w7_d725e2997
hat	w9_d725e3000
der	w1_d725e3005
König	w3_d725e3008
die	w5_d725e3011
Nachricht	w7_d725e3014
von	w9_d725e3017
dem	w11_d725e3020
Beytritt	w1_d725e3026
des	w3_d725e3029
Königs	w5_d725e3032
von	w7_d725e3035
Pottugal	w9_d725e3038
zu	w11_d725e3041
denen	w13_d725e3045
am	w1_d725e3050
3.	w3_d725e3053
November	w5_d725e3056
zu	w7_d725e3059
Fontainebleau	w9_d725e3062
unter	w11_d725e3065
zeichäeten	w1_d725e3070
Friedens=präliminarien	w3_d725e3073
erhalten,	w5_d725e3076
welcher	w1_d725e3081
zu	w3_d725e3084
Londen	w5_d725e3087
durch	w7_d725e3090
den	w9_d725e3093
Portuglesischen	w11_d725e3096
Minister	w1_d725e3102
Don	w3_d725e3105
Martin	w5_d725e3108
de	w7_d725e3111
Mello	w9_d725e3114
unterschrie	w11_d725e3117
ben	w1_d725e3122
worden.	w3_d725e3125
Gleich	w5_d725e3128
auf	w7_d725e3131
diesen	w9_d725e3134
Currier	w11_d725e3137
folgte	w1_d725e3142
eine	w3_d725e3145
Englische	w5_d725e3148
Standes=person,	w7_d725e3151
wel	w9_d725e3154
che	w1_d725e3159
nach	w3_d725e3162
Lisse	w5_d725e3165
bon	w7_d725e3168
gehes,	w9_d725e3171
um	w11_d725e3174
Sr.	w13_d725e3178
allergetreue	w15_d725e3181
sten	w1_d725e3187
Majest.	w3_d725e3190
sethane	w5_d725e3193
Acceßionskacte	w7_d725e3196
zur	w9_d725e3199
Ra	w11_d725e3202
tification	w1_d725e3207
vorzulegen	w3_d725e3210
Der	w5_d725e3213
König	w7_d725e3216
hat	w9_d725e3219
Be	w11_d725e3222
fehl	w1_d725e3227
ertheilt,	w3_d725e3230
nicht	w5_d725e3233
allein	w7_d725e3236
die	w9_d725e3239
Feindseligkeiten	w11_d725e3242
einzustellen,	w1_d725e3247
son	w3_d725e3250
ern	w5_d725e3253
auch	w7_d725e3256
die	w9_d725e3259
etwann	w11_d725e3262
ge	w13_d725e3266
macht	w1_d725e3272
werden	w3_d725e3275
könnende	w5_d725e3278
Prisen	w7_d725e3281
noch	w9_d725e3284
Jnhal	w11_d725e3287
des	w1_d725e3292
25.	w3_d725e3295
Artickels	w5_d725e3298
der	w7_d725e3301
Friedensprälimina	w9_d725e3304
rien	w1_d725e3309
zu	w3_d725e3312
restituiren.	w5_d725e3315
</p>
<head id="h2_d725e3321">
Länden	w1_d725e3325
2.	w3_d725e3328
Der	w5_d725e3331
176.	w7_d725e3334
</head>
<p id="p4_d725e3337">
Beede	w1_d725e3341
Parlam	w3_d725e3344
nts=kammern	w5_d725e3347
haben	w7_d725e3350
zwi	w9_d725e3353
sche	w1_d725e3358
dem	w3_d725e3361
17.	w5_d725e3364
und	w7_d725e3367
20.	w9_d725e3370
dieses	w11_d725e3373
nichts	w13_d725e3377
von	w15_d725e3380
soyderlicher	w1_d725e3385
Wichtigkeit	w3_d725e3388
vorgenommen,	w5_d725e3391
und	w7_d725e3394
wegen	w1_d725e3400
bevorst=heyder	w3_d725e3403
Heil.	w5_d725e3406
Christfeyerta	w7_d725e3409
gen	w1_d725e3414
ihre	w3_d725e3417
Versammlangen	w5_d725e3420
bis	w7_d725e3423
auf	w9_d725e3426
den	w11_d725e3429
17.	w13_d725e3433
Jon	w1_d725e3438
1763.	w3_d725e3441
ausgesetzt.	w5_d725e3444
Ausser	w7_d725e3447
dem	w9_d725e3450
Herr	w11_d725e3453
zog	w1_d725e3458
von	w3_d725e3461
Nivernois	w5_d725e3464
hat	w7_d725e3467
auch	w9_d725e3470
der	w11_d725e3473
Holländi	w13_d725e3477
sche	w1_d725e3483
Gesandte,	w3_d725e3486
Graf	w5_d725e3489
von	w7_d725e3492
Weldern	w9_d725e3495
am	w11_d725e3498
16.	w13_d725e3502
bey	w1_d725e3507
des	w3_d725e3510
Herzogs	w5_d725e3513
von	w7_d725e3516
Pork	w9_d725e3519
Königl.	w11_d725e3522
Ho	w13_d725e3526
heit	w1_d725e3531
seine	w3_d725e3534
erste	w5_d725e3537
Audienz	w7_d725e3540
gehabt.	w9_d725e3543
Der	w11_d725e3546
