<doc id="wr_1763-03-09" attrs="word" year="1763" month="03" day="09" corpus="2">
<head id="h2_d741e3075">
Schluß	w1_d741e3079
der	w3_d741e3082
Königl.	w5_d741e3085
Französischen	w7_d741e3088
Ordinanz	w1_d741e3093
wegen	w3_d741e3096
der	w5_d741e3099
Französi	w7_d741e3102
schen	w1_d741e3107
Jnfanterie	w3_d741e3110
rc.	w5_d741e3113
Art.	w1_d741e3119
99.	w3_d741e3122
Von	w5_d741e3125
dem	w7_d741e3128
Tag	w9_d741e3131
dieser	w11_d741e3134
neuer	w13_d741e3138
</head>
<p id="p4_d741e3141">
0	w1_d741e3145
Einrichtung	w1_d741e3150
an	w3_d741e3153
laufen	w5_d741e3156
die	w7_d741e3159
Tage	w1_d741e3166
der	w3_d741e3169
Krankheit	w5_d741e3172
und	w7_d741e3175
Lazarether	w1_d741e3181
auf	w3_d741e3184
Rechnung	w5_d741e3187
Sr.	w7_d741e3190
Majest.	w9_d741e3193
in	w11_d741e3196
de	w13_d741e3200
nea	w1_d741e3205
Rechnungen	w3_d741e3208
der	w5_d741e3211
zu	w7_d741e3214
den	w9_d741e3217
Lazarethern	w11_d741e3220
be	w13_d741e3224
stellten	w1_d741e3229
Kriegs=commissarien,	w3_d741e3232
welche	w5_d741e3235
in	w7_d741e3238
ih	w9_d741e3241
ren	w1_d741e3246
Listen	w3_d741e3249
Vor	w5_d741e3252
und	w7_d741e3255
Zunahmen,	w9_d741e3258
auch	w11_d741e3261
Kriegs	w13_d741e3265
namen	w1_d741e3271
der	w3_d741e3274
Soldaten,	w5_d741e3277
nebst	w7_d741e3280
der	w9_d741e3283
Zeit	w11_d741e3286
ihrer	w13_d741e3290
Aufnahme	w1_d741e3295
und	w3_d741e3298
Austritt	w5_d741e3301
oder	w7_d741e3304
Todes=falls	w9_d741e3307
im	w1_d741e3312
ersagten	w3_d741e3315
Lazareth	w5_d741e3318
zu	w7_d741e3321
bemerken,	w9_d741e3324
und	w11_d741e3327
diese	w1_d741e3332
Listen	w3_d741e3335
dem	w5_d741e3338
Staatskriegssecreta	w7_d741e3341
rio	w1_d741e3347
zu	w3_d741e3350
überschicken	w5_d741e3353
haben,	w7_d741e3356
welcher	w9_d741e3359
in	w11_d741e3362
deren	w13_d741e3366
Gemäßheit	w1_d741e3371
und	w3_d741e3374
nicht	w5_d741e3377
anderst,	w7_d741e3380
die	w9_d741e3383
Zahlung	w11_d741e3386
bemeldter	w1_d741e3391
Tage	w3_d741e3394
anbefehlen	w5_d741e3397
wird.	w7_d741e3400
</p>
<p id="p6_d741e3403">
Art.	w1_d741e3407
100.	w3_d741e3410
Schließlich	w5_d741e3413
erklären	w7_d741e3416
Se.	w9_d741e3419
Ma	w11_d741e3422
jest.	w1_d741e3427
daß	w3_d741e3430
von	w5_d741e3433
eben	w7_d741e3436
dem	w9_d741e3439
Tag	w11_d741e3442
an,	w13_d741e3446
die	w15_d741e3449
Zahlung	w17_d741e3452
</p>
<p id="p8_d741e3455">
derjenigen	w1_d741e3459
6.	w3_d741e3462
Sols	w5_d741e3465
aufhören	w7_d741e3468
sollen,	w9_d741e3471
welche	w11_d741e3474
bisher	w1_d741e3479
im	w3_d741e3482
Gebrauch	w5_d741e3485
gewesen,	w7_d741e3488
denen	w9_d741e3491
Entre	w11_d741e3494
prenneurs	w1_d741e3499
der	w3_d741e3502
Hospitäler	w5_d741e3505
beym	w7_d741e3508
Ausgang	w9_d741e3511
der	w1_d741e3517
Genefeten	w3_d741e3520
für	w5_d741e3523
die	w7_d741e3526
Aufsicht	w9_d741e3529
über	w11_d741e3532
deren	w13_d741e3536
Kleidung	w1_d741e3541
und	w3_d741e3544
Gewehr	w5_d741e3547
bezahlt	w7_d741e3550
worden,	w9_d741e3553
in	w11_d741e3556
dem	w1_d741e3561
Se.	w3_d741e3564
Majest.	w5_d741e3567
künftig	w7_d741e3570
diese	w9_d741e3573
Sorgfalt	w11_d741e3576
dem	w13_d741e3580
Garde=magazin	w1_d741e3585
jeden	w3_d741e3588
Platzes	w5_d741e3591
auftragen	w7_d741e3594
wollen,	w1_d741e3600
welcher	w3_d741e3603
dem	w5_d741e3606
mit	w7_d741e3609
der	w9_d741e3612
Aufsicht	w11_d741e3615
über	w13_d741e3619
die	w1_d741e3624
Lazarether	w3_d741e3627
beladenen	w5_d741e3630
Kriegscommissa	w7_d741e3633
rio	w1_d741e3638
dafür	w3_d741e3641
zu	w5_d741e3644
stehen	w7_d741e3647
haben	w9_d741e3650
soll,	w11_d741e3653
wie	w13_d741e3657
dann	w15_d741e3660
Se.	w1_d741e3665
Majest.	w3_d741e3668
ersagten	w5_d741e3671
Garde=magazins	w7_d741e3674
zum	w9_d741e3677
voraus	w1_d741e3683
befehlen,	w3_d741e3686
denen	w5_d741e3689
desfalls	w7_d741e3692
erscheinen	w9_d741e3695
den	w1_d741e3700
Verordnungen	w3_d741e3703
und	w5_d741e3706
Jnstruction	w7_d741e3709
so	w9_d741e3712
ge	w11_d741e3715
wiß	w1_d741e3720
nachzuleben,	w3_d741e3723
als	w5_d741e3726
sie	w7_d741e3729
sonsten	w9_d741e3732
selbst	w11_d741e3735
mit	w13_d741e3739
dem	w1_d741e3744
ihrigen	w3_d741e3747
für	w5_d741e3750
diejenige	w7_d741e3753
Sochen,	w9_d741e3756
so	w11_d741e3759
ab	w13_d741e3763
handen	w1_d741e3769
kommen,	w3_d741e3772
stehen	w5_d741e3775
sollen.	w7_d741e3778
</p>
<p id="p10_d741e3781">
Art.	w1_d741e3785
101.	w3_d741e3788
Jn	w5_d741e3791
Ansehung	w7_d741e3794
der	w9_d741e3797
Officiers,	w11_d741e3800
s.	w13_d741e3804
in	w1_d741e3809
denen	w3_d741e3812
