<doc id="wr_1763-06-01" attrs="word" year="1763" month="06" day="01" corpus="2">
<head id="h2_d763e3650">
Genua	w1_d763e3654
vom	w3_d763e3657
2.	w5_d763e3660
May.	w7_d763e3663
</head>
<p id="p4_d763e3666">
inserm	w1_d763e3670
durch	w3_d763e3673
Desertion	w5_d763e3676
auf	w7_d763e3679
der	w9_d763e3682
Jnsul	w11_d763e3685
Corsica	w1_d763e3690
gelittenen	w3_d763e3693
Verlust	w5_d763e3696
bey	w7_d763e3699
der	w9_d763e3702
Armee	w1_d763e3707
des	w3_d763e3710
Generals	w5_d763e3713
Matra	w7_d763e3716
ist	w9_d763e3719
be	w11_d763e3722
reits	w1_d763e3728
gesteuret.	w3_d763e3731
Die	w5_d763e3734
Regierung	w7_d763e3737
fertigte	w9_d763e3740
am	w11_d763e3743
24	w1_d763e3748
jüngstverwichenen	w3_d763e3751
Monats	w5_d763e3754
April	w7_d763e3757
2.	w9_d763e3760
Caper=schiffe	w1_d763e3765
dahin	w3_d763e3768
ab,	w5_d763e3771
die	w7_d763e3774
ungefehr	w9_d763e3777
500.	w11_d763e3780
Recruten	w1_d763e3785
an	w3_d763e3788
Bord	w5_d763e3791
hatten.	w7_d763e3794
Es	w9_d763e3797
wird	w11_d763e3800
auch	w13_d763e3804
zugleich	w1_d763e3810
eine	w3_d763e3813
Galeere	w5_d763e3816
ausgerüstet,	w7_d763e3819
die	w9_d763e3822
ein	w11_d763e3825
an	w13_d763e3829
deres	w1_d763e3834
Corps	w3_d763e3837
Trupen	w5_d763e3840
nebst	w7_d763e3843
einigen	w9_d763e3846
Geldern	w11_d763e3849
nach	w1_d763e3854
erwehnter	w3_d763e3857
Jnsul	w5_d763e3860
überbri	w7_d763e3863
gen	w9_d763e3866
soll.	w11_d763e3869
</p>
<head id="h2_d763e3875">
Paris	w1_d763e3879
17.	w3_d763e3882
May.	w5_d763e3885
</head>
<p id="p4_d763e3888">
Seit	w1_d763e3892
der	w3_d763e3895
Abdankung,	w5_d763e3898
die	w7_d763e3901
bey	w9_d763e3904
unsern	w11_d763e3907
Tru	w13_d763e3911
pen	w1_d763e3916
geschehen	w3_d763e3919
ist,	w5_d763e3922
sind	w7_d763e3925
in	w9_d763e3928
diese	w11_d763e3931
Haupstadt	w13_d763e3935
ei	w15_d763e3938
ne	w1_d763e3943
Menge	w3_d763e3946
Reiter	w5_d763e3949
und	w7_d763e3952
Dragoner	w9_d763e3955
gekommen,	w11_d763e3958
welche	w1_d763e3964
viele	w3_d763e3967
Ausschweifungen	w5_d763e3970
begehen.	w7_d763e3973
Es	w9_d763e3976
hat	w1_d763e3981
daher	w3_d763e3984
der	w5_d763e3987
Policey=leutenant	w7_d763e3990
ihnen	w9_d763e3993
anden	w11_d763e3996
ten	w1_d763e4001
lassen,	w3_d763e4004
daß	w5_d763e4007
sie	w7_d763e4010
innerhalb	w9_d763e4013
24.	w11_d763e4016
Stunden	w13_d763e4020
bey	w1_d763e4025
dem	w3_d763e4028
Policey	w5_d763e4031
inspector	w7_d763e4034
ihre	w9_d763e4037
