<doc id="wr_1763-06-11" attrs="word" year="1763" month="06" day="11" corpus="2">
<head id="h2_d765e3120">
Belle=isle	w1_d765e3124
11.	w3_d765e3127
May.	w5_d765e3130
</head>
<p id="p4_d765e3133">
der	w1_d765e3137
Marechal	w3_d765e3140
de	w5_d765e3143
Camp	w7_d765e3146
Ritter	w9_d765e3149
von	w11_d765e3152
Warren,	w1_d765e3157
welchen	w3_d765e3160
der	w5_d765e3163
König	w7_d765e3166
zur	w9_d765e3169
Wie	w11_d765e3172
der	w1_d765e3179
besitz	w3_d765e3182
nehmung	w5_d765e3185
dieser	w7_d765e3188
Jnsul	w9_d765e3191
er	w11_d765e3194
nannt,	w1_d765e3200
langte	w3_d765e3203
gestern	w5_d765e3206
mit	w7_d765e3209
denen	w9_d765e3212
hierzu	w11_d765e3215
be	w13_d765e3219
stimmten	w1_d765e3224
Trupen	w3_d765e3227
eine	w5_d765e3230
halbe	w7_d765e3233
Stunde	w9_d765e3236
von	w11_d765e3239
hiesigem	w1_d765e3244
Hafen	w3_d765e3247
an.	w5_d765e3250
Der	w7_d765e3253
Hr.	w9_d765e3256
Callwell,	w11_d765e3259
Befehlshaber	w1_d765e3264
des	w3_d765e3267
Englischen	w5_d765e3270
Geschwaders	w7_d765e3273
fuhr	w1_d765e3279
ihm	w3_d765e3282
sogleich	w5_d765e3285
entgegen	w7_d765e3288
und	w9_d765e3291
brachte	w11_d765e3294
ihn	w13_d765e3298
auf	w1_d765e3303
seinem	w3_d765e3306
Schiffe	w5_d765e3309
in	w7_d765e3312
den	w9_d765e3315
Hafen,	w11_d765e3318
woselbst	w13_d765e3322
er	w15_d765e3325
von	w1_d765e3330
dem	w3_d765e3333
bisherigen	w5_d765e3336
Englischen	w7_d765e3339
Gouverneut	w9_d765e3342
der	w1_d765e3347
Jnsul	w3_d765e3350
Herrn	w5_d765e3353
Forrester	w7_d765e3356
erwartet,	w9_d765e3359
und	w11_d765e3362
ihm	w13_d765e3366
beym	w1_d765e3372
Aussteigen	w3_d765e3375
die	w5_d765e3378
Hand	w7_d765e3381
geboten	w9_d765e3384
ward.	w11_d765e3387
Zu	w1_d765e3392
gleicher	w3_d765e3395
Zeit	w5_d765e3398
präsentirte	w7_d765e3401
der	w9_d765e3404
Hr.	w11_d765e3407
Forte	w13_d765e3411
ster	w1_d765e3416
dem	w3_d765e3419
Ritter	w5_d765e3422
von	w7_d765e3425
Warren,	w9_d765e3428
sieben	w11_d765e3431
Ergli	w13_d765e3435
sche	w1_d765e3440
Obriste.	w3_d765e3443
Nachdem	w5_d765e3446
nun	w7_d765e3449
dieser	w9_d765e3452
dem	w11_d765e3455
Eng	w13_d765e3459
lischen	w1_d765e3465
Gouverneur	w3_d765e3468
das	w5_d765e3471
Befehl=schreiben	w7_d765e3474
Sr.	w1_d765e3479
Groß=britannischen	w3_d765e3482
Majestät	w5_d765e3485
zur	w7_d765e3488
Wie	w9_d765e3491
dereinräumung	w1_d765e3496
der	w3_d765e3499
Jnsul	w5_d765e3502
an	w7_d765e3505
die	w9_d765e3508
französische	w11_d765e3511
Trupen	w1_d765e3516
eingehändiget,	w3_d765e3519
so	w5_d765e3522
ward	w7_d765e3525
nach	w9_d765e3528
einer	w11_d765e3531
</p>
<p id="p6_d765e3534">
ungefehr	w1_d765e3538
halb=stündigen	w3_d765e3541
