<doc id="wr_1763-07-30" attrs="word" year="1763" month="07" day="30" corpus="2">
<head id="h2_d779e3159">
Lugand	w1_d779e3163
4.	w3_d779e3166
Julii.	w5_d779e3169
</head>
<p id="p4_d779e3172">
Jon	w1_d779e3176
Rom	w3_d779e3179
hat	w5_d779e3182
man	w7_d779e3185
unterm	w9_d779e3188
25.	w11_d779e3191
Juni	w13_d779e3195
folgenden	w1_d779e3200
Bericht	w3_d779e3203
jenes	w5_d779e3206
sonderbaren	w7_d779e3209
3	w1_d779e3214
Wunders	w1_d779e3220
erhalten,	w3_d779e3223
so	w5_d779e3226
GOtt	w7_d779e3229
auf	w9_d779e3232
die	w11_d779e3235
Fürbitt	w1_d779e3240
des	w3_d779e3243
Ehrwürdigen	w5_d779e3246
P.	w7_d779e3249
Petrus	w9_d779e3252
Mar	w11_d779e3255
tyr	w1_d779e3260
Sans	w3_d779e3263
aus	w5_d779e3266
dem	w7_d779e3269
Prediger=orden,	w9_d779e3272
(wel	w11_d779e3275
cher	w1_d779e3280
den	w3_d779e3283
26.	w5_d779e3286
May	w7_d779e3289
1747.	w9_d779e3292
seine	w11_d779e3295
glorreiche	w13_d779e3299
Marter	w1_d779e3305
in	w3_d779e3308
China	w5_d779e3311
glücklich	w7_d779e3314
vollendet)	w9_d779e3317
gewür	w11_d779e3320
ket	w1_d779e3325
hat,	w3_d779e3328
und	w5_d779e3331
welches	w7_d779e3334
aus	w9_d779e3337
einem	w11_d779e3340
von	w13_d779e3344
Pius	w15_d779e3347
Major	w1_d779e3352
Apostol.	w3_d779e3355
Mißionario	w5_d779e3358
an	w7_d779e3361
die	w9_d779e3364
heilige	w11_d779e3367
Versammlung	w1_d779e3372
von	w3_d779e3375
Ausbreitung	w5_d779e3378
des	w7_d779e3381
Glau	w9_d779e3384
bens	w1_d779e3390
aus	w3_d779e3393
der	w5_d779e3396
Landschaft	w7_d779e3399
Tacivenz	w9_d779e3402
den	w11_d779e3405
17.	w13_d779e3409
September	w1_d779e3414
1759.	w3_d779e3417
erlassenen	w5_d779e3420
Schreiben	w7_d779e3423
ge	w9_d779e3426
treulich	w1_d779e3431
übersetzet	w3_d779e3434
worden.	w5_d779e3437
</p>
<p id="p6_d779e3440">
Da	w1_d779e3444
eben	w3_d779e3447
die	w5_d779e3450
letzte	w7_d779e3453
sehr	w9_d779e3456
grausame	w11_d779e3459
Ver	w13_d779e3463
folgung	w1_d779e3468
der	w3_d779e3471
Christen	w5_d779e3474
in	w7_d779e3477
dem	w9_d779e3480
Sinesischen	w11_d779e3483
Reich	w1_d779e3488
sich	w3_d779e3491
zu	w5_d779e3494
erregen	w7_d779e3497
begunte,	w9_d779e3500
hatte	w11_d779e3503
sich	w13_d779e3507
der	w1_d779e3513
Ehrwürdige	w3_d779e3516
P.	w5_d779e3519
Pius	w7_d779e3522
Martyrer	w9_d779e3525
Sans	w11_d779e3528
</p>
<p id="p8_d779e3531">
Bischof	w1_d779e3535
zu	w3_d779e3538
Mauricastro,	w5_d779e3541
und	w7_d779e3544
Apostolischen	w9_d779e3547
Vicarius	w1_d779e3552
in	w3_d779e3555
der	w5_d779e3558
Foc=kiensischen	w7_d779e3561
Landschaft	w9_d779e3564
nicht	w1_d779e3569
zwar	w3_d779e3572
als	w5_d779e3575
ob	w7_d779e3578
selber	w9_d779e3581
den	w11_d779e3584
Tod	w13_d779e3588
zu	w15_d779e3591
ent	w17_d779e3594
fliehen	w1_d779e3600
gesuchet,	w3_d779e3603
sondern	w5_d779e3606
um	w7_d779e3609
sich	w9_d779e3612
zum	w11_d779e3615
Heil	w13_d779e3619
der	w1_d779e3624
ihm	w3_d779e3627
anvertrauten	w5_d779e3630
Schäflein	w7_d779e3633
zu	w9_d779e3636
erhalten,	w11_d779e3639
schon	w1_d779e3644
durch	w3_d779e3647
derey	w5_d779e3650
Täge	w7_d779e3653
ohne	w9_d779e3656
Geniessung	w11_d779e3659
einiger	w1_d779e3664
Speise	w3_d779e3667
in	w5_d779e3670
einen	w7_d779e3673
Garten	w9_d779e3676
verborgen	w11_d779e3679
aufgehalten.	w1_d779e3685
Ein	w3_d779e3688
Heide	w5_d779e3691
dieser	w7_d779e3694
Landschaf	w9_d779e3697
ten,	w1_d779e3702
ein	w3_d779e3705
sonst	w5_d779e3708
sehr	w7_d779e3711
boshafter	w9_d779e3714
Mensch	w11_d779e3717
und	w13_d779e3721
abgesagter	w1_d779e3726
Feind	w3_d779e3729
des	w5_d779e3732
christlichen	w7_d779e3735
Namens,	w9_d779e3738
wird	w1_d779e3743
von	w3_d779e3746
der	w5_d779e3749
Barmherzigkeit	w7_d779e3752
gegen	w9_d779e3755
den	w11_d779e3758
from	w13_d779e3762
men	w1_d779e3768
Bischof	w3_d779e3771
eingenommen,	w5_d779e3774
und	w7_d779e3777
bietet	w9_d779e3780
dem	w11_d779e3783
selben	w1_d779e3788
sein	w3_d779e3791
Haus	w5_d779e3794
zur	w7_d779e3797
Wohnung	w9_d779e3800
an:	w11_d779e3803
er	w13_d779e3807
ver	w15_d779e3810
setzet	w1_d779e3815
etwas	w3_d779e3818
von	w5_d779e3821
seinen	w7_d779e3824
eigenen	w9_d779e3827
Kleidern,	w11_d779e3830
mit	w1_d779e3835
dem	w3_d779e3838
hieraus	w5_d779e3841
erlangten	w7_d779e3844
Geld	w9_d779e3847
kaufet	w11_d779e3850
er	w13_d779e3854
Speisen,	w1_d779e3860
und	w3_d779e3863
erquicket	w5_d779e3866
auf	w7_d779e3869
solche	w9_d779e3872
Weise	w11_d779e3875
den	w1_d779e3880
vor	w3_d779e3883
Hunger	w5_d779e3886
fast	w7_d779e3889
verschmachtenden	w9_d779e3892
Bi	w11_d779e3895
schof.	w1_d779e3900
Der	w3_d779e3903
ehrwürdige	w5_d779e3906
Petrus	w7_d779e3909
aber,	w9_d779e3912
als	w11_d779e3915
er	w1_d779e3920
vernommen,	w3_d779e3923
daß	w5_d779e3926
einige	w7_d779e3929
Christen	w9_d779e3932
auf	w11_d779e3935
das	w13_d779e3939
</p>
<p id="p14_d779e3953">
grausamste	w1_d779e3957
gepeiniget	w3_d779e3960
wurden,	w5_d779e3963
um	w7_d779e3966
zu	w9_d779e3969
enk	w11_d779e3972
decken,	w1_d779e3977
wo	w3_d779e3980
sich	w5_d779e3983
ihr	w7_d779e3986
Bischof	w9_d779e3989
aufhielte,	w11_d779e3992
hat	w13_d779e3996
alsogleich	w1_d779e4001
die	w3_d779e4004
Wohnung	w5_d779e4007
dieses	w7_d779e4010
seines	w9_d779e4013
un	w11_d779e4016
glaubigen	w1_d779e4022
Gutthäters	w3_d779e4025
verlassen,	w5_d779e4028
und	w7_d779e4031
sich	w9_d779e4034
selbst	w1_d779e4039
denen	w3_d779e4042
Richtern	w5_d779e4045
dargestellet,	w7_d779e4048
von	w9_d779e4051
wel	w11_d779e4054
chen	w1_d779e4059
er	w3_d779e4062
endlich	w5_d779e4065
die	w7_d779e4068
sehnlichst	w9_d779e4071
gewunschene	w11_d779e4074
Marter=kron	w1_d779e4079
erlanget	w3_d779e4082
hat.	w5_d779e4085
Von	w7_d779e4088
dessen	w9_d779e4091
und	w1_d779e4097
seiner	w3_d779e4100
vier	w5_d779e4103
Gehülfen	w7_d779e4106
in	w9_d779e4109
der	w11_d779e4112
Arbeit	w13_d779e4116
des	w15_d779e4119
HErrn,	w1_d779e4124
eben	w3_d779e4127
aus	w5_d779e4130
dem	w7_d779e4133
Prediger=orden,	w9_d779e4136
wel	w11_d779e4139
che	w1_d779e4144
nach	w3_d779e4147
ihm	w5_d779e4150
hingerichtet	w7_d779e4153
worden	w9_d779e4156
sind,	w11_d779e4159
glor	w13_d779e4163
würdigen	w1_d779e4168
Marter=tod	w3_d779e4171
mögen	w5_d779e4174
besehen	w7_d779e4177
wer	w9_d779e4180
den	w1_d779e4186
die	w3_d779e4189
zwey	w5_d779e4192
Anreden	w7_d779e4195
Benedictus	w9_d779e4198
des	w11_d779e4201
14ten	w13_d779e4205
Römischen	w1_d779e4210
Papstens	w3_d779e4213
seeligster	w5_d779e4216
Gedächtnuß	w7_d779e4219
deren	w1_d779e4224
er	w3_d779e4227
eine	w5_d779e4230
den	w7_d779e4233
16ten	w9_d779e4236
des	w11_d779e4239
Herbstmonats	w13_d779e4243
im	w1_d779e4248
Jahr	w3_d779e4251
1748.	w5_d779e4254
die	w7_d779e4257
zweyte	w9_d779e4260
den	w11_d779e4263
24.	w13_d779e4267
Jän	w15_d779e4270
wer	w1_d779e4276
des	w3_d779e4279
1752sten	w5_d779e4282
Jahrs	w7_d779e4285
gehalten,	w9_d779e4288
und	w11_d779e4291
/	w13_d779e4295
in	w15_d779e4298
selbigen	w1_d779e4303
obberührte	w3_d779e4306
fünf	w5_d779e4309
Mitglieder	w7_d779e4312
des	w9_d779e4315
Pre	w11_d779e4318
diger=ordens	w1_d779e4323
als	w3_d779e4326
Martyres	w5_d779e4329
consummatos	w7_d779e4332
das	w1_d779e4337
ist:	w3_d779e4340
welche	w5_d779e4343
ihren	w7_d779e4346
Marter=lauf	w9_d779e4349
für	w11_d779e4352
den	w13_d779e4356
wahren	w1_d779e4362
christlichen	w3_d779e4365
Glauben	w5_d779e4368
würklich	w7_d779e4371
vol	w9_d779e4374
lendet	w1_d779e4379
haben,	w3_d779e4382
erkläret	w5_d779e4385
hat.	w7_d779e4388
</p>
<p id="p16_d779e4391">
Der	w1_d779e4395
gutthätige	w3_d779e4398
Heide	w5_d779e4401
hatte	w7_d779e4404
endlich	w9_d779e4407
in	w11_d779e4410
dem	w1_d779e4415
1758sten	w3_d779e4418
