<doc id="wr_1763-08-10" attrs="word" year="1763" month="08" day="10" corpus="2">
<head id="h2_d782e3112">
Elvas,	w1_d782e3116
im	w3_d782e3119
Königreich	w5_d782e3122
Portugall.	w7_d782e3125
vom	w1_d782e3130
8.	w3_d782e3133
Julii	w5_d782e3136
</head>
<p id="p4_d782e3139">
Zin	w1_d782e3143
Caporal	w3_d782e3146
vom	w5_d782e3149
Regiment	w7_d782e3152
Sarpe	w9_d782e3155
sollte	w1_d782e3160
einem	w3_d782e3163
Soldaten,	w5_d782e3166
wegen	w7_d782e3169
einer	w9_d782e3172
begangenen	w1_d782e3177
Uebelthat,	w3_d782e3180
50.	w5_d782e3183
Streiche	w7_d782e3186
mit	w1_d782e3192
der	w3_d782e3195
flachen	w5_d782e3198
Klinge	w7_d782e3201
geben,	w9_d782e3204
er	w11_d782e3207
weiger	w13_d782e3211
te	w1_d782e3216
sich	w3_d782e3219
aber	w5_d782e3222
solches	w7_d782e3225
zu	w9_d782e3228
thun;	w11_d782e3231
als	w13_d782e3235
der	w15_d782e3238
Obri	w17_d782e3241
ste,	w1_d782e3246
Herr	w3_d782e3249
Anderson,	w5_d782e3252
ein	w7_d782e3255
Engeländer,	w9_d782e3258
die	w11_d782e3261
ses	w1_d782e3266
vernahm,	w3_d782e3269
und	w5_d782e3272
selbst	w7_d782e3275
auf	w9_d782e3278
die	w11_d782e3281
Parade	w13_d782e3285
gieng,	w1_d782e3291
fand	w3_d782e3294
er,	w5_d782e3297
daß	w7_d782e3300
das	w9_d782e3303
ganze	w11_d782e3306
Bataillon	w13_d782e3310
250.	w1_d782e3315
Mann	w3_d782e3318
stark,	w5_d782e3321
die	w7_d782e3324
Bajonette	w9_d782e3327
gefället	w11_d782e3330
hatte,	w1_d782e3335
und	w3_d782e3338
auf	w5_d782e3341
ihn	w7_d782e3344
los	w9_d782e3347
gieng,	w11_d782e3350
in	w13_d782e3354
dem	w15_d782e3357
Vor	w17_d782e3360
satz	w1_d782e3365
ihn	w3_d782e3368
zu	w5_d782e3371
ermorden.	w7_d782e3374
Er	w9_d782e3377
begab	w11_d782e3380
sich	w13_d782e3384
so	w15_d782e3387
gleich	w1_d782e3393
zurück,	w3_d782e3396
und	w5_d782e3399
ein	w7_d782e3402
Portugiesischer	w9_d782e3405
Ma	w11_d782e3408
sor,	w1_d782e3413
der	w3_d782e3416
kaum	w5_d782e3419
20.	w7_d782e3422
Jahr	w9_d782e3425
alt	w11_d782e3428
war,	w13_d782e3432
zog	w15_d782e3435
sei	w17_d782e3438
nen	w1_d782e3443
Degen,	w3_d782e3446
und	w5_d782e3449
stellte	w7_d782e3452
sich	w9_d782e3455
zu	w11_d782e3458
dem	w13_d782e3462
Obri	w15_d782e3465
sten	w1_d782e3470
Anderson,	w3_d782e3473
mit	w5_d782e3476
der	w7_d782e3479
Erklärung:	w9_d782e3482
daß	w11_d782e3485
er	w13_d782e3489
bis	w1_d782e3495
auf	w3_d782e3498
den	w5_d782e3501
letzten	w7_d782e3504
Bluts=tropfen	w9_d782e3507
bey	w11_d782e3510
ihm	w13_d782e3514
halten	w1_d782e3519
wolle;	w3_d782e3522
vier	w5_d782e3525
Grenadiers	w7_d782e3528
folgten	w9_d782e3531
sei	w11_d782e3534
</p>
<p id="p6_d782e3537">
nem	w1_d782e3541
Beyspiel.	w3_d782e3544
Der	w5_d782e3547
Obriste	w7_d782e3550
befahl	w9_d782e3553
der	w11_d782e3556
Schweitzer=garde	w1_d782e3561
zu	w3_d782e3564
laden;	w5_d782e3567
man	w7_d782e3570
gab	w9_d782e3573
ihm	w11_d782e3576
aber	w1_d782e3581
heimlich	w3_d782e3584
zu	w5_d782e3587
verstehen,	w7_d782e3590
daß	w9_d782e3593
sie	w11_d782e3596
weder	w13_d782e3600
Kraut	w1_d782e3606
noch	w3_d782e3609
Bley	w5_d782e3612
hätten.	w7_d782e3615
Der	w9_d782e3618
junge	w11_d782e3621
Por	w13_d782e3625
tugiesische	w1_d782e3630
Major,	w3_d782e3633
welcher	w5_d782e3636
wuste,	w7_d782e3639
daß	w9_d782e3642
sei	w11_d782e3645
ne	w1_d782e3650
Leute	w3_d782e3653
der	w5_d782e3656
Ordre	w7_d782e3659
eines	w9_d782e3662
Portugiesischen	w11_d782e3665
Officiers	w1_d782e3670
pariren	w3_d782e3673
würden,	w5_d782e3676
commandirte:	w7_d782e3679
Halt:	w1_d782e3685
Sie	w3_d782e3688
gehorchten.	w5_d782e3691
Darauf:	w7_d782e3694
das	w9_d782e3697
Ge	w11_d782e3700
wehr	w1_d782e3705
beym	w3_d782e3708
Fuß!	w5_d782e3711
Streckt	w7_d782e3714
das	w9_d782e3717
Gewehr!	w11_d782e3720
Marsch!	w1_d782e3725
Als	w3_d782e3728
sie	w5_d782e3731
20.	w7_d782e3734
Schritte	w9_d782e3737
marschiret	w11_d782e3740
hatten:	w1_d782e3745
Halt!	w3_d782e3748
Alsdann	w5_d782e3751
bemächtigten	w7_d782e3754
sich	w9_d782e3757
die	w1_d782e3763
Schweitzer=Garde	w3_d782e3766
und	w5_d782e3769
das	w7_d782e3772
übrige	w9_d782e3775
Bat	w11_d782e3778
taillon	w1_d782e3783
vom	w3_d782e3786
Regiment	w5_d782e3789
Sarpe	w7_d782e3792
der	w9_d782e3795
Gewehre,	w11_d782e3798
und	w1_d782e3803
das	w3_d782e3806
ganze	w5_d782e3809
Battaillon	w7_d782e3812
ward	w9_d782e3815
gefangen	w11_d782e3818
genommen.	w1_d782e3823
Der	w3_d782e3826
König,	w5_d782e3829
welchem	w7_d782e3832
diese	w9_d782e3835
Sache	w1_d782e3841
von	w3_d782e3844
dem	w5_d782e3847
Grafen	w7_d782e3850
von	w9_d782e3853
der	w11_d782e3856
Lippe	w13_d782e3860
vor	w15_d782e3863
getragen	w1_d782e3868
worden,	w3_d782e3871
hat	w5_d782e3874
befohlen,	w7_d782e3877
daß	w9_d782e3880
das	w11_d782e3883
ganze	w1_d782e3888
Battaillon	w3_d782e3891
hat	w5_d782e3894
loosen	w7_d782e3897
müssen:	w9_d782e3900
vier,	w11_d782e3903
welche	w1_d782e3908
das	w3_d782e3911
Loos	w5_d782e3914
getroffen,	w7_d782e3917
sind	w9_d782e3920
erschossen,	w11_d782e3923
</p>
<p id="p12_d782e3937">
und	w1_d782e3941
die	w3_d782e3944
übrigen	w5_d782e3947
246	w7_d782e3950
sind	w9_d782e3953
auf	w11_d782e3956
6.	w13_d782e3960
Jahre	w15_d782e3963
zum	w1_d782e3968
Vestungs=bau	w3_d782e3971
verdammt	w5_d782e3974
worden.	w7_d782e3977
</p>
<p id="p14_d782e3980">
Der	w1_d782e3984
König	w3_d782e3987
hat	w5_d782e3990
dem	w7_d782e3993
jungen	w9_d782e3996
Major,	w11_d782e3999
wie	w13_d782e4003
auch	w1_d782e4008
den	w3_d782e4011
4.	w5_d782e4014
Grenadlers,	w7_d782e4017
sehr	w9_d782e4020
gnätig	w11_d782e4023
Dank	w13_d782e4027
sagen,	w1_d782e4032
und	w3_d782e4035
den	w5_d782e4038
letzteren	w7_d782e4041
jedem	w9_d782e4044
ein	w11_d782e4047
Geschenk	w13_d782e4051
von	w1_d782e4057
10.	w3_d782e4060
Moidores	w5_d782e4063
reichen	w7_d782e4066
lassen.	w9_d782e4069
</p>
<head id="h2_d782e4075">
Londen	w1_d782e4079
22.	w3_d782e4082
Julii.	w5_d782e4085
</head>
<p id="p4_d782e4088">
Die	w1_d782e4092
Ruhe	w3_d782e4095
in	w5_d782e4098
Nord=america	w7_d782e4101
wird	w9_d782e4104
nun	w11_d782e4107
auch	w1_d782e4112
der	w3_d782e4115
Gegenstand	w5_d782e4118
der	w7_d782e4121
Staatsbeschäfti	w9_d782e4124
gungen,	w1_d782e4129
und	w3_d782e4132
es	w5_d782e4135
ist	w7_d782e4138
vor	w9_d782e4141
allen	w11_d782e4144
nöthig,	w13_d782e4148
daß	w15_d782e4151
dieselbe	w1_d782e4157
in	w3_d782e4160
Erwägung	w5_d782e4163
gezogen	w7_d782e4166
werden.	w9_d782e4169
Zu	w11_d782e4172
dem	w1_d782e4177
Ende	w3_d782e4180
