<doc id="wr_1763-08-27" attrs="word" year="1763" month="08" day="27" corpus="2">
<head id="h2_d786e3060">
Cartagena	w1_d786e3064
20.	w3_d786e3067
Julii.	w5_d786e3070
</head>
<p id="p4_d786e3073">
m	w1_d786e3077
13ten	w3_d786e3080
gieng	w5_d786e3083
das	w7_d786e3086
Schif,	w9_d786e3089
der	w11_d786e3092
Er	w13_d786e3096
schröckliche,	w1_d786e3101
mit	w3_d786e3104
den	w5_d786e3107
2.	w7_d786e3110
Fregatten,	w9_d786e3113
die	w1_d786e3118
Perle	w3_d786e3121
und	w5_d786e3124
der	w7_d786e3127
Windhund,	w9_d786e3130
von	w11_d786e3133
hier	w1_d786e3139
nach	w3_d786e3142
Cadix	w5_d786e3145
ab.	w7_d786e3148
</p>
<p id="p6_d786e3151">
Wenn	w1_d786e3155
man	w3_d786e3158
die	w5_d786e3161
beträchtliche	w7_d786e3164
Menge	w9_d786e3167
Ca	w11_d786e3170
per,	w1_d786e3175
die	w3_d786e3178
längs	w5_d786e3181
den	w7_d786e3184
Andalusischen	w9_d786e3187
und	w11_d786e3190
un	w13_d786e3194
seren	w1_d786e3199
Grenzen	w3_d786e3202
streifen,	w5_d786e3205
betrachtet,	w7_d786e3208
so	w9_d786e3211
solte	w11_d786e3214
man	w1_d786e3220
billig	w3_d786e3223
schliessen,	w5_d786e3226
Algier	w7_d786e3229
und	w9_d786e3232
die	w11_d786e3235
übri	w13_d786e3239
ge	w1_d786e3244
barbarische	w3_d786e3247
Republiken	w5_d786e3250
hätten	w7_d786e3253
sich	w9_d786e3256
ent	w11_d786e3259
schlossen,	w1_d786e3264
aus	w3_d786e3267
den	w5_d786e3270
spanischen	w7_d786e3273
Gewässern	w9_d786e3276
ei	w11_d786e3279
nen	w1_d786e3284
Sammelplatz	w3_d786e3287
zu	w5_d786e3290
machen.	w7_d786e3293
Nun	w9_d786e3296
sey	w11_d786e3299
ihre	w1_d786e3305
Zahl	w3_d786e3308
noch	w5_d786e3311
so	w7_d786e3314
ansehnlich,	w9_d786e3317
und	w11_d786e3320
die	w13_d786e3324
