<doc id="wr_1763-10-15" attrs="word" year="1763" month="10" day="15" corpus="2">
<head id="h2_d800e3755">
Niagara	w1_d800e3759
1.	w3_d800e3762
August.	w5_d800e3765
</head>
<p id="p4_d800e3768">
ie	w1_d800e3772
wir	w3_d800e3775
vernehmen,	w5_d800e3778
so	w7_d800e3781
sollen	w9_d800e3784
die	w11_d800e3787
wil	w13_d800e3791
den	w1_d800e3796
Jndianer	w3_d800e3799
ihrem	w5_d800e3802
Versuch	w7_d800e3805
au	w9_d800e3808
die	w1_d800e3815
Schanze	w3_d800e3818
Detroit	w5_d800e3821
entsagen	w7_d800e3824
wol	w9_d800e3827
len.	w1_d800e3833
Die	w3_d800e3836
Erhaltung	w5_d800e3839
gedachten	w7_d800e3842
Orts	w9_d800e3845
hat	w11_d800e3848
man	w1_d800e3853
vornämlich	w3_d800e3856
den	w5_d800e3859
auf	w7_d800e3862
dem	w9_d800e3865
Land=see	w11_d800e3868
Erit,	w13_d800e3872
durch	w1_d800e3877
welchen	w3_d800e3880
der	w5_d800e3883
Fluß	w7_d800e3886
St.	w9_d800e3889
Laurentli	w11_d800e3892
ge	w13_d800e3896
bet,	w1_d800e3901
liegenden	w3_d800e3904
Schiffen,	w5_d800e3907
wie	w7_d800e3910
nichtminder	w9_d800e3913
dem	w1_d800e3919
tapfern	w3_d800e3922
Betragen	w5_d800e3925
des	w7_d800e3928
dortigen	w9_d800e3931
Com	w11_d800e3934
mandanten,	w1_d800e3939
Herrn	w3_d800e3942
Majors	w5_d800e3945
Gladwin,	w7_d800e3948
zu	w9_d800e3951
verdanken.	w1_d800e3956
Das	w3_d800e3959
von	w5_d800e3962
hier	w7_d800e3965
mit	w9_d800e3968
einer	w11_d800e3971
Ver	w13_d800e3975
stärkung	w1_d800e3980
von	w3_d800e3983
Trupen	w5_d800e3986
und	w7_d800e3989
Kriegsmuni	w9_d800e3992
tionen	w1_d800e3998
nach	w3_d800e4001
Detroit	w5_d800e4004
zu	w7_d800e4007
ück	w9_d800e4010
gekehrte	w11_d800e4013
Schif	w13_d800e4017
ward	w1_d800e4022
auf	w3_d800e4025
seiner	w5_d800e4028
Fahrt	w7_d800e4031
von	w9_d800e4034
einem	w11_d800e4037
auf	w13_d800e4041
dem	w15_d800e4044
Ufer	w1_d800e4049
des	w3_d800e4052
Flusses	w5_d800e4055
verschanzten	w7_d800e4058
Haufen	w9_d800e4061
Jn	w11_d800e4064
dianer	w1_d800e4069
angefallen;	w3_d800e4072
da	w5_d800e4075
man	w7_d800e4078
aber	w9_d800e4081
aus	w11_d800e4084
den	w13_d800e4088
an	w15_d800e4091
Boro	w1_d800e4097
des	w3_d800e4100
Schiffes	w5_d800e4103
habenden	w7_d800e4106
Canonen	w9_d800e4109
auf	w11_d800e4112
dieselbe	w1_d800e4117
feuerte,	w3_d800e4120
verliessen	w5_d800e4123
sie	w7_d800e4126
ihre	w9_d800e4129
Werker,	w11_d800e4132
und	w1_d800e4137
setzte	w3_d800e4140
also	w5_d800e4143
das	w7_d800e4146
Schif	w9_d800e4149
seine	w11_d800e4152
Fahrt	w13_d800e4156
glück	w15_d800e4159
lich	w1_d800e4164
fort.	w3_d800e4167
Eins	w5_d800e4170
bemerket	w7_d800e4173
man	w9_d800e4176
hierbey,	w11_d800e4179
daß	w13_d800e4183
</p>
<p id="p6_d800e4186">
die	w1_d800e4190
Wilden	w3_d800e4193
sich	w5_d800e4196
ferner	w7_d800e4199
des	w9_d800e4202
Schifes	w11_d800e4205
mit	w13_d800e4209
Hols=flossen	w1_d800e4214
zu	w3_d800e4217
nähern	w5_d800e4220
getrachtet,	w7_d800e4223
um	w9_d800e4226
das	w11_d800e4229
selbe	w1_d800e4234
in	w3_d800e4237
Brand	w5_d800e4240
zu	w7_d800e4243
stecken,	w9_d800e4246
woraus	w11_d800e4249
man	w13_d800e4253
vermuthet,	w1_d800e4259
daß	w3_d800e4262
fremde	w5_d800e4265
Unterweiser	w7_d800e4268
bey	w9_d800e4271
ih	w11_d800e4274
nen	w1_d800e4279
seyn	w3_d800e4282
müssen.	w5_d800e4285
