<doc id="wr_1763-11-16" attrs="word" year="1763" month="11" day="16" corpus="2">
<head id="h2_d809e3094">
Dublin	w1_d809e3098
20.	w3_d809e3101
Oetob.	w5_d809e3104
</head>
<p id="p4_d809e3107">
er	w1_d809e3111
hiesize	w3_d809e3114
Stadt=rath	w5_d809e3117
hat	w7_d809e3120
in	w9_d809e3123
einer	w11_d809e3126
all	w13_d809e3130
gemeinen	w1_d809e3135
Versammlung	w3_d809e3138
beschlossen.	w5_d809e3141
)	w1_d809e3146
des	w1_d809e3152
Hrn.	w3_d809e3155
von	w5_d809e3158
Northumberland	w7_d809e3161
Ex	w9_d809e3164
cellenz,	w1_d809e3169
unserm	w3_d809e3172
Vice=König,	w5_d809e3175
die	w7_d809e3178
hiesige	w9_d809e3181
Bürgerliche	w1_d809e3186
Freyheit	w3_d809e3189
in	w5_d809e3192
einer	w7_d809e3195
goldenen	w9_d809e3198
Cap	w11_d809e3201
sel	w1_d809e3206
darzureichen	w3_d809e3209
</p>
<p id="p6_d809e3212">
Einhartes	w1_d809e3216
Schlesalbet	w3_d809e3219
diebey	w5_d809e3222
den	w7_d809e3225
Grof	w9_d809e3228
schaften	w1_d809e3233
Kilkenny	w3_d809e3236
und	w5_d809e3239
Wicklow	w7_d809e3242
auf	w9_d809e3245
eine	w11_d809e3248
be	w13_d809e3252
daurens	w1_d809e3257
würdige	w3_d809e3260
Art	w5_d809e3263
mitgenemmen.	w7_d809e3266
Durch	w9_d809e3269
den	w1_d809e3275
stets	w3_d809e3278
fortdaurenden	w5_d809e3281
Regen	w7_d809e3284
war	w9_d809e3287
am	w11_d809e3290
2ten	w13_d809e3294
dieses	w1_d809e3299
eine	w3_d809e3302
solche	w5_d809e3305
Wasserfluth,	w7_d809e3308
daß	w9_d809e3311
der	w11_d809e3314
Fle	w13_d809e3318
cken	w1_d809e3323
Thomastown,	w3_d809e3326
ausser	w5_d809e3329
4.	w7_d809e3332
Häusern,	w9_d809e3335
die	w11_d809e3338
noch	w1_d809e3343
stehen	w3_d809e3346
geblieben,	w5_d809e3349
von	w7_d809e3352
dem	w9_d809e3355
Strom	w11_d809e3358
hin	w13_d809e3362
gerissen	w1_d809e3368
worden.	w3_d809e3371
Wer	w5_d809e3374
sollte	w7_d809e3377
nicht	w9_d809e3380
zum	w11_d809e3383
Mit	w13_d809e3387
/	w15_d809e3390
leiden	w1_d809e3395
gerühret	w3_d809e3398
werden,	w5_d809e3401
da	w7_d809e3404
bereits	w9_d809e3407
am	w11_d809e3410
5ter	w13_d809e3414
70.	w1_d809e3419
Personen	w3_d809e3422
gezählet	w5_d809e3425
wurden,	w7_d809e3428
die	w9_d809e3431
man	w11_d809e3434
aus	w13_d809e3438
dem	w1_d809e3443
Wasser	w3_d809e3446
Tod	w5_d809e3449
beraus	w7_d809e3452
gezogen	w9_d809e3455
hatte.	w11_d809e3458
Za	w13_d809e3462
Birr	w1_d809e3468
sind	w3_d809e3471
ebenfalls	w5_d809e3474
29.	w7_d809e3477
Personen	w9_d809e3480
ersäuffet.	w11_d809e3483
</p>
<p id="p8_d809e3486">
Durch	w1_d809e3490
die	w3_d809e3493
Heftigkeit	w5_d809e3496
der	w7_d809e3499
aus	w9_d809e3502
den	w11_d809e3505
Uferen	w13_d809e3509
ge	w15_d809e3512
treitenen	w1_d809e3517
Wässer	w3_d809e3520
sind	w5_d809e3523
in	w7_d809e3526
der	w9_d809e3529
Grafschaft	w11_d809e3532
Wick	w13_d809e3536
low	w1_d809e3541
17.	w3_d809e3544
Brücken	w5_d809e3547
weggeschleypet	w7_d809e3550
worden.	w9_d809e3553
</p>
<p id="p10_d809e3556">
Diese	w1_d809e3560
trauervolle	w3_d809e3563
Vorfallenheit	w5_d809e3566
war	w7_d809e3569
dem	w9_d809e3572
Grafen	w1_d809e3577
von	w3_d809e3580
Northumberland	w5_d809e3583
nicht	w7_d809e3586
so	w9_d809e3589
bald	w11_d809e3592
hinterbracht	w1_d809e3597
worden,	w3_d809e3600
da	w5_d809e3603
schickte	w7_d809e3606
derselbe	w9_d809e3609
1000	w1_d809e3615
Pfund	w3_d809e3618
Sterling	w5_d809e3621
nach	w7_d809e3624
der	w9_d809e3627
Gra	w11_d809e3630
|	w13_d809e3634
|	w15_d809e3637
schaft	w1_d809e3642
Kilkenny,	w3_d809e3645
um	w5_d809e3648
unter	w7_d809e3651
die	w9_d809e3654
dasigen	w11_d809e3657
ar	w13_d809e3661
men	w1_d809e3666
Leute	w3_d809e3669
ausgetheilt	w5_d809e3672
zu	w7_d809e3675
werden.	w9_d809e3678
Es	w11_d809e3681
hat	w13_d809e3685
ben	w1_d809e3690
auch	w3_d809e3693
Hochdieselbe	w5_d809e3696
den	w7_d809e3699
Befehl	w9_d809e3702
ertheilet,	w11_d809e3705
die	w1_d809e3711
blecheue	w3_d809e3714
Pontons	w5_d809e3717
von	w7_d809e3720
dem	w9_d809e3723
Regiment	w11_d809e3726
Kildare	w1_d809e3731
über	w3_d809e3734
die	w5_d809e3737
Flüsse	w7_d809e3740
zu	w9_d809e3743
schlagen,	w11_d809e3746
bis	w13_d809e3750
dahin	w1_d809e3755
an	w3_d809e3758
den	w5_d809e3761
gehörigen	w7_d809e3764
Orten	w9_d809e3767
wiederum	w11_d809e3770
neu	w13_d809e3774
Brücken	w1_d809e3779
aufgeschlagen	w3_d809e3782
seyn.	w5_d809e3785
</p>
<p id="p12_d809e3789">
Ein	w1_d809e3793
anderer	w3_d809e3796
so	w5_d809e3799
ausserordentlich	w7_d809e3802
als	w9_d809e3805
be	w11_d809e3808
fremdlicher	w1_d809e3813
Vorfall	w3_d809e3816
ist	w5_d809e3819
dieser.	w7_d809e3822
Am	w9_d809e3825
5ten	w11_d809e3828
dieses	w1_d809e3833
eröfnete	w3_d809e3836
sich	w5_d809e3839
der	w7_d809e3842
Berg	w9_d809e3845
Knochacree	w11_d809e3848
in	w13_d809e3852
der	w1_d809e3858
Grafschaft	w3_d809e3861
Wicklow	w5_d809e3864
mit	w7_d809e3867
einem	w9_d809e3870
entsetzli	w11_d809e3873
chen	w1_d809e3878
Krachen.	w3_d809e3881
Das	w5_d809e3884
Wasser	w7_d809e3887
strömte	w9_d809e3890
also	w11_d809e3893
</p>
<p id="p18_d809e3906">
bald	w1_d809e3910
in	w3_d809e3913
solcher	w5_d809e3916
Menge	w7_d809e3919
aus	w9_d809e3922
der	w11_d809e3925
Oefuung	w13_d809e3929
ber	w15_d809e3932
vor	w1_d809e3937
daß	w3_d809e3940
verschiedene	w5_d809e3943
da	w7_d809e3946
herumligende	w9_d809e3949
Scheu	w11_d809e3952
ne,	w1_d809e3957
die	w3_d809e3960
alle	w5_d809e3963
mit	w7_d809e3966
Getraide	w9_d809e3969
angefüllet	w11_d809e3972
waren,	w13_d809e3976
mithi	w1_d809e3982
gerissen	w3_d809e3985
würden.	w5_d809e3988
</p>
<head id="h2_d809e3994">
Fortsetzung	w1_d809e3998
des	w3_d809e4001
neulich	w5_d809e4004
abetheil	w7_d809e4007
ten	w1_d809e4012
Friedens=tractats	w3_d809e4015
zwischen	w5_d809e4018
Frankreich,	w1_d809e4023
Spanien	w3_d809e4026
und	w5_d809e4029
Sardinien.	w1_d809e4035
</head>
<p id="p4_d809e4038">
Art.	w1_d809e4042
3.	w3_d809e4045
Mittlerwoile,	w5_d809e4048
bis	w7_d809e4051
sich	w9_d809e4054
die	w11_d809e4057
Zeit	w13_d809e4061
und	w1_d809e4066
der	w3_d809e4069
Fall	w5_d809e4072
eränget,	w7_d809e4075
vorgedachten	w9_d809e4078
Rückfall	w11_d809e4081
zu	w1_d809e4086
