"ID_A","A","AA","AAA","AAA_kompakt","AAAS","Stichwort_A","WDH","Löschen"
1000001,3,9,0,390,M,Erdbeben,1,false
1000002,1,1,5,115,P,,1,false
1000003,1,2,0,120,,,1,false
1000004,3,6,0,360,,,1,false
1000005,3,9,0,390,,Erdbeben,1,false
1000006,3,4,0,340,,,1,false
1000007,2,7,0,270,P,,1,false
1000008,1,1,5,115,P,,1,false
1000009,1,1,5,115,P,,1,false
1000010,3,5,0,350,,,1,false
1000011,3,9,0,390,,Erdbeben,1,false
1000012,1,5,0,150,,Engl.-russ. Subsidientraktat,1,false
1000014,0,0,0,0,,Subsidientraktat (gelöscht),1,true
1000015,1,5,0,150,,Engl.-hess. Subsidientraktat,1,false
1000016,0,9,0,90,,,1,false
1000017,3,9,0,390,,Überschwemmung,1,false
1000018,3,9,0,390,,Erdbeben,1,false
1000019,3,6,0,360,,,1,false
1000020,2,9,0,290,,,1,false
1000021,3,0,8,308,X,Dominicaner,1,false
1000023,3,6,0,360,«,,1,false
1000024,1,2,0,120,,,1,false
1000025,3,9,0,390,,Erdbeben,1,false
1000026,3,2,0,320,,,1,false
1000027,3,0,8,308,,,1,false
1000028,3,2,0,320,,,1,false
1000029,2,4,0,240,,,1,false
1000030,3,7,0,370,,,1,false
1000032,3,2,0,320,,Bankerrichtung,1,false
1000034,3,9,3,393,,Vieseuche,1,false
1000035,3,9,0,390,,Erdbeben,1,false
1000036,1,1,5,115,,"""Briger-Courier"" als Nachrichtenquelle",1,false
1000037,2,1,0,210,,,1,false
1000038,2,0,6,206,,,1,false
1000039,3,6,5,365,,Hofreise,1,false
1000040,3,6,8,368,,"(im jeden Nr., Seite 4,5 oder 6)",1,false
1000041,5,1,0,510,,"(im jeden Nr., Seite 5 oder 6)",1,false
1000043,7,1,0,710,,,2,false
1000044,5,3,0,530,,Erb- und/oder Kreditorenansprüche,3,false
1000045,5,3,0,530,,Kreditorenansprüche,1,false
1000046,5,3,0,530,,Eigentumsstreit,2,false
1000047,3,9,0,390,,Wasserflut,1,false
1000048,3,9,0,390,,Feuersbrunst,1,false
1000049,7,1,0,710,,,3,false
1000050,7,1,0,710,,,1,false
1000051,7,1,0,710,,,1,false
1000052,7,1,0,710,,,1,false
1000053,3,0,6,306,,"Universität Mailand, Ambrosianische Bibliothek",1,false
1000054,6,0,0,600,,Illuminationsbeschreibung,1,false
1000055,1,1,1,111,,,1,false
1000056,1,1,1,111,,,1,false
1000057,1,1,5,115,M,Konvoi,1,false
1000058,1,1,1,111,,,1,false
1000059,3,9,0,390,,Überschwemmung,1,false
1000060,3,9,0,390,,Gewitter,1,false
1000061,1,1,1,111,,,1,false
1000062,1,1,5,115,,,1,false
1000063,1,1,8,118,,,1,false
1000064,1,6,8,168,X,Jesuiten,1,false
1000065,1,1,8,118,X,Dominicaner,1,false
1000066,1,1,5,115,M,,1,false
1000067,1,1,1,111,,,1,false
1000068,3,0,8,308,,,1,false
1000070,1,1,8,118,,,1,false
1000071,1,1,8,118,,,1,false
1000072,2,4,0,240,,,1,false
1000073,2,4,0,240,P,,1,false
1000074,2,6,0,260,P,,1,false
1000075,3,2,0,320,,,1,false
1000076,3,0,8,308,,,1,false
1000077,2,2,0,220,,,1,false
1000078,3,4,0,340,,,1,false
1000079,1,1,0,110,,,1,false
1000080,3,2,0,320,,,1,false
1000081,6,9,0,690,,Namensfest der Großfürstin,1,false
1000082,3,6,0,360,,,1,false
1000083,3,0,6,306,,Ital. Musik,1,false
1000084,3,4,9,349,,,1,false
1000086,3,9,0,390,,Wasserflut,1,false
1000087,3,0,8,308,X,Zisterzienser,1,false
1000088,3,0,8,308,X,Ioanniter,1,false
1000089,5,2,7,527,,Medizinische Statistik,1,false
1000090,5,2,7,527,,Medizinische Statistik,1,false
1000091,7,6,0,760,,,1,false
1000092,5,3,0,530,,Erb- und/oder Kreditorenansprüche,6,false
1000093,7,1,0,710,,,1,false
1000094,7,1,0,710,,,1,false
1000095,5,5,0,550,,Obligation,1,false
1000096,7,0,9,709,ö,,1,false
1000097,3,0,6,306,,Theater,1,false
1000098,3,6,5,365,,Hofreise,1,false
1000099,1,1,6,116,,Ital. Musik,1,true
1000100,1,1,5,115,,,1,false
1000101,1,1,1,111,,,1,false
1000102,3,9,0,390,,Erdbeben Geschichte der Katastrophen,1,false
1000103,3,3,0,330,,,1,false
1000104,3,0,6,306,,Erdbebenursache,1,false
1000105,7,1,0,710,,,1,false
1000106,7,1,0,710,,,2,false
1000108,3,9,0,390,,Erdbeben,1,false
1000109,6,3,0,630,,Schreiben von Lissabon vom 18.11.1755 (Über das katastrophalen Erdbeben),1,false
1000110,3,4,9,349,,,1,false
1000111,2,6,0,260,P,,1,false
1000112,2,6,0,260,,,1,false
1000113,2,0,9,209,,,1,false
1000114,2,0,0,200,,Maßnahmen gegen die frz. Siedler in Nordamerika,1,false
1000115,3,9,0,390,,Erdbeben,1,false
1000116,3,9,0,390,,Erdbeben,1,false
1000117,3,9,0,390,,Erdbeben,1,false
1000118,3,9,0,390,,Überschwemmung,1,false
1000119,1,1,5,115,,,1,false
1000120,3,4,0,340,,,1,false
1000121,3,9,0,390,,Erdbeben,1,false
1000122,3,2,0,320,,,1,false
1000123,1,5,0,150,,Engl.-russ. Subsidientraktat,1,false
1000124,1,5,0,150,,Engl.-hess. Subsidientraktat,1,false
1000125,1,5,0,150,,Engl.-bayer. Subsidientraktat,1,false
1000126,2,0,4,204,P,,1,false
1000127,2,0,7,207,,,1,false
1000128,2,1,0,210,P,,1,false
1000129,2,0,1,201,P,,1,false
1000130,2,1,0,210,,,1,false
1000131,2,9,0,290,,,1,false
1000132,2,7,0,270,,,1,false
1000133,3,9,0,390,,Überschwemmung,1,false
1000134,2,4,0,240,,,1,false
1000135,2,0,4,204,P,,1,false
1000136,3,9,0,390,,Erdbeben,1,false
1000137,3,6,0,360,,Andenkenfest in Riga,1,false
1000138,1,2,0,120,,,1,false
1000139,3,9,0,390,,Erdbeben,1,false
1000140,0,1,0,10,,Drillinge,1,false
1000141,3,0,6,306,,Erdbebenursache,1,false
1000142,3,6,0,360,«,,1,false
1000143,3,6,0,360,,,1,false
1000144,3,6,5,365,,Hofreise,1,false
1000145,3,0,6,306,,Frz. Komödie,1,false
1000146,2,4,0,240,,Truppenbesichtigung in Berlin,1,false
1000147,3,3,2,332,,,1,false
1000148,3,0,6,306,,,1,false
1000149,3,6,0,360,,,1,false
1000150,3,6,0,360,«,,1,false
1000151,3,9,0,390,,Erdbeben,1,false
1000152,3,0,8,308,,Bußgottesduienst,1,false
1000153,3,6,0,360,,,1,false
1000154,1,1,5,115,,,1,false
1000155,3,0,6,306,,,1,false
1000156,3,6,5,365,ø,,1,false
1000157,3,6,0,360,«,,1,false
1000158,3,9,0,390,,Erdbeben,1,false
1000159,5,2,0,520,,Demographische: Geborene und Verstorbene in Breslau 1755,1,false
1000160,5,2,7,527,,Medizinische Statistik,1,false
1000161,3,6,0,360,«,,1,false
1000162,3,6,0,360,,,1,false
1000163,7,2,0,720,,,3,false
1000164,7,1,0,710,,,1,false
1000165,5,3,0,530,,Erb- und/oder Kreditorenansprüche,2,false
1000166,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000167,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000168,7,1,0,710,,,1,false
1000169,6,7,0,670,,"Franciscus Boyer, Bischof von Mirepoix (Theatiner)",1,false
1000170,3,0,8,308,X,Theatiner,1,false
1000171,7,1,0,710,,,1,false
1000172,1,1,5,115,,,1,false
1000173,3,9,0,390,,Erdbeben,1,false
1000174,3,4,9,349,,,1,false
1000175,1,2,0,120,,,1,false
1000176,1,1,5,115,,,1,false
1000177,3,5,0,350,,,1,false
1000178,3,9,0,390,,Überschwemmung,1,false
1000179,3,0,6,306,,Numismatik,1,false
1000180,3,0,8,308,,,1,false
1000181,6,7,0,670,,Kardinal Caraffa,1,false
1000182,3,7,0,370,,,1,false
1000183,2,4,0,240,,,1,false
1000184,2,9,0,290,,,1,false
1000185,2,5,0,250,,,1,false
1000186,2,6,0,260,,,1,false
1000187,2,8,0,280,,,1,false
1000188,1,2,0,120,,,1,false
1000189,2,4,0,240,,,1,false
1000190,3,9,0,390,,Erdbeben,1,false
1000191,3,9,5,395,,,1,false
1000192,2,1,0,210,,,1,false
1000193,1,1,1,111,,,1,false
1000194,3,3,1,331,,,1,false
1000195,1,6,0,160,,,1,false
1000196,1,6,0,160,,,1,false
1000197,2,1,0,210,,,1,false
1000198,1,1,0,110,,,1,false
1000199,3,9,0,390,,Erdbeben,1,false
1000200,2,1,0,210,,,1,false
1000201,2,4,0,240,,Kriegsvorbereitung,1,false
1000202,3,9,0,390,,Brand,1,false
1000203,1,1,1,111,,,1,false
1000204,5,2,0,520,,"Demographische: Geborene und Verstorbene, Eheschließungen in Frankfurt und Sachsenhausen 1755",1,false
1000205,3,7,0,370,,,1,false
1000206,3,0,8,308,,Taufe der Andersgläubigen,1,false
1000207,3,6,0,360,,,1,false
1000208,7,6,0,760,,Kgl.-kaiserl. privileg. Lotterie,1,false
1000209,7,1,0,710,,,1,false
