"Lfd_Nr_G","ID_G","G","GG","GGG","GGG_kompakt","GGGS","Stichwort_G","Löschen","Militär"
1,1000001,1,1,2,112,,,false,false
2,1000001,1,1,1,111,,,false,false
3,1000001,3,2,2,322,,,false,false
4,1000002,1,1,2,112,,,false,false
5,1000002,1,2,2,122,,,false,false
6,1000003,1,1,2,112,,,false,false
7,1000003,1,1,1,111,,,false,false
8,1000004,1,1,2,112,,,false,false
9,1000006,1,1,1,111,,,false,false
10,1000007,1,1,3,113,,,false,true
11,1000007,1,2,1,121,,,false,false
13,1000008,1,1,3,113,,,false,false
14,1000008,1,3,9,139,,,false,false
15,1000009,1,1,3,113,,,false,false
16,1000009,1,4,6,146,,,false,false
17,1000010,1,3,4,134,K,,false,false
18,1000011,1,3,5,135,,,false,false
19,1000012,1,6,8,168,,,false,false
20,1000012,1,2,1,121,,,false,false
21,1000014,1,2,1,121,,,false,false
22,1000014,0,0,0,0,,,false,false
23,1000015,1,2,1,121,,,false,false
24,1000015,1,5,3,153,HK,,false,false
25,1000016,1,1,5,115,,,false,false
26,1000017,1,1,3,113,,,false,false
27,1000019,1,1,3,113,,,false,false
28,1000020,3,1,3,313,,,false,false
29,1000021,1,1,3,113,,,false,false
30,1000005,1,1,1,111,,,false,false
31,1000018,1,1,3,113,,,false,false
32,1000018,1,1,6,116,,,false,false
33,1000023,1,1,3,113,,,false,false
34,1000024,1,1,3,113,,,false,false
35,1000024,1,3,2,132,,,false,false
36,1000025,1,1,3,113,,,false,false
37,1000026,1,1,3,113,,,false,false
38,1000027,1,1,3,113,,,false,false
39,1000028,1,2,2,122,,,false,false
40,1000029,1,2,2,122,,,false,false
41,1000030,1,2,2,122,,,false,false
42,1000032,1,5,8,158,BwL,,false,false
43,1000034,1,5,8,158,BWL,,false,false
44,1000035,1,1,6,116,,,false,false
45,1000036,1,1,6,116,,,false,false
46,1000036,1,5,1,151,,,false,false
47,1000037,1,5,8,158,BWL,,false,true
48,1000038,1,5,8,158,BWL,,false,true
49,1000039,1,5,2,152,Ns,,false,false
50,1000039,1,1,5,115,,,false,false
51,1000039,1,5,2,152,Lp,,false,false
52,1000040,1,5,1,151,,,false,false
53,1000041,1,5,1,151,,,false,false
54,1000043,1,5,1,151,,,false,false
55,1000044,1,6,4,164,,,false,false
56,1000045,1,5,1,151,,,false,false
57,1000046,1,5,1,151,,,false,false
58,1000047,1,2,2,122,,,false,false
59,1000047,1,2,3,123,N,,false,false
60,1000048,1,2,2,122,,,false,false
61,1000049,1,5,1,151,,,false,false
62,1000050,1,5,1,151,,,false,false
63,1000051,1,5,1,151,,,false,false
64,1000052,1,5,1,151,,,false,false
65,1000053,1,3,5,135,,,false,false
66,1000055,1,3,4,134,,,false,false
67,1000055,1,1,5,115,,,false,false
68,1000056,1,1,3,113,,,false,false
69,1000056,1,1,5,115,,,false,false
70,1000057,1,1,5,115,,,false,false
71,1000058,1,3,9,139,,,false,false
72,1000058,1,1,5,115,,,false,false
73,1000059,1,3,5,135,,,false,false
74,1000059,1,3,1,131,,,false,false
75,1000060,1,3,8,138,,,false,false
76,1000061,1,3,8,138,,,false,false
77,1000061,2,1,4,214,,,false,false
78,1000062,1,3,4,134,,,false,false
79,1000062,1,3,8,138,,,false,false
80,1000063,1,3,4,134,,,false,false
81,1000063,1,3,1,131,,,false,false
82,1000064,1,3,1,131,,,false,false
83,1000065,1,3,4,134,,,false,false
84,1000065,1,3,1,131,,,false,false
85,1000066,1,2,1,121,,,false,false
86,1000066,1,1,3,113,,,false,false
88,1000067,1,1,3,113,,,false,false
89,1000067,2,1,4,214,,,false,false
90,1000068,1,3,1,131,,,false,false
91,1000070,1,3,1,131,,,false,false
92,1000070,1,3,9,139,,,false,false
93,1000071,1,3,1,131,,,false,false
94,1000071,1,3,4,134,,,false,false
95,1000072,1,2,1,121,,,false,true
96,1000073,1,2,1,121,,,false,true
97,1000074,1,1,3,113,,,false,true
99,1000075,1,1,3,113,,,false,false
100,1000076,1,1,3,113,,,false,false
101,1000077,1,1,3,113,,,false,true
102,1000078,1,1,4,114,,,false,false
103,1000079,1,1,3,113,,,false,false
104,1000079,1,1,5,115,,,false,false
105,1000080,1,1,5,115,,,false,false
106,1000081,1,6,8,168,,,false,false
107,1000082,1,6,8,168,,,false,false
108,1000083,1,6,8,168,,,false,false
109,1000084,1,6,1,161,,,false,false
110,1000087,1,5,1,151,,,false,false
111,1000088,1,5,0,150,,,false,false
112,1000089,1,5,0,150,,,false,false
113,1000090,1,5,1,151,,,false,false
114,1000091,1,5,1,151,,,false,false
115,1000092,1,6,4,164,,,false,false
116,1000093,1,5,1,151,,,false,false
117,1000094,1,5,1,151,,,false,false
118,1000095,1,5,1,151,,,false,false
119,1000096,1,5,1,151,,,false,false
120,1000097,1,2,3,123,,,false,false
121,1000098,1,5,8,158,BwW,,false,false
122,1000099,1,2,3,123,,,false,false
123,1000100,1,2,3,123,,,false,false
124,1000100,2,0,6,206,,,false,false
125,1000101,1,1,1,111,,,false,false
126,1000101,1,5,8,158,Hst,,false,false
127,1000102,1,1,1,111,,,false,false
128,1000103,2,0,5,205,,,false,false
129,1000103,3,0,5,305,,,false,false
130,1000104,1,5,8,158,Hst,,false,false
131,1000105,1,5,1,151,,,false,false
132,1000106,1,5,1,151,,,false,false
133,1000108,1,1,1,111,,,false,false
134,1000109,1,1,1,111,,,false,false
135,1000110,1,1,1,111,,,false,false
136,1000112,3,1,1,311,,,false,false
137,1000111,3,1,1,311,,,false,false
138,1000113,3,1,1,311,,,false,false
139,1000114,3,1,1,311,,,false,false
140,1000115,1,1,1,111,,,false,false
141,1000116,4,1,4,414,,,false,false
142,1000117,1,1,9,119,,,false,false
143,1000118,4,1,5,415,,,false,false
144,1000119,1,1,2,112,,,false,false
145,1000119,1,1,1,111,,,false,false
146,1000120,1,1,2,112,,,false,false
147,1000121,1,1,2,112,,,false,false
148,1000122,1,2,1,121,,,false,false
149,1000123,1,6,8,168,,,false,false
150,1000123,1,2,1,121,,,false,false
151,1000124,1,2,1,121,,,false,false
152,1000124,1,5,3,153,HK,,false,false
153,1000125,1,2,1,121,,,false,false
154,1000125,1,5,6,156,By,,false,false
155,1000126,1,2,1,121,,,false,true
156,1000127,1,2,1,121,,,false,true
157,1000128,1,2,1,121,,,false,true
158,1000129,1,2,1,121,,,false,true
159,1000130,1,2,1,121,,,false,true
160,1000131,3,1,1,311,,,false,false
161,1000132,3,1,1,311,,,false,false
162,1000133,1,1,3,113,,,false,false
163,1000134,1,1,3,113,,,false,true
164,1000135,1,1,3,113,,,false,true
165,1000136,1,1,2,112,,,false,false
166,1000137,1,6,8,168,,,false,false
167,1000138,2,1,0,210,,,false,false
168,1000138,1,6,1,161,,,false,false
169,1000139,1,1,6,116,,,false,false
170,1000140,1,6,1,161,,,false,false
171,1000141,1,1,6,116,,,false,false
172,1000142,1,5,8,158,Hst,,false,false
174,1000143,1,5,9,159,,,false,false
175,1000144,1,5,3,153,HD,,false,false
176,1000145,1,5,9,159,,,false,false
177,1000146,1,5,9,159,,,false,true
178,1000147,1,5,9,159,,,false,false
179,1000148,1,5,9,159,,,false,false
180,1000149,1,5,9,159,,,false,false
181,1000150,1,5,7,157,Sa,,false,false
182,1000151,1,5,2,152,,,false,false
183,1000152,1,5,2,152,Ac,,false,false
184,1000152,1,5,2,152,Lüt,,false,false
185,1000153,1,5,9,159,,,false,false
186,1000154,1,5,9,159,,,false,false
187,1000154,1,1,3,113,,,false,false
