"ID","Coder","Ausgabe","Nummer","Seite"
1000001,MF,1756-01-03 00:00:00.000,1,1
1000002,MF,1756-01-03 00:00:00.000,1,1
1000003,MF,1756-01-03 00:00:00.000,1,1
1000004,MF,1756-01-03 00:00:00.000,1,1
1000005,MF,1756-01-03 00:00:00.000,1,1
1000006,MF,1756-01-03 00:00:00.000,1,2
1000007,MF,1756-01-03 00:00:00.000,1,2
1000008,MF,1756-01-03 00:00:00.000,1,2
1000009,MF,1756-01-03 00:00:00.000,1,2
1000010,MF,1756-01-03 00:00:00.000,1,2
1000011,MF,1756-01-03 00:00:00.000,1,2
1000012,MF,1756-01-03 00:00:00.000,1,2
1000014,MF,1756-01-03 00:00:00.000,1,3
1000015,MF,1756-01-03 00:00:00.000,1,3
1000016,MF,1756-01-03 00:00:00.000,1,3
1000017,MF,1756-01-03 00:00:00.000,1,3
1000018,MF,1756-01-03 00:00:00.000,1,4
1000019,MF,1756-01-03 00:00:00.000,1,4
1000020,MF,1756-01-03 00:00:00.000,1,4
1000021,MF,1756-01-03 00:00:00.000,1,4
1000023,MF,1756-01-03 00:00:00.000,1,5
1000024,MF,1756-01-03 00:00:00.000,1,5
1000025,MF,1756-01-03 00:00:00.000,1,5
1000026,MF,1756-01-03 00:00:00.000,1,5
1000027,MF,1756-01-03 00:00:00.000,1,5
1000028,MF,1756-01-03 00:00:00.000,1,5
1000029,MF,1756-01-03 00:00:00.000,1,5
1000030,MF,1756-01-03 00:00:00.000,1,5
1000032,MF,1756-01-03 00:00:00.000,1,5
1000034,MF,1756-01-03 00:00:00.000,1,5
1000035,MF,1756-01-03 00:00:00.000,1,5
1000036,MF,1756-01-03 00:00:00.000,1,6
1000037,MF,1756-01-03 00:00:00.000,1,6
1000038,MF,1756-01-03 00:00:00.000,1,6
1000039,MF,1756-01-03 00:00:00.000,1,6
1000040,MF,1756-01-03 00:00:00.000,1,6
1000041,MF,1756-01-03 00:00:00.000,1,6
1000043,MF,1756-01-03 00:00:00.000,1,7
1000044,MF,1756-01-03 00:00:00.000,1,8
1000045,MF,1756-01-03 00:00:00.000,1,8
1000046,MF,1756-01-03 00:00:00.000,1,8
1000047,MF,1756-01-03 00:00:00.000,1,9
1000048,MF,1756-01-03 00:00:00.000,1,9
1000049,MF,1756-01-03 00:00:00.000,1,9
1000050,MF,1756-01-03 00:00:00.000,1,10
1000051,MF,1756-01-03 00:00:00.000,1,10
1000052,MF,1756-01-03 00:00:00.000,1,10
1000053,MF,1756-01-03 00:00:00.000,1,2
1000054,MF,1756-01-07 00:00:00.000,2,3
1000055,MF,1756-01-07 00:00:00.000,2,1
1000056,MF,1756-01-07 00:00:00.000,2,1
1000057,MF,1756-01-07 00:00:00.000,2,1
1000058,MF,1756-01-07 00:00:00.000,2,1
1000059,MF,1756-01-07 00:00:00.000,2,1
1000060,MF,1756-01-07 00:00:00.000,2,1
1000061,MF,1756-01-07 00:00:00.000,2,1
1000062,MF,1756-01-07 00:00:00.000,2,1
1000063,MF,1756-01-07 00:00:00.000,2,1
1000064,MF,1756-01-07 00:00:00.000,2,1
1000065,MF,1756-01-07 00:00:00.000,2,1
1000066,MF,1756-01-07 00:00:00.000,2,1
1000067,MF,1756-01-07 00:00:00.000,2,1
1000068,MF,1756-01-07 00:00:00.000,2,2
1000070,MF,1756-01-07 00:00:00.000,2,2
1000071,MF,1756-01-07 00:00:00.000,2,2
1000072,MF,1756-01-07 00:00:00.000,2,2
1000073,MF,1756-01-07 00:00:00.000,2,2
1000074,MF,1756-01-07 00:00:00.000,2,2
1000075,MF,1756-01-07 00:00:00.000,2,2
1000076,MF,1756-01-07 00:00:00.000,2,2
1000077,MF,1756-01-07 00:00:00.000,2,2
1000078,MF,1756-01-07 00:00:00.000,2,2
1000079,MF,1756-01-07 00:00:00.000,2,2
1000080,MF,1756-01-07 00:00:00.000,2,2
1000081,MF,1756-01-07 00:00:00.000,2,3
1000082,MF,1756-01-07 00:00:00.000,2,3
1000083,MF,1756-01-07 00:00:00.000,2,3
1000084,MF,1756-01-07 00:00:00.000,2,3
1000086,MF,1756-01-07 00:00:00.000,2,4
1000087,MF,1756-01-07 00:00:00.000,2,4
1000088,MF,1756-01-07 00:00:00.000,2,4
1000089,MF,1756-01-07 00:00:00.000,2,4
1000090,MF,1756-01-07 00:00:00.000,2,4
1000091,MF,1756-01-07 00:00:00.000,2,5
1000092,MF,1756-01-07 00:00:00.000,2,6
1000093,MF,1756-01-07 00:00:00.000,2,6
1000094,MF,1756-01-07 00:00:00.000,2,8
1000095,MF,1756-01-07 00:00:00.000,2,8
1000096,MF,1756-01-07 00:00:00.000,2,8
1000097,MF,1756-01-07 00:00:00.000,2,9
1000098,MF,1756-01-07 00:00:00.000,2,9
1000099,MF,1756-01-07 00:00:00.000,2,9
1000100,MF,1756-01-07 00:00:00.000,2,9
1000101,MF,1756-01-07 00:00:00.000,2,9
1000102,MF,1756-01-07 00:00:00.000,2,9
1000103,MF,1756-01-07 00:00:00.000,2,9
1000104,MF,1756-01-07 00:00:00.000,2,10
1000105,MF,1756-01-07 00:00:00.000,2,10
1000106,MF,1756-01-07 00:00:00.000,2,10
1000108,MF,1756-01-07 00:00:00.000,2,11
1000109,MF,1756-01-07 00:00:00.000,2,11
1000110,MF,1756-01-07 00:00:00.000,2,11
1000111,MF,1756-01-10 00:00:00.000,3,1
1000112,MF,1756-01-10 00:00:00.000,3,1
1000113,MF,1756-01-10 00:00:00.000,3,1
