"ID_Partner","ID_G","lfd_Nr_G","Partner"
3400,1000015,23,"Hessen-Kassel,Gft., "
3401,1000124,151,"Hessen-Kassel,Gft., "
3402,1000125,153,"Bayern, Kftm, "
3403,1000203,256,"Hamburg,RSt, "
3404,1000303,377,"Köln,Kftm., "
3405,1000384,486,"Sachsen,Kftm., "
3406,1000387,490,"Sachsen,Kftm., "
3407,1000411,524,"Sachsen,Kftm., "
3408,1000448,573,"Hessen-Kassel,Gft., "
3409,1000449,571,"Sachsen,Kftm., "
3410,1000449,572,"Hessen-Kassel,Gft., "
3411,1000461,592,"Sachsen,Kftm., "
3412,1000475,616,"Württemberg,Hzm., "
3413,1000560,734,"S, "
3414,1000623,811,"S, "
3415,1000660,866,"Trier,Kftm., "
3416,1000673,886,"Pfalz, Gft., "
3417,1000776,1016,"Trier,Kftm., "
3418,1000802,1061,"I, "
3419,1000844,1125,"Trier,Kftm., "
3420,1000844,1124,"Köln,Kftm., "
3421,1000845,1126,"Pfalz, Gft., "
3422,1000845,1127,"Trier,Kftm., "
3423,1000847,1131,"Hamburg,RSt, "
3424,1000847,1132,"Hamburg,RSt, "
3425,1000947,1280,"Braunschweig-Wolfenbüttel, Hzm, "
3426,1000947,1279,"Sachsen-Weimar, "
3427,1001027,1384,"I, N, "
3428,1001027,1385,"N, "
3429,1001027,1386,"I, "
3430,1001064,1440,"Braunschweig-Lüneburg, Kftm, "
3431,1001064,1439,"Braunschweig-Lüneburg, Kftm, "
3432,1001065,1442,"Braunschweig-Wolfenbüttel, Hzm, "
3433,1001068,1447,"Trier,Kftm., "
3434,1001069,1449,"Trier,Kftm., "
3435,1001069,1448,"Mainz,Kftm., "
3436,1001078,1458,"D, "
3437,1001097,1491,"Sachsen,Kftm., "
3438,1001097,1494,"Sachsen,Kftm., "
3439,1001097,1493,"Sachsen,Kftm., "
3440,1001154,1581,"Sachsen,Kftm., "
3441,1001154,1583,"Sachsen,Kftm., "
3442,1001169,1607,"Sachsen,Kftm., "
3443,1001169,1608,"Sachsen,Kftm., "
3444,1001169,1606,"Sachsen,Kftm., "
3445,1001172,1613,"Sachsen,Kftm., "
3446,1001172,1614,"Sachsen,Kftm., "
3447,1001191,1648,"I, "
3448,1001195,1655,"Köln,Kftm., Lüttich,Bm., "
3449,1001195,1654,"Köln,Kftm., Lüttich,Bm., "
3450,1001195,1656,"Köln,Kftm., Lüttich,Bm., "
3451,1001195,1657,"Lüttich,Bm., "
3452,1001195,1658,"Köln,Kftm., "
3453,1001195,1659,"Köln,Kftm., Lüttich,Bm., "
3454,1001224,1701,"Sachsen,Kftm., "
3455,1001224,1699,"Sachsen,Kftm., "
3456,1001261,1758,"Bayern, Kftm, "
3457,1001294,1810,"Sachsen,Kftm., "
3458,1001294,1811,"Sachsen,Kftm., "
3459,1001315,1834,"Lüttich,Bm., "
3460,1001342,1872,"Sachsen,Kftm., "
3461,1001352,1885,"Sachsen,Kftm., "
3462,1001371,1914,"Sachsen,Kftm., "
3463,1001371,1913,"Sachsen,Kftm., "
3464,1001386,1932,"Lüttich,Bm., "
3465,1001386,1933,"Lüttich,Bm., "
3466,1001408,1962,"Trier,Kftm., "
3467,1001417,1979,"D, "
3468,1001427,1989,"Braunschweig-Lüneburg, Kftm, "
3469,1001463,2037,"Schlesien,Hzm., "
3470,1001463,2038,"Schlesien,Hzm., "
3471,1001464,2041,"Sachsen,Kftm., "
3472,1001464,2039,"Sachsen,Kftm., "
3473,1001469,2049,"Sachsen,Kftm., "
3474,1001469,2050,"Sachsen,Kftm., "
3475,1001469,2052,"Sachsen,Kftm., "
3476,1001469,2051,"Sachsen,Kftm., "
3477,1001469,2048,"Sachsen,Kftm., "
3478,1001507,2120,"Braunschweig-Lüneburg, Kftm, "
3479,1001511,2129,"Mainz,Kftm., Trier,Kftm., "
3480,1001511,2131,"Köln,Kftm., Trier,Kftm., "
3481,1001511,2127,"Köln,Kftm., "
3482,1001511,2128,"Köln,Kftm., "
3487,1001511,2126,"Köln,Kftm., Mainz,Kftm., Trier,Kftm., "
3488,1001511,2130,"Köln,Kftm., Mainz,Kftm., "
3489,1001511,2125,"Köln,Kftm., Mainz,Kftm., Trier,Kftm., "
3490,1001569,2207,"Sachsen,Kftm., "
3491,1001656,2324,"Mainz,Kftm., Fulda,Bm., "
3492,1001656,2321,"Mainz,Kftm., Fulda,Bm., "
3493,1001656,2322,"Fulda,Bm., "
3494,1001656,2323,"Mainz,Kftm., "
3495,1001685,2357,"Hessen-Kassel,Gft., "
3496,1001691,2370,"Sachsen,Kftm., "
3497,1001691,2371,"Sachsen,Kftm., "
3498,1001691,2368,"Sachsen,Kftm., "
3499,1001691,2367,"Sachsen,Kftm., "
3500,1001718,2401,"Württemberg,Hzm., "
3501,1001720,2405,"Lüttich,Bm., "
3502,1001727,2416,"Sachsen,Kftm., "
3503,1001818,2530,"Lüttich,Bm., "
3504,1001839,2557,"Frankfurt,RSt, "
3505,1001861,2582,"Sachsen,Kftm., "
3506,1001861,2583,"Sachsen,Kftm., "
3507,1001882,2615,"Braunschweig-Lüneburg, Kftm, "
3508,1001913,2660,"D, "
3509,1001928,2684,"Sachsen,Kftm., "
3510,1001928,2685,"Sachsen,Kftm., "
3511,1001932,2691,"Würzburg,Bm., "
3512,1001944,2706,"Sachsen,Kftm., "
3513,1002000,2790,"Sachsen,Kftm., "
3514,1002073,2892,"Hamburg,RSt, "
3515,1002073,2891,"Hamburg,RSt, "
3516,1002220,3105,"Sachsen,Kftm., "
3517,1002221,3107,"Bayern, Kftm, "
3518,1002307,3240,"Sachsen,Kftm., "
3519,1002307,3241,"Sachsen,Kftm., "
3520,1002310,3245,"Ellwangen,Pbt., "
3521,1002347,3307,"Lüttich,Bm., "
3522,1002361,3326,"Böhmen, Kgr, "
3523,1002447,3477,"Braunschweig-Lüneburg, Kftm, "
3524,1002447,3478,"Braunschweig-Lüneburg, Kftm, "
3525,1002449,3480,"Böhmen, Kgr, "
3526,1002457,3492,"Sachsen,Kftm., "
3527,1002461,3497,"K, "
3528,1002507,3576,"Hamburg,RSt, "
3529,1002507,3577,"Hamburg,RSt, "
3530,1002507,3578,"Hamburg,RSt, "
3531,1002527,3602,"Braunschweig-Lüneburg, Kftm, "
3532,1002550,3647,"Ravensberg,Gft., "
3533,1002550,3649,"Ravensberg,Gft., "
3534,1002550,3650,"Ravensberg,Gft., "
3535,1002550,3651,"Ravensberg,Gft., "
3536,1002550,3652,"Ravensberg,Gft., "
3537,1002550,3653,"Ravensberg,Gft., "
3538,1002550,3654,"Ravensberg,Gft., "
3539,1002550,3656,"Ravensberg,Gft., "
3540,1002550,3648,"Ravensberg,Gft., "
3541,1002557,3670,"Ansbach, Mgft., Württemberg,Hzm., "
3542,1002557,3671,"Ansbach, Mgft., "
3543,1002557,3672,"Württemberg,Hzm., "
3544,1002572,3694,"Sachsen,Kftm., "
3545,1002591,3726,"Sachsen,Kftm., "
3546,1002598,3740,"Schlesien,Hzm., "
3547,1002620,3776,"Böhmen, Kgr, "
3548,1002668,3856,"Böhmen, Kgr, "
3549,1002668,3855,"Böhmen, Kgr, "
3550,1002687,3894,"Braunschweig-Lüneburg, Kftm, "
3551,1002703,3921,"D, "
3552,1002703,3920,"D, "
3553,1002733,3967,"Hessen-Kassel,Gft., "
3554,1002748,3994,"Passau,Bm., Salzburg,Ebm., "
3555,1002748,3996,"Salzburg,Ebm., "
3556,1002748,3995,"Passau,Bm., "
3557,1002759,4012,"Böhmen, Kgr, "
3558,1002765,4021,"Böhmen, Kgr, "
3559,1002765,4020,"Böhmen, Kgr, "
3560,1002788,4068,"D, "
3561,1002788,4069,"D, "
3562,1002788,4070,"D, "
3563,1002793,4080,"Hessen-Kassel,Gft., "
3564,1002796,4088,"Hessen-Kassel,Gft., "
3565,1002796,4085,"Hessen-Kassel,Gft., "
3566,1002796,4087,"Hessen-Kassel,Gft., "
3567,1002797,4091,"Sachsen,Kftm., "
3568,1002797,4089,"Sachsen,Kftm., "
3569,1002805,4107,"Böhmen, Kgr, "
3570,1002805,4105,"Böhmen, Kgr, "
3571,1002840,4166,"Braunschweig-Lüneburg, Kftm, "
3572,1002842,4172,"Hamburg,RSt, "
3573,1002859,4196,"Hessen-Kassel,Gft., "
3574,1002864,4208,"Böhmen, Kgr, "
3575,1002864,4209,"Böhmen, Kgr, "
3576,1002877,4232,"Braunschweig-Lüneburg, Kftm, "
3577,1002920,4322,"Braunschweig-Lüneburg, Kftm, "
3578,1002943,4361,"Böhmen, Kgr, "
3579,1002943,4359,"Böhmen, Kgr, "
3580,1002974,4410,"Sachsen,Kftm., "
3581,1002974,4411,"Hessen-Kassel,Gft., "
3582,1002975,4412,"Lippe,Gft., Braunschweig-Lüneburg, Kftm, Braunschweig-Wolfenbüttel, Hzm, "
3583,1002975,4415,"Braunschweig-Lüneburg, Kftm, Braunschweig-Wolfenbüttel, Hzm, "
3584,1002975,4413,"Lippe,Gft., Braunschweig-Wolfenbüttel, Hzm, "
3585,1002975,4414,"Lippe,Gft., Braunschweig-Lüneburg, Kftm, "
3586,1003094,4646,"Braunschweig-Lüneburg, Kftm, "
3587,1003094,4647,"Braunschweig-Lüneburg, Kftm, "
3588,1003095,4649,"Braunschweig-Lüneburg, Kftm, Hessen-Kassel,Gft., "
3589,1003095,4651,"Braunschweig-Lüneburg, Kftm, "
3590,1003095,4650,"Hessen-Kassel,Gft., "
3591,1003096,4653,"Köln,Kftm., "
3592,1003096,4652,"Köln,Kftm., "
3593,1003128,4709,"Böhmen, Kgr, "
3594,1003128,4707,"Böhmen, Kgr, "
3595,1003128,4708,"Böhmen, Kgr, "
3596,1003129,4711,"Böhmen, Kgr, "
3597,1003129,4712,"Böhmen, Kgr, "
3598,1003130,4714,"Böhmen, Kgr, "
3599,1003130,4715,"Böhmen, Kgr, "
3600,1003137,4729,"Lippe,Gft., Paderborn,Hstft., Rittberg,Gft., Braunschweig-Lüneburg, Kftm, "
3601,1003137,4727,"Paderborn,Hstft., Rittberg,Gft., Braunschweig-Lüneburg, Kftm, "
3602,1003137,4726,"Lippe,Gft., Rittberg,Gft., Braunschweig-Lüneburg, Kftm, "
3603,1003137,4728,"Lippe,Gft., Paderborn,Hstft., Braunschweig-Lüneburg, Kftm, "
3604,1003137,4730,"Lippe,Gft., Paderborn,Hstft., Rittberg,Gft., "
3605,1003138,4731,"Sachsen,Kftm., "
3606,1003138,4734,"Sachsen,Kftm., "
3607,1003138,4733,"Sachsen,Kftm., "
3608,1003141,4740,"Hessen-Kassel,Gft., "
3609,1003141,4742,"Hessen-Kassel,Gft., "
3610,1003144,4746,"Nürnberg, RSt, "
3611,1003145,4748,"Würzburg,Bm., "
3612,1003160,4776,"Nürnberg, RSt, "
3613,1003169,4789,"Sachsen,Kftm., "
3614,1003169,4788,"Sachsen,Kftm., "
3615,1003171,4793,"Sachsen,Kftm., "
3616,1003171,4792,"Böhmen, Kgr, "
3617,1003171,4794,"Sachsen,Kftm., Böhmen, Kgr, "
3618,1003175,4800,"Böhmen, Kgr, "
3619,1003175,4799,"Böhmen, Kgr, "
3620,1003186,4821,"Württemberg,Hzm., "
3621,1003189,4826,"Würzburg,Bm., "
3622,1003189,4825,"Ansbach, Mgft., "
3623,1003201,4845,"Paderborn,Hstft., Braunschweig-Lüneburg, Kftm, "
3624,1003201,4844,"Köln,Kftm., Braunschweig-Lüneburg, Kftm, "
