"Lfd_Nr_X","ID_X","X","XY","XYY","XYYY","XYYYS","Stichwort_X","Löschen"
1,1000003,n,0,1,0,,"Aranda, Gr., span. Botschafter in Lissabon",false
2,1000004,n,1,1,0,,"Marie Amalie, Kgn. beider Sizilien",false
3,1000006,n,1,1,0,,"Joseph, Kng. v. Portugal",false
4,1000019,n,1,1,0,,"Ludwig  XV, fr.",false
5,1000024,n,0,1,0,,"Chauvelin, frz. Botschafter in Sardinien",false
6,1000032,i,3,0,0,,Stände,false
7,1000034,g,1,5,2,Mz,"Duderstadt,St.",false
8,1000034,g,1,5,8, BwL,"Stade, St.",false
9,1000037,g,1,5,8,BwL,"Stade, St.",false
10,1000038,n,5,1,0,,"Zustrow, v., braunschw. Glt., Gouverneur von Stade",false
11,1000039,G,1,5,2,  Mk,"Lippstadt, St.",false
12,1000039,g,1,5,2,Pb,"Paderborn,St.",false
13,1000039,g,1,5,2,Lp,"Dettmold, St.",false
14,1000039,g,1,5,2,  Kv,"Wesel, St.",false
15,1000039,g,1,5,2,  Kv,"Emmerich, St.",false
16,1000039,N,1,1,0,,"Karl Christian, Fst.v. Nassau-Weilburg",false
17,1000039,n,4,0,0,,"De la Potterie, President (?) in Nassau-Weilburg",false
18,1000040,n,1,1,0,,"Franz I., Kaiser",false
19,1000040,n,1,1,0,Ksn,"Maria Teresia, Kaiserin",false
20,1000040,n,1,2,0,Epz,"Joseph, österr. Erbprinz",false
21,1000040,i,6,2,0,,Jesuiten,false
22,1000040,w,5,3,0,,"Jesuitenkirche, Am Hof",false
23,1000043,t,9,2,1,,,false
24,1000043,N,2,1,0,,"Bader, Emerich Felix, B/h",false
25,1000043,w,6,7,0,,"Todtenkopf, Bierstube, in der Bognergasse",false
26,1000043,w,6,5,0,,Buchhandlung E.F. Bader in der Bognergasse nebst dem Todtenkopf,false
27,1000043,W,2,4,0,,Bognergasse,false
28,1000044,g,1,6,4,,Esseg in Slavonien,false
29,1000044,g,1,5,5,Eii,Lideroda im Eichstädtischen,false
30,1000044,n,5,4,0,,"Jünemann, Johann Joachim, österr. Ult.",false
31,1000044,n,0,0,0,,"Conradin, Johanna, Oberleutenantin (Öst.)",false
32,1000044,i,5,0,0,,Baaden-Baadenschen Infanterieregiment,false
33,1000045,n,0,0,0,,"Azmillner, Mathias, verstorbener(?) Besitzer der Kreditsparteien (Zwettl)",false
34,1000045,n,2,6,0,,"Riester, Johann, Maurergesell, Lidlöhner (Zwettl)",false
35,1000045,n,2,6,0,,"Prukner, Johann, Maurergesell, Lidlöhner (Zwettl)",false
36,1000045,n,2,6,0,,"Steinzer, Mathias, Maurergesell, Lidlöhner (Zwettl)",false
37,1000045,n,2,6,0,,"Seitler, Georg, Maurergesell, Lidlöhner (Zwettl)",false
