"Löschen","G","GG","GGG","GGGS","A","AA","AAA","AAAS","Stichwort_A","Ausgabe","Nummer","Seite","ID","Coder"
false,0,0,0,,2,0,9,,All. Plünderungen bei Wesel,1758-07-22 00:00:00.000,58,3,2001117,ek
false,0,0,0,,2,0,9,,Disziplinarverfahren gegen Admiral Byng,1756-12-08 00:00:00.000,98,1,3003143,tc
false,0,0,0,,2,0,9,,Disziplinarverfahren gegen Admiral Byng,1756-12-08 00:00:00.000,98,1,3003143,tc
false,0,0,0,,2,0,9,,Frz. Deserteure,1759-06-23 00:00:00.000,50,1,2006059,jb
false,0,0,0,,2,0,9,,Frz. Deserteure,1759-09-05 00:00:00.000,71,2,3006821,tc
false,0,0,0,,2,0,9,,Frz. Offz.-Ordonnanz hingerichtet,1760-05-28 00:00:00.000,43,3,2007718,EK
false,0,0,0,,2,0,9,,Frz. und österr. Deserteurs (General-Pardon) in Geldern und Kleve,1757-04-27 00:00:00.000,34,5,1002596,mf
false,0,0,0,,2,0,9,,Generalpardon für österr. Deserteure,1759-09-19 00:00:00.000,75,3,3007898,tc
false,0,0,0,,2,0,9,,"Gerüchte über frz. ""Ausschweifungen""",1758-09-09 00:00:00.000,72,4,2002293,ek
false,0,0,0,,2,0,9,,Hann. Deserteure,1760-04-30 00:00:00.000,35,1,2507848,EK
false,0,0,0,,2,0,9,,Hann. Deserteure zu frz. Armee,1759-07-11 00:00:00.000,55,2,2006348,jb
false,0,0,0,,2,0,9,,Hinrichtung eines österr. Deserteurs,1761-07-15 00:00:00.000,56,4,2004625,Ek
false,0,0,0,,2,0,9,,Österr. Deserteure,1758-10-21 00:00:00.000,84,14,2003297,EK
false,0,0,0,,2,0,9,,Ostfries. Bauern töten frz. Besatzung von Emden,1761-10-21 00:00:00.000,84,4,2005775,EK
false,0,0,0,,2,0,9,,Pr. Deserteure,1756-12-29 00:00:00.000,104,4,3006750,tc
false,0,0,0,,2,0,9,,Pr. Deserteure in Prag,1757-09-17 00:00:00.000,75,4,1004278,mf
false,0,0,0,,2,0,9,,Reichstr. (württ.) drohen Niederbrennen Halles,1760-10-01 00:00:00.000,79,4,2007309,hjh
false,0,0,0,,2,0,9,,Russ. Plünderungen in Schlesien,1759-07-14 00:00:00.000,56,5,4001890,jb
false,0,0,0,,2,0,9,,Russ. Plünderungen in Schlesien,1759-07-14 00:00:00.000,56,5,4001890,jb
false,0,0,0,,2,0,9,,Spionage: Arrest der pr. Spione im Rheingebiet,1757-04-27 00:00:00.000,34,9,1002607,mf
false,0,0,0,,2,0,9,,Spionage: Arrest der pr. Spione im Rheingebiet,1757-04-27 00:00:00.000,34,9,1002607,mf
false,0,0,0,,2,0,9,,Spionage: Arrest der pr. Spionen in Ö.Niederland,1760-03-12 00:00:00.000,21,5,4002415,an
