"G","GG","GGG","GGGS","Stichwort_G","Löschen","A","AA","AAA","AAAS","Stichwort_A","Ausgabe","Nummer","Seite","ID","Coder"
0,0,0,,,false,3,9,0,,Erdbeben,1759-09-05 00:00:00.000,71,3,3006834,tc
0,0,0,,,false,3,9,0,,Unwetter und Brand,1761-06-20 00:00:00.000,49,5,3011986,hjh
1,0,0,,,false,3,9,0,,Erdbeben,1756-01-14 00:00:00.000,4,9,1000213,MF
1,1,0,,,false,3,9,0,,Überschwemmung,1762-06-02 00:00:00.000,44,9,4000928,mf
1,1,1,,,false,3,9,0,,Erdbeben,1758-03-01 00:00:00.000,17,2,3004096,hjh
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-21 00:00:00.000,6,4,1000298,MF
1,1,1,,,false,3,9,0,,Erdbeben,1761-05-02 00:00:00.000,35,2,3010393,hjh
1,1,1,,,false,3,9,0,,Erdbeben,1757-11-19 00:00:00.000,93,1,1004947,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-12-15 00:00:00.000,100,1,3003257,TC
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-31 00:00:00.000,9,9,1000442,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-03 00:00:00.000,1,1,1000005,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-03-17 00:00:00.000,22,1,1000925,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-03-13 00:00:00.000,21,1,1000886,MF
1,1,1,,,false,3,9,0,,Erdbeben,1761-05-13 00:00:00.000,38,2,3010619,hjh
1,1,1,,,false,3,9,0,,Erdbeben,1756-02-04 00:00:00.000,10,2,1000466,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-12-11 00:00:00.000,99,2,3003196,tc
1,1,1,,,false,3,9,0,,Erdbeben,1757-05-21 00:00:00.000,41,5,1002939,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-10 00:00:00.000,3,1,1000115,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-07 00:00:00.000,2,11,1000108,MF
1,1,1,,,false,3,9,0,,Erdbeben,1757-06-15 00:00:00.000,48,2,1003232,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-12-18 00:00:00.000,101,1,3006403,tc
1,1,1,,,false,3,9,0,,Erdbeben,1757-12-31 00:00:00.000,105,4,1005458,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-02-28 00:00:00.000,17,1,1000755,MF
1,1,1,,,false,3,9,0,,Erdbeben,1757-09-14 00:00:00.000,74,5,1004244,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-02-18 00:00:00.000,14,3,1000668,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-02-18 00:00:00.000,14,2,1000658,MF
1,1,1,,,false,3,9,0,,Erdbeben,1757-12-10 00:00:00.000,99,1,1005221,mf
1,1,1,,,false,3,9,0,,Erdbeben,1757-04-23 00:00:00.000,33,2,1002531,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-28 00:00:00.000,8,9,1000397,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-09-01 00:00:00.000,70,1,3000936,bh
1,1,1,,,false,3,9,0,,Erdbeben,1761-06-06 00:00:00.000,45,2,3011681,hjh
1,1,1,,,false,3,9,0,,Erdbeben,1757-03-19 00:00:00.000,23,2,1002070,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-14 00:00:00.000,4,1,1000173,MF
1,1,1,,,false,3,9,0,,Erdbeben,1757-02-02 00:00:00.000,10,1,1001531,mf
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-28 00:00:00.000,8,4,1000381,MF
1,1,1,,,false,3,9,0,,Erdbeben,1761-05-16 00:00:00.000,39,3,3010689,hjh
1,1,1,,,false,3,9,0,,Erdbeben,1758-07-26 00:00:00.000,59,1,2001176,ek
1,1,1,,,false,3,9,0,M,Erdbeben,1756-01-03 00:00:00.000,1,1,1000001,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-31 00:00:00.000,9,1,1000398,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-17 00:00:00.000,5,4,1000253,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-04-21 00:00:00.000,32,1,3000321,hjh
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-14 00:00:00.000,4,4,1000199,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-01-24 00:00:00.000,7,2,1000337,MF
1,1,1,,,false,3,9,0,,Erdbeben,1756-07-17 00:00:00.000,57,1,2000424,ek
1,1,1,,,false,3,9,0,,Erdbeben,1756-12-25 00:00:00.000,103,1,4000203,tc
1,1,1,,,false,3,9,0,,Erdbeben,1756-11-06 00:00:00.000,89,1,4001540,mf
1,1,1,,,false,3,9,0,,Erdbeben,1759-06-16 00:00:00.000,48,5,4001851,jb
1,1,1,,,false,3,9,0,,Erdbeben,1756-10-27 00:00:00.000,86,1,5000023,mf
1,1,1,,,false,3,9,0,,Erdbeben Geschichte der Katastrophen,1756-01-07 00:00:00.000,2,9,1000102,MF
1,1,1,,,false,3,9,0,,Erdbeben/Sturm,1758-05-13 00:00:00.000,38,5,3006250,hjh
1,1,1,,,false,3,9,0,,Erdbebenfolgen,1756-10-06 00:00:00.000,80,1,3001662,BH
1,1,1,,,false,3,9,0,,Erdbebenfolgen,1756-06-19 00:00:00.000,49,1,2000124,ek
1,1,1,,,false,3,9,0,,Erdbebenfolgen,1756-10-09 00:00:00.000,81,1,3001716,BH
1,1,1,,,false,3,9,0,,Erdbebenfolgen,1761-05-16 00:00:00.000,39,3,3010690,hjh
1,1,1,,,false,3,9,0,,Feuersbrunst,1756-09-01 00:00:00.000,70,1,3000937,bh
1,1,1,,,false,3,9,0,P,Frz. Trp. stranden an portug. Küste,1759-10-27 00:00:00.000,86,3,3010131,tc
1,1,1,,,false,3,9,0,,Großbrand,1756-08-14 00:00:00.000,65,1,2000700,ek
1,1,1,,,false,3,9,0,,Heuschreckenplage,1756-08-14 00:00:00.000,65,1,2000702,ek
1,1,1,,,false,3,9,0,,Kälte,1757-01-19 00:00:00.000,6,2,1001340,mf
1,1,1,,,false,3,9,0,,Kein Erdbeben,1756-04-10 00:00:00.000,29,1,3000164,hjh
1,1,1,,,false,3,9,0,,Stürmisches Unwetter,1756-07-17 00:00:00.000,57,1,2000423,ek
1,1,1,,,false,3,9,0,,Überschwemmung,1756-01-21 00:00:00.000,6,4,1000304,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-02-28 00:00:00.000,17,1,1000755,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-01-10 00:00:00.000,3,2,1000121,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-03-20 00:00:00.000,23,1,1000964,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-02-18 00:00:00.000,14,2,1000658,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-01-24 00:00:00.000,7,1,1000328,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-04-28 00:00:00.000,34,1,3000453,hjh
1,1,2,,,false,3,9,0,,Erdbeben,1756-01-10 00:00:00.000,3,3,1000136,MF
1,1,2,,,false,3,9,0,,Erdbeben,1761-05-02 00:00:00.000,35,2,3010400,hjh
1,1,2,,,false,3,9,0,,Erdbeben,1761-06-03 00:00:00.000,44,1,3011592,hjh
1,1,2,,,false,3,9,0,,Erdbeben,1756-01-17 00:00:00.000,5,3,1000249,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-01-28 00:00:00.000,8,1,1000364,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-01-17 00:00:00.000,5,4,1000253,MF
1,1,2,,,false,3,9,0,M,Erdbeben,1756-01-03 00:00:00.000,1,1,1000001,MF
1,1,2,,,false,3,9,0,,Erdbeben,1756-12-25 00:00:00.000,103,1,4000203,tc
