"Id_S","Sonderzeichen","Bezeichnung"
1,M,Kriegsangelegenheit
2,P,Marineangelegenheit
3,Ë,Konflikt
4,&,Gesetzgebung
5,…,finanzielle Fragen
6,«,"Geburt, Tod, Hochzeit"
7,ø,Ankunft
8,ö,Abfahrt
9,ó,Interkonfessionelle Streitigkeiten u. Vereinbarung
10,,Innere Angelegenheit der kath. Kirche
11,X,Katholische Orden
12,V,Innere Angelegenheit der Lutherischen Landeskirche
13,W,Innere Angelegenheit der reformierten Landeskirche
14,¤,Protestantische Sondergruppe
15,[,Nicht-christliche Konfessionen
16,"",Kein Sonderzeichen
