"GGG_Code","GGGS_kurz","GGGS_Name","GGGS_Ort","lfd_Nr"
2,Ac,"Aachen, RSt",,1
4,Aa,"Aalen, RSt",,2
7,Alt,(Altenburg (Sachsen-Altenburg),> Sachsen-Gotha,3
7,Anh,"Anhalt, Ftm",,4
2,An,"(Anholt, Hft)",> Salm,5
2,Ar,"Arenberg,  Hzm",,6
4,Ag,"Augsburg, Bm",,7
4,Aul,"Aulensdorf,",,8
4,Ba,"Baden, Gft",,9
4,Bai,"Baindt, Abt",,10
5,Bb,"Bamberg,Bm",,11
7,Bar,"Barby, Gft",> Sachsen,12
3,Bas,"Basel, Bm",,13
6,By,"Bayern, Kftm","Breiteneck, Hft.",14
5,Bt,Bayreuth,,15
6,Ber,"Berchtesgaden, Pbt",,16
2,Bl,"Beilstein, Gft",,17
2,Be,"Bentheim, Gft",,18
2,Bg,"Berg(en), Hzm",Düsseldorf;,19
4,Bib,"Biberach, RSt",,20
8,Bla,"Blankenburg, Gft",> Br.-Wolfenbüttel,21
2,BlG,"Blankenheim-Gerolstein, Hft",,22
9,Br,"Brandenburg, Kftm",,23
8,BwW,"Braunschweig-Wolfenbüttel, Hzm","Blankenburg, Gft.,",24
8,BwL,"Braunschweig-Lüneburg, Kftm",Hannover;,25
6,Bre,Breiteneck,,26
8,Bm,"Bremen, Hzm",,27
1,Bri,"Brixen, Bm",,28
1,Bö,"Böhmen, Kgr",,29
4,Bop,"Bopsingen, RSt",,30
4,Buc,"Buchau, Ftm",,31
4,Bhh,"Buchhorn, RSt.",,32
7,Cam,"Camin, Ftm.",,33
5,Ca,"Castell,Gft",,34
1,Ch,"Chur,Bm.",,35
7,Cob,"Sachsen-Coburg,Ftm.",,36
2,Cm,"Corneli-Münster,Abt.",,37
2,Cy,"Corvey,Abt.",,38
3,Cr,Criechingen,,39
3,Dl,Dachstuhl,,40
2,De,"Delmenhorst,Gft.",,41
2,Dp,"Diepholt,Gft.",,42
1,Di,"Dietrichsheim,Ftm.",,43
4,Din,"Dinkelsbühl,RSt",,44
6,Don,"Donauwörth,RSt",,45
2,Do,"Dortmund,RSt",,46
4,Dur,Durlach,,47
4,Ebe,Eberstein,,48
6,Ehr,Ehrenfels,,49
5,Ei,"Eichstädt,Bm.",,50
7,Eis,"Sachsen-Eisenach,Ftm.",,51
4,Elc,"Elchingen,Abt.",,52
4,Ell,"Ellwangen,Pbt.",,53
5,Er,"Erbach,Gft.",,54
4,Es,"Esslingen,RSt",,55
2,Ess,"Essen,Abt.",,56
3,Fn,"Falckenstein,Gft.",,57
3,Fr,"Frankfurt,RSt",,58
6,Fre,"Freising,Bm.",,59
3,Fd,"Fridberg,RSt",,60
4,FS,"Fürstenberg-Stühlingen,Ftm.",,61
3,Fu,"Fulda,Bm.",,62
5,Gai,Gaildorf,,63
2,Gh,"Gehmen,Hft.",,64
2,Ged,Geldern,,65
2,Gel,Gelnhausen,,66
4,Gen,"Gengenbach,Abt.",,67
7,Ger,"Gernrode,Abt.",,68
4,Gie,"Giengen,RSt",,69
2,GN,"Gimborn-Neustadt,Hft.",,70
8,Gos,Goslar,,71
7,SG,"Sachsen-Gotha,Ftm.",,72
3,Gw,"Grehweiler,Gft.",,73
2,Gr,"Gronsfeld,Gft.",,74
3,Gru,"Grumbach,Gft.",,75
