<doc id="edoc_wd_1762-07-14" attrs="word" year="1762" month="07" day="14" corpus="1">
<head id="hl1">
Petersburg	w39
28	w40
<g/>
.
May	w42
<g/>
.
</head>
<p id="p4">
Wie	w44
man	w45
versichert	w46
<g/>
,
soll	w48
der	w49
Herzog	w50
von	w51
Biron	w52
sich	w53
seines	w54
Anspruchs	w55
auf	w56
das	w57
Herzogtum	w58
Curland	w59
zu	w60
Gunsten	w61
des	w62
Prinzen	w63
Georgs	w64
von	w65
Hollstein	w66
begeben	w67
haben	w68
<g/>
.
Die	w70
Deputirten	w71
von	w72
dem	w73
Adel	w74
dieses	w75
Herzor=tums	w76
<g/>
=
baben	w78
von	w79
dem	w80
Kaiser	w81
ihren	w82
Abschied	w83
genommen	w84
<g/>
,
und	w86
von	w87
Seiten	w88
Sr	w89
<g/>
.
Kais	w91
<g/>
.
Ma=jest	w93
<g/>
=
folgenden	w95
Enischluß	w96
erlangt	w97
<g/>
.
Se	w99
<g/>
.
Ma=jest	w101
<g/>
=
<g/>
.
lassen	w104
denen	w105
Abgeordneten	w106
von	w107
dem	w108
Curländischen	w109
Adel	w110
zu	w111
wissen	w112
tbun	w113
<g/>
,
daß	w115
sie	w116
in	w117
Betracht	w118
der	w119
diesem	w120
Adel	w121
an	w122
seinen	w123
Privi=legien	w124
<g/>
=
und	w126
Freyheiten	w127
besorglichen	w128
Verände=rungen	w129
<g/>
=
<g/>
,
gesinnet	w132
seye	w133
<g/>
,
dieses	w135
Herzogtum	w136
von	w137
Curland	w138
und	w139
Semigalien	w140
in	w141
das	w142
künftige	w143
in	w144
allen	w145
Rechten	w146
<g/>
,
und	w148
sowol	w149
Welt	w150
<g/>
=
als	w152
Geisili=chen	w153
<g/>
=
Freybeiten	w155
mit	w156
allem	w157
Nachdruck	w158
zu	w159
schützen	w160
und	w161
zu	w162
schirmen	w163
als	w164
welche	w165
Versiche=rungen	w166
<g/>
=
und	w168
Garantie	w169
ihnen	w170
schon	w171
von	w172
sel=nen	w173
<g/>
=
hohen	w175
Vorfahren	w176
ertheilet	w177
worden	w178
<g/>
.
</p>
<p id="p5">
Se	w180
<g/>
.
Kaiserl	w182
<g/>
.
Majest	w184
<g/>
.
seyn	w186
auch	w187
in	w188
Betracht	w189
der	w190
neulich	w191
geschehenen	w192
Veränderungen	w193
in	w194
Curland	w195
entschlossen	w196
<g/>
,
denen	w198
wol	w199
<g/>
=
gesinnten	w201
des	w202
Adels	w203
die	w204
würklichen	w205
Proben	w206
davon	w207
ver=spühren	w208
<g/>
=
zu	w210
lassen	w211
<g/>
,
um	w213
so	w214
mehr	w215
<g/>
,
da	w217
es	w218
<g/>
,
ohne	w220
anderer	w221
den	w222
Privilegien	w223
zuwider	w224
lauffenden	w225
Dingen	w226
Meldung	w227
zu	w228
thun	w229
<g/>
,
mit	w231
denen	w232
Gesä=tzen	w233
<g/>
=
des	w235
Herzogtums	w236
nicht	w237
übereinkomme	w238
<g/>
,
daß	w240
es	w241
einen	w242
Prinzen	w243
von	w244
einer	w245
anderen	w246
Religion	w247
<g/>
,
als	w249
jene	w250
des	w251
Landes	w252
ist	w253
<g/>
,
zum	w255
Herrn	w256
habe	w257
<g/>
.
</p>
<head id="hl2">
Stockholm	w259
18	w260
<g/>
.
Junii	w262
<g/>
.
</head>
<p id="p6">
Am	w264
14	w265
<g/>
.
dieses	w267
gegen	w268
Abend	w269
langten	w270
Jhre	w271
Königl	w272
Majestäten	w273
mit	w274
der	w275
Königl	w276
<g/>
.
Fami=lie	w278
<g/>
=
von	w280
Drottningholm	w281
hier	w282
an	w283
<g/>
.
Gestern	w285
Vormittags	w286
wurde	w287
der	w288
Schluß	w289
des	w290
Reichs=tages	w291
<g/>
=
an	w293
den	w294
gewöhnlichen	w295
Stellen	w296
<g/>
,
und	w298
wie	w299
üblich	w300
<g/>
,
durch	w302
einen	w303
Herold	w304
abgekündiget	w305
<g/>
.
desselben	w307
Abends	w308
traf	w309
der	w310
Ober	w311
cammer	w312
herr	w313
</p>
<p id="p7">
und	w315
Ritter	w316
Graf	w317
Düben	w318
von	w319
St	w320
<g/>
.
Peters=burg	w322
<g/>
=
hier	w324
ein	w325
<g/>
.
Die	w327
Reichs	w328
<g/>
=
stände	w330
haben	w331
unterm	w332
12ten	w333
May	w334
beschlossen	w335
<g/>
,
Jhre	w337
Kön	w338
<g/>
.
Majestäten	w340
<g/>
,
mittelst	w342
der	w343
sammentlichen	w344
Stände	w345
Sprecher	w346
und	w347
einige	w348
Abgeordneten	w349
<g/>
,
die	w351
unterthänige	w352
Erkenntlichkeit	w353
<g/>
,
wegen	w355
der	w356
zu	w357
Drottningholm	w358
<g/>
,
durch	w360
die	w361
hulde	w362
Vorsor=ge	w363
<g/>
=
Seiner	w365
Majestät	w366
des	w367
Königs	w368
<g/>
,
und	w370
Jhrer	w371
Majestät	w372
der	w373
Königin	w374
angelegten	w375
Fabriquen	w376
<g/>
,
und	w378
anderen	w379
gemachten	w380
Einrichtungen	w381
bezeu=gen	w382
<g/>
=
<g/>
,
und	w385
dabey	w386
2	w387
<g/>
.
goldene	w389
Medaillen	w390
<g/>
,
wel=che	w392
<g/>
=
auf	w394
Kosten	w395
des	w396
Manufactur	w397
<g/>
=
sonds	w399
ge=schlagen	w400
<g/>
=
werden	w402
sollen	w403
<g/>
,
überreichen	w405
zu	w406
las=sen	w407
<g/>
=
<g/>
.
Jn	w410
den	w411
heutigen	w412
Plenis	w413
sollen	w414
die	w415
Reichs	w416
<g/>
=
stände	w418
die	w419
Belohnungen	w420
für	w421
ihre	w422
Sprecher	w423
bestimmet	w424
und	w425
zugleich	w426
des	w427
Hrn	w428
<g/>
.
Reichs	w430
<g/>
=
rahts	w432
und	w433
Canzley	w434
<g/>
=
präsidenten	w436
Gra=fen	w437
<g/>
=
Eckeblads	w439
Excell	w440
<g/>
.
eine	w442
jährliche	w443
Zulage	w444
zu	w445
dem	w446
Gehalte	w447
desselben	w448
bewilliget	w449
haben	w450
<g/>
.
Die	w452
jüngste	w453
Briefe	w454
fast	w455
aus	w456
allen	w457
Landschaf=ten	w458
<g/>
=
dieses	w460
Reiches	w461
enthalten	w462
<g/>
,
daß	w464
in	w465
den	w466
letz=ten	w467
<g/>
=
Tagen	w469
des	w470
verwichenen	w471
May	w472
<g/>
=
monats	w474
überall	w475
ein	w476
starker	w477
Sturm	w478
<g/>
,
der	w480
vielen	w481
Scha=den	w482
<g/>
=
verursachet	w484
hat	w485
<g/>
,
verspühret	w487
worden	w488
<g/>
.
Unter	w490
andern	w491
sind	w492
in	w493
Westgothland	w494
fast	w495
alle	w496
Obst	w497
<g/>
=
bäume	w499
beschädiget	w500
<g/>
,
zu	w502
Lidköping	w503
ein	w504
auf	w505
der	w506
Gasse	w507
stehender	w508
Reis	w509
<g/>
=
wagen	w511
