<doc id="edoc_wd_1727-02-26" attrs="word" year="1727" month="02" day="26" corpus="1">
<head id="hl1">
Aus	w54
West	w55
<g/>
=
Jndien	w57
31	w58
<g/>
.
Decemb	w60
<g/>
.
</head>
<p id="p4">
DEr	w62
Vice	w63
König	w64
von	w65
Peru	w66
liesse	w67
jüngst=hin	w68
<g/>
=
seine	w70
mehreste	w71
Rahts	w72
<g/>
=
Glieder	w74
sel	w75
versammeln	w76
<g/>
/
und	w78
hielte	w79
ihnen	w80
vor	w81
<g/>
/
das	w83
Engelländische	w84
Geschwader	w85
vor	w86
Porto	w87
<g/>
-
Velo	w89
anzugreiffen	w90
mit	w91
3	w92
<g/>
.
Kriegs	w94
<g/>
=
Schiffen	w96
von	w97
60	w98
<g/>
.
<g/>
/
70	w101
<g/>
.
<g/>
/
und	w104
80	w105
<g/>
.
Stüken	w107
Canons	w108
<g/>
/
und	w110
14	w111
<g/>
.
Fregatten	w113
von	w114
24	w115
<g/>
.
bis	w117
40	w118
<g/>
.
Stüken	w120
<g/>
;
alle	w122
Rähte	w123
waren	w124
darin	w125
einhellig	w126
willens	w127
<g/>
/
der	w129
Admiral	w130
Castagnetta	w131
aber	w132
setzte	w133
sich	w134
da=gegen	w135
<g/>
=
<g/>
/
unter	w138
dem	w139
Vorwand	w140
<g/>
/
er	w142
hätte	w143
noch	w144
keinen	w145
Befehl	w146
von	w147
Hof	w148
<g/>
.
Diese	w150
Abschlagung	w151
hat	w152
unter	w153
denen	w154
Spaniern	w155
in	w156
Jndien	w157
groß	w158
Misvergnügen	w159
verursachet	w160
<g/>
.
Die	w162
Gallionen	w163
ligen	w164
noch	w165
zu	w166
Porto	w167
<g/>
-
Velo	w169
<g/>
,
der	w171
Schatz	w172
aber	w173
ist	w174
zu	w175
Land	w176
nach	w177
Cruses	w178
überbracht	w179
<g/>
/
so	w181
eini=ge	w182
<g/>
=
Meilen	w184
von	w185
ersterem	w186
Ort	w187
entlegen	w188
<g/>
.
Das	w190
Geschwader	w191
des	w192
Admiral	w193
Hosier	w194
muß	w195
das	w196
äusserste	w197
von	w198
denen	w199
Krankheiten	w200
ausstehen	w201
<g/>
/
und	w203
hat	w204
man	w205
in	w206
zwey	w207
Tagen	w208
bis	w209
120	w210
<g/>
.
Men=schen	w212
<g/>
=
in	w214
das	w215
Meer	w216
müssen	w217
werffen	w218
<g/>
:
der	w220
Suc-curs	w221
<g/>
-
von	w223
Jamaica	w224
ware	w225
nur	w226
in	w227
200	w228
Matro=sen	w229
<g/>
=
bestanden	w231
<g/>
.
Einige	w233
leichte	w234
Fregaten	w235
von	w236
diesen	w237
Geschwader	w238
haben	w239
3	w240
<g/>
.
kleine	w242
Spani=sche	w243
<g/>
=
Schif	w245
<g/>
/
so	w247
Lebens	w248
<g/>
/
Mittel	w250
nach	w251
Porto	w252
<g/>
-
Velo	w254
bringen	w255
wolten	w256
<g/>
/
25000	w258
<g/>
.
Piastren	w260
in	w261
Silber	w262
an	w263
Bord	w264
habende	w265
<g/>
/
weggenommen	w267
<g/>
;
der	w269
Engelländische	w270
Commendant	w271
hatte	w272
das	w273
Silber	w274
alles	w275
davon	w276
gehoben	w277
<g/>
/
und	w279
einen	w280
Schein	w281
von	w282
sich	w283
gegeben	w284
darin	w285
er	w286
erkläret	w287
<g/>
/
im	w289
Fall	w290
der	w291
Friede	w292
bestehen	w293
würde	w294
<g/>
/
man	w296
die=ses	w297
<g/>
=
Silber	w299
wieder	w300
ersetzen	w301
wolte	w302
<g/>
;
solte	w304
es	w305
aber	w306
zum	w307
Bruch	w308
kommen	w309
<g/>
/
würde	w311
es	w312
gute	w313
Beute	w314
seyn	w315
<g/>
.
</p>
<head id="hl2">
Madrid	w317
28	w318
<g/>
.
Januarii	w320
<g/>
.
</head>
<p id="p5">
Der	w322
Hof	w323
continuirt	w324
noch	w325
seine	w326
Residentz	w327
in	w328
dem	w329
Pardo	w330
<g/>
.
Der	w332
König	w333
hat	w334
den	w335
P	w336
<g/>
.
Tho	w338
<g/>
-
mas	w340
del	w341
Valle	w342
<g/>
,
Dominicaner	w344
<g/>
-
Ordens	w346
zum	w347
Bischof	w348
von	w349
Ceuta	w350
ernennet	w351
<g/>
.
Jmgleichen	w353
</p>
<p id="p6">
haben	w354
Seine	w355
Majestät	w356
Don	w357
Pietro	w358
di	w359
Cha-ves	w360
<g/>
-
<g/>
-
Mesia	w363
<g/>
,
zum	w365
Hof	w366
<g/>
=
Meister	w368
des	w369
Königl	w370
<g/>
.
Hauses	w372
gemacht	w373
<g/>
;
und	w375
Don	w376
Georg	w377
Prosper	w378
von	w379
Verboom	w380
<g/>
,
General	w382
<g/>
=
Leutenant	w384
<g/>
/
und	w386
Ingenieur	w387
<g/>
-
General	w389
<g/>
/
mit	w391
einem	w392
Titul	w393
in	w394
Castillien	w395
<g/>
/
für	w397
ihn	w398
<g/>
/
und	w400
seine	w401
Descenden-ten	w402
<g/>
-
<g/>
/
begnadiget	w405
<g/>
.
Selbe	w407
haben	w408
auch	w409
das	w410
Gouvernement	w411
des	w412
Schlosses	w413
von	w414
Aljaferia	w415
von	w416
Saragossa	w417
<g/>
,
dem	w419
Don	w420
Juan	w421
di	w422
Argrete	w423
Yrigoyen	w424
<g/>
,
Obrist	w426
<g/>
=
Wacht	w428
<g/>
=
Meister	w430
von	w431
der	w432
Königin	w433
Regiment	w434
<g/>
/
gegeben	w436
<g/>
.
Dieser	w438
Ta=gen	w439
<g/>
=
ist	w441
hier	w442
Don	w443
Joseph	w444
Zapata	w445
<g/>
,
und	w447
Iles-cas	w448
<g/>
-
<g/>
,
Bischof	w451
von	w452
Zamora	w453
<g/>
,
im	w455
48	w456
<g/>
.
Jahr	w458
sei=nes	w459
<g/>
=
Alters	w461
<g/>
/
mit	w463
Tod	w464
abgegangen	w465
<g/>
.
</p>
<head id="hl3">
Londen	w467
4	w468
<g/>
.
Februarii	w470
<g/>
.
</head>
<p id="p7">
Die	w472
zwey	w473
Dank	w474
<g/>
=
Schriften	w476
beeder	w477
Häu=sern	w478
<g/>
=
wurden	w480
denselben	w481
Tag	w482
<g/>
/
als	w484
der	w485
König	w486
seine	w487
Anrede	w488
gehalten	w489
hatte	w490
<g/>
/
zu	w492
überreichen	w493
beschlossen	w494
<g/>
/
mit	w496
dem	w497
Unterschied	w498
<g/>
/
daß	w500
das	w501
Ober	w502
<g/>
=
Haus	w504
in	w505
das	w506
einige	w507
einmütig	w508
ein=stimmete	w509
<g/>
=
<g/>
/
und	w512
der	w513
Milord	w514
Lechmere	w515
<g/>
/
einer	w517
von	w518
denen	w519
Häuptern	w520
der	w521
Gegen	w522
<g/>
=
Parthey	w524
<g/>
/
sich	w526
nur	w527
erhube	w528
<g/>
/
und	w530
sagete	w531
<g/>
/
daß	w533
seinem	w534
Bedünken	w535
nach	w536
<g/>
/
der	w538
Vorschlag	w539
des	w540
Memo- rialsnoch	w541
<g/>
-
nicht	w543
kräftig	w544
genug	w545
wäre	w546
<g/>
/
und	w548
man	w549
müste	w550
sich	w551
wol	w552
auf	w553
die	w554
Wichtigkeit	w555
Gibraltars	w556
beruffen	w557
<g/>
/
dessen	w559
Erhaltung	w560
<g/>
/
we=gen	w562
<g/>
=
der	w564
Handelschaft	w565
des	w566
Reichs	w567
<g/>
/
durchaus	w569
nöhtig	w570
wäre	w571
<g/>
:
worinnen	w573
er	w574
von	w575
dem	w576
Her=tzog	w577
<g/>
=
von	w579
Leeds	w580
bestärket	w581
wurde	w582
<g/>
/
welcher	w584
auch	w585
noch	w586
darzu	w587
<g/>
/
und	w589
noch	w590
mehr	w591
von	w592
der	w593
Jnsul	w594
Minorica	w595
sagete	w596
<g/>
:
An	w598
statt	w599
<g/>
/
daß	w601
in	w602
dem	w603
Unter	w604
<g/>
=
Hause	w606
<g/>
/
die	w608
Gegen	w609
<g/>
=
Parthey	w611
einige	w612
Tage	w613
<g/>
/
sich	w615
über	w616
die	w617
Anrede	w618
zu	w619
berahtschla=gen	w620
<g/>
=
aussetzen	w622
wolte	w623
<g/>
/
ehe	w625
man	w626
das	w627
Memo-rial	w628
<g/>
-
an	w630
dem	w631
König	w632
verfassete	w633
<g/>
;
allein	w635
die	w636
Parthey	w637
von	w638
dem	w639
Hofe	w640
<g/>
/
welche	w642
darauf	w643
drunge	w644
daß	w645
man	w646
es	w647
unverzüglich	w648
beschlies=sen	w649
<g/>
=
müsse	w651
