<doc id="edoc_wd_1781-12-29" attrs="word" year="1781" month="12" day="29" corpus="1">
<p id="p4">
Tausend	w24
von	w25
den	w26
edlen	w27
Stunden	w28
Dieses	w29
Jahres	w30
sind	w31
verschwunden	w32
<g/>
,
Wohl	w34
der	w35
Unschuld	w36
<g/>
,
die	w38
da	w39
macht	w40
<g/>
,
Als	w42
hätt	w43
man	w44
sie	w45
weggelacht	w46
<g/>
.
</p>
<head id="hl1">
Fortgeseztes	w48
Tagebuch	w49
aus	w50
Mahon	w51
bis	w52
den	w53
8ten	w54
Winterm	w55
<g/>
.
</head>
<p id="p5">
Am	w57
1sten	w58
Nov	w59
<g/>
.
um	w61
3	w62
Uhr	w63
Nachmittags	w64
<g/>
,
entdeckte	w66
die	w67
Schild=wache	w68
<g/>
=
an	w70
den	w71
Klippen	w72
von	w73
Mola	w74
<g/>
,
daß	w76
in	w77
der	w78
Festung	w79
eine	w80
Goe=lette	w81
<g/>
=
<g/>
,
unter	w84
portugiesischer	w85
Flagge	w86
<g/>
,
einge=laufen	w88
<g/>
=
sey	w90
<g/>
,
die	w92
aber	w93
sofort	w94
die	w95
englische	w96
aufgesteckt	w97
habe	w98
<g/>
.
Da	w100
man	w101
bemerkt	w102
hat=te	w103
<g/>
=
<g/>
,
daß	w106
der	w107
Feind	w108
eine	w109
von	w110
den	w111
Fre=gatten	w112
<g/>
=
<g/>
,
die	w115
zur	w116
Sperrung	w117
des	w118
Hafens	w119
in	w120
den	w121
Grund	w122
gesenkt	w123
worden	w124
<g/>
,
wieder	w126
flott	w127
machte	w128
<g/>
,
und	w130
dieselbe	w131
schier	w132
dem	w133
Wasser	w134
gleich	w135
war	w136
<g/>
,
so	w138
schickte	w139
unser	w140
Ge General	w141
<g/>
=
</p>
<p id="p6">
neral	w143
den	w144
Dom	w145
Joseph	w146
Carbonel	w147
mit	w148
sei=nem	w149
<g/>
=
Detaschemente	w151
<g/>
,
nebst	w153
einigen	w154
an=dern	w155
<g/>
=
Officieren	w157
<g/>
,
welche	w159
in	w160
Pech	w161
und	w162
Schwefel	w163
eingedunkte	w164
Leinwand	w165
bey	w166
sich	w167
führten	w168
<g/>
,
auch	w170
durch	w171
ein	w172
kleines	w173
Boot	w174
<g/>
,
und	w176
eine	w177
Schlupen	w178
<g/>
,
die	w180
mit	w181
Soldaten	w182
angefüllt	w183
waren	w184
<g/>
,
unterstützt	w186
wurden	w187
<g/>
,
in	w189
der	w190
Nacht	w191
ab	w192
<g/>
.
Um	w194
8	w195
Uhr	w196
<g/>
,
Abends	w198
<g/>
,
legte	w200
er	w201
in	w202
den	w203
entdeckten	w204
Gegenden	w205
Feuer	w206
an	w207
<g/>
,
und	w209
zog	w210
sich	w211
wieder	w212
ans	w213
Land	w214
zu=rück	w215
<g/>
=
<g/>
.
Zu	w218
gleicher	w219
Zeit	w220
stellte	w221
er	w222
seine	w223
Mannschaft	w224
also	w225
aus	w226
<g/>
,
damit	w228
die	w229
Feinde	w230
durch	w231
das	w232
Musquetenfeuer	w233
abgehalten	w234
wurden	w235
<g/>
,
sich	w237
zur	w238
Löschung	w239
der	w240
Fregatte	w241
zu	w242
nähern	w243
<g/>
.
Sobald	w245
er	w246
sah	w247
<g/>
,
daß	w249
diesel=be	w250
<g/>
=
auf	w252
allen	w253
Seiten	w254
in	w255
lichtloher	w256
Flamme	w257
</p>
<p id="p7">
aufloderte	w258
<g/>
,
und	w260
seine	w261
Leute	w262
alle	w263
ihre	w264
Pa=tronen	w265
<g/>
=
verschossen	w267
hatten	w268
<g/>
,
zog	w270
er	w271
sich	w272
<g/>
,
ungeachtet	w274
die	w275
Feinde	w276
unaufhörlich	w277
so=wohl	w278
<g/>
=
aus	w280
kleinem	w281
als	w282
grobem	w283
Geschütze	w284
mit	w285
Kartetschen	w286
auf	w287
sein	w288
Detaschement	w289
feuerten	w290
<g/>
,
ohne	w292
den	w293
mindesten	w294
Verlust	w295
zurück	w296
<g/>
.
</p>
<p id="p8">
An	w298
2	w299
ten	w300
wurden	w301
einige	w302
24	w303
<g/>
=
und	w305
8	w306
pfündnern	w307
Mörser	w308
<g/>
,
wie	w310
auch	w311
andere	w312
Artillerie	w313
<g/>
=
Geräthschaften	w315
zu	w316
Mesquita	w317
ans	w318
Land	w319
gebracht	w320
<g/>
.
</p>
<p id="p9">
Am	w322
3ten	w323
ertheilte	w324
unser	w325
General	w326
den	w327
Befehl	w328
<g/>
,
am	w330
folgenden	w331
Tage	w332
<g/>
,
als	w334
dem	w335
St	w336
<g/>
.
Carlsfeste	w338
<g/>
,
wovon	w340
der	w341
König	w342
den	w343
Namen	w344
führet	w345
<g/>
,
mit	w347
Wein	w348
und	w349
Fleisch	w350
die	w351
Truppen	w352
zu	w353
beschenken	w354
<g/>
.
Jn	w356
dieser	w357
Nacht	w358
begab	w359
sich	w360
der	w361
Capitain	w362
Carbonel	w363
nach	w364
dem	w365
Ufer	w366
St	w367
<g/>
.
Estevan	w369
<g/>
,
um	w371
von	w372
dem	w373
am	w374
1sten	w375
allda	w376
eingelaufenen	w377
Fahr=zeuge	w378
<g/>
=
Kundschaft	w380
einzuziehen	w381
<g/>
.
Ob	w383
er	w384
gleich	w385
dem	w386
feindlichen	w387
Feuer	w388
sehr	w389
aus=gesetzt	w390
<g/>
=
war	w392
<g/>
,
so	w394
blieb	w395
er	w396
doch	w397
ganz	w398
unbe=schädigt	w399
<g/>
=
<g/>
.
</p>
<p id="p10">
Am	w402
4ten	w403
<g/>
,
in	w405
der	w406
Frühe	w407
<g/>
,
ließ	w409
der	w410
Feind	w411
ein	w412
bewaffnetes	w413
Fahrzeug	w414
gegen	w415
das	w416
Ufer	w417
des	w418
Philippets	w419
auslaufen	w420
<g/>
,
sonder	w422
Zwei=fel	w423
<g/>
=
<g/>
,
um	w426
unsere	w427
Arbeit	w428
<g/>
,
die	w430
wir	w431
in	w432
dieser	w433
Gegend	w434
betreiben	w435
<g/>
,
auszuspähen	w437
<g/>
.
So=bald	w439
<g/>
=
dasselbe	w441
uns	w442
in	w443
den	w444
Schuß	w445
kam	w446
<g/>
,
feuerten	w448
wir	w449
mit	w450
Kartetschen	w451
darauf	w452
<g/>
,
so	w454
daß	w455
es	w456
sich	w457
zurückziehen	w458
mußte	w459
<g/>
.
Die	w461
Festung	w462
machte	w463
ebenfalls	w464
ein	w465
sehr	w466
leb=haftes	w467
<g/>
=
Feuer	w469
<g/>
,
jedoch	w471
ohne	w472
uns	w473
im	w474
min=besten	w475
<g/>
=
zu	w477
beschädigen	w478
<g/>
.
Wir	w480
waren	w481
an	w482
diesem	w483
Tage	w484
in	w485
grosser	w486
Galla	w487
wegen	w488
des	w489
Namensfestes	w490
des	w491
Königs	w492
<g/>
.
Der	w494
General	w495
erhielt	w496
die	w497
gewöhnlichen	w498
Glückwünschungs	w499
<g/>
=
Complimente	w501
von	w502
den	w503
französisch	w504
<g/>
=
und	w506
spanischen	w507
Stabs	w508
<g/>
=
und	w510
übrigen	w511
Officie=ren	w512
<g/>
=
<g/>
.
Der	w515
Magistrat	w516
<g/>
,
wie	w518
auch	w519
die	w520
geist	w521
<g/>
=
und	w523
weltlichen	w524
Korps	w525
der	w526
Stadt	w527
Mahon	w528
begleiteten	w529
den	w530
General	w531
in	w532
die	w533
Haupt=kirche	w534
<g/>
=
<g/>
,
allwo	w537
das	w538
Hochamt	w539
und	w540
Te	w541
Deum	w542
abgesungen	w543
wurde	w544
<g/>
.
Nach	w546
vollendeter	w547
Feyerlichkeit	w548
verfügte	w549
er	w550
sich	w551
<g/>
,
unter	w553
der	w554
nämlichen	w555
Begleitung	w556
<g/>
,
nach	w558
seiner	w559
Behau=sung	w560
<g/>
=
<g/>
,
und	w563
hielt	w564
die	w565
vornehmsten	w566
Glieder	w567
gedachter	w568
Korps	w569
bey	w570
sich	w571
zur	w572
Tafel	w573
<g/>
.
Die	w575
Feinde	w576
machten	w577
die	w578
ganze	w579
Nacht	w580
hindurch	w581
ein	w582
sehr	w583
heftiges	w584
Feuer	w585
<g/>
,
welches	w587
sich	w588
fast	w589
wider	w590
alle	w591
unsre	w592
Posten	w593
richtete	w594
<g/>
.
Sie	w596
</p>
<p id="p11">
verwundeten	w597
uns	w598
dadurch	w599
einen	w600
Drago=ner	w601
<g/>
=
vom	w603
Regimente	w604
Almanza	w605
<g/>
.
</p>
<head id="hl2">
Kadix	w607
<g/>
,
den	w609
24	w610
<g/>
.
Wintermonats	w612
<g/>
.
</head>
<p id="p12">
Die	w614
drey	w615
von	w616
der	w617
Havanaflotte	w618
ver=lohren	w619
<g/>
=
geglaubte	w621
Schiffe	w622
<g/>
,
haben	w624
sich	w625
an	w626
verschiedenen	w627
Orten	w628
nach	w629
und	w630
nach	w631
in	w632
Sicherheit	w633
eingefunden	w634
<g/>
.
Die	w636
kostbarsten	w637
Waaren	w638
haben	w639
drey	w640
Linienschiffe	w641
an	w642
Borde	w643
<g/>
,
wovon	w645
der	w646
Werth	w647
auf	w648
14	w649
Millionen	w650
fran=zösischer	w651
<g/>
=
Pfund	w653
geschätzt	w654
wird	w655
<g/>
.
Auch	w657
wer=den	w658
<g/>
=
noch	w660
zwey	w661
Linienschiffe	w662
nachkommen	w663
<g/>
,
welche	w665
fünfthalbe	w666
Millionen	w667
Piaster	w668
an	w669
Baarschaft	w670
<g/>
,
und	w672
für	w673
2	w674
Millionen	w675
westin=dische	w676
<g/>
=
Erzeugnisse	w678
mitbringen	w679
<g/>
,
welches	w681
alles	w682
<g/>
,
theils	w684
dem	w685
Könige	w686
<g/>
,
theils	w688
unsern	w689
Handelsleuten	w690
zugehöret	w691
<g/>
.
Die	w693
Rädels=führer	w694
<g/>
=
des	w696
spanisch	w697
<g/>
=
amerikanischen	w699
Auf=ruhres	w700
<g/>
=
<g/>
,
die	w703
man	w704
gefangen	w705
hatte	w706
<g/>
,
sind	w708
alle	w709
an	w710
dem	w711
Leben	w712
gestraft	w713
worden	w714
<g/>
.
</p>
<p id="p13">
Dom	w716
Bonnet	w717
ist	w718
zu	w719
der	w720
fernern	w721
Ein=schließung	w722
<g/>
=
der	w724
Festung	w725
Gibraltar	w726
befeh=ligt	w727
<g/>
=
<g/>
,
weil	w730
der	w731
bisherige	w732
Anführer	w733
Al=ters	w734
<g/>
=
halber	w736
davon	w737
abgegangen	w738
<g/>
.
Täglich	w740
bringen	w741
unsere	w742
Kreuzfahrer	w743
allerhand	w744
fremde	w745
Schiffe	w746
ein	w747
<g/>
,
die	w749
aus	w750
Begierde	w751
zu	w752
übermäßigem	w753
Gewinnste	w754
die	w755
Zufuhre	w756
nach	w757
gedachter	w758
Festung	w759
zu	w760
unternehmen	w761
wagen	w762
<g/>
.
Jn	w764
diesem	w765
Platze	w766
ist	w767
jetzo	w768
grosser	w769
Mangel	w770
an	w771
Getraid	w772
und	w773
Feuerung	w774
<g/>
.
Als	w776
neulich	w777
eine	w778
von	w779
unsern	w780
geworfenen	w781
Bomben	w782
mit=ten	w783
<g/>
=
auf	w785
dem	w786
Paradeplatze	w787
<g/>
,
kaum	w789
10	w790
Schritte	w791
vor	w792
dem	w793
Generale	w794
<g/>
,
niederfiel	w796
<g/>
,
legte	w798
sich	w799
die=ser	w800
<g/>
=
mit	w802
der	w803
gesammten	w804
Mannschaft	w805
ge=streckt	w806
<g/>
=
zu	w808
Boden	w809
<g/>
;
die	w811
Bombe	w812
sprang	w813
<g/>
,
die	w815
Stücke	w816
flogen	w817
über	w818
ihnen	w819
weg	w820
<g/>
,
und	w822
keiner	w823
soll	w824
im	w825
mindesten	w826
verwundet	w827
wor=den	w828
<g/>
=
seyn	w830
<g/>
.
</p>
<p id="p14">
Die	w832
Macht	w833
der	w834
Engländer	w835
in	w836
den	w837
süd=lichen	w838
<g/>
=
Provinzen	w840
der	w841
empörten	w842
Kolonien	w843
scheinet	w844
nun	w845
nach	w846
der	w847
Cornwallischen	w848
Ge=fangennehmung	w849
<g/>
=
auf	w851
einmal	w852
ein	w853
End	w854
ge=nommen	w855
<g/>
=
zu	w857
haben	w858
<g/>
.
Karlstown	w860
in	w861
Ka=rolinia	w862
<g/>
=
<g/>
,
und	w865
Savannah	w866
in	w867
Georgien	w868
sind	w869
noch	w870
ihre	w871
einigen	w872
haltbaren	w873
Plätze	w874
<g/>
.
Jn	w876
südamerikanischer	w877
Gefangenschaft	w878
befin=den	w879
<g/>
=
sich	w881
<g/>
,
ohne	w883
die	w884
Cornwallische	w885
Mann=schaft	w886
<g/>
=
<g/>
,
1500	w889
Engländer	w890
<g/>
,
wogegen	w892
die	w893
Britten	w894
keinen	w895
Mann	w896
mehr	w897
auszuwech=seln	w898
<g/>
=
haben	w900
<g/>
.
Jn	w902
dem	w903
bekannten	w904
Treffen	w905
vom	w906
8	w907
<g/>
.
Herbstm	w909
<g/>
.
haben	w911
sich	w912
die	w913
Mary=länder	w914
<g/>
=
blos	w916
der	w917
Bajonette	w918
zu	w919
ihren	w920
Waf Waffen	w921
<g/>
=
</p>
<p id="p15">
fen	w923
bedient	w924
<g/>
,
und	w926
keines	w927
Britten	w928
<g/>
,
der	w930
ihnen	w931
vor	w932
die	w933
Spize	w934
kam	w935
<g/>
,
geschont	w937
<g/>
:
denn	w939
sie	w940
sagten	w941
<g/>
,
diese	w943
haben	w944
es	w945
bey	w946
Camden	w947
eben	w948
so	w949
gemacht	w950
<g/>
.
</p>
<head id="hl3">
Paris	w952
<g/>
,
den	w954
11	w955
<g/>
.
Christmon	w957
<g/>
.
</head>
<p id="p16">
Eine	w959
kleine	w960
Unpäßlichkeit	w961
hinderte	w962
den	w963
König	w964
nach	w965
Brunoy	w966
abzugehen	w967
<g/>
,
allwo	w969
Monsieur	w970
für	w971
Se	w972
<g/>
.
Majestät	w974
ein	w975
Fest	w976
zu=bereitet	w977
<g/>
=
hatte	w979
<g/>
,
das	w981
schon	w982
einmal	w983
durch	w984
den	w985
Tod	w986
des	w987
Grafen	w988
von	w989
Maurepas	w990
auf=geschoben	w991
<g/>
=
worden	w993
ist	w994
<g/>
.
Die	w996
Beförderung	w997
der	w998
Generäle	w999
unserer	w1000
Landtruppen	w1001
soll	w1002
bereits	w1003
von	w1004
dem	w1005
Könige	w1006
berichtigt	w1007
seyn	w1008
<g/>
,
Se	w1010
<g/>
.
Majestät	w1012
wollen	w1013
sie	w1014
aber	w1015
erst	w1016
mit	w1017
Ende	w1018
dieses	w1019
Monats	w1020
publiciren	w1021
<g/>
;
bis	w1023
nunzu	w1024
weiß	w1025
man	w1026
zur	w1027
<g/>
,
daß	w1029
die	w1030
Aufsicht	w1031
<g/>
,
so	w1033
Herr	w1034
von	w1035
Vingessen	w1036
bisher	w1037
hatte	w1038
<g/>
,
auf	w1040
den	w1041
Grafen	w1042
von	w1043
Coigny	w1044
übertragen	w1045
worden	w1046
sey	w1047
<g/>
.
Herr	w1049
von	w1050
Charlus	w1051
ist	w1052
zum	w1053
General=major	w1054
<g/>
=
bey	w1056
der	w1057
Gensdarmerie	w1058
erhoben	w1059
worden	w1060
<g/>
,
und	w1062
da	w1063
der	w1064
Herr	w1065
Marschall	w1066
von	w1067
Broglio	w1068
den	w1069
König	w1070
gebetten	w1071
<g/>
,
zur	w1073
Beloh=nung	w1074
<g/>
=
seiner	w1076
treu	w1077
geleisteten	w1078
Dienste	w1079
<g/>
,
den	w1081
Fürsten	w1082
von	w1083
Broglio	w1084
<g/>
,
seinen	w1086
Sohn	w1087
<g/>
,
an	w1089
Platz	w1090
des	w1091
obgedachten	w1092
Herrn	w1093
von	w1094
Char=lus	w1095
<g/>
=
<g/>
,
nach	w1098
Amerika	w1099
abzusenden	w1100
<g/>
,
so	w1102
wur=de	w1103
<g/>
=
ihm	w1105
diese	w1106
Gnade	w1107
zugestanden	w1108
<g/>
.
Man	w1110
versichert	w1111
<g/>
,
der	w1113
Marquis	w1114
von	w1115
Fayette	w1116
werde	w1117
des	w1118
Königs	w1119
Dragonerregiment	w1120
