<doc id="edoc_wd_1771-03-27" attrs="word" year="1771" month="03" day="27" corpus="1">
<head id="hl1">
Cadix	w33
den	w34
12	w35
<g/>
.
Hornung	w37
<g/>
.
</head>
<p id="p4">
Gestern	w39
kam	w40
das	w41
spanische	w42
Kriegsschif	w43
<g/>
,
den	w45
Atlante	w46
<g/>
,
von	w48
Cartagena	w49
allhier	w50
an	w51
<g/>
,
wo	w53
es	w54
sich	w55
hatte	w56
ausbesseren	w57
lassen	w58
<g/>
.
Die	w60
Fregatte	w61
<g/>
,
die	w63
H	w64
<g/>
.
Theresia	w66
<g/>
,
welche	w68
das	w69
zweyte	w70
Bataillon	w71
von	w72
dem	w73
flan=derischen	w74
<g/>
=
Regimente	w76
an	w77
ihrem	w78
Bord	w79
hat	w80
<g/>
,
und	w82
davon	w83
das	w84
erstere	w85
sein	w86
Standquartier	w87
in	w88
Mexico	w89
hat	w90
<g/>
,
ist	w92
mit	w93
besagtem	w94
Kriegsschiffe	w95
in	w96
unserem	w97
Hafen	w98
eingelaufen	w99
<g/>
.
Gedachtes	w101
erste	w102
Bataillon	w103
sollte	w104
hier	w105
eingeschiffet	w106
wer=den	w107
<g/>
=
<g/>
,
um	w110
nach	w111
Amerika	w112
abzugehen	w113
<g/>
;
allein	w115
<g/>
,
</p>
<p id="p5">
der	w117
zwischen	w118
unserer	w119
Krone	w120
und	w121
England	w122
be=richtigte	w123
<g/>
=
Vergleich	w125
wird	w126
in	w127
seiner	w128
Bestimmung	w129
eine	w130
Abänderung	w131
veranlassen	w132
<g/>
.
An	w134
dem	w135
nun=mehr	w136
<g/>
=
versicherten	w138
Frieden	w139
nehmen	w140
wir	w141
den	w142
wesentlichsten	w143
Antheil	w144
<g/>
;
wenn	w146
es	w147
aber	w148
zu	w149
ei=nem	w150
<g/>
=
Kriege	w152
zwischen	w153
beyden	w154
Reichen	w155
gekom=men	w156
<g/>
=
wäre	w158
<g/>
,
so	w160
hätten	w161
sich	w162
außer	w163
allem	w164
Zwei=fel	w165
<g/>
=
merkwürdige	w167
Begebenheiten	w168
ereignet	w169
<g/>
.
Man	w171
erwäge	w172
unsere	w173
Seemacht	w174
in	w175
ihrem	w176
wirklichen	w177
Zustande	w178
<g/>
.
Acht	w180
und	w181
fünfzig	w182
Schiffe	w183
von	w184
der	w185
Linie	w186
<g/>
,
deren	w188
eins	w189
von	w190
112	w191
<g/>
.
sieben	w193
von	w194
80	w195
<g/>
.
zwey	w197
und	w198
vierzig	w199
von	w200
70	w201
<g/>
.
und	w203
acht	w204
von	w205
64	w206
<g/>
.
Kanonen	w208
<g/>
,
liegen	w210
fertig	w211
in	w212
die	w213
See	w214
zu	w215
ste=chen	w216
<g/>
=
<g/>
.
Hierzu	w219
kommen	w220
23	w221
<g/>
.
Fregatten	w223
<g/>
,
un unter	w225
<g/>
=
</p>
<p id="p6">
ter	w228
welchen	w229
16	w230
<g/>
.
von	w232
26	w233
<g/>
.
Kanonen	w235
sind	w236
<g/>
;
so=dann	w238
<g/>
=
9	w240
<g/>
.
Schebecken	w242
<g/>
;
6	w244
<g/>
.
Flotten	w246
<g/>
;
5	w248
<g/>
.
Bom=bengalioten	w250
<g/>
=
von	w252
17	w253
<g/>
.
Kanonen	w255
<g/>
,
3	w257
<g/>
.
breite	w259
und	w260
platte	w261
Schiffe	w262
von	w263
12	w264
<g/>
.
nebst	w266
unterschiedlichen	w267
Transportschiffen	w268
<g/>
,
deren	w270
in	w271
erforderlichen	w272
Falle	w273
35	w274
mit	w275
50	w276
<g/>
.
bis	w278
60	w279
<g/>
.
Kanonen	w281
ausge=rüstet	w282
<g/>
=
werden	w284
könnten	w285
<g/>
.
Jn	w287
solcher	w288
Ver=fassung	w289
<g/>
=
stand	w291
unsere	w292
