<doc id="edoc_wd_1783-12-24" attrs="word" year="1783" month="12" day="24" corpus="1">
<head id="hl1">
Jnnländische	w29
Begebenheiten	w30
<g/>
.
</head>
<head id="hl2">
Wien	w32
<g/>
.
</head>
<p id="p5">
Das	w34
heilsame	w35
und	w36
dem	w37
Staate	w38
so	w39
nütz=liche	w40
<g/>
=
Armenversorgungsinstitut	w42
brei=tet	w43
<g/>
=
sich	w45
auf	w46
dem	w47
Lande	w48
immer	w49
mehr	w50
und	w51
mehr	w52
aus	w53
<g/>
.
Durch	w55
die	w56
eifrige	w57
Verwen=dung	w58
<g/>
=
des	w60
Herrn	w61
Regierungsrathes	w62
und	w63
Kreishauptmanns	w64
<g/>
,
Freyherrn	w66
von	w67
Sala	w68
wurde	w69
es	w70
in	w71
dem	w72
V	w73
<g/>
.
O	w75
<g/>
.
W	w77
<g/>
.
W	w79
<g/>
.
von	w81
96	w82
Dominien	w83
<g/>
,
und	w85
145	w86
Pfarreyen	w87
angenom=men	w88
<g/>
=
<g/>
.
Den	w91
28	w92
<g/>
.
Nov	w94
<g/>
.
wurde	w96
es	w97
in	w98
der	w99
landesfürstl	w100
<g/>
.
Stadt	w102
St	w103
<g/>
.
Pölten	w105
<g/>
,
und	w107
zu	w108
gleicher	w109
Zeit	w110
bey	w111
allen	w112
Pfarreyen	w113
auf	w114
dem	w115
Lande	w116
eingeführt	w117
<g/>
.
Das	w119
Allmosen	w120
wird	w121
bey	w122
</p>
<p id="p6">
den	w123
wöchentlichen	w124
Sammlungen	w125
hinläng=lich	w126
<g/>
=
eingebracht	w128
<g/>
,
so	w130
daß	w131
gegenwärtig	w132
wirk=lich	w133
<g/>
=
4565	w135
Arme	w136
institutmäßig	w137
davon	w138
ver=sorgt	w139
<g/>
=
werden	w141
<g/>
.
Die	w143
Freude	w144
des	w145
Volkes	w146
über	w147
diese	w148
nützliche	w149
Veranstaltung	w150
ist	w151
all=gemein	w152
<g/>
=
<g/>
.
Bey	w155
der	w156
thätigen	w157
Mitwirkung	w158
des	w159
K	w160
<g/>
.
K	w162
<g/>
.
Herrn	w164
Kreishauptmannes	w165
<g/>
,
worüber	w167
ihm	w168
Se	w169
<g/>
.
Maj	w171
<g/>
.
bereits	w173
die	w174
aller=höchste	w175
<g/>
=
Zufriedenheit	w177
mit	w178
Zustellung	w179
eines	w180
Belobungsdekretes	w181
zu	w182
erkennen	w183
gegeben	w184
haben	w185
<g/>
,
darf	w187
man	w188
hoffen	w189
<g/>
,
daß	w191
es	w192
den	w193
erwünschten	w194
weitern	w195
Fortgang	w196
nehmen	w197
<g/>
,
und	w199
andere	w200
benachbarte	w201
Obrigkeiten	w202
zur	w203
Nachfolge	w204
aufmuntern	w205
werde	w206
<g/>
.
</p>
<p id="p7">
Es	w208
haben	w209
Se	w210
<g/>
.
K	w212
<g/>
.
K	w214
<g/>
.
Majestät	w216
vermög	w217
höchster	w218
Entschließung	w219
vom	w220
13	w221
<g/>
.
Nov	w223
<g/>
.
d	w225
<g/>
.
J	w227
<g/>
.
der	w229
bisherigen	w230
Tabakpachtungsgesellschaft	w231
zu	w232
bedeuten	w233
geruhet	w234
<g/>
,
daß	w236
Höchstselbe	w237
<g/>
,
bey	w239
dem	w240
am	w241
letzten	w242
Decemb	w243
<g/>
.
des	w245
J	w246
<g/>
.
1784	w248
be=vorstehenden	w249
<g/>
=
Ende	w251
der	w252
Pachtung	w253
<g/>
,
dieses	w255
Gefäll	w256
nicht	w257
weiters	w258
verpachten	w259
<g/>
,
sondern	w261
solches	w262
durch	w263
eine	w264
hiezu	w265
ernannte	w266
Direktion	w267
für	w268
Rechnung	w269
des	w270
allerhöchsten	w271
Aerariums	w272
verwalten	w273
lassen	w274
wollten	w275
<g/>
.
Zugleich	w277
wur=de	w278
<g/>
=
auch	w280
der	w281
Pachtungsgesellschaft	w282
zu	w283
er=kennen	w284
<g/>
=
gegeben	w286
<g/>
,
daß	w288
Se	w289
<g/>
.
Maj	w291
<g/>
.
allergnäf=digst	w293
<g/>
=
geneigt	w295
wären	w296
<g/>
,
in	w298
Ansehung	w299
des	w300
letzten	w301
Pachtsjahres	w302
mit	w303
der	w304
Kompagnie	w305
einen	w306
Vergleich	w307
einzugehen	w308
<g/>
,
und	w310
ihr	w311
für	w312
den	w313
kontraktmäßigen	w314
Nutzen	w315
einen	w316
Schad=loshaltungsbetrag	w317
<g/>
=
auszahlen	w319
zu	w320
lassen	w321
<g/>
,
womit	w323
die	w324
Pachtungsgesellschaft	w325
<g/>
,
zur	w327
Be=zeugung	w328
<g/>
=
ihrer	w330
allerunterthänigsten	w331
Bereit=willigkeit	w332
<g/>
=
in	w334
allen	w335
dem	w336
<g/>
,
was	w338
den	w339
aller=höchsten	w340
<g/>
=
Gesinnungen	w342
gemäß	w343
ist	w344
<g/>
,
dank=nehmend	w346
<g/>
=
zufrieden	w348
sich	w349
erklärt	w350
hat	w351
<g/>
.
Hier=auf	w353
<g/>
=
haben	w355
Se	w356
<g/>
.
Maj	w358
<g/>
.
durch	w360
ein	w361
weiters	w362
Hofdekret	w363
vom	w364
30	w365
<g/>
.
Nov	w367
<g/>
.
d	w369
<g/>
.
J	w371
<g/>
.
der	w373
be=sagten	w374
<g/>
=
Pachtungskompagnie	w376
zu	w377
erkennen	w378
gegeben	w379
<g/>
,
daß	w381
Sie	w382
ihre	w383
Aeußerung	w384
mit	w385
allergnädigstem	w386
Wohlgefahlen	w387
angenom=men	w388
<g/>
=
<g/>
,
und	w391
daher	w392
derselben	w393
Jhre	w394
allerhöch=ste	w395
<g/>
=
Zufriedenheit	w397
mit	w398
der	w399
Rechtschaffen=heit	w400
<g/>
=
<g/>
,
welche	w403
sie	w404
Kompagnie	w405
während	w406
die=ser	w407
<g/>
=
Pachtung	w409
in	w410
der	w411
genauen	w412
Beobach=tung	w413
<g/>
=
ihres	w415
Kontraktes	w416
sowohl	w417
<g/>
,
als	w419
in	w420
der	w421
aufrechten	w422
Handlung	w423
mit	w424
dem	w425
Pub=likum	w426
<g/>
=
bewiesen	w428
<g/>
;
und	w430
mit	w431
der	w432
guten	w433
Ord=nung	w434
<g/>
=
<g/>
,
in	w437
welche	w438
sie	w439
das	w440
Gefäll	w441
gesetzt	w442
hat	w443
<g/>
,
ausdrücklich	w445
bedeuten	w446
lassen	w447
<g/>
.
</p>
<p id="p8">
Oesterr	w449
<g/>
.
Lombardey	w451
<g/>
.
Auszug	w453
eines	w454
Schreibens	w455
aus	w456
Mayland	w457
vom	w458
8	w459
<g/>
.
Dec	w461
<g/>
.
</p>
<p id="p9">
Da	w463
nun	w464
jüngsthin	w465
bey	w466
der	w467
Arbeit	w468
an	w469
dem	w470
Pflaster	w471
in	w472
einer	w473
Gasse	w474
der	w475
Stadt	w476
etwas	w477
tiefer	w478
in	w479
die	w480
Erde	w481
grube	w482
<g/>
,
entdeckte	w484
man	w485
eine	w486
Leichenurne	w487
mit	w488
folgender	w489
Jn=schrift	w490
<g/>
=
<g/>
:
</p>
<p id="p10">
HIC	w493
REQUIESCIT	w494
IN	w495
PACE	w496
AGATE	w497
FILIA	w498
COMITIS	w499
GATTILANIS	w500
<g/>
,
QUI	w502
VIXIT	w503
IN	w504
SECULO	w505
ANN	w506
<g/>
.
PL	w508
<g/>
.
M	w510
<g/>
.
XL	w512
<g/>
(
*	w514
<g/>
)
DEPOSITA	w516
EST	w517
SUB	w518
D	w519
<g/>
.
III	w521
<g/>
.
NONAS	w523
SEPTEMBR	w524
<g/>
.
P	w526
<g/>
.
C	w528
<g/>
.
FELICES	w530
<g/>
(
**	w532
<g/>
)
</p>
<p id="p11">
<g/>
(
*	w535
<g/>
)
Soll	w537
heißen	w538
<g/>
:
Annos	w540
<g/>
,
Plus	w542
Minus	w543
XL	w544
<g/>
.
<g/>
(
**	w547
<g/>
)
Post	w549
Consulatum	w550
Felicis	w551
<g/>
.
</p>
<p id="p12">
Vermuthlich	w553
erstreckte	w554
sich	w555
der	w556
Gottes=acker	w557
<g/>
=
der	w559
ehemaligen	w560
Metropolitankirche	w561
bis	w562
an	w563
den	w564
Ort	w565
<g/>
,
wo	w567
diese	w568
Urne	w569
gefunden	w570
worden	w571
<g/>
,
welche	w573
aus	w574
dem	w575
Anfange	w576
des	w577
sechsten	w578
Jahrhunderts	w579
zu	w580
seyn	w581
scheint	w582
<g/>
;
denn	w584
Felix	w585
war	w586
im	w587
J	w588
<g/>
.
511	w590
Consul	w591
<g/>
,
wie	w593
aus	w594
den	w595
Werken	w596
des	w597
Caßiodorus	w598
<g/>
,
und	w600
der	w601
Conciliensammlung	w602
des	w603
Papstes	w604
Sim=machus	w605
<g/>
=
erhellet	w607
<g/>
.
Der	w609
damalige	w610
Erzbi=schof	w611
<g/>
=
von	w613
Mayland	w614
war	w615
Lorenz	w616
<g/>
,
der	w618
im	w619
J	w620
<g/>
.
512	w622
verstarb	w623
<g/>
.
Von	w625
den	w626
Grafen	w627
Gartiliani	w628
<g/>
,
deren	w630
die	w631
Jnschrift	w632
erwäh=net	w633
<g/>
=
<g/>
,
hat	w636
man	w637
keine	w638
Kenntniß	w639
<g/>
.
<g/>
”
</p>
<p id="p13">
Gallizien	w642
<g/>
.
Um	w644
die	w645
vernachläßigte	w646
Pferdezucht	w647
in	w648
diesem	w649
Lande	w650
zu	w651
verbes=sern	w652
<g/>
=
<g/>
,
haben	w655
S	w656
<g/>
.
M	w658
<g/>
.
durch	w660
ein	w661
Hofdekret	w662
von	w663
14	w664
<g/>
.
Oktob	w666
<g/>
.
der	w668
Landesstelle	w669
zu	w670
Lem=berg	w671
<g/>
=
bekannt	w673
zu	w674
machen	w675
geruhet	w676
<g/>
:
daß	w678
es	w679
Höchstdenselben	w680
zum	w681
besonderen	w682
Wohl=gefallen	w683
<g/>
=
gereichen	w685
würde	w686
<g/>
,
wenn	w688
die	w689
Grund=herrschaften	w690
<g/>
=
gute	w692
