<doc id="edoc_wd_1768-02-24" attrs="word" year="1768" month="02" day="24" corpus="1">
<head id="hl1">
Amsterdam	w35
den	w36
<g/>
.
11	w38
<g/>
.
Hornung	w40
<g/>
.
</head>
<p id="p4">
Wann	w42
die	w43
fast	w44
aus	w45
allen	w46
Theilen	w47
West=indiens	w48
<g/>
=
eingegangenen	w50
Berichte	w51
verläßig	w52
sind	w53
<g/>
,
so	w55
stehet	w56
zu	w57
vermuthen	w58
<g/>
,
daß	w60
die	w61
Handlung	w62
der	w63
großbritannischen	w64
Na=tion	w65
<g/>
=
mit	w67
den	w68
americanischen	w69
Colonien	w70
werde	w71
unterbrochen	w72
und	w73
untersaget	w74
werden	w75
<g/>
.
Außer	w77
diesen	w78
für	w79
die	w80
Engländer	w81
außerst	w82
nachtheili=gen	w83
<g/>
=
Umständen	w85
<g/>
,
lassen	w87
Briefe	w88
aus	w89
Londen	w90
einfließen	w91
<g/>
,
daß	w93
man	w94
befahre	w95
<g/>
,
es	w97
möchte	w98
künftigen	w99
Frühling	w100
mit	w101
den	w102
Jndianern	w103
ein	w104
Krieg	w105
ausbrechen	w106
<g/>
.
Diese	w108
Besorglichkeit	w109
</p>
<p id="p5">
füßet	w110
sich	w111
auf	w112
einen	w113
feindseligen	w114
Vorgang	w115
<g/>
,
den	w117
eine	w118
Parthey	w119
von	w120
ihren	w121
Wilden	w122
<g/>
,
nach	w124
der	w125
Rückkehre	w126
von	w127
einer	w128
unglücklichen	w129
Aus=führung	w130
<g/>
=
gegen	w132
die	w133
Chirokesen	w134
<g/>
,
vorgenom=men	w136
<g/>
=
hat	w138
<g/>
.
Sie	w140
sind	w141
nämlich	w142
auf	w143
zwey	w144
mit	w145
Vorrath	w146
für	w147
die	w148
Jllineser	w149
reich	w150
befrachtete	w151
Schiffe	w152
gerathen	w153
<g/>
,
und	w155
haben	w156
selbige	w157
ge=plündert	w158
<g/>
=
<g/>
,
nachdem	w161
sie	w162
zehn	w163
von	w164
der	w165
darauf	w166
befindlichen	w167
Mannschaft	w168
niedergemacht	w169
hatten	w170
<g/>
.
</p>
<head id="hl2">
Parma	w172
den	w173
26	w174
<g/>
.
Jänner	w176
<g/>
.
</head>
<p id="p6">
Der	w178
Jnfant	w179
<g/>
,
unser	w181
gnädigster	w182
Landesherr	w183
<g/>
,
hat	w185
jüngsthin	w186
eine	w187
aus	w188
den	w189
vier	w190
nachstehen=den	w191
<g/>
=
Artikuln	w193
bestehende	w194
Pragmatische	w195
Ver=ordnung	w196
<g/>
=
bekannt	w198
machen	w199
lassen	w200
<g/>
.
</p>
<list id="li3">
1	w204
<g/>
)
Soll	w206
keiner	w207
von	w208
den	w209
Unterthanen	w210
des	w211
Herrn	w212
Jnfanten	w213
<g/>
,
ohne	w215
ausdrücklicher	w216
Er=laubniß	w217
<g/>
=
Sr	w219
<g/>
.
königl	w221
<g/>
.
Hoheit	w223
<g/>
,
die	w225
Streitsa=chen	w226
<g/>
=
welche	w228
sich	w229
in	w230
den	w231
unter	w232
