<doc id="edoc_wd_1753-07-07" attrs="word" year="1753" month="07" day="07" corpus="1">
<p id="p4">
Jn	w33
dem	w34
neuen	w35
Michaeler	w36
<g/>
=
Haus	w38
<g/>
,
bey	w40
Joh	w41
<g/>
.
Peter	w43
v	w44
<g/>
.
Ghelen	w46
</p>
<head id="hl1">
Aus	w47
America	w48
<g/>
.
</head>
<head id="hl2">
Hallifax	w50
28	w51
<g/>
.
Februarii	w53
<g/>
.
</head>
<p id="p5">
DJese	w55
Stadt	w56
befindet	w57
sich	w58
jetzt	w59
in	w60
ziemlich	w61
blühendem	w62
Stande	w63
<g/>
.
Wir	w65
haben	w66
hier	w67
ei=ne	w68
<g/>
=
offentliche	w70
Kirche	w71
und	w72
auch	w73
einen	w74
Platz	w75
in	w76
Zusammenkunft	w77
für	w78
die	w79
Nonconformisten	w80
<g/>
.
Die	w82
Stadt	w83
ist	w84
mit	w85
verschiedenen	w86
Forten	w87
und	w88
Re=douten	w89
<g/>
=
versehen	w91
<g/>
,
und	w93
beständig	w94
patrolliren	w95
an=sehnliche	w96
<g/>
=
Piquets	w98
rundum	w99
dieselbe	w100
hin	w101
<g/>
.
Längs	w103
dem	w104
Fluß	w105
in	w106
Süden	w107
der	w108
Stadt	w109
seynd	w110
die	w111
nöhti=gen	w112
<g/>
=
Häuser	w114
<g/>
,
Scheuren	w116
<g/>
,
und	w118
alles	w119
was	w120
zum	w121
Fisch=fang	w122
<g/>
=
nöhtig	w124
ist	w125
<g/>
,
welche	w127
Gebäude	w128
auf	w129
2	w130
<g/>
.
Mei=len	w132
<g/>
=
weit	w134
fortgehen	w135
<g/>
.
Hinter	w137
denenselben	w138
hat	w139
man	w140
verschiedene	w141
Stücke	w142
Landes	w143
<g/>
,
jedes	w145
zu	w146
7	w147
<g/>
.
bis	w149
8	w150
<g/>
.
Morgen	w152
vertheilet	w153
<g/>
.
An	w155
der	w156
Nord	w157
<g/>
=
seiten	w159
der	w160
Stadt	w161
seynd	w162
die	w163
Fischerlotsen	w164
auf	w165
eine	w166
Meile	w167
Weges	w168
weit	w169
<g/>
,
wo	w171
alsdann	w172
ein	w173
kleines	w174
Städt=gen	w175
<g/>
=
liget	w177
<g/>
,
das	w179
mehrentheils	w180
von	w181
Holländern	w182
bewohnet	w183
wird	w184
und	w185
die	w186
einen	w187
grossen	w188
Strich	w189
Landes	w190
inne	w191
haben	w192
<g/>
.
Der	w194
Fluß	w195
Chebucto	w196
ist	w197
vor	w198
der	w199
