<doc id="edoc_wd_1726-09-11" attrs="word" year="1726" month="09" day="11" corpus="1">
<head id="hl1">
St	w54
<g/>
.
Crux	w56
in	w57
der	w58
Barbarey	w59
13	w60
<g/>
.
Julii	w62
<g/>
.
</head>
<p id="p4">
DJe	w64
Uneinigkeit	w65
zwischen	w66
denen	w67
Berg	w68
<g/>
=
Leuten	w70
<g/>
/
und	w72
denen	w73
Truppen	w74
des	w75
Königs	w76
von	w77
Maroco	w78
<g/>
,
seynd	w80
end=lich	w81
<g/>
=
gantz	w83
beygeleget	w84
<g/>
/
indeme	w86
die	w87
ersteren	w88
sich	w89
unterworffen	w90
haben	w91
<g/>
/
so	w93
daß	w94
nunmehro	w95
die	w96
Zufuhr	w97
der	w98
Lebens	w99
<g/>
=
Mittel	w101
nach	w102
dieser	w103
Stadt	w104
<g/>
/
welche	w106
dardurch	w107
aufgehoben	w108
ware	w109
<g/>
/
wiederum	w111
frey	w112
ist	w113
<g/>
.
</p>
<head id="hl2">
Lisbona	w115
30	w116
<g/>
.
Julii	w118
<g/>
.
</head>
<p id="p5">
Man	w120
machet	w121
an	w122
diesem	w123
Hofe	w124
Vorberei=tung	w125
<g/>
=
zu	w127
der	w128
Abreise	w129
der	w130
Infantin	w131
<g/>
,
ältesten	w133
Königl	w134
<g/>
.
Tochter	w136
<g/>
/
die	w138
dem	w139
Printz	w140
von	w141
Astu-rien	w142
<g/>
-
zu	w144
einer	w145
Braut	w146
bestimmet	w147
ist	w148
<g/>
;
und	w150
man	w151
saget	w152
<g/>
/
diese	w154
Prinzessin	w155
werde	w156
sich	w157
gegen	w158
Ein=gang	w159
<g/>
=
des	w161
Monats	w162
September	w163
<g/>
/
auf	w165
den	w166
Weg	w167
nacher	w168
Madrid	w169
begeben	w170
<g/>
.
</p>
<p id="p6">
Alhier	w172
hat	w173
sich	w174
neulich	w175
folgende	w176
merkwür=dige	w177
<g/>
=
Begebenheit	w179
zugetragen	w180
<g/>
;
es	w182
bekamen	w183
nemlich	w184
einige	w185
Lakeien	w186
in	w187
währender	w188
Zeit	w189
deren	w190
Herren	w191
sich	w192
in	w193
der	w194
Comœdie Comoedie	w195
befan=den	w196
<g/>
=
<g/>
/
bey	w199
dem	w200
Spielen	w201
Streit	w202
<g/>
/
und	w204
Schlä=gerey	w205
<g/>
=
miteinander	w207
<g/>
;
und	w209
ein	w210
junger	w211
Edel=mann	w212
<g/>
=
<g/>
/
der	w215
solches	w216
im	w217
Vorbeygehen	w218
sahe	w219
<g/>
/
gienge	w221
hin	w222
<g/>
/
dieselbe	w224
zu	w225
trennen	w226
<g/>
;
er	w228
ware	w229
kaum	w230
gekommen	w231
<g/>
/
so	w233
fand	w234
sich	w235
der	w236
Corre-gidor	w237
<g/>
-
mit	w239
seinen	w240
Leuten	w241
ein	w242
<g/>
/
welcher	w244
alle	w245
diese	w246
Lakeien	w247
<g/>
/
nebst	w249
dem	w250
jungen	w251
Edelmann	w252
arrestiren	w253
<g/>
/
und	w255
nach	w256
der	w257
Gefängnuß	w258
brin=gen	w259
<g/>
=
liesse	w261
<g/>
:
da	w263
nun	w264
einige	w265
andere	w266
in	w267
der	w268
Co- mœdie Comoedie	w269
<g/>
-
seyende	w271
junge	w272
von	w273
Adel	w274
hiervon	w275
Nachricht	w276
erhielten	w277
<g/>
/
begaben	w279
sie	w280
sich	w281
also=bald	w282
<g/>
=
<g/>
/
in	w285
die	w286
15	w287
<g/>
.
stark	w289
<g/>
/
lauter	w291
vornehmer	w292
Leuten	w293
Kinder	w294
<g/>
/
nach	w296
des	w297
Corregidors	w298
Hau=se	w299
<g/>
=
<g/>
/
demselben	w302
drohende	w303
<g/>
/
daß	w305
<g/>
/
wofern	w307
er	w308
den	w309
jungen	w310
Edelmann	w311
nicht	w312
sogleich	w313
in	w314
Frey=heit	w315
<g/>
=
setzete	w317
<g/>
/
sie	w319
ihn	w320
zum	w321
Fenster	w322
hinaus	w323
stür=tzen	w324
<g/>
=
wolten	w326
<g/>
:
der	w328
Corregidor	w329
wehrete	w330
sich	w331
zwar	w332
lange	w333
den	w334
Gefangenen	w335
heraus	w336
zu	w337
ge geben	w338
<g/>
=
</p>
<p id="p7">
ben	w340
<g/>
/
muste	w342
es	w343
aber	w344
doch	w345
zu	w346
letzt	w347
thun	w348
<g/>
;
und	w350
dieser	w351
brachte	w352
seine	w353
Klage	w354
hierüber	w355
ohnver=züglich	w356
<g/>
=
an	w358
<g/>
:
worauf	w360
man	w361
eine	w362
Untersuchung	w363
anstellete	w364
<g/>
/
darinn	w366
die	w367
Arrestirung	w368
deren	w369
ge=samten	w370
<g/>
=
hiebey	w372
interessirten	w373
jungen	w374
Edel	w375
<g/>
=
