<doc id="edoc_wd_1726-09-18" attrs="word" year="1726" month="09" day="18" corpus="1">
<head id="hl1">
Smirna	w54
15	w55
<g/>
.
Juli	w57
<g/>
.
</head>
<p id="p4">
DEn	w59
4	w60
<g/>
.
dieses	w62
<g/>
/
und	w64
des	w65
folgenden	w66
Tags	w67
sturben	w68
hier	w69
4	w70
<g/>
.
Leute	w72
an	w73
der	w74
anstekenden	w75
Seuche	w76
<g/>
/
zu	w78
desto	w79
grös=serer	w80
<g/>
=
Bestürtzung	w82
in	w83
der	w84
Stadt	w85
<g/>
/
als	w87
die	w88
Jahrs	w89
<g/>
=
Zeit	w91
schon	w92
so	w93
weit	w94
verloffen	w95
<g/>
/
und	w97
man	w98
nichts	w99
von	w100
solcher	w101
Plage	w102
vernommen	w103
<g/>
/
mit=hin	w105
<g/>
=
gehoffet	w107
hatte	w108
<g/>
/
davon	w110
befreyet	w111
zu	w112
blei=ben	w113
<g/>
=
<g/>
.
Jndessen	w116
hat	w117
dieselbe	w118
bishero	w119
noch	w120
nicht	w121
weit	w122
um	w123
sich	w124
gerissen	w125
<g/>
/
indeme	w127
nur	w128
ei=ne	w129
<g/>
=
Europäische	w131
Frau	w132
<g/>
/
und	w134
10	w135
Griechen	w136
<g/>
/
oder	w138
Armenier	w139
daran	w140
gestorben	w141
seynd	w142
<g/>
/
und	w144
täglich	w145
2	w146
<g/>
.
oder	w148
3	w149
<g/>
.
Türken	w151
<g/>
/
welches	w153
für	w154
eine	w155
so	w156
Volk	w157
<g/>
=
reiche	w159
Stadt	w160
<g/>
/
als	w162
diese	w163
ist	w164
<g/>
/
wenig	w166
bedeutet	w167
<g/>
;
man	w169
hoffet	w170
auch	w171
von	w172
dieser	w173
Qual	w174
in	w175
kurtzen	w176
erlöset	w177
zu	w178
werden	w179
<g/>
/
massen	w181
die	w182
Er=fahrung	w183
<g/>
=
gelehret	w185
hat	w186
<g/>
/
daß	w188
nach	w189
der	w190
Som=mer	w191
<g/>
=
<g/>
=
Sonnen	w194
<g/>
=
Wende	w196
die	w197
Pest	w198
hier	w199
zu	w200
Lande	w201
gemeiniglich	w202
abnimmt	w203
<g/>
/
und	w205
aufhält	w206
<g/>
.
</p>
<p id="p5">
Mit	w208
3	w209
<g/>
.
von	w211
Alexandria	w212
alhier	w213
angelang=ten	w214
<g/>
=
Türkischen	w216
Kauf	w217
Fahrern	w218
hat	w219
man	w220
<g/>
/
daß	w222
die	w223
Seuche	w224
in	w225
Groß	w226
<g/>
=
Cairo	w228
noch	w229
stark	w230
wü=te	w231
<g/>
=
<g/>
/
und	w234
täglich	w235
sehr	w236
viel	w237
Volks	w238
hinweg	w239
neh=me	w240
<g/>
=
<g/>
.
Hier	w243
passieren	w244
dann	w245
und	w246
wann	w247
einige	w248
Ergäntzungs	w249
<g/>
=
Völker	w251
für	w252
das	w253
Lager	w254
in	w255
Per=sien	w256
<g/>
=
<g/>
/
man	w259
hat	w260
aber	w261
von	w262
dar	w263
keine	w264
gewisse	w265
Zeitung	w266
<g/>
.
</p>
<p id="p6">
Nachdeme	w268
ein	w269
Frantzösischer	w270
Abgefallener	w271
<g/>
/
oder	w273
Renegat	w274
<g/>
,
welcher	w276
sich	w277
in	w278
dieser	w279
Stadt	w280
von	w281
einer	w282
Sclavin	w283
<g/>
/
so	w285
er	w286
zu	w287
einer	w288
Concu-bine	w289
<g/>
-
gehabt	w291
<g/>
/
abgesondert	w293
<g/>
/
und	w295
selbe	w296
ver=lassen	w297
<g/>
=
<g/>
/
bey	w300
dem	w301
Frantzösischen	w302
Consul	w303
An=suchung	w304
<g/>
=
gethan	w306
<g/>
/
daß	w308
er	w309
die	w310
mit	w311
selbiger	w312
er=zeugte	w313
<g/>
=
Tochter	w315
<g/>
/
so	w317
jetzo	w318
10	w319
<g/>
.
oder	w321
11	w322
<g/>
.
Jahr	w324
alt	w325
<g/>
/
möchte	w327
verspielen	w328
lassen	w329
<g/>
/
mit	w331
dem	w332
Be=ding	w333
<g/>
=
<g/>
/
daß	w336
der	w337
jenigen	w338
Person	w339
<g/>
/
so	w341
dieses	w342
Kind	w343
gewinnen	w344
würde	w345
<g/>
/
nicht	w347
gestattet	w348
wür=de	w349
<g/>
=
<g/>
/
solches	w352
der	w353
Mutter	w354
wieder	w355
zu	w356
geben	w357
<g/>
/
oder	w359
auch	w360
als	w361
eine	w362
Sclavin	w363
zu	w364
behalten	w365
<g/>
/
ist	w367
</p>
<p id="p7">
ihme	w368
solches	w369
zugelassen	w370
worden	w371
<g/>
:
wie	w373
nun	w374
darauf	w375
von	w376
unterschiedlichen	w377
Leuten	w378
bey	w379
die	w380
100	w381
<g/>
.
Losse	w383
<g/>
/
jedes	w385
zu	w386
1	w387
<g/>
.
Sequin	w389
<g/>
,
genommen	w391
<g/>
/
und	w393
solche	w394
Lotterie	w395
gezogen	w396
worden	w397
<g/>
/
ist	w399
das	w400
Mägden	w401
der	w402
Madame	w403
de	w404
Hochepied	w405
anheim	w406
gefallen	w407
<g/>
/
und	w409
wird	w410
selbe	w411
es	w412
in	w413
der	w414
Refor- mirten	w415
<g/>
-
Religion	w417
erziehen	w418
lassen	w419
<g/>
.
</p>
<head id="hl2">
Constantinopel	w421
20	w422
<g/>
.
Julii	w424
<g/>
.
</head>
<p id="p8">
Aldieweilen	w426
der	w427
Printz	w428
Thamas	w429
<g/>
/
des	w431
ent=throneten	w432
<g/>
=
Sophi	w434
Sohn	w435
<g/>
/
die	w437
Bedingungen	w438
<g/>
/
so	w440
ihm	w441
<g/>
/
in	w443
dem	w444
zwischen	w445
der	w446
Porten	w447
<g/>
/
und	w449
Reussen	w450
beschlossenen	w451
Tractat	w452
vorgeschlagen	w453
worden	w454
<g/>
/
angenommen	w456
<g/>
/
hat	w458
sich	w459
der	w460
Groß	w461
<g/>
=
Sultan	w463
entschlossen	w464
<g/>
/
ihn	w466
wiederum	w467
auf	w468
sei=ner	w469
<g/>
=
Vorfahren	w471
Thron	w472
zu	w473
helffen	w474
<g/>
/
und	w476
den	w477
Sultan	w478
Esref	w479
aus	w480
Persien	w481
zu	w482
jagen	w483
<g/>
.
Zufol=ge	w485
<g/>
=
eben	w487
derselben	w488
Bedingungen	w489
<g/>
/
schreitet	w491
man	w492
nunmehro	w493
zu	w494
der	w495
Abtheilung	w496
Persiens	w497
<g/>
/
und	w499
die	w500
Gräntz	w501
<g/>
=
Scheidung	w503
<g/>
/
so	w505
wol	w506
auf	w507
Sei=ten	w508
<g/>
=
der	w510
Türkey	w511
<g/>
/
als	w513
von	w514
Reussen	w515
<g/>
/
zu	w517
ver=anstalten	w518
<g/>
=
<g/>
.
Das	w521
Ottomannische	w522
Kriegs	w523
<g/>
=
Volk	w525
hat	w526
seither	w527
der	w528
Eroberung	w529
der	w530
Stadt	w531
Casbin	w532
<g/>
,
nichts	w534
vorgenommen	w535
<g/>
/
und	w537
das	w538
un=ter	w539
<g/>
=
Befehlshabung	w541
des	w542
Gubernators	w543
von	w544
Babylonien	w545
ist	w546
<g/>
/
hat	w548
müssen	w549
zuruk	w550
ziehen	w551
<g/>
/
um	w553
einen	w554
Aufstand	w555
<g/>
/
den	w557
einige	w558
mißver=gnügte	w559
<g/>
=
Araber	w561
erreget	w562
haben	w563
<g/>
/
zu	w565
stillen	w566
<g/>
.
</p>
<p id="p9">
Die	w568
Pest	w569
regieret	w570
annoch	w571
stark	w572
alhier	w573
<g/>
/
und	w575
man	w576
besorget	w577
<g/>
/
sie	w579
werde	w580
noch	w581
viel	w582
ärger	w583
um	w584
sich	w585
