<doc id="edoc_wd_1772-05-20" attrs="word" year="1772" month="05" day="20" corpus="1">
<head id="hl1">
Stockholm	w29
von	w30
24	w31
April	w32
<g/>
.
</head>
<p id="p4">
Der	w34
hochlöbl	w35
<g/>
.
Reichsstände	w37
Plena	w38
sind	w39
seit	w40
dem	w41
15	w42
<g/>
.
dieses	w44
nicht	w45
versammelt	w46
gewe=sen	w47
<g/>
=
<g/>
,
mithin	w50
hat	w51
auch	w52
von	w53
der	w54
Ritter=schaft	w55
<g/>
=
<g/>
,
in	w58
Ansehung	w59
der	w60
von	w61
den	w62
übrigen	w63
3	w64
<g/>
.
Ständen	w66
bereits	w67
licentierten	w68
Hrn	w69
<g/>
.
Reichsräthe	w71
<g/>
,
noch	w73
keine	w74
Entschließung	w75
gefasset	w76
werden	w77
kön=nen	w78
<g/>
=
<g/>
.
Es	w81
hat	w82
das	w83
Ansehen	w84
<g/>
,
es	w86
dürfte	w87
diese	w88
Angelegenheit	w89
bey	w90
derselben	w91
nicht	w92
so	w93
geschwin=de	w94
<g/>
=
abgefertigt	w96
werden	w97
und	w98
die	w99
Hoffnung	w100
bestärket	w101
sich	w102
<g/>
,
daß	w104
für	w105
besagte	w106
Herren	w107
die	w108
ge=wöhnliche	w109
<g/>
=
Pension	w111
werde	w112
ansgewirket	w113
wer=den	w114
<g/>
=
<g/>
.
Es	w117
wird	w118
auch	w119
gegenwärtig	w120
versichert	w121
<g/>
,
daß	w123
das	w124
Ende	w125
des	w126
Reichstages	w127
schon	w128
um	w129
Jo=hann	w130
<g/>
=
erfolgen	w132
werde	w133
<g/>
,
und	w135
<g/>
,
wann	w137
dieses	w138
ge=schiehet	w139
<g/>
=
<g/>
,
würden	w142
Se	w143
<g/>
.
Königl	w145
<g/>
.
Majestät	w147
noch	w148
in	w149
diesem	w150
Jahre	w151
eine	w152
Reise	w153
nach	w154
dem	w155
Groß=herzogthume	w156
<g/>
=
Finland	w158
anstellen	w159
<g/>
.
Jn	w161
der	w162
Ver=sammlung	w163
<g/>
=
des	w165
geheimen	w166
Ausschusses	w167
vom	w168
Osterabend	w169
wurde	w170
beschlossen	w171
<g/>
,
den	w173
Herrn	w174
</p>
<p id="p5">
Reichsrath	w175
Grafen	w176
von	w177
Liewen	w178
<g/>
,
von	w180
seinem	w181
bisherigen	w182
General	w183
<g/>
=
Gonvernemente	w185
in	w186
Pom=mern	w187
<g/>
=
zurück	w189
zu	w190
berufen	w191
<g/>
,
und	w193
an	w194
dessen	w195
Stel=le	w196
<g/>
=
den	w198
Herrn	w199
Reichsrath	w200
<g/>
,
Grafen	w202
Sinclair	w203
<g/>
,
zum	w205
General	w206
<g/>
=
Gouverneur	w208
zu	w209
verordnen	w210
<g/>
.
</p>
<p id="p6">
Der	w212
Kommerzrath	w213
und	w214
Ritter	w215
Norden=kranz	w216
<g/>
=
hat	w218
bekanntlich	w219
in	w220
den	w221
von	w222
ihm	w223
verfaß=ten	w224
<g/>
=
und	w226
zum	w227
Theil	w228
auf	w229
Befehl	w230
der	w231
Reichs=stände	w232
<g/>
=
gedruckten	w234
Schriften	w235
verschiedene	w236
Um=stände	w237
<g/>
=
angeführet	w239
<g/>
,
woraus	w241
er	w242
die	w243
Belegen=heit	w244
<g/>
=
<g/>
,
worein	w247
sich	w248
das	w249
Reich	w250
gegenwärtig	w251
be=findet	w252
<g/>
=
<g/>
,
herleitet	w255
<g/>
,
und	w257
worunter	w258
er	w259
die	w260
Ent=schließungen	w261
<g/>
=
<g/>
,
welche	w264
1737	w265
<g/>
.
und	w267
auf	w268
den	w269
fol=genden	w270
<g/>
=
Reichstagen	w272
<g/>
,
in	w274
Ansehung	w275
der	w276
Bank	w277
und	w278
des	w279
Finanzwesens	w280
<g/>
,
genommen	w282
worden	w283
sind	w284
<g/>
,
vornämlich	w286
mit	w287
bemerket	w288
<g/>
.
Auf	w290
un=terthäniges	w291
<g/>
=
Anhalten	w293
der	w294
Reichsstände	w295
ha=ben	w296
<g/>
=
Se	w298
<g/>
.
Königl	w300
<g/>
.
Majestät	w302
bekannt	w303
machen	w304
lassen	w305
<g/>
:
daß	w307
<g/>
,
daferne	w309
irgend	w310
jemand	w311
sich	w312
be=rechtiget	w313
<g/>
=
halten	w315
solle	w316
<g/>
,
besagtem	w318
Verfasser	w319
</p>
<p id="p7">
über	w320
den	w321
Jnhalt	w322
solcher	w323
Schriften	w324
Vorwür=fe	w325
<g/>
=
zu	w327
machen	w328
<g/>
,
solches	w330
vor	w331
Ablauf	w332
dieses	w333
Reichstages	w334
und	w335
vor	w336
den	w337
gegenwärtig	w338
ver=sammelten	w339
<g/>
=
Ständen	w341
geschehen	w342
müsse	w343
<g/>
.
</p>
<p id="p8">
Die	w345
Nachrichten	w346
<g/>
,
welche	w348
vom	w349
Lande	w350
ein=gehen	w351
<g/>
=
<g/>
,
beschreiben	w354
den	w355
Zustand	w356
<g/>
,
worin	w358
man	w359
sich	w360
durch	w361
einen	w362
gedoppelten	w363
Mangel	w364
<g/>
,
so	w366
wohl	w367
an	w368
Futterung	w369
<g/>
,
als	w371
an	w372
Getreide	w373
befin=det	w374
<g/>
=
<g/>
,
sehr	w377
kläglich	w378
<g/>
.
Zur	w380
Abhelfung	w381
des	w382
er=stern	w383
<g/>
=
hat	w385
man	w386
vielfältig	w387
zu	w388
dem	w389
Strohe	w390
<g/>
,
womit	w392
die	w393
Gebäude	w394
bedeckt	w395
sind	w396
<g/>
,
greifen	w398
müssen	w399
<g/>
.
Der	w401
Frühling	w402
verzögert	w403
sich	w404
sehr	w405
lange	w406
<g/>
;
die	w408
anhaltenden	w409
Nachtfröste	w410
erhalten	w411
das	w412
Eis	w413
in	w414
dem	w415
Korn	w416
<g/>
,
und	w418
schaden	w419
dem	w420
Ge=treide	w421
<g/>
=
<g/>
,
so	w424
<g/>
,
daß	w426
nicht	w427
wenig	w428
Besorgniß	w429
we=gen	w430
<g/>
=
eines	w432
neuen	w433
Miswachses	w434
zu	w435
verspüren	w436
ist	w437
<g/>
,
welcher	w439
um	w440
so	w441
beschwerlicher	w442
seyn	w443
wür=de	w444
<g/>
=
<g/>
,
da	w447
es	w448
bereits	w449
hin	w450
und	w451
wieder	w452
an	w453
der	w454
nöthigen	w455
Einsaat	w456
gebricht	w457
<g/>
.
</p>
<head id="hl2">
Londen	w459
vom	w460
28	w461
<g/>
.
April	w463
<g/>
.
</head>
<p id="p9">
Der	w465
König	w466
hatte	w467
vorgestern	w468
mit	w469
Lord	w470
North	w471
<g/>
,
der	w473
von	w474
seinem	w475
Landsitze	w476
zurückge=kommen	w477
<g/>
=
ist	w479
<g/>
,
eine	w481
lange	w482
Unterredung	w483
in	w484
der	w485
Königinn	w486
Pallast	w487
<g/>
.
Von	w489
dem	w490
Gegenstande	w491
dieser	w492
Unterredung	w493
weis	w494
man	w495
eben	w496
so	w497
wenig	w498
<g/>
,
als	w500
von	w501
dem	w502
Jnhalte	w503
der	w505
Briefe	w506
<g/>
,
welche	w508
Hr	w509
<g/>
.
King	w511
<g/>
,
einer	w513
der	w514
Königl	w515
<g/>
.
Staatsbote	w517
<g/>
,
der	w519
heute	w520
aus	w521
Coppenhagen	w522
angekommen	w523
ist	w524
<g/>
,
mitgebracht	w526
hat	w527
<g/>
.
Alles	w529
<g/>
,
was	w531
von	w532
den	w533
Er=eignissen	w534
<g/>
=
in	w536
Dännemark	w537
alhier	w538
gesagt	w539
wird	w540
<g/>
,
ist	w542
so	w543
unbestimmt	w544
<g/>
,
daß	w546
man	w547
leicht	w548
einsiehet	w549
<g/>
,
unser	w551
Hof	w552
finde	w553
nicht	w554
für	w555
diensam	w556
<g/>
,
etwas	w558
aus	w559
diesem	w560
Fache	w561
bekannt	w562
zu	w563
machen	w564
<g/>
.
</p>
<p id="p10">
Heute	w566
hat	w567
das	w568
Unterhaus	w569
seine	w570
Berath=schlagungen	w571
<g/>
=
weiter	w573
vorgenommen	w574
<g/>
.
Am	w576
24	w577
kam	w578
ein	w579
Expresser	w580
von	w581
Dublin	w582
<g/>
,
welcher	w584
am	w585
25	w586
<g/>
.
mit	w588
Verhaltungen	w589
an	w590
den	w591
dasigen	w592
Vice=König	w593
<g/>
=
zurückgefertigt	w595
wurde	w596
<g/>
.
Die	w598
Unruhen	w599
in	w600
Jrland	w601
scheinen	w602
beygelegt	w603
zu	w604
seyn	w605
<g/>
,
und	w607
man	w608
hoffet	w609
<g/>
,
die	w611
vier	w612
Regimenter	w613
unter	w614
den	w615
Befehlen	w616
des	w617
Generals	w618
Gisborn	w619
werden	w620
die	w621
Ruhe	w622
wieder	w623
herstellen	w624
<g/>
.
</p>
<p id="p11">
Unser	w626
Consul	w627
zu	w628
Tetnan	w629
<g/>
,
Herr	w631
Sampson	w632
<g/>
,
hat	w634
ernsthafte	w635
Vorstellungen	w636
über	w637
die	w638
ihm	w639
angethanen	w640
Beschimpfungen	w641
<g/>
,
und	w643
über	w644
die	w645
Grausamkeiten	w646
<g/>
,
womit	w648
man	w649
den	w650
gefangenen	w651
Englländern	w652
in	w653
den	w654
Maroccanischen	w655
Staa=ten	w656
<g/>
=
begegnet	w658
<g/>
,
eingesandt	w660
<g/>
.
Hierauf	w662
ist	w663
an	w664
den	w665
General	w666
Cornwallis	w667
<g/>
,
Gouverneur	w669
zu	w670
Gibral=tar	w671
<g/>
=
<g/>
,
der	w674
Befehl	w675
von	w676
Hofe	w677
gefertigt	w678
worden	w679
<g/>
,
</p>
<p id="p12">
alle	w681
eingesperrte	w682
Britten	w683
mit	w684
Nachdruck	w685
zu	w686
reclamiren	w687
<g/>
.
Man	w689
ist	w690
begierig	w691
<g/>
,
zu	w693
sehen	w694
<g/>
,
wie	w696
der	w697
Maroccanische	w698
Regent	w699
sich	w700
dabey	w701
verhalten	w702
wird	w703
<g/>
,
um	w705
so	w706
mehr	w707
<g/>
,
da	w709
es	w710
scheint	w711
<g/>
,
als	w713
habe	w714
er	w715
sich	w716
mit	w717
der	w718
Republick	w719
der	w720
Ver=einigten	w721
<g/>
=
Niederlande	w723
<g/>
,
die	w725
in	w726
seine	w727
übertrie=benen	w728
<g/>
=
Forderungen	w730
nicht	w731
hat	w732
einwilligen	w733
wollen	w734
<g/>
,
überworfen	w736
<g/>
.
</p>
<head id="hl3">
Londen	w738
vom	w739
1	w740
<g/>
.
May	w742
<g/>
.
</head>
<p id="p13">
Seit	w744
dem	w745
28	w746
<g/>
.
April	w748
sind	w749
bey	w750
Hofe	w751
zween	w752
Couriere	w753
von	w754
dem	w755
Großbrittanischen	w756
Mini=ster	w757
<g/>
=
zu	w759
Coppenhagen	w760
<g/>
,
Ritter	w762
Keith	w763
<g/>
,
bey	w765
Hofe	w766
an	w767
gekommen	w768
<g/>
.
Der	w770
Jnhalt	w771
ihres	w772
Mit=bringens	w773
<g/>
=
hat	w775
eine	w776
außerordentliche	w777
Staats=rathsversammlung	w778
<g/>
=
zu	w780
St	w781
<g/>
.
James	w783
veranlas=set	w784
<g/>
=
<g/>
,
und	w787
es	w788
sind	w789
zwischen	w790
dem	w791
Könige	w792
und	w793
seinen	w794
Ministeren	w795
verschiedene	w796
Unterredungen	w797
gepflogen	w798
worden	w799
<g/>
;
allein	w801
<g/>
,
für	w803
das	w804
Publi=kum	w805
<g/>
=
verbleibt	w807
alles	w808
noch	w809
immer	w810
ein	w811
uner=forschliches	w812
<g/>
=
Geheimniß	w814
<g/>
.
Jndessen	w816
wird	w817
das	w818
Schicksal	w819
der	w820
Königinn	w821
Carolina	w822
Mathilda	w823
als	w824
eine	w825
von	w826
der	w827
K	w828
<g/>
.
Dänischen	w830
Jnquistions=Commission	w831
<g/>
=
entschiedene	w833
Sache	w834
angesehen	w835
<g/>
,
und	w837
zwar	w838
aus	w839
eine	w840
für	w841
unsern	w842
Hof	w843
sehr	w844
nie=drige	w845
<g/>
=
Art	w847
<g/>
,
der	w849
gleichwohl	w850
<g/>
,
uneracht	w852
aller	w853
widrigen	w854
Gerüchte	w855
<g/>
,
gar	w857
weit	w858
entfernet	w859
ist	w860
<g/>
,
mit	w862
Dännemark	w863
bey	w864
dieser	w865
Gelegenheit	w866
zu	w867
brechen	w868
<g/>
.
</p>
<p id="p14">
Jn	w870
dem	w871
Unterhause	w872
ward	w873
gestern	w874
die	w875
Bill	w876
<g/>
,
wegen	w878
Einfuhr	w879
des	w880
Waitzens	w881
und	w882
des	w883
Rei=ses	w884
<g/>
=
<g/>
,
auch	w887
jene	w888
wegen	w889
Berichtigung	w890
der	w891
Ein=und	w892
<g/>
=
Ausfuhr	w894
des	w895
Getreides	w896
<g/>
,
zum	w898
zweytenmal	w899
verlesen	w900
<g/>
.
Hernächst	w902
nahm	w903
die	w904
Kammer	w905
im	w906
Ausschusse	w907
den	w908
Vortrag	w909
in	w910
Erwägung	w911
<g/>
,
wie	w913
die	w914
Ausländer	w915
angetrieben	w916
werden	w917
möchten	w918
<g/>
,
den	w920
Brittischen	w921
Unterthanen	w922
<g/>
,
welche	w924
liegende	w925
Gründe	w926
in	w927
den	w928
Amerikanischen	w929
Pflanzörtern	w930
besitzen	w931
<g/>
,
Gelder	w933
vorzuschießen	w934
<g/>
.
Die	w936
Absicht	w937
des	w938
Vortrags	w939
gieng	w940
dahin	w941
<g/>
,
festzusetzen	w943
<g/>
:
<g/>
“
daß	w946
es	w947
zu	w948
schleunigerer	w949
und	w950
mehr	w951
erweiterter	w952
Be=bauung	w953
<g/>
=
der	w955
Königl	w956
<g/>
.
Pflanzörter	w958
in	w959
Westin=dien	w960
<g/>
=
<g/>
,
auch	w963
zum	w964
allgemeinen	w965
Besten	w966
gereichen	w967
würde	w968
<g/>
,
wann	w970
den	w971
Unterthanen	w972
ausländischer	w973
Staaten	w974
Muth	w975
eingeflösset	w976
würde	w977
<g/>
,
auf	w979
die	w980
Sicherheit	w981
der	w982
freyen	w983
oder	w984
Pachtgüter	w985
in	w986
des	w987
Königs	w988
westindischen	w989
Colonien	w990
Gelder	w991
zu	w992
leihen	w993
<g/>
,
und	w995
solche	w996
den	w997
fremden	w998
angewie=senen	w999
<g/>
=
