<doc id="edoc_wd_1726-09-14" attrs="word" year="1726" month="09" day="14" corpus="1">
<head id="hl1">
Gibraltar	w54
2	w55
<g/>
.
Augusti	w57
<g/>
.
</head>
<p id="p4">
EJn	w59
See	w60
<g/>
=
Rauber	w62
von	w63
Salè	w64
hat	w65
ein	w66
En=gelländisches	w67
<g/>
=
Kaufmanns	w69
Schif	w70
da=hin	w71
<g/>
=
gebracht	w73
<g/>
/
ohne	w75
daß	w76
man	w77
annoch	w78
wissen	w79
könne	w80
<g/>
/
unter	w82
welchem	w83
Vorwand	w84
es	w85
weggenommen	w86
worden	w87
<g/>
:
unser	w89
Gubernator	w90
hat	w91
es	w92
wieder	w93
begehren	w94
lassen	w95
<g/>
/
man	w97
beförch=tet	w98
<g/>
=
aber	w100
<g/>
/
es	w102
möchte	w103
schwerlich	w104
wieder	w105
loß=gegeben	w106
<g/>
=
werden	w108
<g/>
/
weil	w110
es	w111
scheinet	w112
<g/>
/
als	w114
wä=ren	w115
<g/>
=
die	w117
von	w118
Salè	w119
gesinnet	w120
<g/>
/
den	w122
Frieden	w123
mit	w124
denen	w125
Engelländern	w126
zu	w127
brechen	w128
<g/>
.
</p>
<head id="hl2">
Cadix	w130
6	w131
<g/>
.
Augusti	w133
<g/>
.
</head>
<p id="p5">
An	w135
den	w136
31	w137
<g/>
.
verwichenen	w139
Monats	w140
segelten	w141
3	w142
<g/>
.
Schiffe	w144
von	w145
dem	w146
Holländischen	w147
Geschwa=der	w148
<g/>
=
aus	w150
dieser	w151
Bay	w152
<g/>
,
um	w154
wiederum	w155
gegen	w156
die	w157
Meer	w158
<g/>
=
Enge	w160
kreutzen	w161
zu	w162
gehen	w163
<g/>
.
Unsere	w165
zwey	w166
Kriegs	w167
<g/>
=
Schiffe	w169
<g/>
/
von	w171
welchen	w172
man	w173
gesaget	w174
hat	w175
<g/>
/
daß	w177
sie	w178
nach	w179
der	w180
Havana	w181
bestimmet	w182
seyen	w183
<g/>
/
befinden	w185
sich	w186
noch	w187
alhier	w188
<g/>
.
</p>
<head id="hl3">
Petersburg	w190
17	w191
<g/>
.
Augusti	w193
<g/>
.
</head>
<p id="p6">
Aus	w195
Warschau	w196
haben	w197
wir	w198
die	w199
Nachricht	w200
erhalten	w201
<g/>
/
daß	w203
der	w204
würkliche	w205
Cammer	w206
<g/>
=
Herr	w208
Michael	w209
von	w210
Bestouschef	w211
<g/>
,
der	w213
als	w214
ausseror=dentlicher	w215
<g/>
=
Gesandter	w217
von	w218
hier	w219
nach	w220
dem	w221
Pohl=nischen	w222
<g/>
=
Hof	w224
abgeschiket	w225
worden	w226
<g/>
/
daselbsten	w228
bereits	w229
angelanget	w230
seye	w231
<g/>
.
</p>
<p id="p7">
Laut	w233
denen	w234
letztern	w235
aus	w236
Reval	w237
eingeloffe=nen	w238
<g/>
=
Briefen	w240
vom	w241
18	w242
<g/>
.
Augusti	w244
<g/>
/
hält	w246
sich	w247
das	w248
Engelländische	w249
samt	w250
dem	w251
Dännischen	w252
See	w253
<g/>
=
Geschwader	w255
noch	w256
an	w257
ihrem	w258
vorigen	w259
Ort	w260
<g/>
/
ohne	w262
die	w263
geringste	w264
Bewegung	w265
zu	w266
machen	w267
<g/>
/
beständig	w269
auf	w270
<g/>
.
</p>
<head id="hl4">
Stokholm	w272
21	w273
<g/>
.
Augusti	w275
<g/>
.
</head>
<p id="p8">
Es	w277
halten	w278
sich	w279
alhier	w280
unterschiedliche	w281
Tür=ken	w282
<g/>
=
auf	w284
<g/>
/
welche	w286
aber	w287
ehestens	w288
über	w289
Dantzig	w290
wiederum	w291
nach	w292
ihrer	w293
Heumat	w294
zuruk	w295
kehren	w296
werden	w297
<g/>
.
Man	w299
hat	w300
vermerket	w301
<g/>
/
daß	w303
die	w304
Rus=sisch	w305
<g/>
=
<g/>
=
und	w308
Hollsteinischen	w309
Ministri	w310
<g/>
,
sich	w312
bey	w313
</p>
<p id="p9">
dem	w314
jüngsthin	w315
von	w316
dem	w317
Groß	w318
<g/>
=
Britannischen	w320
Gesandten	w321
<g/>
/
Herrn	w323
Poinz	w324
<g/>
,
gegebenen	w326
herr=lichen	w327
<g/>
=
Festin	w329
nicht	w330
miteingefunden	w331
haben	w332
<g/>
.
</p>
<p id="p10">
Der	w334
hiesige	w335
Norder	w336
<g/>
=
Malmische	w338
Sauer	w339
<g/>
=
Brunnen	w341
<g/>
/
hat	w343
in	w344
diesem	w345
Jahr	w346
besonders	w347
grosse	w348
Kräfte	w349
gehabt	w350
<g/>
/
massen	w352
blinde	w353
und	w354
lahme	w355
Leute	w356
<g/>
/
so	w358
denselben	w359
gebrauchet	w360
<g/>
/
zu	w362
ihrer	w363
vorigen	w364
Gesundheit	w365
gekommen	w366
<g/>
/
auch	w368
sonsten	w369
allerhand	w370
Krankheiten	w371
dadurch	w372
curi=ret	w373
<g/>
=
worden	w375
<g/>
/
wannenhero	w377
der	w378
Zulauf	w379
von	w380
Menschen	w381
bey	w382
erwehntem	w383
Brunnen	w384
diesen	w385
Sommer	w386
über	w387
so	w388
groß	w389
gewesen	w390
<g/>
/
daß	w392
das	w393
Wasser	w394
kaum	w395
hat	w396
zureichen	w397
wollen	w398
<g/>
.
</p>
<head id="hl5">
Stockholm	w400
23	w401
<g/>
.
Augusti	w403
<g/>
.
</head>
