<doc id="edoc_wd_1741-03-15" attrs="word" year="1741" month="03" day="15" corpus="1">
<head id="hl1">
Aus	w39
Niederland	w40
<g/>
.
</head>
<head id="hl2">
Brüssel	w42
21	w43
<g/>
.
Febr	w45
<g/>
.
</head>
<p id="p2">
Am	w47
Sonntag	w48
ward	w49
zu	w50
dem	w51
von	w52
Seiner	w53
Päpstlichen	w54
Heiligkeit	w55
verliehenen	w56
Jubilæo	w57
durch	w58
ei=nen	w59
<g/>
=
allgemeinen	w61
Umgang	w62
der	w63
Welt=lich	w64
<g/>
=
<g/>
=
und	w67
Regulirten	w68
Geistlichkeit	w69
der	w70
Anfang	w71
gemacht	w72
<g/>
/
an	w74
welchem	w75
Tag	w76
auch	w77
dieses	w78
Jubilæum	w79
durch	w80
das	w81
gan=tze	w82
<g/>
=
hiesige	w84
Ertz	w85
<g/>
=
Stift	w87
den	w88
Anfang	w89
ge=nommen	w90
<g/>
=
<g/>
.
Heute	w93
seynd	w94
Jhro	w95
Hoch=fürstl	w96
<g/>
=
<g/>
.
Durchl	w99
<g/>
.
der	w101
Printz	w102
von	w103
Wol=fenbüttel	w104
<g/>
=
von	w106
hier	w107
nach	w108
Teutschland	w109
<g/>
/
und	w111
Nachts	w112
zwischen	w113
Donnerstag	w114
<g/>
/
und	w116
Freytag	w117
die	w118
verwittibte	w119
Fürstin	w120
von	w121
Tour	w122
und	w123
Taxis	w124
nach	w125
Frankfurt	w126
auf=gebrochen	w127
<g/>
=
<g/>
.
Am	w130
Freytag	w131
seynd	w132
auf	w133
Anordnung	w134
des	w135
Magistrats	w136
der	w137
Stadt	w138
Löven	w139
in	w140
dasiger	w141
St	w142
<g/>
.
Peters	w144
Stifts=Kirche	w145
<g/>
=
die	w147
Vigilien	w148
<g/>
/
und	w150
Tags	w151
dar=auf	w152
<g/>
=
die	w154
Exequien	w155
für	w156
weiland	w157
Kaiser	w158
CARL	w159
den	w160
Sechsten	w161
mit	w162
grosser	w163
Pracht	w164
gehalten	w165
worden	w166
<g/>
/
zu	w168
welchem	w169
Ende	w170
ein	w171
prächtiges	w172
Trauer	w173
<g/>
=
Gerüst	w175
mit	w176
aus=erlösenen	w177
<g/>
=
Zieraten	w179
<g/>
/
sinnreichen	w181
Sprü=chen	w182
<g/>
=
<g/>
/
und	w185
Devisen	w186
besetzet	w187
<g/>
/
in	w189
Mitten	w190
der	w191
Kirche	w192
aufgerichtet	w193
gewesen	w194
<g/>
/
das	w196
hohe	w197
Amt	w198
ist	w199
von	w200
dem	w201
Herrn	w202
Dechan=ten	w203
<g/>
=
selbiger	w205
Kirchen	w206
<g/>
/
und	w208
die	w209
