<doc id="edoc_wd_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="1">
<head id="hl1">
Warschau	w39
18	w40
<g/>
.
Julii	w42
<g/>
.
</head>
<p id="p4">
HEute	w44
paßirte	w45
ein	w46
von	w47
Petersburg	w48
kom=mender	w49
<g/>
=
Garde	w51
<g/>
=
officier	w53
hierdurch	w54
<g/>
,
wel=cher	w56
<g/>
=
dem	w58
Hrn	w59
Generalen	w60
Czernischef	w61
von	w62
der	w63
Rußischen	w64
Kaiserin	w65
den	w66
Befehl	w67
über=bringet	w68
<g/>
=
<g/>
,
sein	w71
Corps	w72
sogleich	w73
von	w74
den	w75
Preußi=schen	w76
<g/>
=
Trupen	w78
zu	w79
trennen	w80
<g/>
.
</p>
<head id="hl2">
Aus	w82
Thüringen	w83
14	w84
<g/>
.
Julii	w86
<g/>
.
</head>
<p id="p5">
Von	w88
Naumburg	w89
geben	w90
die	w91
Nachrichten	w92
<g/>
,
daß	w94
man	w95
sich	w96
alda	w97
noch	w98
schmeichele	w99
<g/>
,
die	w101
Preus=sische	w102
<g/>
=
Contridution	w104
werde	w105
zwar	w106
nicht	w107
leicht	w108
nachgelassen	w109
<g/>
,
doch	w111
noch	w112
einige	w113
Zeit	w114
nachge=sehen	w115
<g/>
=
werden	w117
<g/>
,
indem	w119
sich	w120
die	w121
Umstände	w122
<g/>
,
nach	w124
den	w125
dermaligen	w126
Asperten	w127
<g/>
,
leicht	w129
wieder	w130
ändern	w131
<g/>
,
und	w133
diese	w134
Stadt	w135
<g/>
,
wenn	w137
sie	w138
auch	w139
gern	w140
wollte	w141
<g/>
,
die	w143
Kriegs	w144
<g/>
=
steuern	w146
nicht	w147
abtragen	w148
lönte	w149
oder	w150
dörfte	w151
<g/>
.
Die	w153
hin	w154
und	w155
wieder	w156
in	w157
verschie	w158
enen	w159
<g/>
,
Sächsischen	w161
Thüringischen	w162
Ortschaften	w163
auf	w164
Ex	w165
<g/>
=
cution	w167
gelegene	w168
Preussen	w169
sollen	w170
sich	w171
von	w172
da	w173
weg	w174
<g/>
,
und	w176
gegen	w177
AltenAltenburg	w178
<g/>
=
</p>
<p id="p6">
burg	w180
zusammen	w181
gezogen	w182
haben	w183
<g/>
,
weil	w185
der	w186
Hr	w187
<g/>
.
Major	w189
Otto	w190
sich	w191
mit	w192
seinem	w193
Corps	w194
wiede=rum	w195
<g/>
=
dasigen	w197
Gegenden	w198
nähert	w199
<g/>
,
und	w201
der	w202
Hr	w203
<g/>
.
General	w205
<g/>
=
feld	w207
<g/>
=
marschall	w209
<g/>
=
leutenant	w211
v	w212
<g/>
.
Luzins=ky	w214
<g/>
=
weiter	w216
vorrucken	w217
solle	w218
<g/>
.
Es	w220
heist	w221
<g/>
,
daß	w223
von	w224
dem	w225
Ottoischen	w226
Jäger	w227
<g/>
=
corps	w229
bereits	w230
bis	w231
Kahla	w232
ein	w233
Commando	w234
sich	w235
eingefunden	w236
habe	w237
<g/>
.
Sonst	w239
ist	w240
es	w241
in	w242
den	w243
Thüringischen	w244
Gegenden	w245
dermalen	w246
ziemlich	w247
ruhig	w248
<g/>
.
Werber	w250
und	w251
Marodeurs	w252
finden	w253
sich	w254
zwar	w255
hin	w256
und	w257
wieder	w258
ein	w259
<g/>
,
es	w261
sind	w262
aber	w263
seit	w264
etlichen	w265
Tagen	w266
verschiedene	w267
von	w268
beyderley	w269
Gattung	w270
von	w271
den	w272
Sächstschen	w273
Jägern	w274
aufgehoben	w275
worden	w276
<g/>
.
</p>
<head id="hl3">
Waldeck	w278
12	w279
<g/>
.
Julii	w281
<g/>
.
</head>
<p id="p7">
Das	w283
befestigte	w284
Berg	w285
<g/>
=
schloß	w287
zu	w288
Waldeck	w289
hatte	w290
seit	w291
zwey	w292
Jahren	w293
<g/>
,
unangesehen	w295
der	w296
verschiedenen	w297
Attaquen	w298
<g/>
,
noch	w300
immer	w301
allen	w302
Gefahren	w303
getrotzet	w304
<g/>
;
endlich	w306
wurde	w307
es	w308
zur	w309
Ubergabe	w310
an	w311
die	w312
Königl	w313
<g/>
.
alliirte	w315
Trupen	w316
gegenöhtiget	w317
<g/>
=
</p>
<p id="p8">
nöhtiget	w321
<g/>
.
Herr	w323
de	w324
Boys	w325
<g/>
,
der	w327
daselbstige	w328
Königl	w329
<g/>
.
Französische	w331
Commandant	w332
<g/>
,
so	w334
sich	w335
in	w336
verschiedenen	w337
Gelegenheiten	w338
<g/>
,
rühmlich	w340
hervorgethan	w341
<g/>
,
capitulirte	w343
mit	w344
dem	w345
Königl	w346
<g/>
.
Englischen	w348
General	w349
<g/>
=
leutenanten	w351
Hrn	w352
<g/>
.
Convey	w354
<g/>
,
welcher	w356
mit	w357
einem	w358
Corps	w359
von	w360
4	w361
<g/>
.
bis	w363
5000	w364
<g/>
.
Mann	w366
<g/>
,
7	w368
<g/>
.
Canonen	w370
<g/>
,
9	w372
<g/>
.
Mörsern	w374
und	w375
Hau=bitzen	w376
<g/>
=
gegen	w378
das	w379
Schloß	w380
anrückte	w381
<g/>
.
Das	w383
Feuer	w384
war	w385
zwey	w386
Tage	w387
lang	w388
eines	w389
der	w390
lebhaf=testen	w391
<g/>
=
<g/>
,
und	w394
das	w395
Schloß	w396
ist	w397
gänzlich	w398
ruini=ret	w399
<g/>
=
<g/>
.
Man	w402
vermutet	w403
<g/>
,
daß	w405
dem	w406
alleinigen	w407
Mangel	w408
des	w409
Wassers	w410
die	w411
Ubergabe	w412
beyzu=messen	w413
<g/>
=
seye	w415
<g/>
;
er	w417
zoge	w418
heute	w419
in	w420
der	w421
Frühe	w422
an	w423
der	w424
Spitze	w425
seiner	w426
Besatzung	w427
aus	w428
<g/>
,
und	w430
nach	w431
Marburg	w432
<g/>
.
Die	w434
Capitulation	w435
hat	w436
folgen=den	w437
<g/>
=
