<doc id="edoc_wd_1762-11-03" attrs="word" year="1762" month="11" day="03" corpus="1">
<head id="hl1">
Constantinopel	w40
1	w41
<g/>
.
Octob	w43
<g/>
.
</head>
<p id="p4">
Die	w45
Vorstadt	w46
Pera	w47
ist	w48
neulich	w49
mit	w50
ei=ner	w51
<g/>
=
grausamen	w53
Feuers	w54
<g/>
=
brunst	w56
heim=gesuchet	w57
<g/>
=
<g/>
,
und	w60
ein	w61
guter	w62
Theil	w63
da=von	w64
<g/>
=
in	w66
die	w67
Aschen	w68
geleget	w69
worden	w70
<g/>
.
Das	w72
Feuer	w73
kam	w74
in	w75
der	w76
Nacht	w77
zwischen	w78
dem	w79
19	w80
<g/>
.
und	w82
20	w83
<g/>
.
vorigen	w85
Monats	w86
eine	w87
Stunde	w88
nach	w89
Mitternacht	w90
bey	w91
einem	w92
Armenier	w93
aus	w94
<g/>
.
Da	w96
jedermann	w97
in	w98
tiefem	w99
Schlafe	w100
lag	w101
<g/>
,
da	w103
kein	w104
Lärmen	w105
<g/>
,
vielweniger	w107
Anstalten	w108
zum	w109
Löschen	w110
gemacht	w111
wurden	w112
<g/>
,
nahm	w114
das	w115
Feuer	w116
so	w117
plötz=lich	w118
<g/>
=
überhand	w120
<g/>
,
daß	w122
verschiedene	w123
umliegende	w124
Häuser	w125
fast	w126
eher	w127
<g/>
,
als	w129
die	w130
Leute	w131
darinn	w132
es	w133
recht	w134
gewahr	w135
wurden	w136
<g/>
,
schon	w138
davon	w139
ergrif=fen	w140
<g/>
=
waren	w142
<g/>
.
Es	w144
bließ	w145
ein	w146
so	w147
starker	w148
Sud=wind	w149
<g/>
=
<g/>
,
daß	w152
die	w153
Flamme	w154
sich	w155
gegen	w156
Nor=den	w157
<g/>
=
mit	w159
einer	w160
ungemeinen	w161
Geschwindigkeit	w162
sich	w163
ausbreitete	w164
<g/>
,
und	w166
<g/>
,
da	w168
alle	w169
Häuser	w170
nach	w171
hiesigem	w172
Landes	w173
<g/>
=
gebrauche	w175
bis	w176
auf	w177
die	w178
so=genmmten	w179
<g/>
=
Feuer	w181
<g/>
=
magazine	w183
nur	w184
von	w185
Holz	w186
</p>
<p id="p5">
waren	w187
<g/>
,
die	w189
Leute	w190
bloß	w191
auf	w192
die	w193
Rettung	w194
ih=res	w195
<g/>
=
Lebens	w197
gedenken	w198
musten	w199
<g/>
.
Es	w201
sind	w202
über	w203
60	w204
<g/>
.
Häuser	w206
nebst	w207
der	w208
Kirche	w209
und	w210
dem	w211
Kloster	w212
der	w213
P	w214
<g/>
.
P	w216
<g/>
.
Trinitarier	w218
<g/>
,
wie	w220
auch	w221
alle	w222
übrige	w223
ihnen	w224
zugehörige	w225
Wohnungen	w226
eingeäschert	w227
worden	w228
<g/>
.
Das	w230
deutsche	w231
Pa=lais	w232
<g/>
=
<g/>
,
wo	w235
der	w236
gewesene	w237
Kais	w238
<g/>
.
Kön	w240
<g/>
.
Jnter=nuntius	w242
<g/>
=
Herr	w244
von	w245
Schwachheim	w246
wohnte	w247
<g/>
,
ist	w249
unter	w250
den	w251
ersten	w252
in	w253
dem	w254
Rauch	w255
aufge=gangen	w256
<g/>
=
<g/>
:
er	w259
selbst	w260
hat	w261
sich	w262
mit	w263
den	w264
Seini=gen	w265
<g/>
=
in	w267
die	w268
nächst	w269
daran	w270
gele	w271
ene	w272
Wohnung	w273
des	w274
Französischen	w275
Herrn	w276
Botschafters	w277
küm=merlich	w278
<g/>
=
geflüchtt	w280
<g/>
:
alles	w282
<g/>
,
was	w284
von	w285
Geräth=schaften	w286
<g/>
=
im	w288
Haus	w289
war	w290
<g/>
,
ist	w292
von	w293
dem	w294
Feuer	w295
verzehret	w296
worden	w297
<g/>
:
ein	w299
gleiches	w300
Unglück	w301
hat	w302
nebst	w303
vielen	w304
anderen	w305
von	w306
Handels	w307
<g/>
=
leuten	w309
auch	w310
den	w311
Kais	w312
<g/>
.
Königl	w314
<g/>
.
Gesandschafts	w316
<g/>
=
se=cretair	w318
<g/>
=
Herrn	w320
Brognard	w321
<g/>
,
und	w323
ersten	w324
Dol=metscher	w325
<g/>
=
Hrn	w327
<g/>
.
Biauchi	w329
nebst	w330
einigen	w331
SprachSprachknaben	w332
<g/>
=
</p>
<p id="p6">
knaben	w335
betroffen	w336
<g/>
:
der	w338
Schaden	w339
<g/>
,
den	w341
die=se	w342
<g/>
=
Feuers	w344
<g/>
=
brunst	w346
verursachet	w347
<g/>
,
ist	w349
überhaupt	w350
sehr	w351
groß	w352
<g/>
,
und	w354
das	w355
Elend	w356
so	w357
vieler	w358
abge=brandten	w359
<g/>
=
armen	w361
Christen	w362
recht	w363
bedaurens=würdig	w364
<g/>
=
<g/>
.
Die	w367
Türken	w368
und	w369
insonderheit	w370
die	w371
Janitscharen	w372
<g/>
,
haben	w374
sich	w375
zum	w376
Löschen	w377
ger=ne	w378
<g/>
=
brauchen	w380
lassen	w381
<g/>
:
allein	w383
es	w384
war	w385
zu	w386
spät	w387
<g/>
,
dann	w389
in	w390
4	w391
<g/>
.
Stunden	w393
lag	w394
schon	w395
alles	w396
in	w397
der	w398
Aschen	w399
<g/>
:
das	w401
Glück	w402
war	w403
<g/>
,
daß	w405
sich	w406
der	w407
Wind	w408
wahrend	w409
der	w410
Brunst	w411
plötzlich	w412
gewendet	w413
hat	w414
<g/>
.
Der	w416
Groß	w417
<g/>
=
vezier	w419
und	w420
der	w421
Janitscharen	w422
<g/>
=
aga	w424
sind	w425
selbst	w426
mit	w427
allen	w428
grossen	w429
und	w430
minderen	w431
Officieren	w432
<g/>
,
um	w434
bey	w435
dem	w436
Löschen	w437
gute	w438
Ord=nung	w439
<g/>
=
zu	w441
machen	w442
<g/>
,
herbey	w444
geeilet	w445
<g/>
:
der	w447
Zu=lauf	w448
<g/>
=
aber	w450
und	w451
das	w452
Gedränge	w453
des	w454
Volks	w455
war	w456
so	w457
groß	w458
daß	w459
er	w460
nicht	w461
einmal	w462
zu	w463
dem	w464
Groß	w465
<g/>
=
sultan	w467
<g/>
,
welcher	w469
selbst	w470
mit	w471
allen	w472
Mi=nistern	w473
<g/>
=
von	w475
der	w476
Pforte	w477
nach	w478
Pera	w479
hinüber	w480
in	w481
die	w482
Gegend	w483
der	w484
Brunst	w485
gekommen	w486
war	w487
<g/>
,
und	w489
in	w490
dem	w491
diesseitigen	w492
Galata	w493
<g/>
=
geral	w495
<g/>
,
