<doc id="edoc_wd_1759-10-03" attrs="word" year="1759" month="10" day="03" corpus="1">
<head id="hl1">
Lahn	w46
<g/>
=
strom	w48
19	w49
<g/>
.
Sept	w51
<g/>
.
</head>
<p id="p4">
GEstern	w53
drang	w54
eine	w55
Parthey	w56
alliirter	w57
Jäger	w58
und	w59
Hussaren	w60
in	w61
Wezlar	w62
ein	w63
<g/>
,
es	w65
gieng	w66
hiebey	w67
nicht	w68
ohne	w69
Thätlich=keiten	w70
<g/>
=
ab	w72
<g/>
,
jedoch	w74
der	w75
Herzog	w76
von	w77
Broglie	w78
kam	w79
mit	w80
einer	w81
ansehnlichen	w82
Mannschaft	w83
<g/>
,
und	w85
delogirte	w86
sie	w87
aus	w88
denen	w89
von	w90
ihnen	w91
be=setzten	w92
<g/>
=
Thoren	w94
<g/>
,
und	w96
aus	w97
der	w98
Stadt	w99
<g/>
.
Die	w101
Französische	w102
Armee	w103
stehet	w104
indessen	w105
noch	w106
im=mer	w107
<g/>
=
zu	w109
Annerod	w110
<g/>
,
und	w112
die	w113
Reserve	w114
des	w115
Herzogs	w116
von	w117
Broglie	w118
befindet	w119
sich	w120
seit	w121
ge=stern	w122
<g/>
=
zu	w124
Klein	w125
<g/>
=
linnen	w127
<g/>
,
bis	w129
auf	w130
die	w131
Bri=gade	w132
<g/>
=
von	w134
Waldner	w135
<g/>
,
und	w137
die	w138
Regimenter	w139
d'Apchon	w140
<g/>
,
Caraman	w142
<g/>
,
Turpin	w144
und	w145
Nassau	w146
Hussaren	w147
<g/>
,
welche	w149
unter	w150
dem	w151
Herrn	w152
Grafen	w153
von	w154
Waldner	w155
auf	w156
dem	w157
sogenannten	w158
Galgen=berge	w159
<g/>
=
von	w161
Wezlar	w162
campiren	w163
<g/>
,
wo	w165
sie	w166
die	w167
Frankforter	w168
<g/>
=
strasse	w170
im	w171
Rücken	w172
haben	w173
<g/>
.
Das	w175
Lager	w176
ist	w177
erst	w178
diesen	w179
morgen	w180
errichtet	w181
<g/>
,
es	w183
sendet	w184
6	w185
<g/>
.
Piquets	w187
Jnfanterie	w188
ab	w189
<g/>
,
um	w191
die	w192
</p>
<p id="p5">
Stadt	w193
Wezlar	w194
sichern	w195
und	w196
zu	w197
decken	w198
<g/>
.
Der	w200
General	w201
von	w202
Wangenheim	w203
campiret	w204
gegen	w205
über	w206
dieser	w207
Stadt	w208
<g/>
,
jenseit	w210
der	w211
Lahne	w212
<g/>
,
mit	w214
5	w215
<g/>
.
bis	w217
600	w218
<g/>
.
Mann	w220
<g/>
,
und	w222
der	w223
Prinz	w224
Fer=dinand	w225
<g/>
=
mit	w227
seiner	w228
Armee	w229
zwischen	w230
Kleeberg	w231
und	w232
Weismar	w233
<g/>
.
Ubrigens	w235
ist	w236
alles	w237
ruhig	w238
<g/>
,
und	w240
die	w241
Stadt	w242
Wezlar	w243
wegen	w244
deren	w245
gestri=gen	w246
<g/>
=
unruhigen	w248
Vorfälle	w249
getröstet	w250
<g/>
.
Die	w252
da=rinnen	w253
<g/>
=
befindliche	w255
Feinde	w256
schossen	w257
auf	w258
uns	w259
<g/>
,
und	w261
wir	w262
auf	w263
sie	w264
<g/>
,
bis	w266
wir	w267
sie	w268
endlich	w269
aus	w270
unserer	w271
Nachbarschaft	w272
entferneten	w273
<g/>
.
Eigent=lich	w275
<g/>
=
stehet	w277
deren	w278
alliirten	w279
Lager	w280
auf	w281
dem	w282
Dorlemer	w283
<g/>
=
feld	w285
auf	w286
einer	w287
Anhöhe	w288
<g/>
;
es	w290
er=strecket	w291
<g/>
=
sich	w293
eine	w294
halbe	w295
Stunde	w296
in	w297
die	w298
Länge	w299
<g/>
,
und	w301
in	w302
der	w303
Breite	w304
nicht	w305
über	w306
3	w307
<g/>
.
Zelten	w309
<g/>
;
man	w311
kan	w312
es	w313
aus	w314
Wezlar	w315
ganz	w316
genau	w317
be=trachten	w318
<g/>
=
<g/>
,
und	w321
es	w322
ist	w323
nur	w324
3	w325
<g/>
.
Viertel	w327
Stun=den	w328
<g/>
=
von	w330
hier	w331
<g/>
,
es	w333
wird	w334
auf	w335
6000	w336
<g/>
.
Mann	w338
geschätzt	w339
<g/>
,
die	w341
aber	w342
zusehends	w343
verstärket	w344
werden	w345
<g/>
.
</p>
<head id="hl2">
Frankfort	w349
an	w350
der	w351
Oder	w352
12	w353
<g/>
.
Sept	w355
<g/>
.
</head>
<p id="p6">
Wir	w357
sind	w358
von	w359
unsern	w360
Feinden	w361
befreyt	w362
<g/>
,
und	w364
haben	w365
eine	w366
Garnison	w367
von	w368
unsern	w369
Tru=pen	w370
<g/>
=
<g/>
.
Allein	w373
wir	w374
empfinden	w375
jetz	w376
und	w377
unser	w378
