<doc id="edoc_wd_1703-08-13" attrs="word" year="1703" month="08" day="13" corpus="1">
<head id="hl1">
Continuatio	w90
Diarij	w91
<g/>
.
</head>
<head id="hl2">
Auß	w93
Wienn	w94
von	w95
8	w96
<g/>
.
biß	w98
11	w99
<g/>
.
Augusti	w101
1703	w102
<g/>
.
</head>
<p id="p4">
DEn	w104
8	w105
<g/>
.
dito	w107
hat	w108
man	w109
<g/>
/
daß	w111
die	w112
Land	w113
<g/>
=
Militz	w115
<g/>
/
welche	w117
hin	w118
und	w119
wieder	w120
in	w121
Oesterreich	w122
auffgebotten	w123
worden	w124
<g/>
/
theils	w126
zu	w127
Stockerau	w128
<g/>
/
theils	w130
anderwerts	w131
ihren	w132
vorgesetzten	w133
Officiers	w134
diser	w135
Tagen	w136
übergeben	w137
worden	w138
<g/>
/
umb	w140
sie	w141
in	w142
denen	w143
Waffen	w144
zu	w145
exerciren	w146
<g/>
.
Wie	w148
verlautet	w149
<g/>
/
seynd	w151
2	w152
<g/>
.
Käyserl	w154
<g/>
.
in	w156
O	w157
<g/>
.
O	w159
<g/>
.
stehende	w161
Regimenter	w162
beordert	w163
<g/>
/
ihren	w165
March	w166
schlei=nig	w167
<g/>
=
gegen	w169
Hungarn	w170
herabzunehmen	w171
<g/>
/
umb	w173
denen	w174
Rebellen	w175
<g/>
/
nebst	w177
den	w178
all=da	w179
<g/>
=
schon	w181
befindliche	w182
Völckern	w183
resistiren	w184
zuhelffen	w185
<g/>
/
und	w187
die	w188
Feinde	w189
zu	w190
dämpf=fen	w191
<g/>
=
<g/>
/
welche	w194
sich	w195
immer	w196
verstärcken	w197
<g/>
/
weiter	w199
umb	w200
sich	w201
greiffend	w202
zimblich	w203
Zu=lauff	w204
<g/>
=
haben	w206
<g/>
/
weilen	w208
der	w209
Ragotzi	w210
ihnen	w211
alle	w212
Freyheit	w213
verspricht;	w214
Kalo	w215
ha=ben	w216
<g/>
=
sie	w218
schon	w219
emportiret	w220
<g/>
/
allwo	w222
die	w223
meiste	w224
Mousquetiers	w225
zu	w226
ihnen	w227
gangen	w228
<g/>
/
der	w230
Lieutenant	w231
aber	w232
nach	w233
Tokay	w234
convoyret	w235
worden;	w236
die	w237
Posten	w238
gegen	w239
Zat-mar	w240
<g/>
-
und	w242
Sibenbürgen	w243
seynd	w244
alle	w245
schon	w246
gesperrt	w247
<g/>
/
womit	w249
sie	w250
nicht	w251
weiter	w252
ge	w253
<g/>
=
</p>
<p id="p5">
hen	w256
können	w257
<g/>
.
Gestern	w259
ist	w260
ein	w261
Courier	w262
von	w263
der	w264
Armée	w265
auß	w266
Jtalien	w267
arri-virt	w268
<g/>
-
<g/>
/
mit	w271
Bericht	w272
<g/>
/
daß	w274
die	w275
Frantzosen	w276
bey	w277
seiner	w278
Abreyß	w279
den	w280
Tyrolischen	w281
Paß	w282
Riva	w283
zu	w284
beschiessen	w285
angefangen	w286
<g/>
/
und	w288
obwohlen	w289
deß	w290
Feindes	w291
dahin	w292
March	w293
leicht	w294
mit	w295
Steinern	w296
hätte	w297
verhindert	w298
werden	w299
können	w300
<g/>
/
so	w302
wären	w303
doch	w304
deren	w305
Grafen	w306
von	w307
Arco	w308
Bauern	w309
alle	w310
durchgangen	w311
<g/>
.
Herr	w313
General	w314
Solari	w315
und	w316
Vaubonne	w317
hätten	w318
sich	w319
bey	w320
Roveredo	w321
conjungirt	w322
<g/>
/
und	w324
werden	w325
suchen	w326
den	w327
Feind	w328
auff	w329
alle	w330
Weiß	w331
Abbruch	w332
zu	w333
thun	w334
<g/>
.
Bersello	w336
hat	w337
sich	w338
auß	w339
höch=ster	w340
<g/>
=
Hungers	w342
<g/>
=
Noth	w344
ergeben	w345
müssen	w346
<g/>
/
in	w348
500	w349
<g/>
.
Krancke	w351
haben	w352
die	w353
Feinde	w354
zu	w355
unserer	w356
Armée	w357
geliffert	w358
<g/>
/
in	w360
900	w361
<g/>
.
Gesunde	w363
aber	w364
zu	w365
Kriegs	w366
<g/>
=
Gefangene	w368
gemacht	w369
<g/>
/
weilen	w371
die	w372
Unsrigen	w373
die	w374
Ruptur	w375
deß	w376
Cartels	w377
nicht	w378
gewust	w379
<g/>
/
und	w381
also	w382
mit	w383
schändlicher	w384
Hinterlist	w385
zuruck	w386
angehalten	w387
worden	w388
<g/>
.
Herr	w390
Graf	w391
Guido	w392
von	w393
Stahrenberg	w394
ist	w395
resolvirt	w396
<g/>
/
